date,globalism
2016-05-01,7.0
2016-05-02,10.0
2016-05-03,8.0
2016-05-04,16.0
2016-05-05,16.0
2016-05-06,15.0
2016-05-07,7.0
2016-05-08,12.0
2016-05-09,10.0
2016-05-10,10.0
2016-05-11,12.0
2016-05-12,4.0
2016-05-13,10.0
2016-05-14,5.0
2016-05-15,5.0
2016-05-16,12.0
2016-05-17,4.0
2016-05-18,14.0
2016-05-19,6.0
2016-05-20,10.0
2016-05-21,5.0
2016-05-22,9.0
2016-05-23,4.0
2016-05-24,12.0
2016-05-25,12.0
2016-05-26,4.0
2016-05-27,6.0
2016-05-28,0.0
2016-05-29,5.0
2016-05-30,8.0
2016-05-31,2.0
2016-06-01,10.0
2016-06-02,6.0
2016-06-03,21.0
2016-06-04,0.0
2016-06-05,12.0
2016-06-06,6.0
2016-06-07,10.0
2016-06-08,8.0
2016-06-09,4.0
2016-06-10,2.0
2016-06-11,7.0
2016-06-12,16.0
2016-06-13,8.0
2016-06-14,8.0
2016-06-15,2.0
2016-06-16,8.0
2016-06-17,2.0
2016-06-18,2.0
2016-06-19,2.0
2016-06-20,0.0
2016-06-21,10.0
2016-06-22,10.0
2016-06-23,10.0
2016-06-24,100.0
2016-06-25,45.0
2016-06-26,35.0
2016-06-27,30.0
2016-06-28,16.0
2016-06-29,14.0
2016-06-30,22.0
2016-07-01,4.0
2016-07-02,10.0
2016-07-03,10.0
2016-07-04,13.0
2016-07-05,8.0
2016-07-06,12.0
2016-07-07,12.0
2016-07-08,2.0
2016-07-09,7.0
2016-07-10,7.0
2016-07-11,10.0
2016-07-12,4.0
2016-07-13,10.0
2016-07-14,4.0
2016-07-15,8.0
2016-07-16,7.0
2016-07-17,12.0
2016-07-18,8.0
2016-07-19,16.0
2016-07-20,8.0
2016-07-21,4.0
2016-07-22,38.0
2016-07-23,10.0
2016-07-24,26.0
2016-07-25,24.0
2016-07-26,10.0
2016-07-27,10.0
2016-07-28,14.0
2016-07-29,17.0
2016-07-30,14.0
2016-07-31,19.0
2016-08-01,8.0
2016-08-02,6.0
2016-08-03,4.0
2016-08-04,8.0
2016-08-05,9.0
2016-08-06,5.0
2016-08-07,7.0
2016-08-08,14.0
2016-08-09,16.0
2016-08-10,6.0
2016-08-11,12.0
2016-08-12,13.0
2016-08-13,19.0
2016-08-14,17.0
2016-08-15,13.0
2016-08-16,18.0
2016-08-17,18.0
2016-08-18,18.0
2016-08-19,17.0
2016-08-20,12.0
2016-08-21,19.0
2016-08-22,10.0
2016-08-23,10.0
2016-08-24,12.0
2016-08-25,18.0
2016-08-26,17.0
2016-08-27,12.0
2016-08-28,2.0
2016-08-29,17.0
2016-08-30,19.0
2016-08-31,17.0
2016-09-01,18.0
2016-09-02,12.0
2016-09-03,5.0
2016-09-04,12.0
2016-09-05,14.0
2016-09-06,16.0
2016-09-07,14.0
2016-09-08,8.0
2016-09-09,22.0
2016-09-10,5.0
2016-09-11,9.0
2016-09-12,10.0
2016-09-13,12.0
2016-09-14,14.0
2016-09-15,16.0
2016-09-16,6.0
2016-09-17,25.0
2016-09-18,4.0
2016-09-19,14.0
2016-09-20,13.0
2016-09-21,13.0
2016-09-22,10.0
2016-09-23,16.0
2016-09-24,20.0
2016-09-25,4.0
2016-09-26,10.0
2016-09-27,13.0
2016-09-28,21.0
2016-09-29,19.0
2016-09-30,20.0
2016-10-01,15.695847362514028
2016-10-02,18.839506172839506
2016-10-03,19.328282828282827
2016-10-04,17.69584736251403
2016-10-05,20.052188552188554
2016-10-06,15.121212121212121
2016-10-07,13.057800224466892
2016-10-08,8.414141414141413
2016-10-09,22.046576879910212
2016-10-10,21.19023569023569
2016-10-11,27.10998877665544
2016-10-12,28.328282828282827
2016-10-13,25.397306397306394
2016-10-14,14.552188552188552
2016-10-15,26.328282828282827
2016-10-16,30.19023569023569
2016-10-17,25.12121212121212
2016-10-18,22.68462401795735
2016-10-19,29.69023569023569
2016-10-20,17.983164983164983
2016-10-21,14.552188552188552
2016-10-22,24.402918069584736
2016-10-23,18.12121212121212
2016-10-24,21.264870931537597
2016-10-25,19.971941638608307
2016-10-26,15.270482603815937
2016-10-27,18.546576879910212
2016-10-28,14.264870931537597
2016-10-29,14.983164983164983
2016-10-30,22.115600448933783
2016-10-31,18.12121212121212
2016-11-01,14.557800224466892
2016-11-02,22.093153759820424
2016-11-03,20.667789001122333
2016-11-04,21.38047138047138
2016-11-05,15.679012345679013
2016-11-06,21.38047138047138
2016-11-07,16.391694725028056
2016-11-08,31.358024691358025
2016-11-09,71.2682379349046
2016-11-10,63.42873176206509
2016-11-11,35.6341189674523
2016-11-12,32.07070707070707
2016-11-13,44.18630751964085
2016-11-14,22.093153759820424
2016-11-15,47.74971941638608
2016-11-16,45.61167227833894
2016-11-17,33.49607182940516
2016-11-18,29.93265993265993
2016-11-19,31.358024691358025
2016-11-20,21.38047138047138
2016-11-21,27.08193041526375
2016-11-22,19.242424242424242
2016-11-23,21.38047138047138
2016-11-24,12.115600448933781
2016-11-25,12.115600448933781
2016-11-26,19.242424242424242
2016-11-27,13.540965207631874
2016-11-28,23.51851851851852
2016-11-29,16.391694725028056
2016-11-30,34.20875420875421
2016-12-01,25.656565656565654
2016-12-02,19.95510662177329
2016-12-03,27.08193041526375
2016-12-04,34.20875420875421
2016-12-05,30.645342312008978
2016-12-06,27.08193041526375
2016-12-07,24.94388327721661
2016-12-08,14.966329966329965
2016-12-09,20.667789001122333
2016-12-10,27.08193041526375
2016-12-11,22.093153759820424
2016-12-12,19.242424242424242
2016-12-13,14.25364758698092
2016-12-14,19.95510662177329
2016-12-15,16.391694725028056
2016-12-16,18.529741863075195
2016-12-17,11.402918069584736
2016-12-18,9.977553310886645
2016-12-19,4.988776655443322
2016-12-20,20.667789001122333
2016-12-21,9.977553310886645
2016-12-22,14.25364758698092
2016-12-23,5.701459034792368
2016-12-24,13.540965207631874
2016-12-25,9.977553310886645
2016-12-26,7.839506172839506
2016-12-27,11.402918069584736
2016-12-28,13.540965207631874
2016-12-29,11.402918069584736
2016-12-30,9.977553310886645
2016-12-31,10.69023569023569
2017-01-01,8.552188552188552
2017-01-02,15.679012345679013
2017-01-03,10.69023569023569
2017-01-04,9.264870931537597
2017-01-05,10.69023569023569
2017-01-06,9.977553310886645
2017-01-07,12.828282828282827
2017-01-08,9.977553310886645
2017-01-09,11.402918069584736
2017-01-10,17.81705948372615
2017-01-11,10.69023569023569
2017-01-12,14.966329966329965
2017-01-13,16.391694725028056
2017-01-14,9.977553310886645
2017-01-15,14.25364758698092
2017-01-16,14.966329966329965
2017-01-17,12.115600448933781
2017-01-18,23.51851851851852
2017-01-19,23.51851851851852
2017-01-20,27.08193041526375
2017-01-21,29.219977553310887
2017-01-22,21.38047138047138
2017-01-23,27.08193041526375
2017-01-24,27.794612794612792
2017-01-25,32.78338945005611
2017-01-26,17.104377104377104
2017-01-27,25.656565656565654
2017-01-28,13.540965207631874
2017-01-29,20.667789001122333
2017-01-30,30.645342312008978
2017-01-31,27.08193041526375
2017-02-01,18.529741863075195
2017-02-02,22.093153759820424
2017-02-03,19.95510662177329
2017-02-04,17.104377104377104
2017-02-05,24.231200897867563
2017-02-06,24.231200897867563
2017-02-07,16.391694725028056
2017-02-08,17.81705948372615
2017-02-09,11.402918069584736
2017-02-10,11.402918069584736
2017-02-11,20.667789001122333
2017-02-12,25.656565656565654
2017-02-13,18.529741863075195
2017-02-14,22.80583613916947
2017-02-15,17.81705948372615
2017-02-16,18.529741863075195
2017-02-17,15.679012345679013
2017-02-18,20.667789001122333
2017-02-19,20.667789001122333
2017-02-20,27.794612794612792
2017-02-21,18.529741863075195
2017-02-22,21.38047138047138
2017-02-23,19.95510662177329
2017-02-24,28.50729517396184
2017-02-25,19.95510662177329
2017-02-26,18.529741863075195
2017-02-27,24.231200897867563
2017-02-28,27.794612794612792
2017-03-01,18.910196366336717
2017-03-02,20.017216671921613
2017-03-03,18.3497445020571
2017-03-04,10.607178721213808
2017-03-05,20.934009725875754
2017-03-06,27.247800784483395
2017-03-07,24.276017561504005
2017-03-08,21.933859748851773
2017-03-09,18.86172617033861
2017-03-10,12.153597185495112
2017-03-11,11.593145321215495
2017-03-12,15.806885978337334
2017-03-13,18.111047054428234
2017-03-14,26.10960366941228
2017-03-15,15.703125659266009
2017-03-16,17.74082244177938
2017-03-17,18.79255262429106
2017-03-18,14.769039218799982
2017-03-19,16.24628413703374
2017-03-20,16.685682295730142
2017-03-21,21.03436008140952
2017-03-22,15.737712432289785
2017-03-23,20.778369247268767
2017-03-24,14.699865672752434
2017-03-25,13.613548717216977
2017-03-26,16.924379743359008
2017-03-27,12.987333270427367
2017-03-28,14.990443279916963
2017-03-29,11.748785799822482
2017-03-30,16.60262532670826
2017-03-31,5.922863095909348
2017-04-01,16.737562455265802
2017-04-02,10.835402709405898
2017-04-03,13.07721016652436
2017-04-04,11.209037285592307
2017-04-05,16.813555928388464
2017-04-06,7.472691523728205
2017-04-07,19.428997961693334
2017-04-08,17.560825080761283
2017-04-09,6.725422371355385
2017-04-10,13.45084474271077
2017-04-11,28.39622779016718
2017-04-12,9.714498980846667
2017-04-13,9.714498980846667
2017-04-14,6.351787795168975
2017-04-15,8.967229828473847
2017-04-16,8.967229828473847
2017-04-17,16.06628677601564
2017-04-18,10.835402709405898
2017-04-19,16.813555928388464
2017-04-20,9.340864404660257
2017-04-21,15.692652199829231
2017-04-22,6.725422371355385
2017-04-23,23.538978299743846
2017-04-24,18.681728809320514
2017-04-25,34.748015585336155
2017-04-26,22.044439994998207
2017-04-27,13.07721016652436
2017-04-28,17.560825080761283
2017-04-29,24.28624745211667
2017-04-30,11.209037285592307
2017-05-01,12.329941014151538
2017-05-02,13.07721016652436
2017-05-03,25.780785756862308
2017-05-04,18.681728809320514
2017-05-05,24.659882028303077
2017-05-06,10.835402709405898
2017-05-07,28.39622779016718
2017-05-08,37.36345761864103
2017-05-09,22.044439994998207
2017-05-10,22.418074571184615
2017-05-11,14.94538304745641
2017-05-12,19.428997961693334
2017-05-13,15.319017623642821
2017-05-14,13.45084474271077
2017-05-15,18.681728809320514
2017-05-16,16.439921352202052
2017-05-17,11.209037285592307
2017-05-18,20.549901690252565
2017-05-19,13.45084474271077
2017-05-20,4.483614914236924
2017-05-21,13.07721016652436
2017-05-22,11.209037285592307
2017-05-23,14.57174847127
2017-05-24,11.209037285592307
2017-05-25,13.82447931889718
2017-05-26,10.088133557033077
2017-05-27,13.82447931889718
2017-05-28,18.308094233134103
2017-05-29,27.64895863779436
2017-05-30,19.055363385506922
2017-05-31,7.472691523728205
2017-06-01,17.187190504574872
2017-06-02,21.670805418811796
2017-06-03,11.209037285592307
