date,terrorist
2016-05-01,5.0
2016-05-02,5.0
2016-05-03,5.0
2016-05-04,6.0
2016-05-05,5.0
2016-05-06,5.0
2016-05-07,5.0
2016-05-08,6.0
2016-05-09,6.0
2016-05-10,8.0
2016-05-11,7.0
2016-05-12,5.0
2016-05-13,5.0
2016-05-14,4.0
2016-05-15,4.0
2016-05-16,5.0
2016-05-17,6.0
2016-05-18,6.0
2016-05-19,8.0
2016-05-20,6.0
2016-05-21,5.0
2016-05-22,5.0
2016-05-23,5.0
2016-05-24,5.0
2016-05-25,5.0
2016-05-26,5.0
2016-05-27,5.0
2016-05-28,4.0
2016-05-29,4.0
2016-05-30,4.0
2016-05-31,5.0
2016-06-01,5.0
2016-06-02,4.0
2016-06-03,4.0
2016-06-04,5.0
2016-06-05,5.0
2016-06-06,6.0
2016-06-07,7.0
2016-06-08,9.0
2016-06-09,8.0
2016-06-10,6.0
2016-06-11,5.0
2016-06-12,47.0
2016-06-13,25.0
2016-06-14,22.0
2016-06-15,15.0
2016-06-16,13.0
2016-06-17,9.0
2016-06-18,9.0
2016-06-19,7.0
2016-06-20,6.0
2016-06-21,7.0
2016-06-22,6.0
2016-06-23,8.0
2016-06-24,6.0
2016-06-25,5.0
2016-06-26,5.0
2016-06-27,4.0
2016-06-28,11.0
2016-06-29,20.0
2016-06-30,12.0
2016-07-01,13.0
2016-07-02,25.0
2016-07-03,17.0
2016-07-04,21.0
2016-07-05,12.0
2016-07-06,8.0
2016-07-07,9.0
2016-07-08,11.0
2016-07-09,9.0
2016-07-10,8.0
2016-07-11,7.0
2016-07-12,7.0
2016-07-13,6.0
2016-07-14,25.0
2016-07-15,100.0
2016-07-16,33.0
2016-07-17,14.0
2016-07-18,12.0
2016-07-19,12.0
2016-07-20,9.0
2016-07-21,8.0
2016-07-22,21.0
2016-07-23,17.0
2016-07-24,9.0
2016-07-25,12.0
2016-07-26,13.0
2016-07-27,11.0
2016-07-28,8.0
2016-07-29,7.0
2016-07-30,6.0
2016-07-31,6.0
2016-08-01,6.0
2016-08-02,6.0
2016-08-03,5.0
2016-08-04,13.0
2016-08-05,10.0
2016-08-06,8.0
2016-08-07,7.0
2016-08-08,7.0
2016-08-09,5.0
2016-08-10,6.0
2016-08-11,14.0
2016-08-12,9.0
2016-08-13,7.0
2016-08-14,7.0
2016-08-15,6.0
2016-08-16,7.0
2016-08-17,5.0
2016-08-18,5.0
2016-08-19,5.0
2016-08-20,4.0
2016-08-21,5.0
2016-08-22,5.0
2016-08-23,5.0
2016-08-24,6.0
2016-08-25,5.0
2016-08-26,5.0
2016-08-27,5.0
2016-08-28,6.0
2016-08-29,4.0
2016-08-30,5.0
2016-08-31,5.0
2016-09-01,5.0
2016-09-02,4.0
2016-09-03,5.0
2016-09-04,5.0
2016-09-05,4.0
2016-09-06,5.0
2016-09-07,5.0
2016-09-08,6.0
2016-09-09,6.0
2016-09-10,6.0
2016-09-11,11.0
2016-09-12,8.0
2016-09-13,6.0
2016-09-14,5.0
2016-09-15,6.0
2016-09-16,5.0
2016-09-17,5.0
2016-09-18,19.0
2016-09-19,31.0
2016-09-20,15.0
2016-09-21,12.0
2016-09-22,15.0
2016-09-23,12.0
2016-09-24,9.0
2016-09-25,7.0
2016-09-26,7.0
2016-09-27,7.0
2016-09-28,7.0
2016-09-29,12.0
2016-09-30,9.0
2016-10-01,6.2407407407407405
2016-10-02,9.12962962962963
2016-10-03,11.555555555555555
2016-10-04,10.092592592592592
2016-10-05,8.166666666666668
2016-10-06,7.203703703703704
2016-10-07,5.777777777777778
2016-10-08,5.277777777777778
2016-10-09,5.777777777777778
2016-10-10,6.2407407407407405
2016-10-11,5.777777777777778
