date,loretta lynch
2016-05-01,1.0
2016-05-02,1.0
2016-05-03,1.0
2016-05-04,1.0
2016-05-05,1.0
2016-05-06,1.0
2016-05-07,0.0
2016-05-08,1.0
2016-05-09,14.0
2016-05-10,27.0
2016-05-11,8.0
2016-05-12,5.0
2016-05-13,5.0
2016-05-14,3.0
2016-05-15,2.0
2016-05-16,2.0
2016-05-17,2.0
2016-05-18,1.0
2016-05-19,1.0
2016-05-20,2.0
2016-05-21,1.0
2016-05-22,1.0
2016-05-23,1.0
2016-05-24,1.0
2016-05-25,3.0
2016-05-26,1.0
2016-05-27,1.0
2016-05-28,1.0
2016-05-29,1.0
2016-05-30,1.0
2016-05-31,0.0
2016-06-01,2.0
2016-06-02,1.0
2016-06-03,1.0
2016-06-04,1.0
2016-06-05,1.0
2016-06-06,0.0
2016-06-07,1.0
2016-06-08,1.0
2016-06-09,1.0
2016-06-10,2.0
2016-06-11,1.0
2016-06-12,1.0
2016-06-13,1.0
2016-06-14,2.0
2016-06-15,2.0
2016-06-16,1.0
2016-06-17,2.0
2016-06-18,1.0
2016-06-19,9.0
2016-06-20,13.0
2016-06-21,12.0
2016-06-22,11.0
2016-06-23,9.0
2016-06-24,3.0
2016-06-25,2.0
2016-06-26,2.0
2016-06-27,1.0
2016-06-28,2.0
2016-06-29,8.0
2016-06-30,55.0
2016-07-01,100.0
2016-07-02,58.0
2016-07-03,41.0
2016-07-04,18.0
2016-07-05,54.0
2016-07-06,51.0
2016-07-07,35.0
2016-07-08,32.0
2016-07-09,16.0
2016-07-10,5.0
2016-07-11,6.0
2016-07-12,48.0
2016-07-13,30.0
2016-07-14,13.0
2016-07-15,8.0
2016-07-16,4.0
2016-07-17,5.0
2016-07-18,4.0
2016-07-19,3.0
2016-07-20,3.0
2016-07-21,4.0
2016-07-22,3.0
2016-07-23,3.0
2016-07-24,3.0
2016-07-25,2.0
2016-07-26,3.0
2016-07-27,2.0
2016-07-28,3.0
2016-07-29,3.0
2016-07-30,1.0
2016-07-31,2.0
2016-08-01,2.0
2016-08-02,1.0
2016-08-03,2.0
2016-08-04,2.0
2016-08-05,2.0
2016-08-06,1.0
2016-08-07,1.0
2016-08-08,1.0
2016-08-09,1.0
2016-08-10,1.0
2016-08-11,2.0
2016-08-12,3.0
2016-08-13,2.0
2016-08-14,2.0
2016-08-15,1.0
2016-08-16,2.0
2016-08-17,2.0
2016-08-18,2.0
2016-08-19,1.0
2016-08-20,1.0
2016-08-21,1.0
2016-08-22,1.0
2016-08-23,1.0
2016-08-24,1.0
2016-08-25,1.0
2016-08-26,1.0
2016-08-27,2.0
2016-08-28,2.0
2016-08-29,1.0
2016-08-30,2.0
2016-08-31,1.0
2016-09-01,1.0
2016-09-02,1.0
2016-09-03,1.0
2016-09-04,1.0
2016-09-05,1.0
2016-09-06,2.0
2016-09-07,1.0
2016-09-08,2.0
2016-09-09,2.0
2016-09-10,1.0
2016-09-11,1.0
2016-09-12,2.0
2016-09-13,1.0
2016-09-14,2.0
2016-09-15,2.0
2016-09-16,1.0
2016-09-17,1.0
2016-09-18,0.0
2016-09-19,1.0
2016-09-20,2.0
2016-09-21,3.0
2016-09-22,4.0
2016-09-23,2.0
2016-09-24,1.0
2016-09-25,1.0
2016-09-26,1.0
2016-09-27,2.0
2016-09-28,2.0
2016-09-29,2.0
2016-09-30,2.0
2016-10-01,0.9942528735632183
2016-10-02,1.1590038314176245
2016-10-03,2.318007662835249
2016-10-04,3.9770114942528734
2016-10-05,4.306513409961686
2016-10-06,2.318007662835249
2016-10-07,1.9885057471264367
2016-10-08,1.9885057471264367
2016-10-09,1.4885057471264367
2016-10-10,2.153256704980843
2016-10-11,1.8237547892720307
2016-10-12,2.153256704980843
2016-10-13,2.653256704980843
2016-10-14,2.4885057471264367
2016-10-15,1.9885057471264367
2016-10-16,1.3295019157088124
2016-10-17,2.9827586206896552
2016-10-18,2.153256704980843
2016-10-19,1.9885057471264367
2016-10-20,1.8237547892720307
2016-10-21,1.1590038314176245
2016-10-22,0.9942528735632183
2016-10-23,0.9942528735632183
2016-10-24,1.6590038314176245
2016-10-25,1.8237547892720307
2016-10-26,1.1590038314176245
2016-10-27,1.3237547892720307
2016-10-28,9.442528735632184
2016-10-29,29.162835249042146
2016-10-30,32.475095785440615
2016-10-31,30.162835249042146
2016-11-01,17.56704980842912
2016-11-02,11.862068965517242
2016-11-03,16.1455938697318
2016-11-04,10.544061302681992
2016-11-05,5.272030651340996
2016-11-06,5.601532567049809
2016-11-07,6.590038314176246
2016-11-08,2.636015325670498
2016-11-09,9.885057471264368
2016-11-10,7.578544061302682
2016-11-11,5.601532567049809
2016-11-12,3.295019157088123
2016-11-13,3.295019157088123
2016-11-14,3.624521072796935
2016-11-15,2.3065134099616857
2016-11-16,1.9770114942528736
2016-11-17,1.9770114942528736
2016-11-18,9.555555555555555
2016-11-19,7.24904214559387
2016-11-20,3.624521072796935
2016-11-21,2.3065134099616857
2016-11-22,1.9770114942528736
2016-11-23,1.6475095785440614
2016-11-24,1.318007662835249
2016-11-25,0.9885057471264368
2016-11-26,1.318007662835249
2016-11-27,0.6590038314176245
2016-11-28,0.9885057471264368
2016-11-29,1.9770114942528736
2016-11-30,1.6475095785440614
2016-12-01,2.3065134099616857
2016-12-02,0.9885057471264368
2016-12-03,1.9770114942528736
2016-12-04,1.9770114942528736
2016-12-05,1.6475095785440614
2016-12-06,0.6590038314176245
2016-12-07,0.9885057471264368
2016-12-08,0.32950191570881227
2016-12-09,0.9885057471264368
2016-12-10,0.9885057471264368
2016-12-11,0.9885057471264368
2016-12-12,1.6475095785440614
2016-12-13,1.6475095785440614
2016-12-14,5.272030651340996
2016-12-15,3.954022988505747
2016-12-16,3.624521072796935
2016-12-17,1.9770114942528736
2016-12-18,4.283524904214559
2016-12-19,4.6130268199233715
2016-12-20,1.6475095785440614
2016-12-21,0.32950191570881227
2016-12-22,1.6475095785440614
2016-12-23,1.9770114942528736
2016-12-24,1.9770114942528736
2016-12-25,1.6475095785440614
2016-12-26,0.6590038314176245
2016-12-27,0.6590038314176245
2016-12-28,1.318007662835249
2016-12-29,0.6590038314176245
2016-12-30,0.0
2016-12-31,0.9885057471264368
2017-01-01,1.6475095785440614
2017-01-02,0.9885057471264368
2017-01-03,0.9885057471264368
2017-01-04,0.6590038314176245
2017-01-05,0.32950191570881227
2017-01-06,0.9885057471264368
2017-01-07,0.6590038314176245
2017-01-08,0.6590038314176245
2017-01-09,0.32950191570881227
2017-01-10,4.283524904214559
2017-01-11,2.3065134099616857
2017-01-12,3.295019157088123
2017-01-13,7.24904214559387
2017-01-14,9.555555555555555
2017-01-15,3.624521072796935
2017-01-16,4.283524904214559
2017-01-17,2.3065134099616857
2017-01-18,1.6475095785440614
2017-01-19,1.9770114942528736
2017-01-20,3.624521072796935
2017-01-21,10.873563218390805
2017-01-22,7.908045977011494
2017-01-23,4.942528735632184
2017-01-24,2.636015325670498
2017-01-25,2.636015325670498
2017-01-26,1.318007662835249
2017-01-27,1.6475095785440614
2017-01-28,0.9885057471264368
2017-01-29,0.9885057471264368
2017-01-30,2.3065134099616857
2017-01-31,23.06513409961686
2017-02-01,3.624521072796935
2017-02-02,1.318007662835249
2017-02-03,0.6590038314176245
2017-02-04,1.318007662835249
2017-02-05,0.6590038314176245
2017-02-06,1.318007662835249
2017-02-07,1.318007662835249
2017-02-08,1.6475095785440614
2017-02-09,2.9655172413793105
2017-02-10,1.6475095785440614
2017-02-11,0.6590038314176245
2017-02-12,0.9885057471264368
2017-02-13,0.9885057471264368
2017-02-14,0.9885057471264368
2017-02-15,0.9885057471264368
2017-02-16,1.318007662835249
2017-02-17,0.6590038314176245
2017-02-18,0.9885057471264368
2017-02-19,0.6590038314176245
2017-02-20,0.6590038314176245
2017-02-21,1.318007662835249
2017-02-22,0.9885057471264368
2017-02-23,0.6590038314176245
2017-02-24,1.318007662835249
2017-02-25,1.9770114942528736
2017-02-26,0.9885057471264368
2017-02-27,0.32950191570881227
2017-02-28,1.318007662835249
2017-03-01,0.4841660802251936
2017-03-02,6.1747986550942215
2017-03-03,7.776917663617171
2017-03-04,3.084877629212605
2017-03-05,11.186253811869577
2017-03-06,15.069669247009148
2017-03-07,8.111462975994996
2017-03-08,7.547443115177106
2017-03-09,4.22300414418641
2017-03-10,3.489189928845102
2017-03-11,2.351063413871296
2017-03-12,2.4309171944639925
2017-03-13,1.782000156384393
2017-03-14,1.5474822112753148
2017-03-15,0.8086245992649934
2017-03-16,0.8086245992649934
2017-03-17,0.733814215341309
2017-03-18,0.978418953788412
2017-03-19,0.6489170380795997
2017-03-20,0.9683321604503872
2017-03-21,1.5424388146063026
2017-03-22,0.8086245992649934
2017-03-23,0.6489170380795997
2017-03-24,0.9733755571193996
2017-03-25,0.6489170380795997
2017-03-26,0.4841660802251936
2017-03-27,0.9733755571193996
2017-03-28,1.1330831183047934
2017-03-29,0.8136679959340058
2017-03-30,2.515814371725702
2017-03-31,2.1863124560168896
2017-04-01,0.9733755571193996
2017-04-02,0.7985378059269687
2017-04-03,1.117952928297756
2017-04-04,1.5970756118539373
2017-04-05,0.9582453671123623
2017-04-06,0.6388302447415749
2017-04-07,0.7985378059269687
2017-04-08,0.31941512237078745
2017-04-09,0.15970756118539373
2017-04-10,0.31941512237078745
2017-04-11,0.47912268355618115
2017-04-12,0.7985378059269687
2017-04-13,0.47912268355618115
2017-04-14,0.47912268355618115
2017-04-15,0.15970756118539373
2017-04-16,0.6388302447415749
2017-04-17,0.47912268355618115
2017-04-18,0.47912268355618115
2017-04-19,0.47912268355618115
2017-04-20,0.47912268355618115
2017-04-21,0.6388302447415749
2017-04-22,0.15970756118539373
2017-04-23,1.4373680506685436
2017-04-24,2.5553209789662996
2017-04-25,0.7985378059269687
2017-04-26,0.7985378059269687
2017-04-27,0.47912268355618115
2017-04-28,0.31941512237078745
2017-04-29,0.47912268355618115
2017-04-30,0.6388302447415749
2017-05-01,0.31941512237078745
2017-05-02,0.47912268355618115
2017-05-03,2.874736101337087
2017-05-04,3.832981468449449
2017-05-05,2.0761982954101184
2017-05-06,2.874736101337087
2017-05-07,1.5970756118539373
2017-05-08,2.874736101337087
2017-05-09,3.3538587848932684
2017-05-10,6.388302447415749
2017-05-11,4.791226835561812
2017-05-12,2.5553209789662996
2017-05-13,2.395613417780906
2017-05-14,2.235905856595512
2017-05-15,0.9582453671123623
2017-05-16,1.117952928297756
2017-05-17,3.1941512237078746
2017-05-18,1.9164907342247246
2017-05-19,1.4373680506685436
2017-05-20,1.4373680506685436
2017-05-21,0.9582453671123623
2017-05-22,1.4373680506685436
2017-05-23,1.117952928297756
2017-05-24,1.117952928297756
2017-05-25,1.5970756118539373
2017-05-26,0.9582453671123623
2017-05-27,0.9582453671123623
2017-05-28,0.15970756118539373
2017-05-29,0.31941512237078745
