date,person of interest
2016-05-01,21.0
2016-05-02,21.0
2016-05-03,27.0
2016-05-04,60.0
2016-05-05,33.0
2016-05-06,24.0
2016-05-07,21.0
2016-05-08,25.0
2016-05-09,23.0
2016-05-10,43.0
2016-05-11,46.0
2016-05-12,26.0
2016-05-13,22.0
2016-05-14,23.0
2016-05-15,23.0
2016-05-16,36.0
2016-05-17,50.0
2016-05-18,52.0
2016-05-19,31.0
2016-05-20,21.0
2016-05-21,26.0
2016-05-22,27.0
2016-05-23,26.0
2016-05-24,42.0
2016-05-25,58.0
2016-05-26,35.0
2016-05-27,29.0
2016-05-28,29.0
2016-05-29,29.0
2016-05-30,29.0
2016-05-31,48.0
2016-06-01,81.0
2016-06-02,48.0
2016-06-03,34.0
2016-06-04,36.0
2016-06-05,34.0
2016-06-06,31.0
2016-06-07,40.0
2016-06-08,60.0
2016-06-09,36.0
2016-06-10,28.0
2016-06-11,26.0
2016-06-12,28.0
2016-06-13,24.0
2016-06-14,30.0
2016-06-15,61.0
2016-06-16,34.0
2016-06-17,27.0
2016-06-18,30.0
2016-06-19,28.0
2016-06-20,25.0
2016-06-21,34.0
2016-06-22,100.0
2016-06-23,56.0
2016-06-24,36.0
2016-06-25,33.0
2016-06-26,31.0
2016-06-27,23.0
2016-06-28,23.0
2016-06-29,21.0
2016-06-30,21.0
2016-07-01,19.0
2016-07-02,20.0
2016-07-03,21.0
2016-07-04,18.0
2016-07-05,15.0
2016-07-06,14.0
2016-07-07,14.0
2016-07-08,17.0
2016-07-09,15.0
2016-07-10,18.0
2016-07-11,15.0
2016-07-12,14.0
2016-07-13,14.0
2016-07-14,13.0
2016-07-15,13.0
2016-07-16,14.0
2016-07-17,16.0
2016-07-18,12.0
2016-07-19,13.0
2016-07-20,11.0
2016-07-21,12.0
2016-07-22,11.0
2016-07-23,14.0
2016-07-24,15.0
2016-07-25,12.0
2016-07-26,12.0
2016-07-27,11.0
2016-07-28,12.0
2016-07-29,12.0
2016-07-30,14.0
2016-07-31,19.0
2016-08-01,15.0
2016-08-02,15.0
2016-08-03,9.0
2016-08-04,11.0
2016-08-05,11.0
2016-08-06,13.0
2016-08-07,14.0
2016-08-08,11.0
2016-08-09,11.0
2016-08-10,11.0
2016-08-11,11.0
2016-08-12,10.0
2016-08-13,12.0
2016-08-14,13.0
2016-08-15,12.0
2016-08-16,11.0
2016-08-17,9.0
2016-08-18,9.0
2016-08-19,9.0
2016-08-20,10.0
2016-08-21,12.0
2016-08-22,12.0
2016-08-23,11.0
2016-08-24,10.0
2016-08-25,11.0
2016-08-26,9.0
2016-08-27,11.0
2016-08-28,12.0
2016-08-29,11.0
2016-08-30,10.0
2016-08-31,9.0
2016-09-01,9.0
2016-09-02,10.0
2016-09-03,9.0
2016-09-04,11.0
2016-09-05,10.0
2016-09-06,10.0
2016-09-07,10.0
2016-09-08,10.0
2016-09-09,9.0
2016-09-10,11.0
2016-09-11,14.0
2016-09-12,10.0
2016-09-13,9.0
2016-09-14,9.0
2016-09-15,10.0
2016-09-16,10.0
2016-09-17,11.0
2016-09-18,12.0
2016-09-19,13.0
2016-09-20,10.0
2016-09-21,9.0
2016-09-22,10.0
2016-09-23,10.0
2016-09-24,13.0
2016-09-25,15.0
2016-09-26,13.0
2016-09-27,9.0
2016-09-28,10.0
2016-09-29,11.0
2016-09-30,10.0
2016-10-01,13.085703305149885
2016-10-02,12.585703305149885
2016-10-03,13.343966179861646
2016-10-04,11.052651806302844
2016-10-05,9.519600307455804
2016-10-06,9.277863182167565
2016-10-07,10.277863182167565
2016-10-08,11.165257494235203
2016-10-09,11.810914681014605
2016-10-10,11.165257494235203
2016-10-11,10.036126056879324
2016-10-12,9.777863182167565
2016-10-13,8.890468870099923
2016-10-14,9.148731744811684
2016-10-15,10.923520368946964
2016-10-16,11.681783243658725
2016-10-17,10.294388931591083
2016-10-18,10.036126056879324
2016-10-19,11.810914681014605
2016-10-20,10.406994619523443
2016-10-21,9.277863182167565
2016-10-22,9.906994619523443
2016-10-23,11.440046118370484
2016-10-24,11.181783243658725
2016-10-25,9.406994619523443
2016-10-26,9.906994619523443
2016-10-27,8.390468870099923
2016-10-28,9.777863182167565
2016-10-29,8.777863182167565
2016-10-30,10.665257494235203
2016-10-31,10.681783243658725
2016-11-01,10.294388931591083
2016-11-02,10.588777863182168
2016-11-03,9.297463489623366
2016-11-04,9.813989239046887
2016-11-05,12.138355111452729
2016-11-06,12.654880860876249
2016-11-07,10.588777863182168
2016-11-08,15.75403535741737
2016-11-09,10.072252113758648
2016-11-10,8.264411990776326
2016-11-11,9.555726364335127
2016-11-12,10.330514988470407
2016-11-13,11.105303612605688
2016-11-14,9.813989239046887
2016-11-15,10.330514988470407
2016-11-16,9.813989239046887
2016-11-17,9.297463489623366
2016-11-18,9.297463489623366
2016-11-19,10.072252113758648
2016-11-20,12.39661798616449
2016-11-21,10.072252113758648
2016-11-22,13.42966948501153
2016-11-23,10.847040737893927
2016-11-24,9.039200614911607
2016-11-25,8.264411990776326
2016-11-26,10.072252113758648
2016-11-27,12.654880860876249
2016-11-28,11.363566487317447
2016-11-29,13.17140661029977
2016-11-30,10.072252113758648
2016-12-01,8.522674865488087
