date,hillary clinton bankruptcy
2016-05-01,0.0
2016-05-02,72.0
2016-05-03,0.0
2016-05-04,0.0
2016-05-05,0.0
2016-05-06,25.0
2016-05-07,57.0
2016-05-08,28.0
2016-05-09,24.0
2016-05-10,0.0
2016-05-11,23.0
2016-05-12,24.0
2016-05-13,24.0
2016-05-14,0.0
2016-05-15,28.0
2016-05-16,0.0
2016-05-17,0.0
2016-05-18,0.0
2016-05-19,24.0
2016-05-20,25.0
2016-05-21,28.0
2016-05-22,0.0
2016-05-23,0.0
2016-05-24,23.0
2016-05-25,47.0
2016-05-26,0.0
2016-05-27,25.0
2016-05-28,28.0
2016-05-29,0.0
2016-05-30,24.0
2016-05-31,0.0
2016-06-01,0.0
2016-06-02,0.0
2016-06-03,25.0
2016-06-04,0.0
2016-06-05,0.0
2016-06-06,24.0
2016-06-07,23.0
2016-06-08,24.0
2016-06-09,24.0
2016-06-10,25.0
2016-06-11,28.0
2016-06-12,0.0
2016-06-13,23.0
2016-06-14,23.0
2016-06-15,0.0
2016-06-16,0.0
2016-06-17,0.0
2016-06-18,0.0
2016-06-19,0.0
2016-06-20,24.0
2016-06-21,0.0
2016-06-22,24.0
2016-06-23,0.0
2016-06-24,0.0
2016-06-25,28.0
2016-06-26,28.0
2016-06-27,0.0
2016-06-28,24.0
2016-06-29,0.0
2016-06-30,0.0
2016-07-01,25.0
2016-07-02,29.0
2016-07-03,0.0
2016-07-04,0.0
2016-07-05,0.0
2016-07-06,99.0
2016-07-07,49.0
2016-07-08,25.0
2016-07-09,0.0
2016-07-10,0.0
2016-07-11,0.0
2016-07-12,0.0
2016-07-13,0.0
2016-07-14,49.0
2016-07-15,0.0
2016-07-16,0.0
2016-07-17,29.0
2016-07-18,0.0
2016-07-19,49.0
2016-07-20,73.0
2016-07-21,0.0
2016-07-22,100.0
2016-07-23,28.0
2016-07-24,0.0
2016-07-25,48.0
2016-07-26,96.0
2016-07-27,24.0
2016-07-28,73.0
2016-07-29,25.0
2016-07-30,0.0
2016-07-31,0.0
2016-08-01,0.0
2016-08-02,0.0
2016-08-03,24.0
2016-08-04,0.0
2016-08-05,0.0
2016-08-06,29.0
2016-08-07,57.0
2016-08-08,0.0
2016-08-09,0.0
2016-08-10,0.0
2016-08-11,0.0
2016-08-12,0.0
2016-08-13,0.0
2016-08-14,0.0
2016-08-15,0.0
2016-08-16,24.0
2016-08-17,24.0
2016-08-18,0.0
2016-08-19,0.0
2016-08-20,28.0
2016-08-21,0.0
2016-08-22,0.0
2016-08-23,0.0
2016-08-24,0.0
2016-08-25,0.0
2016-08-26,0.0
2016-08-27,0.0
2016-08-28,0.0
2016-08-29,0.0
2016-08-30,0.0
2016-08-31,0.0
2016-09-01,24.0
2016-09-02,0.0
2016-09-03,0.0
2016-09-04,0.0
2016-09-05,0.0
2016-09-06,46.0
2016-09-07,23.0
2016-09-08,23.0
2016-09-09,0.0
2016-09-10,0.0
2016-09-11,27.0
2016-09-12,24.0
2016-09-13,0.0
2016-09-14,23.0
2016-09-15,0.0
2016-09-16,24.0
2016-09-17,0.0
2016-09-18,0.0
2016-09-19,23.0
2016-09-20,0.0
2016-09-21,23.0
2016-09-22,0.0
2016-09-23,0.0
2016-09-24,0.0
2016-09-25,0.0
2016-09-26,23.0
2016-09-27,90.0
2016-09-28,46.0
2016-09-29,23.0
2016-09-30,24.0
2016-10-01,12.641025641025642
2016-10-02,25.641025641025642
2016-10-03,5.576923076923077
2016-10-04,8.179487179487179
2016-10-05,16.576923076923077
2016-10-06,5.576923076923077
2016-10-07,0.0
2016-10-08,6.320512820512821
2016-10-09,19.32051282051282
2016-10-10,39.730769230769226
2016-10-11,22.282051282051285
2016-10-12,40.230769230769226
2016-10-13,22.653846153846153
2016-10-14,20.05128205128205
2016-10-15,19.82051282051282
2016-10-16,0.0
2016-10-17,5.205128205128205
2016-10-18,16.576923076923077
2016-10-19,10.782051282051283
2016-10-20,26.98717948717949
2016-10-21,34.15384615384615
2016-10-22,18.58974358974359
2016-10-23,19.32051282051282
2016-10-24,27.705128205128204
2016-10-25,0.0
2016-10-26,5.205128205128205
2016-10-27,5.576923076923077
2016-10-28,22.653846153846153
2016-10-29,26.01282051282051
2016-10-30,13.0
2016-10-31,20.05128205128205
2016-11-01,5.576923076923077
2016-11-02,0.0
2016-11-03,0.0
2016-11-04,33.46153846153846
2016-11-05,12.641025641025642
2016-11-06,0.0
2016-11-07,20.82051282051282
2016-11-08,41.64102564102564
2016-11-09,74.35897435897436
2016-11-10,0.0
2016-11-11,11.153846153846153
2016-11-12,12.641025641025642
2016-11-13,24.53846153846154
2016-11-14,10.41025641025641
2016-11-15,0.0
2016-11-16,0.0
2016-11-17,11.153846153846153
2016-11-18,0.0
2016-11-19,0.0
2016-11-20,0.0
2016-11-21,0.0
2016-11-22,0.0
2016-11-23,0.0
2016-11-24,0.0
2016-11-25,11.153846153846153
2016-11-26,11.897435897435898
2016-11-27,11.897435897435898
2016-11-28,0.0
2016-11-29,10.41025641025641
2016-11-30,0.0
2016-12-01,10.41025641025641
2016-12-02,0.0
2016-12-03,0.0
2016-12-04,11.897435897435898
2016-12-05,0.0
2016-12-06,0.0
2016-12-07,0.0
2016-12-08,0.0
2016-12-09,0.0
2016-12-10,0.0
2016-12-11,0.0
2016-12-12,0.0
2016-12-13,0.0
2016-12-14,0.0
2016-12-15,11.153846153846153
2016-12-16,0.0
2016-12-17,0.0
2016-12-18,0.0
2016-12-19,0.0
2016-12-20,0.0
2016-12-21,0.0
2016-12-22,0.0
2016-12-23,0.0
2016-12-24,0.0
2016-12-25,0.0
2016-12-26,0.0
2016-12-27,0.0
2016-12-28,0.0
2016-12-29,0.0
2016-12-30,0.0
2016-12-31,0.0
2017-01-01,0.0
2017-01-02,0.0
2017-01-03,0.0
2017-01-04,0.0
2017-01-05,0.0
2017-01-06,11.153846153846153
2017-01-07,0.0
2017-01-08,0.0
2017-01-09,10.41025641025641
2017-01-10,10.41025641025641
2017-01-11,0.0
2017-01-12,0.0
2017-01-13,0.0
2017-01-14,0.0
2017-01-15,11.897435897435898
2017-01-16,0.0
2017-01-17,0.0
2017-01-18,0.0
2017-01-19,0.0
2017-01-20,10.41025641025641
2017-01-21,11.897435897435898
2017-01-22,11.897435897435898
2017-01-23,0.0
2017-01-24,0.0
2017-01-25,10.41025641025641
2017-01-26,10.41025641025641
2017-01-27,0.0
2017-01-28,0.0
2017-01-29,0.0
2017-01-30,10.41025641025641
2017-01-31,0.0
2017-02-01,0.0
2017-02-02,10.41025641025641
2017-02-03,0.0
2017-02-04,0.0
2017-02-05,0.0
2017-02-06,10.41025641025641
2017-02-07,0.0
2017-02-08,0.0
2017-02-09,0.0
2017-02-10,0.0
2017-02-11,0.0
2017-02-12,0.0
2017-02-13,0.0
2017-02-14,0.0
2017-02-15,0.0
2017-02-16,10.41025641025641
2017-02-17,0.0
2017-02-18,11.897435897435898
2017-02-19,0.0
2017-02-20,0.0
2017-02-21,0.0
2017-02-22,0.0
2017-02-23,0.0
2017-02-24,0.0
2017-02-25,0.0
2017-02-26,0.0
2017-02-27,0.0
2017-02-28,0.0
2017-03-01,0.0
2017-03-02,0.0
2017-03-03,0.0
2017-03-04,0.0
2017-03-05,0.0
2017-03-06,0.0
2017-03-07,3.2660958263148046
2017-03-08,8.510574583567285
2017-03-09,0.0
2017-03-10,0.0
2017-03-11,0.0
2017-03-12,0.0
2017-03-13,0.0
2017-03-14,0.0
2017-03-15,5.205128205128205
2017-03-16,8.510574583567285
2017-03-17,0.0
2017-03-18,3.8170035560546514
2017-03-19,0.0
2017-03-20,0.0
2017-03-21,0.0
2017-03-22,0.0
2017-03-23,0.0
2017-03-24,0.0
2017-03-25,3.9350552124274754
2017-03-26,9.883773161145424
2017-03-27,0.0
2017-03-28,0.0
2017-03-29,0.0
2017-03-30,0.0
2017-03-31,0.0
2017-04-01,0.0
2017-04-02,0.0
2017-04-03,0.0
2017-04-04,0.0
2017-04-05,0.0
2017-04-06,6.846996069623807
2017-04-07,0.0
2017-04-08,0.0
2017-04-09,0.0
2017-04-10,0.0
2017-04-11,0.0
2017-04-12,0.0
2017-04-13,0.0
2017-04-14,0.0
2017-04-15,0.0
2017-04-16,0.0
2017-04-17,0.0
2017-04-18,0.0
2017-04-19,0.0
2017-04-20,0.0
2017-04-21,0.0
2017-04-22,0.0
2017-04-23,7.791409320606402
2017-04-24,0.0
2017-04-25,0.0
2017-04-26,0.0
2017-04-27,0.0
2017-04-28,0.0
2017-04-29,0.0
2017-04-30,0.0
2017-05-01,0.0
2017-05-02,0.0
2017-05-03,6.689593861126708
2017-05-04,0.0
2017-05-05,0.0
