date,secretary clinton benghazi
2016-05-01,0.0
2016-05-02,14.0
2016-05-03,0.0
2016-05-04,0.0
2016-05-05,0.0
2016-05-06,15.0
2016-05-07,0.0
2016-05-08,16.0
2016-05-09,0.0
2016-05-10,0.0
2016-05-11,41.0
2016-05-12,0.0
2016-05-13,0.0
2016-05-14,0.0
2016-05-15,16.0
2016-05-16,0.0
2016-05-17,0.0
2016-05-18,0.0
2016-05-19,0.0
2016-05-20,29.0
2016-05-21,0.0
2016-05-22,0.0
2016-05-23,0.0
2016-05-24,0.0
2016-05-25,0.0
2016-05-26,0.0
2016-05-27,0.0
2016-05-28,16.0
2016-05-29,0.0
2016-05-30,14.0
2016-05-31,0.0
2016-06-01,0.0
2016-06-02,14.0
2016-06-03,15.0
2016-06-04,0.0
2016-06-05,16.0
2016-06-06,28.0
2016-06-07,14.0
2016-06-08,56.0
2016-06-09,0.0
2016-06-10,29.0
2016-06-11,33.0
2016-06-12,0.0
2016-06-13,27.0
2016-06-14,0.0
2016-06-15,0.0
2016-06-16,0.0
2016-06-17,14.0
2016-06-18,0.0
2016-06-19,16.0
2016-06-20,0.0
2016-06-21,14.0
2016-06-22,0.0
2016-06-23,14.0
2016-06-24,0.0
2016-06-25,0.0
2016-06-26,16.0
2016-06-27,28.0
2016-06-28,14.0
2016-06-29,14.0
2016-06-30,0.0
2016-07-01,0.0
2016-07-02,17.0
2016-07-03,0.0
2016-07-04,30.0
2016-07-05,0.0
2016-07-06,15.0
2016-07-07,15.0
2016-07-08,0.0
2016-07-09,17.0
2016-07-10,0.0
2016-07-11,0.0
2016-07-12,0.0
2016-07-13,0.0
2016-07-14,28.0
2016-07-15,0.0
2016-07-16,0.0
2016-07-17,0.0
2016-07-18,0.0
2016-07-19,29.0
2016-07-20,28.0
2016-07-21,14.0
2016-07-22,0.0
2016-07-23,0.0
2016-07-24,17.0
2016-07-25,0.0
2016-07-26,14.0
2016-07-27,28.0
2016-07-28,14.0
2016-07-29,0.0
2016-07-30,51.0
2016-07-31,100.0
2016-08-01,0.0
2016-08-02,14.0
2016-08-03,14.0
2016-08-04,14.0
2016-08-05,0.0
2016-08-06,17.0
2016-08-07,17.0
2016-08-08,0.0
2016-08-09,14.0
2016-08-10,14.0
2016-08-11,0.0
2016-08-12,15.0
2016-08-13,17.0
2016-08-14,0.0
2016-08-15,0.0
2016-08-16,14.0
2016-08-17,0.0
2016-08-18,14.0
2016-08-19,30.0
2016-08-20,16.0
2016-08-21,0.0
2016-08-22,0.0
2016-08-23,0.0
2016-08-24,0.0
2016-08-25,14.0
2016-08-26,0.0
2016-08-27,0.0
2016-08-28,0.0
2016-08-29,0.0
2016-08-30,0.0
2016-08-31,0.0
2016-09-01,0.0
2016-09-02,29.0
2016-09-03,0.0
2016-09-04,0.0
2016-09-05,0.0
2016-09-06,0.0
2016-09-07,14.0
2016-09-08,14.0
2016-09-09,0.0
2016-09-10,0.0
2016-09-11,0.0
2016-09-12,0.0
2016-09-13,27.0
2016-09-14,0.0
2016-09-15,0.0
2016-09-16,14.0
2016-09-17,0.0
2016-09-18,15.0
2016-09-19,0.0
2016-09-20,13.0
2016-09-21,0.0
2016-09-22,0.0
2016-09-23,0.0
2016-09-24,16.0
2016-09-25,0.0
2016-09-26,13.0
2016-09-27,53.0
2016-09-28,13.0
2016-09-29,54.0
2016-09-30,28.0
2016-10-01,8.688796680497925
2016-10-02,7.5
2016-10-03,14.223374827109268
2016-10-04,13.0
2016-10-05,14.964038727524205
2016-10-06,0.0
2016-10-07,43.670124481327804
2016-10-08,16.188796680497923
2016-10-09,42.04910096818811
2016-10-10,43.170124481327804
2016-10-11,41.464038727524205
2016-10-12,49.92946058091286
2016-10-13,35.446749654218536
2016-10-14,34.72337482710927
2016-10-15,8.688796680497925
2016-10-16,41.066390041493776
2016-10-17,27.964038727524205
2016-10-18,13.740663900414937
2016-10-19,14.223374827109268
2016-10-20,29.187413554633473
2016-10-21,14.223374827109268
2016-10-22,33.566390041493776
2016-10-23,0.0
2016-10-24,7.240663900414938
2016-10-25,7.240663900414938
2016-10-26,13.0
2016-10-27,20.723374827109268
2016-10-28,14.223374827109268
2016-10-29,23.0
2016-10-30,0.0
2016-10-31,28.946749654218536
2016-11-01,35.946749654218536
2016-11-02,29.92807745504841
2016-11-03,0.0
2016-11-04,0.0
2016-11-05,17.37759336099585
2016-11-06,17.37759336099585
2016-11-07,58.890733056708164
2016-11-08,14.481327800829876
2016-11-09,96.54218533886583
2016-11-10,44.40940525587828
2016-11-11,47.30567081604426
2016-11-12,17.37759336099585
2016-11-13,0.0
2016-11-14,14.481327800829876
2016-11-15,14.481327800829876
2016-11-16,0.0
2016-11-17,0.0
2016-11-18,0.0
2016-11-19,17.37759336099585
2016-11-20,0.0
2016-11-21,14.481327800829876
2016-11-22,0.0
2016-11-23,0.0
2016-11-24,15.446749654218534
2016-11-25,0.0
2016-11-26,0.0
2016-11-27,0.0
2016-11-28,28.96265560165975
2016-11-29,0.0
2016-11-30,0.0
2016-12-01,0.0
2016-12-02,0.0
2016-12-03,0.0
2016-12-04,17.37759336099585
2016-12-05,0.0
2016-12-06,0.0
2016-12-07,0.0
2016-12-08,0.0
2016-12-09,0.0
2016-12-10,0.0
2016-12-11,0.0
2016-12-12,28.96265560165975
2016-12-13,0.0
2016-12-14,0.0
2016-12-15,0.0
2016-12-16,0.0
2016-12-17,0.0
2016-12-18,0.0
2016-12-19,0.0
2016-12-20,15.446749654218534
2016-12-21,0.0
2016-12-22,16.41217150760719
2016-12-23,0.0
2016-12-24,0.0
2016-12-25,0.0
2016-12-26,0.0
2016-12-27,0.0
2016-12-28,0.0
2016-12-29,0.0
2016-12-30,0.0
2016-12-31,0.0
2017-01-01,0.0
2017-01-02,0.0
2017-01-03,0.0
2017-01-04,28.96265560165975
2017-01-05,14.481327800829876
2017-01-06,15.446749654218534
2017-01-07,0.0
2017-01-08,0.0
2017-01-09,0.0
2017-01-10,0.0
2017-01-11,0.0
2017-01-12,0.0
2017-01-13,44.40940525587828
2017-01-14,16.41217150760719
2017-01-15,0.0
2017-01-16,0.0
2017-01-17,0.0
2017-01-18,0.0
2017-01-19,0.0
2017-01-20,0.0
2017-01-21,16.41217150760719
2017-01-22,16.41217150760719
2017-01-23,0.0
2017-01-24,0.0
2017-01-25,0.0
2017-01-26,0.0
2017-01-27,0.0
2017-01-28,0.0
2017-01-29,0.0
2017-01-30,0.0
2017-01-31,0.0
2017-02-01,0.0
2017-02-02,0.0
2017-02-03,0.0
2017-02-04,16.41217150760719
2017-02-05,16.41217150760719
2017-02-06,0.0
2017-02-07,0.0
2017-02-08,0.0
2017-02-09,0.0
2017-02-10,0.0
2017-02-11,0.0
2017-02-12,0.0
2017-02-13,0.0
2017-02-14,0.0
2017-02-15,0.0
2017-02-16,0.0
2017-02-17,14.481327800829876
2017-02-18,0.0
2017-02-19,0.0
2017-02-20,0.0
2017-02-21,0.0
2017-02-22,0.0
2017-02-23,0.0
2017-02-24,0.0
2017-02-25,0.0
2017-02-26,0.0
2017-02-27,0.0
2017-02-28,0.0
2017-03-01,12.945429397711555
2017-03-02,5.704765497296617
2017-03-03,0.0
2017-03-04,0.0
2017-03-05,0.0
2017-03-06,0.0
2017-03-07,6.7579529737206085
2017-03-08,0.0
2017-03-09,0.0
2017-03-10,0.0
2017-03-11,0.0
2017-03-12,0.0
2017-03-13,0.0
2017-03-14,0.0
2017-03-15,0.0
2017-03-16,0.0
2017-03-17,0.0
2017-03-18,14.823613730667672
2017-03-19,0.0
2017-03-20,7.240663900414938
2017-03-21,0.0
2017-03-22,0.0
2017-03-23,0.0
2017-03-24,0.0
2017-03-25,15.051804350559536
2017-03-26,6.7316232868100085
2017-03-27,0.0
2017-03-28,0.0
2017-03-29,0.0
2017-03-30,0.0
2017-03-31,6.047051427134415
2017-04-01,0.0
2017-04-02,13.691437193511883
2017-04-03,11.865912234376964
2017-04-04,0.0
2017-04-05,0.0
2017-04-06,0.0
2017-04-07,0.0
2017-04-08,0.0
2017-04-09,0.0
2017-04-10,0.0
2017-04-11,0.0
2017-04-12,0.0
2017-04-13,0.0
2017-04-14,0.0
2017-04-15,0.0
2017-04-16,0.0
2017-04-17,0.0
2017-04-18,0.0
2017-04-19,0.0
2017-04-20,0.0
2017-04-21,0.0
2017-04-22,0.0
2017-04-23,0.0
2017-04-24,0.0
2017-04-25,0.0
2017-04-26,22.81906198918647
2017-04-27,0.0
2017-04-28,0.0
2017-04-29,0.0
2017-04-30,0.0
2017-05-01,0.0
2017-05-02,0.0
2017-05-03,0.0
2017-05-04,0.0
2017-05-05,0.0
2017-05-06,0.0
2017-05-07,0.0
2017-05-08,0.0
2017-05-09,0.0
2017-05-10,11.6377216144851
2017-05-11,0.0
2017-05-12,12.09410285426883
2017-05-13,13.691437193511883
2017-05-14,0.0
2017-05-15,0.0
2017-05-16,0.0
2017-05-17,0.0
2017-05-18,0.0
2017-05-19,12.322293474160695
2017-05-20,0.0
2017-05-21,0.0
2017-05-22,0.0
2017-05-23,11.409530994593235
2017-05-24,0.0
2017-05-25,12.322293474160695
2017-05-26,0.0
2017-05-27,0.0
2017-05-28,0.0
2017-05-29,0.0
2017-05-30,11.865912234376964
2017-05-31,0.0
2017-06-01,0.0
2017-06-02,0.0
2017-06-03,0.0
