date,president obama travel
2016-05-01,4.852459016393443
2016-05-02,4.245901639344263
2016-05-03,4.043715846994536
2016-05-04,0.0
2016-05-05,4.245901639344263
2016-05-06,0.0
2016-05-07,0.0
2016-05-08,0.0
2016-05-09,0.0
2016-05-10,4.043715846994536
2016-05-11,0.0
2016-05-12,0.0
2016-05-13,4.245901639344263
2016-05-14,0.0
2016-05-15,0.0
2016-05-16,0.0
2016-05-17,0.0
2016-05-18,0.0
2016-05-19,0.0
2016-05-20,0.0
2016-05-21,0.0
2016-05-22,0.0
2016-05-23,0.0
2016-05-24,0.0
2016-05-25,4.144808743169399
2016-05-26,8.592896174863387
2016-05-27,0.0
2016-05-28,4.953551912568306
2016-05-29,0.0
2016-05-30,4.245901639344263
2016-05-31,4.144808743169399
2016-06-01,0.0
2016-06-02,0.0
2016-06-03,0.0
2016-06-04,0.0
2016-06-05,0.0
2016-06-06,0.0
2016-06-07,0.0
2016-06-08,0.0
2016-06-09,0.0
2016-06-10,0.0
2016-06-11,0.0
2016-06-12,0.0
2016-06-13,0.0
2016-06-14,0.0
2016-06-15,0.0
2016-06-16,4.245901639344263
2016-06-17,0.0
2016-06-18,0.0
2016-06-19,0.0
2016-06-20,4.043715846994536
2016-06-21,0.0
2016-06-22,0.0
2016-06-23,0.0
2016-06-24,4.3469945355191255
2016-06-25,0.0
2016-06-26,4.852459016393443
2016-06-27,4.144808743169399
2016-06-28,0.0
2016-06-29,0.0
2016-06-30,0.0
2016-07-01,0.0
2016-07-02,0.0
2016-07-03,10.10928961748634
2016-07-04,0.0
2016-07-05,0.0
2016-07-06,0.0
2016-07-07,0.0
2016-07-08,4.448087431693989
2016-07-09,0.0
2016-07-10,0.0
2016-07-11,0.0
2016-07-12,8.289617486338798
2016-07-13,0.0
2016-07-14,0.0
2016-07-15,4.3469945355191255
2016-07-16,0.0
2016-07-17,0.0
2016-07-18,4.245901639344263
2016-07-19,0.0
2016-07-20,0.0
2016-07-21,0.0
2016-07-22,0.0
2016-07-23,0.0
2016-07-24,0.0
2016-07-25,8.390710382513662
2016-07-26,0.0
2016-07-27,4.245901639344263
2016-07-28,0.0
2016-07-29,0.0
2016-07-30,0.0
2016-07-31,0.0
2016-08-01,0.0
2016-08-02,4.245901639344263
2016-08-03,0.0
2016-08-04,4.245901639344263
2016-08-05,0.0
2016-08-06,10.10928961748634
2016-08-07,0.0
2016-08-08,0.0
2016-08-09,0.0
2016-08-10,0.0
2016-08-11,4.3469945355191255
2016-08-12,4.3469945355191255
2016-08-13,0.0
2016-08-14,0.0
2016-08-15,0.0
2016-08-16,0.0
2016-08-17,0.0
2016-08-18,0.0
2016-08-19,4.448087431693989
2016-08-20,4.852459016393443
2016-08-21,0.0
2016-08-22,0.0
2016-08-23,0.0
2016-08-24,0.0
2016-08-25,0.0
2016-08-26,0.0
2016-08-27,0.0
2016-08-28,0.0
2016-08-29,0.0
2016-08-30,0.0
2016-08-31,0.0
2016-09-01,0.0
2016-09-02,0.0
2016-09-03,0.0
2016-09-04,0.0
2016-09-05,4.245901639344263
2016-09-06,4.043715846994536
2016-09-07,0.0
2016-09-08,0.0
2016-09-09,0.0
2016-09-10,0.0
2016-09-11,4.6502732240437155
2016-09-12,4.043715846994536
2016-09-13,0.0
2016-09-14,0.0
2016-09-15,4.144808743169399
2016-09-16,0.0
2016-09-17,4.751366120218579
2016-09-18,0.0
2016-09-19,0.0
2016-09-20,0.0
2016-09-21,0.0
2016-09-22,0.0
2016-09-23,0.0
2016-09-24,0.0
2016-09-25,0.0
2016-09-26,0.0
2016-09-27,3.942622950819672
2016-09-28,0.0
2016-09-29,0.0
2016-09-30,4.144808743169399
2016-10-01,0.0
2016-10-02,3.0
2016-10-03,0.0
2016-10-04,4.471311475409836
2016-10-05,0.0
2016-10-06,1.971311475409836
2016-10-07,0.0
2016-10-08,0.0
2016-10-09,0.0
2016-10-10,0.0
2016-10-11,4.471311475409836
2016-10-12,2.021857923497268
2016-10-13,0.0
2016-10-14,4.521857923497268
2016-10-15,0.0
2016-10-16,0.0
2016-10-17,0.0
2016-10-18,0.0
2016-10-19,0.0
2016-10-20,0.0
2016-10-21,0.0
2016-10-22,0.0
2016-10-23,4.549180327868853
2016-10-24,1.971311475409836
2016-10-25,0.0
2016-10-26,0.0
2016-10-27,0.0
2016-10-28,2.021857923497268
2016-10-29,3.0
2016-10-30,0.0
2016-10-31,2.5
2016-11-01,2.5
2016-11-02,10.0
2016-11-03,5.0
2016-11-04,5.0
2016-11-05,0.0
2016-11-06,0.0
2016-11-07,5.0
2016-11-08,19.0
2016-11-09,4.0
2016-11-10,10.0
2016-11-11,5.0
2016-11-12,0.0
2016-11-13,5.0
2016-11-14,0.0
2016-11-15,9.0
2016-11-16,5.0
2016-11-17,5.0
2016-11-18,5.0
2016-11-19,5.0
2016-11-20,5.0
2016-11-21,5.0
2016-11-22,0.0
2016-11-23,0.0
2016-11-24,0.0
2016-11-25,0.0
2016-11-26,0.0
2016-11-27,0.0
2016-11-28,5.0
2016-11-29,0.0
2016-11-30,5.0
2016-12-01,9.0
2016-12-02,10.0
2016-12-03,0.0
2016-12-04,0.0
2016-12-05,0.0
2016-12-06,0.0
2016-12-07,0.0
2016-12-08,0.0
2016-12-09,0.0
2016-12-10,0.0
2016-12-11,0.0
2016-12-12,0.0
2016-12-13,0.0
2016-12-14,0.0
2016-12-15,0.0
2016-12-16,0.0
2016-12-17,6.0
2016-12-18,0.0
2016-12-19,0.0
2016-12-20,5.0
2016-12-21,0.0
2016-12-22,0.0
2016-12-23,0.0
2016-12-24,0.0
2016-12-25,6.0
2016-12-26,0.0
2016-12-27,0.0
2016-12-28,0.0
2016-12-29,0.0
2016-12-30,0.0
2016-12-31,0.0
2017-01-01,0.0
2017-01-02,0.0
2017-01-03,0.0
2017-01-04,5.0
2017-01-05,0.0
2017-01-06,0.0
2017-01-07,5.0
2017-01-08,5.0
2017-01-09,0.0
2017-01-10,0.0
2017-01-11,9.0
2017-01-12,9.0
2017-01-13,0.0
2017-01-14,0.0
2017-01-15,5.0
2017-01-16,0.0
2017-01-17,9.0
2017-01-18,9.0
2017-01-19,14.0
2017-01-20,42.0
2017-01-21,16.0
2017-01-22,16.0
2017-01-23,9.0
2017-01-24,0.0
2017-01-25,5.0
2017-01-26,0.0
2017-01-27,5.0
2017-01-28,0.0
2017-01-29,21.0
2017-01-30,100.0
2017-01-31,96.0
2017-02-01,41.0
2017-02-02,18.0
2017-02-03,5.0
2017-02-04,42.0
2017-02-05,25.0
2017-02-06,9.0
2017-02-07,18.0
2017-02-08,9.0
2017-02-09,23.0
2017-02-10,47.0
2017-02-11,5.0
2017-02-12,16.0
2017-02-13,4.0
2017-02-14,0.0
2017-02-15,5.0
2017-02-16,9.0
2017-02-17,0.0
2017-02-18,11.0
2017-02-19,21.0
2017-02-20,23.0
2017-02-21,9.0
2017-02-22,5.0
2017-02-23,9.0
2017-02-24,5.0
2017-02-25,5.0
2017-02-26,0.0
2017-02-27,5.0
2017-02-28,5.0
2017-03-01,3.8105726872246697
2017-03-02,7.121145374449339
2017-03-03,1.3629955947136565
2017-03-04,7.008370044052864
2017-03-05,0.0
2017-03-06,1.3105726872246697
2017-03-07,1.3105726872246697
2017-03-08,1.3105726872246697
2017-03-09,2.0
2017-03-10,5.862995594713657
2017-03-11,0.0
2017-03-12,2.988105726872247
2017-03-13,3.3105726872246697
2017-03-14,3.3105726872246697
2017-03-15,3.931718061674009
2017-03-16,9.12114537444934
2017-03-17,6.544493392070485
2017-03-18,7.008370044052864
2017-03-19,12.742290748898679
2017-03-20,3.3105726872246697
2017-03-21,3.3105726872246697
2017-03-22,3.3105726872246697
2017-03-23,5.802643171806167
2017-03-24,9.193832599118943
2017-03-25,1.5726872246696035
2017-03-26,0.0
2017-03-27,1.939647577092511
2017-03-28,2.6211453744493394
2017-03-29,0.0
2017-03-30,3.8629955947136567
2017-03-31,0.0
2017-04-01,4.020264317180617
2017-04-02,6.290748898678414
2017-04-03,2.725991189427313
2017-04-04,2.725991189427313
2017-04-05,2.725991189427313
2017-04-06,2.725991189427313
2017-04-07,2.8308370044052866
2017-04-08,6.290748898678414
2017-04-09,0.0
2017-04-10,2.725991189427313
2017-04-11,4.088986784140969
2017-04-12,5.451982378854626
2017-04-13,2.8308370044052866
2017-04-14,3.0405286343612334
2017-04-15,3.2502202643171807
2017-04-16,3.2502202643171807
2017-04-17,5.661674008810573
2017-04-18,0.0
2017-04-19,2.6211453744493394
2017-04-20,2.725991189427313
2017-04-21,2.8308370044052866
2017-04-22,3.145374449339207
2017-04-23,3.0405286343612334
2017-04-24,2.725991189427313
2017-04-25,2.6211453744493394
2017-04-26,2.6211453744493394
2017-04-27,3.9841409691629956
2017-04-28,2.725991189427313
2017-04-29,3.145374449339207
2017-04-30,0.0
2017-05-01,0.0
2017-05-02,0.0
2017-05-03,0.0
2017-05-04,5.347136563876652
2017-05-05,4.193832599118943
2017-05-06,0.0
2017-05-07,0.0
2017-05-08,7.968281938325991
2017-05-09,0.0
2017-05-10,0.0
2017-05-11,0.0
2017-05-12,2.725991189427313
2017-05-13,0.0
2017-05-14,0.0
2017-05-15,0.0
2017-05-16,0.0
2017-05-17,2.6211453744493394
2017-05-18,2.725991189427313
2017-05-19,2.8308370044052866
2017-05-20,3.145374449339207
2017-05-21,0.0
2017-05-22,0.0
2017-05-23,0.0
2017-05-24,0.0
2017-05-25,4.193832599118943
2017-05-26,0.0
2017-05-27,3.2502202643171807
2017-05-28,0.0
2017-05-29,2.8308370044052866
2017-05-30,2.725991189427313
2017-05-31,0.0
2017-06-01,2.725991189427313
2017-06-02,2.8308370044052866
2017-06-03,0.0
