date,trump scandal
2016-05-01,2.0
2016-05-02,4.0
2016-05-03,2.0
2016-05-04,6.0
2016-05-05,8.0
2016-05-06,9.0
2016-05-07,10.0
2016-05-08,4.0
2016-05-09,7.0
2016-05-10,5.0
2016-05-11,4.0
2016-05-12,4.0
2016-05-13,8.0
2016-05-14,4.0
2016-05-15,5.0
2016-05-16,4.0
2016-05-17,4.0
2016-05-18,5.0
2016-05-19,2.0
2016-05-20,3.0
2016-05-21,1.0
2016-05-22,4.0
2016-05-23,1.0
2016-05-24,3.0
2016-05-25,2.0
2016-05-26,2.0
2016-05-27,3.0
2016-05-28,3.0
2016-05-29,3.0
2016-05-30,2.0
2016-05-31,3.0
2016-06-01,3.0
2016-06-02,5.0
2016-06-03,2.0
2016-06-04,3.0
2016-06-05,2.0
2016-06-06,2.0
2016-06-07,3.0
2016-06-08,6.0
2016-06-09,4.0
2016-06-10,4.0
2016-06-11,4.0
2016-06-12,3.0
2016-06-13,2.0
2016-06-14,1.0
2016-06-15,2.0
2016-06-16,4.0
2016-06-17,1.0
2016-06-18,2.0
2016-06-19,3.0
2016-06-20,2.0
2016-06-21,3.0
2016-06-22,3.0
2016-06-23,4.0
2016-06-24,3.0
2016-06-25,5.0
2016-06-26,1.0
2016-06-27,3.0
2016-06-28,4.0
2016-06-29,3.0
2016-06-30,4.0
2016-07-01,4.0
2016-07-02,5.0
2016-07-03,3.0
2016-07-04,2.0
2016-07-05,5.0
2016-07-06,7.0
2016-07-07,2.0
2016-07-08,1.0
2016-07-09,1.0
2016-07-10,2.0
2016-07-11,2.0
2016-07-12,1.0
2016-07-13,2.0
2016-07-14,2.0
2016-07-15,2.0
2016-07-16,2.0
2016-07-17,1.0
2016-07-18,2.0
2016-07-19,14.0
2016-07-20,10.0
2016-07-21,7.0
2016-07-22,12.0
2016-07-23,7.0
2016-07-24,6.0
2016-07-25,9.0
2016-07-26,10.0
2016-07-27,8.0
2016-07-28,8.0
2016-07-29,8.0
2016-07-30,6.0
2016-07-31,8.0
2016-08-01,8.0
2016-08-02,8.0
2016-08-03,7.0
2016-08-04,6.0
2016-08-05,5.0
2016-08-06,3.0
2016-08-07,5.0
2016-08-08,4.0
2016-08-09,3.0
2016-08-10,3.0
2016-08-11,4.0
2016-08-12,0.0
2016-08-13,3.0
2016-08-14,2.0
2016-08-15,4.0
2016-08-16,2.0
2016-08-17,2.0
2016-08-18,2.0
2016-08-19,4.0
2016-08-20,4.0
2016-08-21,1.0
2016-08-22,3.0
2016-08-23,3.0
2016-08-24,7.0
2016-08-25,4.0
2016-08-26,4.0
2016-08-27,3.0
2016-08-28,3.0
2016-08-29,3.0
2016-08-30,5.0
2016-08-31,4.0
2016-09-01,3.0
2016-09-02,2.0
2016-09-03,3.0
2016-09-04,4.0
2016-09-05,3.0
2016-09-06,5.0
2016-09-07,5.0
2016-09-08,4.0
2016-09-09,5.0
2016-09-10,3.0
2016-09-11,4.0
2016-09-12,4.0
2016-09-13,4.0
2016-09-14,8.0
2016-09-15,3.0
2016-09-16,6.0
2016-09-17,5.0
2016-09-18,2.0
2016-09-19,1.0
2016-09-20,4.0
2016-09-21,5.0
2016-09-22,3.0
2016-09-23,3.0
2016-09-24,3.0
2016-09-25,2.0
2016-09-26,7.0
2016-09-27,14.0
2016-09-28,8.0
2016-09-29,9.0
2016-09-30,12.0
2016-10-01,10.5
2016-10-02,9.5
2016-10-03,6.0
2016-10-04,8.0
2016-10-05,4.5
2016-10-06,4.5
2016-10-07,12.5
2016-10-08,92.0
2016-10-09,100.0
2016-10-10,75.5
2016-10-11,34.5
2016-10-12,22.5
2016-10-13,25.0
2016-10-14,21.5
2016-10-15,20.5
2016-10-16,13.5
2016-10-17,11.5
2016-10-18,13.5
2016-10-19,8.5
2016-10-20,15.0
2016-10-21,7.5
2016-10-22,6.5
2016-10-23,7.0
2016-10-24,7.5
2016-10-25,10.0
2016-10-26,8.0
2016-10-27,7.5
2016-10-28,12.0
2016-10-29,15.0
2016-10-30,18.0
2016-10-31,17.0
2016-11-01,17.0
2016-11-02,18.0
2016-11-03,20.0
2016-11-04,15.0
2016-11-05,20.0
2016-11-06,18.0
2016-11-07,18.0
2016-11-08,20.0
2016-11-09,66.0
2016-11-10,35.0
2016-11-11,25.0
2016-11-12,18.0
2016-11-13,12.0
2016-11-14,8.0
2016-11-15,9.0
2016-11-16,9.0
2016-11-17,9.0
2016-11-18,7.0
2016-11-19,7.0
2016-11-20,7.0
2016-11-21,5.0
2016-11-22,5.0
2016-11-23,5.0
2016-11-24,2.0
2016-11-25,4.0
2016-11-26,3.0
2016-11-27,5.0
2016-11-28,3.0
2016-11-29,3.0
2016-11-30,4.0
2016-12-01,4.0
2016-12-02,2.0
2016-12-03,3.0
2016-12-04,2.0
2016-12-05,3.0
2016-12-06,3.0
2016-12-07,3.0
2016-12-08,2.0
2016-12-09,4.0
2016-12-10,2.0
2016-12-11,5.0
2016-12-12,4.0
2016-12-13,2.0
2016-12-14,2.0
2016-12-15,3.0
2016-12-16,4.0
2016-12-17,4.0
2016-12-18,3.0
2016-12-19,2.0
2016-12-20,2.0
2016-12-21,3.0
2016-12-22,1.0
2016-12-23,2.0
2016-12-24,2.0
2016-12-25,4.0
2016-12-26,3.0
2016-12-27,3.0
2016-12-28,2.0
2016-12-29,2.0
2016-12-30,2.0
2016-12-31,2.0
2017-01-01,3.0
2017-01-02,3.0
2017-01-03,2.0
2017-01-04,2.0
2017-01-05,2.0
2017-01-06,2.0
2017-01-07,2.0
2017-01-08,2.0
2017-01-09,4.0
2017-01-10,5.0
2017-01-11,80.0
2017-01-12,58.0
2017-01-13,25.0
2017-01-14,18.0
2017-01-15,31.0
2017-01-16,20.0
2017-01-17,13.0
2017-01-18,9.0
2017-01-19,11.0
2017-01-20,23.0
2017-01-21,20.0
2017-01-22,14.0
2017-01-23,12.0
2017-01-24,7.0
2017-01-25,11.0
2017-01-26,8.0
2017-01-27,9.0
2017-01-28,10.0
2017-01-29,8.0
2017-01-30,9.0
2017-01-31,7.0
2017-02-01,5.0
2017-02-02,3.0
2017-02-03,7.0
2017-02-04,5.0
2017-02-05,4.0
2017-02-06,4.0
2017-02-07,5.0
2017-02-08,4.0
2017-02-09,4.0
2017-02-10,6.0
2017-02-11,5.0
2017-02-12,6.0
2017-02-13,4.0
2017-02-14,10.0
2017-02-15,58.0
2017-02-16,15.0
2017-02-17,10.0
2017-02-18,8.0
2017-02-19,6.0
2017-02-20,7.0
2017-02-21,7.0
2017-02-22,3.0
2017-02-23,3.0
2017-02-24,4.0
2017-02-25,5.0
2017-02-26,5.0
2017-02-27,4.0
2017-02-28,5.0
2017-03-01,3.0933081998114984
2017-03-02,5.459000942507069
2017-03-03,5.579641847313855
2017-03-04,8.672950047125354
2017-03-05,5.579641847313855
2017-03-06,10.052309142318567
2017-03-07,5.610744580584354
2017-03-08,5.352026390197926
2017-03-09,4.959000942507069
2017-03-10,5.048539114043356
2017-03-11,4.169180018850142
2017-03-12,3.624410933081998
2017-03-13,3.017436380772856
2017-03-14,3.1691800188501413
2017-03-15,6.414231856738926
2017-03-16,3.3967954759660697
2017-03-17,5.307257304429783
2017-03-18,5.610744580584354
2017-03-19,4.852026390197926
2017-03-20,3.8209236569274267
2017-03-21,5.155513666352498
2017-03-22,4.472667295004713
2017-03-23,5.079641847313855
2017-03-24,6.838360037700283
2017-03-25,5.610744580584354
2017-03-26,4.093308199811498
2017-03-27,3.8967954759660697
2017-03-28,3.4726672950047126
2017-03-29,4.472667295004713
2017-03-30,4.852026390197926
2017-03-31,4.503770028275213
2017-04-01,5.76248821866164
2017-04-02,3.4901036757775685
2017-04-03,4.400565504241282
2017-04-04,4.855796418473139
2017-04-05,5.0075400565504244
2017-04-06,4.097078228086711
2017-04-07,5.311027332704995
2017-04-08,4.097078228086711
2017-04-09,4.097078228086711
2017-04-10,3.945334590009425
2017-04-11,4.097078228086711
2017-04-12,3.1866163996229973
2017-04-13,3.1866163996229973
2017-04-14,3.034872761545712
2017-04-15,2.883129123468426
2017-04-16,2.124410933081998
2017-04-17,4.400565504241282
2017-04-18,2.5796418473138547
2017-04-19,1.820923656927427
2017-04-20,3.7935909519321394
2017-04-21,3.034872761545712
2017-04-22,2.124410933081998
2017-04-23,2.276154571159284
2017-04-24,2.276154571159284
2017-04-25,2.124410933081998
2017-04-26,3.034872761545712
2017-04-27,2.4278982092365693
2017-04-28,4.248821866163996
2017-04-29,2.276154571159284
2017-04-30,2.124410933081998
2017-05-01,2.124410933081998
2017-05-02,4.400565504241282
2017-05-03,2.124410933081998
2017-05-04,3.1866163996229973
2017-05-05,2.124410933081998
2017-05-06,5.614514608859566
2017-05-07,3.7935909519321394
2017-05-08,1.820923656927427
2017-05-09,3.3383600377002827
2017-05-10,7.738925541941565
2017-05-11,6.52497643732328
2017-05-12,6.3732327992459945
2017-05-13,4.855796418473139
2017-05-14,4.097078228086711
2017-05-15,2.7313854853911406
2017-05-16,7.283694627709708
2017-05-17,15.174363807728557
2017-05-18,14.567389255419416
2017-05-19,12.442978322337417
2017-05-20,7.435438265786994
2017-05-21,5.766258246936852
2017-05-22,5.462770970782281
2017-05-23,7.587181903864279
2017-05-24,3.945334590009425
2017-05-25,4.704052780395853
2017-05-26,4.400565504241282
2017-05-27,4.704052780395853
2017-05-28,3.1866163996229973
2017-05-29,4.248821866163996
2017-05-30,3.1866163996229973
2017-05-31,4.855796418473139
2017-06-01,5.311027332704995
2017-06-02,12.139491046182847
2017-06-03,7.283694627709708
