date,president obama dinner
2016-11-09,0.1856060606060606
2016-11-10,0.20454545454545456
2016-11-11,0.11363636363636365
2016-11-12,0.07196969696969698
2016-11-13,0.03409090909090909
2016-11-14,0.0
2016-11-15,0.030303030303030304
2016-11-16,0.045454545454545456
2016-11-17,0.06439393939393939
2016-11-18,0.03409090909090909
2016-11-19,0.07196969696969698
2016-11-20,0.0
2016-11-21,0.0
2016-11-22,0.030303030303030304
2016-11-23,0.030303030303030304
2016-11-24,0.06439393939393939
2016-11-25,0.03409090909090909
2016-11-26,0.07196969696969698
2016-11-27,0.03409090909090909
2016-11-28,0.045454545454545456
2016-11-29,0.030303030303030304
2016-11-30,0.030303030303030304
2016-12-01,0.045454545454545456
2016-12-02,0.0
2016-12-03,0.05303030303030303
2016-12-04,0.0
2016-12-05,0.030303030303030304
2016-12-06,0.0
2016-12-07,0.030303030303030304
2016-12-08,0.030303030303030304
2016-12-09,0.03409090909090909
2016-12-10,0.0
2016-12-11,0.07196969696969698
2016-12-12,0.030303030303030304
2016-12-13,0.030303030303030304
2016-12-14,0.06060606060606061
2016-12-15,0.0
2016-12-16,0.03409090909090909
2016-12-17,0.03787878787878788
2016-12-18,0.0
2016-12-19,0.045454545454545456
2016-12-20,0.030303030303030304
2016-12-21,0.03409090909090909
2016-12-22,0.0
2016-12-23,0.0
2016-12-24,0.03787878787878788
2016-12-25,0.0
2016-12-26,0.03409090909090909
2016-12-27,0.03409090909090909
2016-12-28,0.03409090909090909
2016-12-29,0.06818181818181818
2016-12-30,0.0
2016-12-31,0.07575757575757576
2017-01-01,0.0
2017-01-02,0.0
2017-01-03,0.0
2017-01-04,0.0
2017-01-05,0.045454545454545456
2017-01-06,0.030303030303030304
2017-01-07,0.0
2017-01-08,0.03409090909090909
2017-01-09,0.0
2017-01-10,0.0
2017-01-11,0.10606060606060606
2017-01-12,0.030303030303030304
2017-01-13,0.07954545454545454
2017-01-14,0.0
2017-01-15,0.03409090909090909
2017-01-16,0.045454545454545456
2017-01-17,0.0
2017-01-18,0.0
2017-01-19,0.030303030303030304
2017-01-20,0.1553030303030303
2017-01-21,0.03409090909090909
2017-01-22,0.13636363636363635
2017-01-23,0.0
2017-01-24,0.045454545454545456
2017-01-25,0.030303030303030304
2017-01-26,0.09090909090909091
2017-01-27,0.06439393939393939
2017-01-28,0.05303030303030303
2017-01-29,0.0
2017-01-30,0.06060606060606061
2017-01-31,0.0
2017-02-01,0.030303030303030304
2017-02-02,0.030303030303030304
2017-02-03,0.0
2017-02-04,0.0
2017-02-05,0.03409090909090909
2017-02-06,0.06060606060606061
2017-02-07,0.045454545454545456
2017-02-08,0.0
2017-02-09,0.045454545454545456
2017-02-10,0.030303030303030304
2017-02-11,0.03409090909090909
2017-02-12,0.06818181818181818
2017-02-13,0.030303030303030304
2017-02-14,0.0
2017-02-15,0.0
2017-02-16,0.0
2017-02-17,0.0
2017-02-18,0.06818181818181818
2017-02-19,0.0
2017-02-20,0.0
2017-02-21,0.030303030303030304
2017-02-22,0.0
2017-02-23,0.0
2017-02-24,0.0
2017-02-25,0.07196969696969698
2017-02-26,0.3787878787878788
2017-02-27,0.06060606060606061
2017-02-28,0.07575757575757576
2017-03-01,0.015151515151515152
2017-03-02,0.0
2017-03-03,0.0
2017-03-04,0.0
2017-03-05,0.0
2017-03-06,0.0
2017-03-07,0.02992962484525539
2017-03-08,0.044707734538995625
2017-03-09,0.060501776198934265
2017-03-10,0.0
2017-03-11,0.08647532159965551
2017-03-12,0.03439367027288874
2017-03-13,0.02992962484525539
2017-03-14,0.0
2017-03-15,0.04535026104741911
2017-03-16,0.015151515151515152
2017-03-17,0.0
2017-03-18,0.03439367027288874
2017-03-19,0.03439367027288874
2017-03-20,0.04535026104741911
2017-03-21,0.0
2017-03-22,0.02992962484525539
2017-03-23,0.04508113999677054
2017-03-24,0.031214677862102365
2017-03-25,0.0
2017-03-26,0.017045454545454544
2017-03-27,0.02992962484525539
2017-03-28,0.02992962484525539
2017-03-29,0.015420636202163725
2017-03-30,0.0
2017-03-31,0.031214677862102365
2017-04-01,0.01799074223585768
2017-04-02,0.0
2017-04-03,0.0
2017-04-04,0.0
2017-04-05,0.03084127240432745
2017-04-06,0.03084127240432745
2017-04-07,0.032126325421174426
2017-04-08,0.03598148447171536
2017-04-09,0.0
2017-04-10,0.03084127240432745
2017-04-11,0.03084127240432745
2017-04-12,0.0
2017-04-13,0.032126325421174426
2017-04-14,0.03598148447171536
2017-04-15,0.0
2017-04-16,0.03726653748856234
2017-04-17,0.0334113784380214
2017-04-18,0.0
2017-04-19,0.0
2017-04-20,0.0
2017-04-21,0.0
2017-04-22,0.0
2017-04-23,0.0
2017-04-24,0.03084127240432745
2017-04-25,0.03084127240432745
2017-04-26,0.029556219387480473
2017-04-27,0.03084127240432745
2017-04-28,0.032126325421174426
2017-04-29,0.03598148447171536
2017-04-30,0.1285053016846977
2017-05-01,0.0668227568760428
2017-05-02,0.0
2017-05-03,0.0
2017-05-04,0.0
2017-05-05,0.0
2017-05-06,0.0
2017-05-07,0.0
2017-05-08,0.03084127240432745
2017-05-09,0.046261908606491174
2017-05-10,0.0
2017-05-11,0.03084127240432745
2017-05-12,0.0
2017-05-13,0.0
2017-05-14,0.0732480219602777
2017-05-15,0.0
2017-05-16,0.0
2017-05-17,0.0
2017-05-18,0.03084127240432745
2017-05-19,0.0
2017-05-20,0.0
2017-05-21,0.03598148447171536
2017-05-22,0.0
2017-05-23,0.0
2017-05-24,0.0
2017-05-25,0.032126325421174426
2017-05-26,0.0334113784380214
2017-05-27,0.0
2017-05-28,0.0
2017-05-29,0.0
2017-05-30,0.03084127240432745
2017-05-31,0.0
2017-06-01,0.0
2017-06-02,0.032126325421174426
2017-06-03,0.03726653748856234
