date,election meddling
2017-02-23,0.0
2017-02-24,0.0
2017-02-25,0.0
2017-02-26,19.0
2017-02-27,0.0
2017-02-28,17.0
2017-03-01,0.0
2017-03-02,4.23037323037323
2017-03-03,25.183397683397683
2017-03-04,4.898326898326898
2017-03-05,13.898326898326898
2017-03-06,4.007722007722007
2017-03-07,8.238095238095237
2017-03-08,4.23037323037323
2017-03-09,16.46074646074646
2017-03-10,12.73037323037323
2017-03-11,4.898326898326898
2017-03-12,0.0
2017-03-13,0.0
2017-03-14,4.23037323037323
2017-03-15,8.0
2017-03-16,12.23037323037323
2017-03-17,4.453024453024453
2017-03-18,9.0
2017-03-19,9.574002574002574
2017-03-20,16.46074646074646
2017-03-21,36.468468468468465
2017-03-22,14.234234234234233
2017-03-23,0.0
2017-03-24,4.453024453024453
2017-03-25,0.0
2017-03-26,9.796653796653796
2017-03-27,12.23037323037323
2017-03-28,20.23037323037323
2017-03-29,4.23037323037323
2017-03-30,42.366795366795365
2017-03-31,39.265122265122265
2017-04-01,0.0
2017-04-02,9.796653796653796
2017-04-03,16.92149292149292
2017-04-04,8.46074646074646
2017-04-05,8.46074646074646
2017-04-06,0.0
2017-04-07,8.906048906048905
2017-04-08,0.0
2017-04-09,10.241956241956242
2017-04-10,8.46074646074646
2017-04-11,0.0
2017-04-12,0.0
2017-04-13,0.0
2017-04-14,0.0
2017-04-15,0.0
2017-04-16,0.0
2017-04-17,0.0
2017-04-18,24.936936936936934
2017-04-19,0.0
2017-04-20,0.0
2017-04-21,0.0
2017-04-22,9.796653796653796
2017-04-23,0.0
2017-04-24,8.46074646074646
2017-04-25,8.46074646074646
2017-04-26,0.0
2017-04-27,0.0
2017-04-28,0.0
2017-04-29,0.0
2017-04-30,0.0
2017-05-01,0.0
2017-05-02,8.46074646074646
2017-05-03,16.92149292149292
2017-05-04,12.913770913770913
2017-05-05,17.366795366795365
2017-05-06,9.796653796653796
2017-05-07,0.0
2017-05-08,0.0
2017-05-09,16.92149292149292
2017-05-10,25.827541827541825
2017-05-11,42.3037323037323
2017-05-12,0.0
2017-05-13,20.038610038610038
2017-05-14,10.241956241956242
2017-05-15,8.46074646074646
2017-05-16,8.46074646074646
2017-05-17,25.38223938223938
2017-05-18,12.913770913770913
2017-05-19,13.359073359073358
2017-05-20,10.241956241956242
2017-05-21,20.038610038610038
2017-05-22,0.0
2017-05-23,12.913770913770913
2017-05-24,17.366795366795365
2017-05-25,0.0
2017-05-26,0.0
2017-05-27,10.241956241956242
2017-05-28,10.687258687258687
2017-05-29,8.906048906048905
2017-05-30,8.46074646074646
2017-05-31,12.913770913770913
2017-06-01,26.27284427284427
2017-06-02,8.906048906048905
2017-06-03,10.241956241956242
