date,donald trump money laundering
2017-02-22,0.0
2017-02-23,26.0
2017-02-24,27.0
2017-02-25,0.0
2017-02-26,0.0
2017-02-27,0.0
2017-02-28,26.0
2017-03-01,27.648514851485146
2017-03-02,0.0
2017-03-03,24.019801980198018
2017-03-04,25.86138613861386
2017-03-05,0.0
2017-03-06,22.178217821782177
2017-03-07,19.777227722772277
2017-03-08,22.599009900990097
2017-03-09,0.0
2017-03-10,23.519801980198018
2017-03-11,14.5
2017-03-12,11.782178217821782
2017-03-13,0.0
2017-03-14,45.27722772277228
2017-03-15,10.099009900990099
2017-03-16,0.0
2017-03-17,13.5
2017-03-18,0.0
2017-03-19,0.0
2017-03-20,0.0
2017-03-21,10.099009900990099
2017-03-22,10.099009900990099
2017-03-23,0.0
2017-03-24,0.0
2017-03-25,0.0
2017-03-26,41.28217821782178
2017-03-27,12.5
2017-03-28,32.698019801980195
2017-03-29,23.519801980198018
2017-03-30,34.039603960396036
2017-03-31,0.0
2017-04-01,0.0
2017-04-02,0.0
2017-04-03,21.03960396039604
2017-04-04,0.0
2017-04-05,0.0
2017-04-06,0.0
2017-04-07,0.0
2017-04-08,0.0
2017-04-09,0.0
2017-04-10,0.0
2017-04-11,0.0
2017-04-12,0.0
2017-04-13,0.0
2017-04-14,23.564356435643564
2017-04-15,0.0
2017-04-16,0.0
2017-04-17,21.88118811881188
2017-04-18,0.0
2017-04-19,0.0
2017-04-20,0.0
2017-04-21,0.0
2017-04-22,0.0
2017-04-23,0.0
2017-04-24,0.0
2017-04-25,0.0
2017-04-26,0.0
2017-04-27,0.0
2017-04-28,0.0
2017-04-29,24.405940594059405
2017-04-30,0.0
2017-05-01,0.0
2017-05-02,20.198019801980198
2017-05-03,20.198019801980198
2017-05-04,0.0
2017-05-05,0.0
2017-05-06,24.405940594059405
2017-05-07,0.0
2017-05-08,0.0
2017-05-09,20.198019801980198
2017-05-10,21.03960396039604
2017-05-11,31.138613861386137
2017-05-12,21.03960396039604
2017-05-13,84.15841584158416
2017-05-14,24.405940594059405
2017-05-15,20.198019801980198
2017-05-16,20.198019801980198
2017-05-17,20.198019801980198
2017-05-18,41.23762376237624
2017-05-19,21.03960396039604
2017-05-20,0.0
2017-05-21,0.0
2017-05-22,0.0
2017-05-23,0.0
2017-05-24,21.03960396039604
2017-05-25,0.0
2017-05-26,22.722772277227723
2017-05-27,0.0
2017-05-28,0.0
2017-05-29,0.0
2017-05-30,0.0
2017-05-31,0.0
2017-06-01,21.03960396039604
2017-06-02,21.88118811881188
2017-06-03,0.0
