date,obama strength
2016-05-01,0.0
2016-05-02,0.0
2016-05-03,21.67883211678832
2016-05-04,21.67883211678832
2016-05-05,22.91762252346194
2016-05-06,0.0
2016-05-07,0.0
2016-05-08,26.633993743482794
2016-05-09,0.0
2016-05-10,0.0
2016-05-11,21.67883211678832
2016-05-12,22.298227320125132
2016-05-13,22.91762252346194
2016-05-14,26.014598540145986
2016-05-15,25.39520333680918
2016-05-16,0.0
2016-05-17,21.67883211678832
2016-05-18,21.67883211678832
2016-05-19,22.298227320125132
2016-05-20,0.0
2016-05-21,0.0
2016-05-22,26.014598540145986
2016-05-23,0.0
2016-05-24,22.298227320125132
2016-05-25,22.298227320125132
2016-05-26,22.91762252346194
2016-05-27,0.0
2016-05-28,0.0
2016-05-29,0.0
2016-05-30,0.0
2016-05-31,0.0
2016-06-01,0.0
2016-06-02,22.91762252346194
2016-06-03,23.537017726798748
2016-06-04,0.0
2016-06-05,26.014598540145986
2016-06-06,22.298227320125132
2016-06-07,21.67883211678832
2016-06-08,0.0
2016-06-09,22.91762252346194
2016-06-10,23.537017726798748
2016-06-11,26.014598540145986
2016-06-12,0.0
2016-06-13,32.82794577685089
2016-06-14,0.0
2016-06-15,0.0
2016-06-16,0.0
2016-06-17,22.91762252346194
2016-06-18,0.0
2016-06-19,0.0
2016-06-20,0.0
2016-06-21,22.298227320125132
2016-06-22,0.0
2016-06-23,22.298227320125132
2016-06-24,23.537017726798748
2016-06-25,0.0
2016-06-26,0.0
2016-06-27,22.298227320125132
2016-06-28,0.0
2016-06-29,22.298227320125132
2016-06-30,0.0
2016-07-01,0.0
2016-07-02,0.0
2016-07-03,0.0
2016-07-04,0.0
2016-07-05,0.0
2016-07-06,0.0
2016-07-07,0.0
2016-07-08,0.0
2016-07-09,27.253388946819605
2016-07-10,26.633993743482794
2016-07-11,22.91762252346194
2016-07-12,0.0
2016-07-13,22.298227320125132
2016-07-14,22.91762252346194
2016-07-15,0.0
2016-07-16,0.0
2016-07-17,27.253388946819605
2016-07-18,0.0
2016-07-19,57.603753910323256
2016-07-20,0.0
2016-07-21,22.91762252346194
2016-07-22,0.0
2016-07-23,26.633993743482794
2016-07-24,0.0
2016-07-25,0.0
2016-07-26,34.066736183524505
2016-07-27,22.91762252346194
2016-07-28,45.83524504692388
2016-07-29,47.69343065693431
2016-07-30,0.0
2016-07-31,26.633993743482794
2016-08-01,0.0
2016-08-02,22.91762252346194
2016-08-03,0.0
2016-08-04,0.0
2016-08-05,0.0
2016-08-06,0.0
2016-08-07,40.260688216892596
2016-08-08,0.0
2016-08-09,22.298227320125132
2016-08-10,22.91762252346194
2016-08-11,0.0
2016-08-12,0.0
2016-08-13,0.0
2016-08-14,0.0
2016-08-15,23.537017726798748
2016-08-16,0.0
2016-08-17,22.298227320125132
2016-08-18,22.91762252346194
2016-08-19,46.45464025026069
2016-08-20,26.014598540145986
2016-08-21,26.014598540145986
2016-08-22,22.298227320125132
2016-08-23,0.0
2016-08-24,0.0
2016-08-25,0.0
2016-08-26,23.537017726798748
2016-08-27,0.0
2016-08-28,0.0
2016-08-29,43.35766423357664
2016-08-30,21.67883211678832
2016-08-31,22.298227320125132
2016-09-01,0.0
2016-09-02,22.91762252346194
2016-09-03,26.014598540145986
2016-09-04,0.0
2016-09-05,45.83524504692388
2016-09-06,21.67883211678832
2016-09-07,21.67883211678832
2016-09-08,0.0
2016-09-09,0.0
2016-09-10,0.0
2016-09-11,0.0
2016-09-12,0.0
2016-09-13,21.67883211678832
2016-09-14,0.0
2016-09-15,0.0
2016-09-16,0.0
2016-09-17,0.0
2016-09-18,24.775808133472367
2016-09-19,21.059436913451513
2016-09-20,31.58915537017727
2016-09-21,0.0
2016-09-22,21.67883211678832
2016-09-23,22.91762252346194
2016-09-24,25.39520333680918
2016-09-25,24.775808133472367
2016-09-26,0.0
2016-09-27,0.0
2016-09-28,0.0
2016-09-29,43.35766423357664
2016-09-30,0.0
2016-10-01,30.387904066736183
2016-10-02,0.0
2016-10-03,20.529718456725757
2016-10-04,40.74973931178311
2016-10-05,25.529718456725757
2016-10-06,20.83941605839416
2016-10-07,10.5
2016-10-08,0.0
2016-10-09,0.0
2016-10-10,32.17883211678832
2016-10-11,20.5
2016-10-12,0.0
2016-10-13,26.10427528675704
2016-10-14,0.0
2016-10-15,35.88790406673618
2016-10-16,47.96611053180396
2016-10-17,10.529718456725757
2016-10-18,25.48488008342023
2016-10-19,30.529718456725757
2016-10-20,50.96976016684046
2016-10-21,21.33941605839416
2016-10-22,12.07820646506778
2016-10-23,0.0
2016-10-24,0.0
2016-10-25,20.22002085505735
2016-10-26,20.22002085505735
2016-10-27,0.0
2016-10-28,0.0
2016-10-29,24.387904066736183
2016-10-30,24.387904066736183
2016-10-31,21.33941605839416
2016-11-01,21.33941605839416
2016-11-02,20.0
2016-11-03,20.0
2016-11-04,0.0
2016-11-05,0.0
2016-11-06,0.0
2016-11-07,20.0
2016-11-08,39.0
2016-11-09,55.0
2016-11-10,100.0
2016-11-11,0.0
2016-11-12,23.0
2016-11-13,23.0
2016-11-14,39.0
2016-11-15,20.0
2016-11-16,20.0
2016-11-17,0.0
2016-11-18,0.0
2016-11-19,0.0
2016-11-20,23.0
2016-11-21,0.0
2016-11-22,20.0
2016-11-23,20.0
2016-11-24,21.0
2016-11-25,0.0
2016-11-26,0.0
2016-11-27,0.0
2016-11-28,19.0
2016-11-29,19.0
2016-11-30,20.0
2016-12-01,20.0
2016-12-02,21.0
2016-12-03,23.0
2016-12-04,23.0
2016-12-05,0.0
2016-12-06,0.0
2016-12-07,0.0
2016-12-08,41.0
2016-12-09,32.0
2016-12-10,0.0
2016-12-11,24.0
2016-12-12,20.0
2016-12-13,39.0
2016-12-14,20.0
2016-12-15,20.0
2016-12-16,21.0
2016-12-17,24.0
2016-12-18,46.0
2016-12-19,20.0
2016-12-20,20.0
2016-12-21,21.0
2016-12-22,0.0
2016-12-23,22.0
2016-12-24,0.0
2016-12-25,26.0
2016-12-26,23.0
2016-12-27,0.0
2016-12-28,32.0
2016-12-29,21.0
2016-12-30,33.0
2016-12-31,0.0
2017-01-01,25.0
2017-01-02,0.0
2017-01-03,0.0
2017-01-04,0.0
2017-01-05,20.0
2017-01-06,41.0
2017-01-07,0.0
2017-01-08,0.0
2017-01-09,38.0
2017-01-10,19.0
2017-01-11,58.0
2017-01-12,19.0
2017-01-13,20.0
2017-01-14,22.0
2017-01-15,22.0
2017-01-16,19.0
2017-01-17,19.0
2017-01-18,19.0
2017-01-19,39.0
2017-01-20,69.0
2017-01-21,67.0
2017-01-22,22.0
2017-01-23,38.0
2017-01-24,67.0
2017-01-25,19.0
2017-01-26,0.0
2017-01-27,20.0
