date,hillary clinton
2016-05-01,1.6320000000000001
2016-05-02,1.9040000000000001
2016-05-03,2.176
2016-05-04,4.896000000000001
2016-05-05,4.08
2016-05-06,3.2640000000000002
2016-05-07,2.4480000000000004
2016-05-08,2.176
2016-05-09,2.176
2016-05-10,2.176
2016-05-11,2.72
2016-05-12,2.176
2016-05-13,1.9040000000000001
2016-05-14,1.6320000000000001
2016-05-15,1.9040000000000001
2016-05-16,1.9040000000000001
2016-05-17,2.176
2016-05-18,2.4480000000000004
2016-05-19,2.176
2016-05-20,1.9040000000000001
2016-05-21,1.6320000000000001
2016-05-22,1.9040000000000001
2016-05-23,1.6320000000000001
2016-05-24,1.9040000000000001
2016-05-25,2.72
2016-05-26,2.992
2016-05-27,2.4480000000000004
2016-05-28,1.9040000000000001
2016-05-29,2.176
2016-05-30,1.9040000000000001
2016-05-31,1.9040000000000001
2016-06-01,1.9040000000000001
2016-06-02,2.4480000000000004
2016-06-03,2.72
2016-06-04,2.176
2016-06-05,2.176
2016-06-06,2.4480000000000004
2016-06-07,5.712000000000001
2016-06-08,10.608
2016-06-09,6.256
2016-06-10,7.072000000000001
2016-06-11,5.168
2016-06-12,4.08
2016-06-13,3.2640000000000002
2016-06-14,2.992
2016-06-15,2.992
2016-06-16,2.4480000000000004
2016-06-17,2.176
2016-06-18,1.9040000000000001
2016-06-19,2.176
2016-06-20,1.9040000000000001
2016-06-21,2.176
2016-06-22,2.4480000000000004
2016-06-23,2.176
2016-06-24,2.176
2016-06-25,1.9040000000000001
2016-06-26,1.9040000000000001
2016-06-27,2.4480000000000004
2016-06-28,2.4480000000000004
2016-06-29,2.4480000000000004
2016-06-30,1.9040000000000001
2016-07-01,2.176
2016-07-02,2.72
2016-07-03,3.2640000000000002
2016-07-04,2.176
2016-07-05,5.712000000000001
2016-07-06,5.44
2016-07-07,4.08
2016-07-08,4.6240000000000006
2016-07-09,2.992
2016-07-10,2.176
2016-07-11,1.9040000000000001
2016-07-12,3.2640000000000002
2016-07-13,3.2640000000000002
2016-07-14,2.992
2016-07-15,2.992
2016-07-16,2.992
2016-07-17,2.992
2016-07-18,2.72
2016-07-19,4.08
2016-07-20,4.6240000000000006
2016-07-21,4.6240000000000006
2016-07-22,7.888000000000001
2016-07-23,8.704
2016-07-24,5.168
2016-07-25,5.712000000000001
2016-07-26,8.704
2016-07-27,13.328000000000001
2016-07-28,10.88
2016-07-29,23.664
2016-07-30,8.432
2016-07-31,6.256
2016-08-01,5.168
2016-08-02,4.352
2016-08-03,4.08
2016-08-04,4.08
2016-08-05,3.8080000000000003
2016-08-06,3.2640000000000002
2016-08-07,3.2640000000000002
2016-08-08,3.5360000000000005
2016-08-09,3.8080000000000003
2016-08-10,4.08
2016-08-11,3.8080000000000003
2016-08-12,3.5360000000000005
2016-08-13,3.2640000000000002
2016-08-14,2.72
2016-08-15,2.72
2016-08-16,2.72
2016-08-17,2.72
2016-08-18,2.72
2016-08-19,2.72
2016-08-20,2.72
2016-08-21,2.992
2016-08-22,4.352
2016-08-23,4.08
2016-08-24,3.2640000000000002
2016-08-25,3.2640000000000002
2016-08-26,3.2640000000000002
2016-08-27,2.992
2016-08-28,2.72
2016-08-29,2.4480000000000004
2016-08-30,2.72
2016-08-31,2.4480000000000004
2016-09-01,2.72
2016-09-02,2.4480000000000004
2016-09-03,2.4480000000000004
2016-09-04,2.4480000000000004
2016-09-05,2.4480000000000004
2016-09-06,3.5360000000000005
2016-09-07,3.2640000000000002
2016-09-08,4.08
2016-09-09,3.2640000000000002
2016-09-10,2.992
2016-09-11,15.504000000000001
2016-09-12,22.032
2016-09-13,14.144000000000002
2016-09-14,9.520000000000001
2016-09-15,7.072000000000001
2016-09-16,5.712000000000001
2016-09-17,4.6240000000000006
2016-09-18,3.8080000000000003
2016-09-19,3.8080000000000003
2016-09-20,3.8080000000000003
2016-09-21,4.08
2016-09-22,4.6240000000000006
2016-09-23,4.896000000000001
2016-09-24,3.8080000000000003
2016-09-25,3.8080000000000003
2016-09-26,5.712000000000001
2016-09-27,27.200000000000003
2016-09-28,8.704
2016-09-29,6.256
2016-09-30,5.712000000000001
2016-10-01,4.948
2016-10-02,4.812
2016-10-03,4.948
2016-10-04,4.812
2016-10-05,4.948
2016-10-06,3.904
2016-10-07,3.904
2016-10-08,6.128
2016-10-09,6.9
2016-10-10,17.476
2016-10-11,8.852
2016-10-12,7.308
2016-10-13,7.172000000000001
2016-10-14,6.9
2016-10-15,5.992
2016-10-16,5.992
2016-10-17,5.856
2016-10-18,5.992
2016-10-19,6.128
2016-10-20,15.116
2016-10-21,8.216000000000001
2016-10-22,6.128
2016-10-23,5.856
2016-10-24,5.856
2016-10-25,5.992
2016-10-26,7.0360000000000005
2016-10-27,6.764
2016-10-28,11.348
2016-10-29,12.892
2016-10-30,9.896
2016-10-31,10.032
2016-11-01,9.896
2016-11-02,11.0
2016-11-03,11.0
2016-11-04,11.0
2016-11-05,11.0
2016-11-06,13.0
2016-11-07,17.0
2016-11-08,32.0
2016-11-09,100.0
2016-11-10,22.0
2016-11-11,13.0
2016-11-12,9.0
2016-11-13,7.0
2016-11-14,6.0
2016-11-15,5.0
2016-11-16,4.0
2016-11-17,5.0
2016-11-18,4.0
2016-11-19,3.0
2016-11-20,3.0
2016-11-21,3.0
2016-11-22,2.0
2016-11-23,3.0
2016-11-24,3.0
2016-11-25,2.0
2016-11-26,2.0
2016-11-27,2.0
2016-11-28,2.0
2016-11-29,2.0
2016-11-30,2.0
2016-12-01,2.0
2016-12-02,2.0
2016-12-03,2.0
2016-12-04,2.0
2016-12-05,1.0
2016-12-06,2.0
2016-12-07,1.0
2016-12-08,1.0
2016-12-09,1.0
2016-12-10,1.0
2016-12-11,1.0
2016-12-12,1.0
2016-12-13,1.0
2016-12-14,1.0
2016-12-15,1.0
2016-12-16,1.0
