date,basket of deplorables
2016-05-01,0.0
2016-05-02,0.0
2016-05-03,0.0
2016-05-04,0.0
2016-05-05,0.0
2016-05-06,0.0
2016-05-07,0.0
2016-05-08,0.0
2016-05-09,0.0
2016-05-10,0.0
2016-05-11,0.0
2016-05-12,0.0
2016-05-13,0.0
2016-05-14,0.0
2016-05-15,0.0
2016-05-16,0.0
2016-05-17,0.0
2016-05-18,0.0
2016-05-19,0.0
2016-05-20,0.0
2016-05-21,0.0
2016-05-22,0.0
2016-05-23,0.0
2016-05-24,0.0
2016-05-25,0.0
2016-05-26,0.0
2016-05-27,0.0
2016-05-28,0.0
2016-05-29,0.0
2016-05-30,0.0
2016-05-31,0.0
2016-06-01,0.0
2016-06-02,0.0
2016-06-03,0.0
2016-06-04,0.0
2016-06-05,0.0
2016-06-06,0.0
2016-06-07,0.0
2016-06-08,0.0
2016-06-09,0.0
2016-06-10,0.0
2016-06-11,0.0
2016-06-12,0.0
2016-06-13,0.0
2016-06-14,0.0
2016-06-15,0.0
2016-06-16,0.0
2016-06-17,0.0
2016-06-18,0.0
2016-06-19,0.0
2016-06-20,0.0
2016-06-21,0.0
2016-06-22,0.0
2016-06-23,0.0
2016-06-24,0.0
2016-06-25,0.0
2016-06-26,0.0
2016-06-27,0.0
2016-06-28,0.0
2016-06-29,0.0
2016-06-30,0.0
2016-07-01,0.0
2016-07-02,0.0
2016-07-03,0.0
2016-07-04,0.0
2016-07-05,0.0
2016-07-06,0.0
2016-07-07,0.0
2016-07-08,0.0
2016-07-09,0.0
2016-07-10,0.0
2016-07-11,0.0
2016-07-12,0.0
2016-07-13,0.0
2016-07-14,0.0
2016-07-15,0.0
2016-07-16,0.0
2016-07-17,0.0
2016-07-18,0.0
2016-07-19,0.0
2016-07-20,0.0
2016-07-21,0.0
2016-07-22,0.0
2016-07-23,0.0
2016-07-24,0.0
2016-07-25,0.0
2016-07-26,0.0
2016-07-27,0.0
2016-07-28,0.0
2016-07-29,0.0
2016-07-30,0.0
2016-07-31,0.0
2016-08-01,0.0
2016-08-02,0.0
2016-08-03,0.0
2016-08-04,0.0
2016-08-05,0.0
2016-08-06,0.0
2016-08-07,0.0
2016-08-08,0.0
2016-08-09,0.0
2016-08-10,0.0
2016-08-11,0.0
2016-08-12,0.0
2016-08-13,0.0
2016-08-14,0.0
2016-08-15,0.0
2016-08-16,0.0
2016-08-17,0.0
2016-08-18,0.0
2016-08-19,0.0
2016-08-20,0.0
2016-08-21,0.0
2016-08-22,0.0
2016-08-23,0.0
2016-08-24,0.0
2016-08-25,0.0
2016-08-26,0.0
2016-08-27,0.0
2016-08-28,0.0
2016-08-29,0.0
2016-08-30,0.0
2016-08-31,0.0
2016-09-01,0.0
2016-09-02,0.0
2016-09-03,0.0
2016-09-04,0.0
2016-09-05,0.0
2016-09-06,0.0
2016-09-07,0.0
2016-09-08,0.0
2016-09-09,0.0
2016-09-10,100.0
2016-09-11,69.0
2016-09-12,45.0
2016-09-13,47.0
2016-09-14,20.0
2016-09-15,16.0
2016-09-16,13.0
2016-09-17,9.0
2016-09-18,6.0
2016-09-19,5.0
2016-09-20,4.0
2016-09-21,5.0
2016-09-22,3.0
2016-09-23,2.0
2016-09-24,2.0
2016-09-25,2.0
2016-09-26,5.0
2016-09-27,5.0
2016-09-28,4.0
2016-09-29,2.0
2016-09-30,2.0
2016-10-01,2.86996336996337
2016-10-02,2.0476190476190474
2016-10-03,1.5476190476190477
2016-10-04,2.128205128205128
2016-10-05,7.545787545787546
2016-10-06,3.6923076923076925
2016-10-07,3.1923076923076925
2016-10-08,4.353479853479854
2016-10-09,2.7893772893772892
2016-10-10,5.498168498168498
2016-10-11,4.595238095238095
2016-10-12,2.86996336996337
2016-10-13,3.9340659340659343
2016-10-14,3.531135531135531
2016-10-15,2.3058608058608057
2016-10-16,2.031135531135531
2016-10-17,2.2893772893772892
2016-10-18,1.7252747252747254
2016-10-19,1.6282051282051282
2016-10-20,2.2893772893772892
2016-10-21,2.86996336996337
2016-10-22,1.6446886446886446
2016-10-23,1.8864468864468864
2016-10-24,2.5476190476190474
2016-10-25,2.2893772893772892
2016-10-26,1.7252747252747254
2016-10-27,1.4670329670329672
2016-10-28,2.36996336996337
2016-10-29,3.031135531135531
2016-10-30,2.0476190476190474
2016-10-31,1.86996336996337
2016-11-01,1.3864468864468864
2016-11-02,1.4505494505494507
2016-11-03,3.384615384615385
2016-11-04,1.9340659340659343
2016-11-05,1.9340659340659343
2016-11-06,1.2893772893772895
2016-11-07,3.545787545787546
2016-11-08,4.512820512820513
2016-11-09,16.117216117216117
2016-11-10,8.21978021978022
2016-11-11,9.670329670329672
2016-11-12,7.736263736263737
2016-11-13,4.835164835164836
2016-11-14,4.512820512820513
2016-11-15,3.2234432234432235
2016-11-16,2.73992673992674
2016-11-17,1.9340659340659343
2016-11-18,1.772893772893773
2016-11-19,1.4505494505494507
2016-11-20,1.6117216117216118
2016-11-21,1.6117216117216118
2016-11-22,0.8058608058608059
2016-11-23,0.9670329670329672
2016-11-24,1.1282051282051282
2016-11-25,1.2893772893772895
2016-11-26,1.2893772893772895
2016-11-27,3.384615384615385
2016-11-28,1.1282051282051282
2016-11-29,1.2893772893772895
2016-11-30,1.1282051282051282
2016-12-01,0.9670329670329672
2016-12-02,0.9670329670329672
2016-12-03,0.9670329670329672
2016-12-04,1.1282051282051282
2016-12-05,0.6446886446886447
2016-12-06,1.1282051282051282
2016-12-07,0.9670329670329672
2016-12-08,0.9670329670329672
2016-12-09,0.8058608058608059
2016-12-10,1.4505494505494507
2016-12-11,0.32234432234432236
2016-12-12,1.6117216117216118
2016-12-13,2.417582417582418
2016-12-14,2.0952380952380953
2016-12-15,1.6117216117216118
2016-12-16,1.6117216117216118
2016-12-17,1.772893772893773
2016-12-18,0.8058608058608059
2016-12-19,1.6117216117216118
2016-12-20,1.1282051282051282
2016-12-21,1.6117216117216118
2016-12-22,0.8058608058608059
2016-12-23,1.4505494505494507
2016-12-24,0.4835164835164836
2016-12-25,0.6446886446886447
2016-12-26,1.2893772893772895
2016-12-27,1.1282051282051282
2016-12-28,0.8058608058608059
2016-12-29,0.6446886446886447
2016-12-30,0.8058608058608059
2016-12-31,0.8058608058608059
2017-01-01,0.9670329670329672
2017-01-02,0.6446886446886447
2017-01-03,0.6446886446886447
2017-01-04,0.4835164835164836
2017-01-05,0.6446886446886447
2017-01-06,0.32234432234432236
2017-01-07,0.32234432234432236
2017-01-08,0.8058608058608059
2017-01-09,0.9670329670329672
2017-01-10,0.6446886446886447
2017-01-11,0.4835164835164836
2017-01-12,0.8058608058608059
2017-01-13,0.9670329670329672
2017-01-14,0.6446886446886447
2017-01-15,0.32234432234432236
