date,muslim ban
2016-05-01,3.0
2016-05-02,10.0
2016-05-03,5.0
2016-05-04,7.0
2016-05-05,15.0
2016-05-06,20.0
2016-05-07,20.0
2016-05-08,20.0
2016-05-09,14.0
2016-05-10,28.0
2016-05-11,26.0
2016-05-12,41.0
2016-05-13,25.0
2016-05-14,8.0
2016-05-15,22.0
2016-05-16,21.0
2016-05-17,9.0
2016-05-18,9.0
2016-05-19,2.0
2016-05-20,7.0
2016-05-21,6.0
2016-05-22,6.0
2016-05-23,7.0
2016-05-24,7.0
2016-05-25,7.0
2016-05-26,5.0
2016-05-27,13.0
2016-05-28,3.0
2016-05-29,0.0
2016-05-30,2.0
2016-05-31,5.0
2016-06-01,2.0
2016-06-02,10.0
2016-06-03,8.0
2016-06-04,9.0
2016-06-05,31.0
2016-06-06,17.0
2016-06-07,2.0
2016-06-08,5.0
2016-06-09,5.0
2016-06-10,13.0
2016-06-11,6.0
2016-06-12,28.0
2016-06-13,82.0
2016-06-14,100.0
2016-06-15,66.0
2016-06-16,44.0
2016-06-17,27.0
2016-06-18,26.0
2016-06-19,6.0
2016-06-20,21.0
2016-06-21,21.0
2016-06-22,10.0
2016-06-23,12.0
2016-06-24,15.0
2016-06-25,23.0
2016-06-26,23.0
2016-06-27,17.0
2016-06-28,62.0
2016-06-29,12.0
2016-06-30,27.0
2016-07-01,5.0
2016-07-02,12.0
2016-07-03,9.0
2016-07-04,18.0
2016-07-05,7.0
2016-07-06,10.0
2016-07-07,8.0
2016-07-08,8.0
2016-07-09,6.0
2016-07-10,6.0
2016-07-11,12.0
2016-07-12,2.0
2016-07-13,0.0
2016-07-14,20.0
2016-07-15,30.0
2016-07-16,14.0
2016-07-17,32.0
2016-07-18,34.0
2016-07-19,27.0
2016-07-20,17.0
2016-07-21,12.0
2016-07-22,28.0
2016-07-23,17.0
2016-07-24,17.0
2016-07-25,29.0
2016-07-26,12.0
2016-07-27,15.0
2016-07-28,15.0
2016-07-29,36.0
2016-07-30,20.0
2016-07-31,12.0
2016-08-01,36.0
2016-08-02,22.0
2016-08-03,15.0
2016-08-04,17.0
2016-08-05,3.0
2016-08-06,9.0
2016-08-07,29.0
