date,wikileaks emails
2016-05-01,1.0
2016-05-02,0.0
2016-05-03,0.0
2016-05-04,0.0
2016-05-05,0.0
2016-05-06,0.0
2016-05-07,0.0
2016-05-08,0.0
2016-05-09,0.0
2016-05-10,1.0
2016-05-11,0.0
2016-05-12,0.0
2016-05-13,0.0
2016-05-14,0.0
2016-05-15,0.0
2016-05-16,0.0
2016-05-17,0.0
2016-05-18,0.0
2016-05-19,0.0
2016-05-20,0.0
2016-05-21,0.0
2016-05-22,0.0
2016-05-23,0.0
2016-05-24,0.0
2016-05-25,0.0
2016-05-26,0.0
2016-05-27,0.0
2016-05-28,0.0
2016-05-29,0.0
2016-05-30,0.0
2016-05-31,0.0
2016-06-01,1.0
2016-06-02,1.0
2016-06-03,1.0
2016-06-04,0.0
2016-06-05,0.0
2016-06-06,1.0
2016-06-07,0.0
2016-06-08,1.0
2016-06-09,0.0
2016-06-10,1.0
2016-06-11,1.0
2016-06-12,1.0
2016-06-13,4.0
2016-06-14,9.0
2016-06-15,7.0
2016-06-16,5.0
2016-06-17,5.0
2016-06-18,7.0
2016-06-19,7.0
2016-06-20,4.0
2016-06-21,3.0
2016-06-22,7.0
2016-06-23,4.0
2016-06-24,3.0
2016-06-25,3.0
2016-06-26,3.0
2016-06-27,2.0
2016-06-28,2.0
2016-06-29,2.0
2016-06-30,3.0
2016-07-01,2.0
2016-07-02,1.0
2016-07-03,3.0
2016-07-04,6.0
2016-07-05,26.0
2016-07-06,13.0
2016-07-07,8.0
2016-07-08,5.0
2016-07-09,2.0
2016-07-10,2.0
2016-07-11,4.0
2016-07-12,2.0
2016-07-13,1.0
2016-07-14,1.0
2016-07-15,1.0
2016-07-16,1.0
2016-07-17,1.0
2016-07-18,0.0
2016-07-19,5.0
2016-07-20,15.0
2016-07-21,2.0
2016-07-22,17.0
2016-07-23,85.0
2016-07-24,87.0
2016-07-25,100.0
2016-07-26,69.0
2016-07-27,45.0
2016-07-28,33.0
2016-07-29,21.0
2016-07-30,13.0
2016-07-31,8.0
2016-08-01,10.0
2016-08-02,11.0
2016-08-03,7.0
2016-08-04,7.0
2016-08-05,5.0
2016-08-06,4.0
2016-08-07,5.0
2016-08-08,6.0
2016-08-09,6.0
2016-08-10,10.0
2016-08-11,9.0
2016-08-12,5.0
2016-08-13,5.0
2016-08-14,3.0
2016-08-15,4.0
2016-08-16,4.0
2016-08-17,4.0
2016-08-18,2.0
