date,traitor
2016-05-01,30.0
2016-05-02,31.0
2016-05-03,25.0
2016-05-04,24.0
2016-05-05,26.0
2016-05-06,30.0
2016-05-07,25.0
2016-05-08,19.0
2016-05-09,22.0
2016-05-10,27.0
2016-05-11,26.0
2016-05-12,32.0
2016-05-13,52.0
2016-05-14,50.0
2016-05-15,45.0
2016-05-16,36.0
2016-05-17,35.0
2016-05-18,32.0
2016-05-19,41.0
2016-05-20,42.0
2016-05-21,55.0
2016-05-22,35.0
2016-05-23,27.0
2016-05-24,28.0
2016-05-25,29.0
2016-05-26,31.0
2016-05-27,25.0
2016-05-28,28.0
2016-05-29,39.0
2016-05-30,25.0
2016-05-31,25.0
2016-06-01,22.0
2016-06-02,21.0
2016-06-03,22.0
2016-06-04,23.0
2016-06-05,23.0
2016-06-06,22.0
2016-06-07,17.0
2016-06-08,20.0
2016-06-09,17.0
2016-06-10,23.0
2016-06-11,26.0
2016-06-12,26.0
2016-06-13,18.0
2016-06-14,21.0
2016-06-15,23.0
2016-06-16,21.0
2016-06-17,24.0
2016-06-18,26.0
2016-06-19,26.0
2016-06-20,19.0
2016-06-21,18.0
2016-06-22,22.0
2016-06-23,22.0
2016-06-24,24.0
2016-06-25,24.0
2016-06-26,27.0
2016-06-27,23.0
2016-06-28,28.0
2016-06-29,32.0
2016-06-30,46.0
2016-07-01,81.0
2016-07-02,100.0
2016-07-03,89.0
2016-07-04,72.0
2016-07-05,57.0
2016-07-06,53.0
2016-07-07,52.0
2016-07-08,76.0
2016-07-09,94.0
2016-07-10,65.0
2016-07-11,45.0
2016-07-12,41.0
2016-07-13,42.0
2016-07-14,36.0
2016-07-15,44.0
2016-07-16,64.0
2016-07-17,51.0
2016-07-18,38.0
2016-07-19,33.0
2016-07-20,34.0
2016-07-21,33.0
2016-07-22,32.0
2016-07-23,40.0
2016-07-24,38.0
2016-07-25,27.0
2016-07-26,31.0
2016-07-27,34.0
2016-07-28,33.0
2016-07-29,26.0
2016-07-30,39.0
2016-07-31,29.0
2016-08-01,22.0
2016-08-02,21.0
2016-08-03,27.0
2016-08-04,22.0
2016-08-05,24.0
2016-08-06,22.0
2016-08-07,24.0
2016-08-08,20.0
2016-08-09,20.0
2016-08-10,17.0
2016-08-11,19.0
2016-08-12,27.0
2016-08-13,30.0
2016-08-14,29.0
2016-08-15,23.0
2016-08-16,22.0
2016-08-17,24.0
2016-08-18,23.0
2016-08-19,22.0
2016-08-20,25.0
2016-08-21,27.0
2016-08-22,20.0
2016-08-23,20.0
2016-08-24,20.0
2016-08-25,21.0
2016-08-26,23.0
2016-08-27,30.0
2016-08-28,66.0
2016-08-29,41.0
2016-08-30,31.0
2016-08-31,30.0
2016-09-01,21.0
2016-09-02,26.0
2016-09-03,32.0
2016-09-04,53.0
2016-09-05,61.0
2016-09-06,46.0
2016-09-07,37.0
2016-09-08,37.0
2016-09-09,33.0
2016-09-10,49.0
2016-09-11,46.0
2016-09-12,30.0
2016-09-13,29.0
2016-09-14,30.0
2016-09-15,34.0
2016-09-16,35.0
2016-09-17,48.0
2016-09-18,42.0
2016-09-19,32.0
2016-09-20,28.0
2016-09-21,25.0
2016-09-22,29.0
2016-09-23,28.0
2016-09-24,37.0
2016-09-25,35.0
2016-09-26,21.0
2016-09-27,20.0
2016-09-28,25.0
2016-09-29,21.0
2016-09-30,26.0
2016-10-01,31.44757033248082
2016-10-02,29.194373401534527
2016-10-03,22.395780051150894
2016-10-04,21.395780051150894
2016-10-05,21.01918158567775
2016-10-06,23.27237851662404
2016-10-07,22.85677749360614
2016-10-08,37.239769820971865
2016-10-09,31.986572890025577
2016-10-10,25.395780051150894
2016-10-11,26.27237851662404
2016-10-12,26.064578005115088
2016-10-13,23.187979539641944
2016-10-14,24.687979539641944
2016-10-15,31.07097186700767
2016-10-16,32.65537084398977
2016-10-17,27.35677749360614
2016-10-18,28.817774936061383
2016-10-19,30.694373401534527
2016-10-20,28.817774936061383
2016-10-21,29.60997442455243
2016-10-22,45.20716112531969
2016-10-23,39.28516624040921
2016-10-24,28.317774936061383
2016-10-25,26.441176470588236
2016-10-26,22.603580562659847
2016-10-27,24.980179028132994
2016-10-28,30.194373401534527
2016-10-29,35.99296675191816
2016-10-30,37.20076726342711
2016-10-31,25.64897698209719
2016-11-01,22.687979539641944
2016-11-02,22.207161125319693
2016-11-03,22.207161125319693
2016-11-04,24.544757033248082
2016-11-05,29.804347826086957
2016-11-06,33.310741687979544
2016-11-07,22.79156010230179
2016-11-08,18.70076726342711
2016-11-09,19.285166240409207
2016-11-10,18.70076726342711
2016-11-11,22.207161125319693
2016-11-12,30.388746803069054
2016-11-13,35.06393861892583
2016-11-14,22.79156010230179
2016-11-15,18.70076726342711
2016-11-16,21.622762148337596
2016-11-17,23.960358056265985
2016-11-18,26.88235294117647
2016-11-19,28.635549872122763
2016-11-20,30.97314578005115
2016-11-21,24.544757033248082
2016-11-22,22.207161125319693
2016-11-23,23.375959079283888
2016-11-24,22.79156010230179
2016-11-25,21.0383631713555
2016-11-26,27.466751918158568
2016-11-27,27.466751918158568
2016-11-28,21.0383631713555
2016-11-29,23.375959079283888
2016-11-30,22.79156010230179
2016-12-01,25.12915601023018
2016-12-02,25.713554987212277
2016-12-03,29.804347826086957
2016-12-04,32.14194373401534
2016-12-05,25.713554987212277
2016-12-06,23.375959079283888
2016-12-07,22.207161125319693
2016-12-08,23.375959079283888
2016-12-09,22.79156010230179
2016-12-10,26.88235294117647
2016-12-11,30.97314578005115
2016-12-12,29.804347826086957
2016-12-13,23.375959079283888
2016-12-14,23.960358056265985
2016-12-15,26.297953964194374
2016-12-16,22.79156010230179
2016-12-17,31.55754475703325
2016-12-18,28.051150895140665
2016-12-19,21.0383631713555
2016-12-20,25.12915601023018
2016-12-21,23.375959079283888
2016-12-22,24.544757033248082
2016-12-23,27.466751918158568
2016-12-24,29.804347826086957
2016-12-25,29.21994884910486
2016-12-26,24.544757033248082
2016-12-27,25.713554987212277
2016-12-28,26.88235294117647
2016-12-29,28.635549872122763
2016-12-30,26.88235294117647
2016-12-31,30.388746803069054
2017-01-01,30.388746803069054
2017-01-02,25.713554987212277
2017-01-03,22.207161125319693
2017-01-04,24.544757033248082
2017-01-05,22.79156010230179
2017-01-06,24.544757033248082
2017-01-07,29.804347826086957
2017-01-08,29.804347826086957
2017-01-09,21.622762148337596
2017-01-10,19.869565217391305
2017-01-11,27.466751918158568
2017-01-12,23.375959079283888
2017-01-13,24.544757033248082
2017-01-14,27.466751918158568
2017-01-15,28.051150895140665
2017-01-16,22.79156010230179
2017-01-17,26.88235294117647
2017-01-18,27.466751918158568
2017-01-19,24.544757033248082
2017-01-20,23.375959079283888
2017-01-21,22.79156010230179
2017-01-22,28.051150895140665
2017-01-23,19.869565217391305
2017-01-24,21.622762148337596
2017-01-25,19.869565217391305
2017-01-26,29.804347826086957
2017-01-27,25.12915601023018
2017-01-28,25.12915601023018
2017-01-29,23.960358056265985
2017-01-30,21.622762148337596
2017-01-31,24.544757033248082
2017-02-01,19.869565217391305
2017-02-02,21.0383631713555
2017-02-03,22.79156010230179
2017-02-04,27.466751918158568
2017-02-05,25.713554987212277
2017-02-06,19.869565217391305
2017-02-07,18.70076726342711
2017-02-08,21.622762148337596
2017-02-09,22.79156010230179
2017-02-10,25.713554987212277
2017-02-11,28.051150895140665
2017-02-12,23.960358056265985
2017-02-13,23.375959079283888
2017-02-14,22.207161125319693
2017-02-15,26.297953964194374
2017-02-16,26.88235294117647
2017-02-17,23.375959079283888
2017-02-18,23.960358056265985
2017-02-19,25.713554987212277
2017-02-20,22.79156010230179
2017-02-21,21.622762148337596
2017-02-22,18.70076726342711
2017-02-23,19.869565217391305
2017-02-24,23.375959079283888
2017-02-25,21.0383631713555
2017-02-26,21.0383631713555
2017-02-27,17.531969309462916
2017-02-28,18.70076726342711
2017-03-01,20.714448494967577
2017-03-02,21.58824856150865
2017-03-03,23.046447605031815
2017-03-04,22.756113715828818
2017-03-05,24.795913337402002
2017-03-06,22.75331531689674
2017-03-07,20.129116718341457
2017-03-08,25.965644091010223
2017-03-09,24.503713848910955
2017-03-10,21.294183473729547
2017-03-11,20.71351569532355
2017-03-12,20.714448494967577
2017-03-13,17.796184808633193
2017-03-14,18.964982762597387
2017-03-15,18.38151658525932
2017-03-16,17.794319209345144
2017-03-17,23.046447605031815
2017-03-18,21.88138084964372
2017-03-19,22.17078193920269
2017-03-20,18.671850474462317
2017-03-21,58.34661773380715
2017-03-22,22.17078193920269
2017-03-23,21.880448049999696
2017-03-24,22.172647538490743
2017-03-25,23.629913782369883
2017-03-26,26.256910779857243
2017-03-27,21.004782384170575
2017-03-28,21.2960490730176
2017-03-29,22.169849139558668
2017-03-30,21.58824856150865
2017-03-31,21.0057151838146
2017-04-01,20.70978449674745
2017-04-02,20.97120159698565
2017-04-03,18.058534708515424
2017-04-04,17.476001330821376
2017-04-05,19.80613484159756
2017-04-06,22.71880173006779
2017-04-07,20.388668219291606
2017-04-08,22.136268352373744
2017-04-09,20.97120159698565
2017-04-10,17.476001330821376
2017-04-11,19.80613484159756
2017-04-12,15.72840119773924
2017-04-13,17.476001330821376
2017-04-14,21.5537349746797
2017-04-15,20.97120159698565
2017-04-16,21.5537349746797
2017-04-17,20.97120159698565
2017-04-18,20.388668219291606
2017-04-19,19.80613484159756
2017-04-20,22.136268352373744
2017-04-21,20.97120159698565
2017-04-22,20.97120159698565
2017-04-23,24.466401863149926
2017-04-24,17.476001330821376
2017-04-25,16.310934575433286
2017-04-26,17.476001330821376
2017-04-27,32.62186915086657
2017-04-28,23.301335107761837
2017-04-29,20.97120159698565
2017-04-30,26.796535373926112
2017-05-01,19.223601463903513
2017-05-02,20.388668219291606
2017-05-03,20.388668219291606
2017-05-04,19.80613484159756
2017-05-05,19.80613484159756
2017-05-06,19.223601463903513
2017-05-07,19.223601463903513
2017-05-08,19.80613484159756
2017-05-09,19.80613484159756
2017-05-10,19.80613484159756
2017-05-11,20.97120159698565
2017-05-12,22.136268352373744
2017-05-13,22.71880173006779
2017-05-14,21.5537349746797
2017-05-15,19.223601463903513
2017-05-16,20.97120159698565
2017-05-17,25.048935240843974
2017-05-18,20.97120159698565
2017-05-19,17.476001330821376
2017-05-20,19.80613484159756
2017-05-21,24.466401863149926
2017-05-22,18.64106808620947
2017-05-23,19.223601463903513
2017-05-24,19.80613484159756
2017-05-25,19.223601463903513
2017-05-26,17.476001330821376
2017-05-27,25.63146861853802
2017-05-28,26.214001996232064
2017-05-29,21.5537349746797
2017-05-30,19.223601463903513
2017-05-31,20.388668219291606
2017-06-01,20.388668219291606
2017-06-02,19.80613484159756
2017-06-03,24.466401863149926
