date,faints
2016-05-01,1.0
2016-05-02,1.0
2016-05-03,1.0
2016-05-04,1.0
2016-05-05,2.0
2016-05-06,2.0
2016-05-07,1.0
2016-05-08,1.0
2016-05-09,1.0
2016-05-10,2.0
2016-05-11,2.0
2016-05-12,1.0
2016-05-13,1.0
2016-05-14,2.0
2016-05-15,2.0
2016-05-16,2.0
2016-05-17,2.0
2016-05-18,2.0
2016-05-19,2.0
2016-05-20,2.0
2016-05-21,2.0
2016-05-22,2.0
2016-05-23,2.0
2016-05-24,1.0
2016-05-25,1.0
2016-05-26,2.0
2016-05-27,1.0
2016-05-28,2.0
2016-05-29,2.0
2016-05-30,2.0
2016-05-31,1.0
2016-06-01,1.0
2016-06-02,1.0
2016-06-03,1.0
2016-06-04,2.0
2016-06-05,1.0
2016-06-06,2.0
2016-06-07,1.0
2016-06-08,1.0
2016-06-09,1.0
2016-06-10,2.0
2016-06-11,8.0
2016-06-12,8.0
2016-06-13,3.0
2016-06-14,2.0
2016-06-15,2.0
2016-06-16,1.0
2016-06-17,3.0
2016-06-18,2.0
2016-06-19,2.0
2016-06-20,2.0
2016-06-21,1.0
2016-06-22,2.0
2016-06-23,1.0
2016-06-24,2.0
2016-06-25,2.0
2016-06-26,2.0
2016-06-27,1.0
2016-06-28,1.0
2016-06-29,1.0
2016-06-30,1.0
2016-07-01,2.0
2016-07-02,2.0
2016-07-03,1.0
2016-07-04,2.0
2016-07-05,2.0
2016-07-06,1.0
2016-07-07,2.0
2016-07-08,1.0
2016-07-09,2.0
2016-07-10,2.0
2016-07-11,2.0
2016-07-12,2.0
2016-07-13,2.0
2016-07-14,2.0
2016-07-15,2.0
2016-07-16,1.0
2016-07-17,2.0
2016-07-18,3.0
2016-07-19,2.0
2016-07-20,2.0
2016-07-21,2.0
2016-07-22,2.0
2016-07-23,2.0
2016-07-24,2.0
2016-07-25,2.0
2016-07-26,2.0
2016-07-27,2.0
2016-07-28,2.0
2016-07-29,2.0
2016-07-30,2.0
2016-07-31,1.0
2016-08-01,2.0
2016-08-02,2.0
2016-08-03,2.0
2016-08-04,2.0
2016-08-05,2.0
2016-08-06,2.0
2016-08-07,1.0
2016-08-08,2.0
2016-08-09,1.0
2016-08-10,2.0
2016-08-11,2.0
2016-08-12,2.0
2016-08-13,2.0
2016-08-14,1.0
2016-08-15,1.0
2016-08-16,1.0
2016-08-17,2.0
2016-08-18,2.0
2016-08-19,2.0
2016-08-20,1.0
2016-08-21,4.0
2016-08-22,3.0
2016-08-23,1.0
2016-08-24,2.0
2016-08-25,2.0
2016-08-26,2.0
2016-08-27,1.0
2016-08-28,2.0
2016-08-29,1.0
2016-08-30,1.0
2016-08-31,1.0
2016-09-01,2.0
2016-09-02,2.0
2016-09-03,2.0
2016-09-04,2.0
2016-09-05,2.0
2016-09-06,1.0
2016-09-07,1.0
2016-09-08,2.0
2016-09-09,2.0
2016-09-10,2.0
2016-09-11,100.0
2016-09-12,45.0
2016-09-13,15.0
2016-09-14,8.0
2016-09-15,6.0
2016-09-16,4.0
2016-09-17,3.0
2016-09-18,3.0
2016-09-19,2.0
2016-09-20,2.0
2016-09-21,3.0
2016-09-22,2.0
2016-09-23,4.0
2016-09-24,4.0
2016-09-25,2.0
2016-09-26,3.0
2016-09-27,3.0
2016-09-28,2.0
2016-09-29,2.0
2016-09-30,1.0
2016-10-01,1.6002824858757063
2016-10-02,1.3121468926553672
2016-10-03,1.6355932203389831
2016-10-04,1.8121468926553672
2016-10-05,1.4887005649717513
2016-10-06,1.8827683615819208
2016-10-07,1.847457627118644
2016-10-08,1.17090395480226
2016-10-09,2.6242937853107344
2016-10-10,1.1002824858757063
2016-10-11,2.0593220338983054
2016-10-12,1.7005649717514124
2016-10-13,1.6002824858757063
2016-10-14,1.6002824858757063
2016-10-15,2.4124293785310735
2016-10-16,1.0296610169491527
2016-10-17,1.8121468926553672
2016-10-18,1.5649717514124295
2016-10-19,1.4180790960451977
2016-10-20,0.9590395480225988
2016-10-21,2.0593220338983054
2016-10-22,1.6002824858757063
2016-10-23,1.8827683615819208
2016-10-24,1.3121468926553672
2016-10-25,1.17090395480226
2016-10-26,1.6355932203389831
2016-10-27,1.2062146892655368
2016-10-28,1.1002824858757063
2016-10-29,1.5296610169491527
2016-10-30,1.7415254237288136
2016-10-31,0.923728813559322
2016-11-01,1.2062146892655368
2016-11-02,1.4830508474576272
2016-11-03,1.8361581920903955
2016-11-04,1.2005649717514124
2016-11-05,1.5536723163841808
2016-11-06,1.694915254237288
2016-11-07,1.9067796610169492
2016-11-08,2.0480225988700567
2016-11-09,2.401129943502825
2016-11-10,1.4830508474576272
2016-11-11,1.4124293785310735
2016-11-12,1.4830508474576272
2016-11-13,1.8361581920903955
2016-11-14,0.7062146892655368
2016-11-15,1.0593220338983051
2016-11-16,1.6242937853107344
2016-11-17,1.8361581920903955
2016-11-18,1.6242937853107344
2016-11-19,0.7768361581920904
2016-11-20,2.189265536723164
2016-11-21,1.271186440677966
2016-11-22,1.694915254237288
2016-11-23,3.1073446327683616
2016-11-24,1.765536723163842
2016-11-25,1.271186440677966
2016-11-26,2.8954802259887007
2016-11-27,2.330508474576271
2016-11-28,2.824858757062147
2016-11-29,1.765536723163842
2016-11-30,0.9180790960451978
2016-12-01,0.7768361581920904
2016-12-02,2.330508474576271
2016-12-03,1.5536723163841808
2016-12-04,1.271186440677966
2016-12-05,1.34180790960452
2016-12-06,1.4830508474576272
2016-12-07,1.1299435028248588
2016-12-08,2.1186440677966103
2016-12-09,1.2005649717514124
2016-12-10,1.2005649717514124
2016-12-11,1.4830508474576272
2016-12-12,2.1186440677966103
2016-12-13,1.9067796610169492
2016-12-14,0.9180790960451978
2016-12-15,1.0593220338983051
2016-12-16,1.9067796610169492
2016-12-17,2.542372881355932
2016-12-18,1.9774011299435028
2016-12-19,1.4124293785310735
2016-12-20,2.2598870056497176
2016-12-21,1.8361581920903955
2016-12-22,1.2005649717514124
2016-12-23,0.9887005649717514
2016-12-24,2.7542372881355934
2016-12-25,1.34180790960452
2016-12-26,1.694915254237288
2016-12-27,2.6129943502824857
2016-12-28,1.9774011299435028
2016-12-29,1.1299435028248588
2016-12-30,1.5536723163841808
2016-12-31,2.401129943502825
2017-01-01,1.1299435028248588
2017-01-02,2.8954802259887007
2017-01-03,1.34180790960452
2017-01-04,2.2598870056497176
2017-01-05,2.2598870056497176
2017-01-06,1.6242937853107344
2017-01-07,2.330508474576271
2017-01-08,1.694915254237288
2017-01-09,1.2005649717514124
2017-01-10,1.1299435028248588
2017-01-11,1.34180790960452
2017-01-12,1.5536723163841808
2017-01-13,1.694915254237288
2017-01-14,2.189265536723164
2017-01-15,2.1186440677966103
2017-01-16,1.5536723163841808
2017-01-17,0.9180790960451978
2017-01-18,1.5536723163841808
2017-01-19,1.5536723163841808
2017-01-20,2.0480225988700567
2017-01-21,1.4124293785310735
2017-01-22,2.1186440677966103
2017-01-23,1.4124293785310735
2017-01-24,7.062146892655368
2017-01-25,4.237288135593221
2017-01-26,2.330508474576271
2017-01-27,2.1186440677966103
2017-01-28,2.4717514124293785
2017-01-29,1.1299435028248588
2017-01-30,1.5536723163841808
2017-01-31,1.2005649717514124
2017-02-01,1.4124293785310735
2017-02-02,0.847457627118644
2017-02-03,1.34180790960452
2017-02-04,1.5536723163841808
2017-02-05,1.8361581920903955
2017-02-06,1.4124293785310735
2017-02-07,1.765536723163842
2017-02-08,1.4124293785310735
2017-02-09,0.847457627118644
2017-02-10,0.9887005649717514
2017-02-11,0.9887005649717514
2017-02-12,1.271186440677966
2017-02-13,1.4124293785310735
2017-02-14,1.4124293785310735
2017-02-15,1.4124293785310735
2017-02-16,1.6242937853107344
2017-02-17,1.271186440677966
2017-02-18,1.6242937853107344
2017-02-19,2.0480225988700567
2017-02-20,1.765536723163842
2017-02-21,2.189265536723164
2017-02-22,1.34180790960452
2017-02-23,0.847457627118644
2017-02-24,1.1299435028248588
2017-02-25,1.4124293785310735
2017-02-26,1.271186440677966
2017-02-27,1.34180790960452
2017-02-28,1.1299435028248588
2017-03-01,1.1855316887620968
2017-03-02,1.0089780164457125
2017-03-03,1.1316915589864072
2017-03-04,1.326774626615204
2017-03-05,1.15022095429882
2017-03-06,1.1855316887620968
2017-03-07,1.1149102198355432
2017-03-08,1.2914638921519273
2017-03-09,1.9102757733400462
2017-03-10,1.3806147563908935
2017-03-11,1.326774626615204
2017-03-12,1.5739497678581418
2017-03-13,1.3973960955417577
2017-03-14,1.4159254908541703
2017-03-15,1.2561531576886504
2017-03-16,1.5218576942440007
2017-03-17,1.4512362253174471
2017-03-18,1.2208424232253736
2017-03-19,1.0089780164457125
2017-03-20,0.903045813055882
2017-03-21,1.3099932874643399
2017-03-22,1.0257593555965767
2017-03-23,0.8845164177434693
2017-03-24,0.8492056832801925
2017-03-25,1.3620853610784809
2017-03-26,0.8324243441293283
2017-03-27,1.1687503496112326
2017-03-28,1.1855316887620968
2017-03-29,1.3806147563908935
2017-03-30,1.0795994853722661
2017-03-31,1.15022095429882
2017-04-01,1.4159254908541703
2017-04-02,2.7311629468031553
2017-04-03,1.9508306762879681
2017-04-04,1.5606645410303746
2017-04-05,1.5606645410303746
2017-04-06,1.170498405772781
2017-04-07,1.9508306762879681
2017-04-08,1.5606645410303746
2017-04-09,1.5606645410303746
2017-04-10,1.170498405772781
2017-04-11,1.170498405772781
2017-04-12,1.9508306762879681
2017-04-13,1.5606645410303746
2017-04-14,1.5606645410303746
2017-04-15,1.5606645410303746
2017-04-16,1.170498405772781
2017-04-17,1.5606645410303746
2017-04-18,1.5606645410303746
2017-04-19,1.5606645410303746
2017-04-20,1.5606645410303746
2017-04-21,1.170498405772781
2017-04-22,1.170498405772781
2017-04-23,1.5606645410303746
2017-04-24,1.170498405772781
2017-04-25,1.5606645410303746
2017-04-26,1.170498405772781
2017-04-27,1.170498405772781
2017-04-28,1.170498405772781
2017-04-29,1.170498405772781
2017-04-30,1.170498405772781
2017-05-01,1.5606645410303746
2017-05-02,1.170498405772781
2017-05-03,0.7803322705151873
2017-05-04,0.7803322705151873
2017-05-05,1.170498405772781
2017-05-06,1.170498405772781
2017-05-07,1.9508306762879681
2017-05-08,1.170498405772781
2017-05-09,1.170498405772781
2017-05-10,1.170498405772781
2017-05-11,1.5606645410303746
2017-05-12,2.340996811545562
2017-05-13,2.340996811545562
2017-05-14,39.01661352575936
2017-05-15,4.29182748783353
2017-05-16,2.340996811545562
2017-05-17,1.9508306762879681
2017-05-18,1.170498405772781
2017-05-19,1.5606645410303746
2017-05-20,1.170498405772781
2017-05-21,1.5606645410303746
2017-05-22,1.9508306762879681
2017-05-23,1.170498405772781
2017-05-24,0.7803322705151873
2017-05-25,1.9508306762879681
2017-05-26,1.170498405772781
2017-05-27,1.5606645410303746
2017-05-28,1.9508306762879681
