date,obama car
2016-05-01,14.0
2016-05-02,12.0
2016-05-03,12.0
2016-05-04,16.0
2016-05-05,7.0
2016-05-06,10.0
2016-05-07,10.0
2016-05-08,8.0
2016-05-09,6.0
2016-05-10,4.0
2016-05-11,4.0
2016-05-12,12.0
2016-05-13,13.0
2016-05-14,4.0
2016-05-15,4.0
2016-05-16,7.0
2016-05-17,12.0
2016-05-18,8.0
2016-05-19,9.0
2016-05-20,7.0
2016-05-21,9.0
2016-05-22,8.0
2016-05-23,6.0
2016-05-24,8.0
2016-05-25,13.0
2016-05-26,7.0
2016-05-27,11.0
2016-05-28,11.0
2016-05-29,9.0
2016-05-30,9.0
2016-05-31,6.0
2016-06-01,9.0
2016-06-02,8.0
2016-06-03,9.0
2016-06-04,9.0
2016-06-05,7.0
2016-06-06,6.0
2016-06-07,9.0
2016-06-08,13.0
2016-06-09,4.0
2016-06-10,19.0
2016-06-11,7.0
2016-06-12,12.0
2016-06-13,6.0
2016-06-14,9.0
2016-06-15,13.0
2016-06-16,9.0
2016-06-17,8.0
2016-06-18,12.0
2016-06-19,8.0
2016-06-20,4.0
2016-06-21,4.0
2016-06-22,9.0
2016-06-23,13.0
2016-06-24,13.0
2016-06-25,9.0
2016-06-26,8.0
2016-06-27,11.0
2016-06-28,6.0
2016-06-29,6.0
2016-06-30,6.0
2016-07-01,8.0
2016-07-02,10.0
2016-07-03,9.0
2016-07-04,8.0
2016-07-05,7.0
2016-07-06,4.0
2016-07-07,12.0
2016-07-08,8.0
2016-07-09,15.0
2016-07-10,6.0
2016-07-11,4.0
2016-07-12,9.0
2016-07-13,7.0
2016-07-14,9.0
2016-07-15,9.0
2016-07-16,8.0
2016-07-17,10.0
2016-07-18,4.0
2016-07-19,36.0
2016-07-20,24.0
2016-07-21,100.0
2016-07-22,91.0
2016-07-23,72.0
2016-07-24,46.0
2016-07-25,23.0
2016-07-26,41.0
2016-07-27,24.0
2016-07-28,27.0
2016-07-29,22.0
2016-07-30,12.0
2016-07-31,11.0
2016-08-01,17.0
2016-08-02,13.0
2016-08-03,15.0
2016-08-04,20.0
2016-08-05,23.0
2016-08-06,17.0
2016-08-07,12.0
2016-08-08,5.0
2016-08-09,7.0
2016-08-10,12.0
2016-08-11,12.0
2016-08-12,11.0
2016-08-13,8.0
2016-08-14,8.0
2016-08-15,8.0
2016-08-16,7.0
2016-08-17,9.0
2016-08-18,9.0
2016-08-19,5.0
2016-08-20,7.0
2016-08-21,10.0
2016-08-22,16.0
2016-08-23,14.0
2016-08-24,7.0
2016-08-25,10.0
2016-08-26,17.0
2016-08-27,5.0
2016-08-28,12.0
2016-08-29,7.0
2016-08-30,7.0
2016-08-31,3.0
2016-09-01,5.0
2016-09-02,6.0
2016-09-03,8.0
2016-09-04,10.0
2016-09-05,10.0
2016-09-06,13.0
2016-09-07,13.0
2016-09-08,11.0
2016-09-09,8.0
2016-09-10,8.0
2016-09-11,12.0
2016-09-12,5.0
2016-09-13,6.0
2016-09-14,8.0
2016-09-15,6.0
2016-09-16,8.0
2016-09-17,11.0
2016-09-18,10.0
2016-09-19,9.0
2016-09-20,4.0
2016-09-21,8.0
2016-09-22,11.0
2016-09-23,7.0
2016-09-24,13.0
