date,bernie sanders
2016-05-01,21.0
2016-05-02,21.0
2016-05-03,23.0
2016-05-04,68.0
2016-05-05,37.0
2016-05-06,33.0
2016-05-07,27.0
2016-05-08,25.0
2016-05-09,23.0
2016-05-10,28.0
2016-05-11,42.0
2016-05-12,25.0
2016-05-13,22.0
2016-05-14,19.0
2016-05-15,20.0
2016-05-16,21.0
2016-05-17,24.0
2016-05-18,42.0
2016-05-19,27.0
2016-05-20,23.0
2016-05-21,21.0
2016-05-22,25.0
2016-05-23,22.0
2016-05-24,23.0
2016-05-25,22.0
2016-05-26,31.0
2016-05-27,32.0
2016-05-28,28.0
2016-05-29,24.0
2016-05-30,20.0
2016-05-31,25.0
2016-06-01,22.0
2016-06-02,21.0
2016-06-03,24.0
2016-06-04,24.0
2016-06-05,23.0
2016-06-06,24.0
2016-06-07,51.0
2016-06-08,100.0
2016-06-09,52.0
2016-06-10,34.0
2016-06-11,22.0
2016-06-12,21.0
2016-06-13,16.0
2016-06-14,16.0
2016-06-15,18.0
2016-06-16,16.0
2016-06-17,24.0
2016-06-18,13.0
2016-06-19,12.0
2016-06-20,11.0
2016-06-21,11.0
2016-06-22,12.0
2016-06-23,13.0
2016-06-24,18.0
2016-06-25,12.0
2016-06-26,11.0
2016-06-27,10.0
2016-06-28,9.0
2016-06-29,9.0
2016-06-30,9.0
2016-07-01,9.0
2016-07-02,8.0
2016-07-03,8.0
2016-07-04,7.0
2016-07-05,10.0
2016-07-06,11.0
2016-07-07,10.0
2016-07-08,10.0
2016-07-09,9.0
2016-07-10,7.0
2016-07-11,8.0
2016-07-12,37.0
2016-07-13,27.0
2016-07-14,14.0
2016-07-15,8.0
2016-07-16,7.0
2016-07-17,10.0
2016-07-18,6.0
2016-07-19,7.0
2016-07-20,7.0
2016-07-21,7.0
2016-07-22,11.0
2016-07-23,18.0
2016-07-24,22.0
2016-07-25,40.0
2016-07-26,100.0
2016-07-27,41.0
2016-07-28,27.0
2016-07-29,26.0
2016-07-30,14.0
2016-07-31,10.0
2016-08-01,8.0
2016-08-02,7.0
2016-08-03,6.0
2016-08-04,5.0
2016-08-05,5.0
2016-08-06,5.0
2016-08-07,4.0
2016-08-08,4.0
2016-08-09,5.0
2016-08-10,7.0
2016-08-11,6.0
2016-08-12,5.0
2016-08-13,4.0
2016-08-14,4.0
2016-08-15,3.0
2016-08-16,3.0
2016-08-17,3.0
2016-08-18,3.0
2016-08-19,3.0
2016-08-20,3.0
2016-08-21,3.0
2016-08-22,3.0
2016-08-23,3.0
2016-08-24,4.0
2016-08-25,5.0
2016-08-26,3.0
2016-08-27,3.0
2016-08-28,2.0
2016-08-29,2.0
2016-08-30,2.0
2016-08-31,3.0
2016-09-01,2.0
2016-09-02,2.0
2016-09-03,2.0
2016-09-04,3.0
2016-09-05,3.0
2016-09-06,3.0
2016-09-07,3.0
2016-09-08,3.0
2016-09-09,3.0
2016-09-10,2.0
2016-09-11,3.0
2016-09-12,7.0
2016-09-13,5.0
2016-09-14,5.0
2016-09-15,4.0
2016-09-16,5.0
2016-09-17,4.0
2016-09-18,4.0
2016-09-19,3.0
2016-09-20,3.0
2016-09-21,2.0
2016-09-22,3.0
2016-09-23,3.0
2016-09-24,3.0
2016-09-25,3.0
2016-09-26,4.0
2016-09-27,10.0
2016-09-28,6.0
2016-09-29,5.0
2016-09-30,4.0
2016-10-01,3.927710843373494
2016-10-02,5.698795180722891
2016-10-03,5.698795180722891
2016-10-04,3.927710843373494
2016-10-05,3.927710843373494
2016-10-06,3.927710843373494
2016-10-07,3.0421686746987953
2016-10-08,4.427710843373494
2016-10-09,5.198795180722891
2016-10-10,13.05421686746988
2016-10-11,7.855421686746988
2016-10-12,7.855421686746988
2016-10-13,6.5843373493975905
2016-10-14,6.0843373493975905
2016-10-15,6.96987951807229
2016-10-16,6.96987951807229
2016-10-17,7.355421686746988
2016-10-18,6.96987951807229
2016-10-19,6.96987951807229
2016-10-20,9.512048192771084
2016-10-21,6.0843373493975905
2016-10-22,5.198795180722891
2016-10-23,4.813253012048193
2016-10-24,4.813253012048193
2016-10-25,5.198795180722891
2016-10-26,4.813253012048193
2016-10-27,5.198795180722891
2016-10-28,5.198795180722891
2016-10-29,5.698795180722891
2016-10-30,6.0843373493975905
2016-10-31,6.0843373493975905
2016-11-01,6.855421686746988
2016-11-02,7.710843373493976
2016-11-03,7.710843373493976
2016-11-04,7.710843373493976
2016-11-05,6.9397590361445785
2016-11-06,8.481927710843374
2016-11-07,10.795180722891567
2016-11-08,23.132530120481928
2016-11-09,77.10843373493977
2016-11-10,51.66265060240964
2016-11-11,36.24096385542169
2016-11-12,26.21686746987952
2016-11-13,19.27710843373494
2016-11-14,16.192771084337352
2016-11-15,17.734939759036145
2016-11-16,14.650602409638555
2016-11-17,15.421686746987952
2016-11-18,8.481927710843374
2016-11-19,6.9397590361445785
2016-11-20,6.9397590361445785
2016-11-21,5.397590361445784
2016-11-22,5.397590361445784
2016-11-23,4.626506024096386
2016-11-24,3.855421686746988
2016-11-25,3.855421686746988
2016-11-26,3.855421686746988
2016-11-27,4.626506024096386
2016-11-28,3.855421686746988
2016-11-29,3.855421686746988
2016-11-30,4.626506024096386
