date,president obama protest
2016-05-01,0.0
2016-05-02,2.6486486486486487
2016-05-03,0.0
2016-05-04,0.0
2016-05-05,0.0
2016-05-06,0.0
2016-05-07,0.0
2016-05-08,0.0
2016-05-09,2.6486486486486487
2016-05-10,0.0
2016-05-11,0.0
2016-05-12,0.0
2016-05-13,0.0
2016-05-14,0.0
2016-05-15,0.0
2016-05-16,0.0
2016-05-17,0.0
2016-05-18,0.0
2016-05-19,0.0
2016-05-20,2.7027027027027026
2016-05-21,3.135135135135135
2016-05-22,0.0
2016-05-23,0.0
2016-05-24,0.0
2016-05-25,0.0
2016-05-26,0.0
2016-05-27,0.0
2016-05-28,3.135135135135135
2016-05-29,0.0
2016-05-30,0.0
2016-05-31,0.0
2016-06-01,0.0
2016-06-02,0.0
2016-06-03,2.756756756756757
2016-06-04,0.0
2016-06-05,3.081081081081081
2016-06-06,0.0
2016-06-07,2.5945945945945947
2016-06-08,0.0
2016-06-09,0.0
2016-06-10,0.0
2016-06-11,0.0
2016-06-12,0.0
2016-06-13,0.0
2016-06-14,0.0
2016-06-15,0.0
2016-06-16,0.0
2016-06-17,0.0
2016-06-18,3.1891891891891895
2016-06-19,0.0
2016-06-20,0.0
2016-06-21,0.0
2016-06-22,0.0
2016-06-23,2.7027027027027026
2016-06-24,0.0
2016-06-25,0.0
2016-06-26,0.0
2016-06-27,0.0
2016-06-28,0.0
2016-06-29,0.0
2016-06-30,0.0
2016-07-01,2.810810810810811
2016-07-02,0.0
2016-07-03,0.0
2016-07-04,0.0
2016-07-05,0.0
2016-07-06,0.0
2016-07-07,2.756756756756757
2016-07-08,2.810810810810811
2016-07-09,3.1891891891891895
2016-07-10,0.0
2016-07-11,5.405405405405405
2016-07-12,5.297297297297297
2016-07-13,2.7027027027027026
2016-07-14,0.0
2016-07-15,0.0
2016-07-16,0.0
2016-07-17,0.0
2016-07-18,2.7027027027027026
2016-07-19,2.756756756756757
2016-07-20,0.0
2016-07-21,2.756756756756757
2016-07-22,0.0
2016-07-23,0.0
2016-07-24,0.0
2016-07-25,0.0
2016-07-26,0.0
2016-07-27,0.0
2016-07-28,0.0
2016-07-29,0.0
2016-07-30,0.0
2016-07-31,0.0
2016-08-01,0.0
2016-08-02,0.0
2016-08-03,0.0
2016-08-04,0.0
2016-08-05,0.0
2016-08-06,0.0
2016-08-07,0.0
2016-08-08,0.0
2016-08-09,0.0
2016-08-10,0.0
2016-08-11,0.0
2016-08-12,0.0
2016-08-13,0.0
2016-08-14,0.0
2016-08-15,2.810810810810811
2016-08-16,0.0
2016-08-17,0.0
2016-08-18,2.7027027027027026
2016-08-19,0.0
2016-08-20,0.0
2016-08-21,0.0
2016-08-22,0.0
2016-08-23,0.0
2016-08-24,0.0
2016-08-25,0.0
2016-08-26,0.0
2016-08-27,0.0
2016-08-28,0.0
2016-08-29,0.0
2016-08-30,0.0
2016-08-31,0.0
2016-09-01,0.0
2016-09-02,0.0
2016-09-03,0.0
2016-09-04,0.0
2016-09-05,2.7027027027027026
2016-09-06,0.0
2016-09-07,2.5945945945945947
2016-09-08,5.297297297297297
2016-09-09,2.7027027027027026
2016-09-10,0.0
2016-09-11,0.0
2016-09-12,2.5945945945945947
2016-09-13,0.0
2016-09-14,3.891891891891892
2016-09-15,2.6486486486486487
2016-09-16,2.7027027027027026
2016-09-17,0.0
2016-09-18,0.0
2016-09-19,0.0
2016-09-20,0.0
2016-09-21,2.5945945945945947
2016-09-22,2.5945945945945947
2016-09-23,2.7027027027027026
2016-09-24,0.0
2016-09-25,0.0
2016-09-26,0.0
2016-09-27,2.540540540540541
2016-09-28,0.0
2016-09-29,2.540540540540541
2016-09-30,2.6486486486486487
2016-10-01,0.0
2016-10-02,2.9324324324324325
2016-10-03,0.0
2016-10-04,2.7432432432432434
2016-10-05,0.0
2016-10-06,1.5
2016-10-07,0.0
2016-10-08,0.0
2016-10-09,2.986486486486487
2016-10-10,0.0
2016-10-11,0.0
2016-10-12,2.7972972972972974
2016-10-13,0.0
2016-10-14,0.0
2016-10-15,0.0
2016-10-16,0.0
2016-10-17,0.0
2016-10-18,0.0
2016-10-19,0.0
2016-10-20,0.0
2016-10-21,0.0
2016-10-22,0.0
2016-10-23,0.0
2016-10-24,1.2702702702702704
2016-10-25,0.0
2016-10-26,0.0
2016-10-27,4.013513513513514
2016-10-28,0.0
2016-10-29,2.986486486486487
2016-10-30,0.0
2016-10-31,2.77027027027027
2016-11-01,0.0
2016-11-02,3.0
2016-11-03,3.0
2016-11-04,5.0
2016-11-05,0.0
2016-11-06,3.0
2016-11-07,3.0
2016-11-08,5.0
2016-11-09,15.0
2016-11-10,100.0
2016-11-11,94.0
2016-11-12,59.0
2016-11-13,35.0
2016-11-14,32.0
2016-11-15,20.0
2016-11-16,16.0
2016-11-17,8.0
2016-11-18,8.0
2016-11-19,9.0
2016-11-20,6.0
2016-11-21,8.0
2016-11-22,6.0
2016-11-23,5.0
2016-11-24,7.0
2016-11-25,3.0
2016-11-26,0.0
2016-11-27,0.0
2016-11-28,2.0
2016-11-29,2.0
2016-11-30,4.0
2016-12-01,3.0
2016-12-02,0.0
2016-12-03,3.0
2016-12-04,3.0
2016-12-05,0.0
2016-12-06,0.0
2016-12-07,3.0
2016-12-08,3.0
2016-12-09,5.0
2016-12-10,0.0
2016-12-11,0.0
2016-12-12,3.0
2016-12-13,3.0
2016-12-14,0.0
2016-12-15,0.0
2016-12-16,3.0
2016-12-17,3.0
2016-12-18,3.0
2016-12-19,0.0
2016-12-20,0.0
2016-12-21,0.0
2016-12-22,0.0
2016-12-23,0.0
2016-12-24,0.0
2016-12-25,0.0
2016-12-26,0.0
2016-12-27,0.0
2016-12-28,3.0
2016-12-29,5.0
2016-12-30,0.0
2016-12-31,0.0
2017-01-01,0.0
2017-01-02,0.0
2017-01-03,0.0
2017-01-04,0.0
2017-01-05,5.0
2017-01-06,3.0
2017-01-07,0.0
2017-01-08,3.0
2017-01-09,2.0
2017-01-10,0.0
2017-01-11,7.0
2017-01-12,0.0
2017-01-13,3.0
2017-01-14,3.0
2017-01-15,6.0
2017-01-16,0.0
2017-01-17,5.0
2017-01-18,7.0
2017-01-19,9.0
2017-01-20,48.0
2017-01-21,46.0
2017-01-22,31.0
2017-01-23,18.0
2017-01-24,2.0
2017-01-25,6.0
2017-01-26,2.0
2017-01-27,5.0
2017-01-28,0.0
2017-01-29,0.0
2017-01-30,5.0
2017-01-31,5.0
2017-02-01,0.0
2017-02-02,0.0
2017-02-03,5.0
2017-02-04,3.0
2017-02-05,3.0
2017-02-06,0.0
2017-02-07,0.0
2017-02-08,0.0
2017-02-09,5.0
2017-02-10,3.0
2017-02-11,3.0
2017-02-12,0.0
2017-02-13,2.0
2017-02-14,0.0
2017-02-15,0.0
2017-02-16,5.0
2017-02-17,5.0
2017-02-18,0.0
2017-02-19,3.0
2017-02-20,0.0
2017-02-21,5.0
2017-02-22,0.0
2017-02-23,5.0
2017-02-24,0.0
2017-02-25,3.0
2017-02-26,0.0
2017-02-27,0.0
2017-02-28,10.0
2017-03-01,1.0
2017-03-02,0.0
2017-03-03,2.495639534883721
2017-03-04,1.5
2017-03-05,4.117732558139535
2017-03-06,0.0
2017-03-07,0.0
2017-03-08,2.4040697674418605
2017-03-09,1.434593023255814
2017-03-10,0.0
2017-03-11,0.0
2017-03-12,3.1482558139534884
2017-03-13,0.0
2017-03-14,0.0
2017-03-15,0.0
2017-03-16,0.0
2017-03-17,0.0
2017-03-18,0.0
2017-03-19,0.0
2017-03-20,2.4345930232558137
2017-03-21,0.0
2017-03-22,0.0
2017-03-23,0.0
2017-03-24,0.0
