date,trump unhealthy
2016-05-01,0.0
2016-05-02,0.0
2016-05-03,0.0
2016-05-04,0.0
2016-05-05,0.0
2016-05-06,0.0
2016-05-07,0.0
2016-05-08,0.0
2016-05-09,0.0
2016-05-10,0.0
2016-05-11,0.0
2016-05-12,0.0
2016-05-13,0.0
2016-05-14,0.0
2016-05-15,0.0
2016-05-16,0.0
2016-05-17,0.0
2016-05-18,0.0
2016-05-19,0.0
2016-05-20,35.0
2016-05-21,0.0
2016-05-22,0.0
2016-05-23,0.0
2016-05-24,0.0
2016-05-25,0.0
2016-05-26,0.0
2016-05-27,0.0
2016-05-28,0.0
2016-05-29,0.0
2016-05-30,0.0
2016-05-31,0.0
2016-06-01,0.0
2016-06-02,0.0
2016-06-03,0.0
2016-06-04,0.0
2016-06-05,0.0
2016-06-06,67.0
2016-06-07,33.0
2016-06-08,0.0
2016-06-09,0.0
2016-06-10,0.0
2016-06-11,40.0
2016-06-12,0.0
2016-06-13,0.0
2016-06-14,0.0
2016-06-15,0.0
2016-06-16,0.0
2016-06-17,0.0
2016-06-18,40.0
2016-06-19,40.0
2016-06-20,0.0
2016-06-21,0.0
2016-06-22,0.0
2016-06-23,0.0
2016-06-24,0.0
2016-06-25,0.0
2016-06-26,0.0
2016-06-27,0.0
2016-06-28,34.0
2016-06-29,0.0
2016-06-30,0.0
2016-07-01,0.0
2016-07-02,0.0
2016-07-03,0.0
2016-07-04,36.0
2016-07-05,0.0
2016-07-06,0.0
2016-07-07,0.0
2016-07-08,0.0
2016-07-09,0.0
2016-07-10,0.0
2016-07-11,34.0
2016-07-12,0.0
2016-07-13,0.0
2016-07-14,0.0
2016-07-15,0.0
2016-07-16,81.0
2016-07-17,0.0
2016-07-18,0.0
2016-07-19,35.0
2016-07-20,35.0
2016-07-21,35.0
2016-07-22,0.0
2016-07-23,0.0
2016-07-24,0.0
2016-07-25,0.0
2016-07-26,35.0
2016-07-27,0.0
2016-07-28,0.0
2016-07-29,36.0
2016-07-30,0.0
2016-07-31,0.0
2016-08-01,0.0
2016-08-02,0.0
2016-08-03,0.0
2016-08-04,0.0
2016-08-05,0.0
2016-08-06,0.0
2016-08-07,0.0
2016-08-08,0.0
2016-08-09,0.0
2016-08-10,34.0
2016-08-11,0.0
2016-08-12,0.0
2016-08-13,0.0
2016-08-14,0.0
2016-08-15,36.0
2016-08-16,0.0
2016-08-17,0.0
2016-08-18,0.0
2016-08-19,0.0
2016-08-20,0.0
2016-08-21,39.0
2016-08-22,34.0
2016-08-23,34.0
2016-08-24,68.0
2016-08-25,0.0
2016-08-26,36.0
2016-08-27,0.0
2016-08-28,0.0
2016-08-29,0.0
2016-08-30,0.0
2016-08-31,34.0
2016-09-01,0.0
2016-09-02,0.0
2016-09-03,0.0
2016-09-04,0.0
2016-09-05,34.0
2016-09-06,0.0
2016-09-07,0.0
2016-09-08,34.0
2016-09-09,34.0
2016-09-10,0.0
2016-09-11,38.0
2016-09-12,100.0
2016-09-13,0.0
2016-09-14,0.0
2016-09-15,34.0
2016-09-16,34.0
2016-09-17,0.0
2016-09-18,0.0
2016-09-19,0.0
2016-09-20,0.0
2016-09-21,0.0
2016-09-22,0.0
2016-09-23,0.0
2016-09-24,0.0
2016-09-25,38.0
2016-09-26,0.0
2016-09-27,0.0
2016-09-28,32.0
2016-09-29,33.0
2016-09-30,0.0
2016-10-01,0.0
2016-10-02,0.0
2016-10-03,41.460509554140124
2016-10-04,0.0
2016-10-05,16.0
2016-10-06,28.909554140127387
2016-10-07,0.0
2016-10-08,15.419745222929935
2016-10-09,48.40509554140127
2016-10-10,58.677707006369424
2016-10-11,57.460509554140124
2016-10-12,42.677707006369424
2016-10-13,28.909554140127387
2016-10-14,43.036305732484074
2016-10-15,0.0
2016-10-16,33.20254777070063
2016-10-17,0.0
2016-10-18,0.0
2016-10-19,0.0
2016-10-20,0.0
2016-10-21,12.909554140127387
2016-10-22,0.0
2016-10-23,0.0
2016-10-24,28.55095541401274
2016-10-25,15.5
2016-10-26,0.0
2016-10-27,0.0
2016-10-28,13.268152866242037
2016-10-29,0.0
2016-10-30,33.20254777070063
2016-10-31,16.0
2016-11-01,29.409554140127387
2016-11-02,0.0
2016-11-03,0.0
2016-11-04,0.0
2016-11-05,0.0
2016-11-06,28.687898089171973
2016-11-07,24.384713375796178
2016-11-08,24.384713375796178
2016-11-09,22.950318471337578
2016-11-10,25.101910828025478
2016-11-11,39.445859872611464
2016-11-12,29.405095541401273
2016-11-13,28.687898089171973
2016-11-14,25.101910828025478
2016-11-15,37.294267515923565
2016-11-16,49.486624203821655
2016-11-17,0.0
2016-11-18,0.0
2016-11-19,28.687898089171973
2016-11-20,0.0
2016-11-21,25.101910828025478
2016-11-22,24.384713375796178
2016-11-23,25.101910828025478
2016-11-24,0.0
2016-11-25,25.819108280254774
2016-11-26,0.0
2016-11-27,27.970700636942674
2016-11-28,0.0
2016-11-29,24.384713375796178
2016-11-30,24.384713375796178
2016-12-01,0.0
2016-12-02,25.819108280254774
2016-12-03,28.687898089171973
2016-12-04,0.0
2016-12-05,0.0
2016-12-06,0.0
2016-12-07,0.0
2016-12-08,0.0
2016-12-09,0.0
2016-12-10,0.0
2016-12-11,0.0
2016-12-12,24.384713375796178
2016-12-13,49.486624203821655
2016-12-14,0.0
2016-12-15,25.101910828025478
2016-12-16,0.0
2016-12-17,29.405095541401273
2016-12-18,28.687898089171973
2016-12-19,0.0
2016-12-20,25.819108280254774
2016-12-21,0.0
2016-12-22,26.536305732484074
2016-12-23,0.0
2016-12-24,0.0
2016-12-25,0.0
2016-12-26,27.970700636942674
2016-12-27,0.0
2016-12-28,26.536305732484074
2016-12-29,0.0
2016-12-30,0.0
2016-12-31,0.0
2017-01-01,0.0
2017-01-02,26.536305732484074
2017-01-03,0.0
2017-01-04,24.384713375796178
2017-01-05,0.0
2017-01-06,25.819108280254774
2017-01-07,0.0
2017-01-08,0.0
2017-01-09,24.384713375796178
2017-01-10,0.0
2017-01-11,24.384713375796178
2017-01-12,48.769426751592356
2017-01-13,25.101910828025478
2017-01-14,27.970700636942674
2017-01-15,0.0
2017-01-16,0.0
2017-01-17,0.0
2017-01-18,0.0
2017-01-19,24.384713375796178
2017-01-20,24.384713375796178
2017-01-21,27.970700636942674
2017-01-22,0.0
2017-01-23,35.859872611464965
2017-01-24,71.71974522292993
2017-01-25,48.052229299363056
2017-01-26,24.384713375796178
2017-01-27,25.101910828025478
2017-01-28,0.0
2017-01-29,0.0
2017-01-30,23.667515923566878
2017-01-31,48.052229299363056
2017-02-01,48.052229299363056
2017-02-02,47.335031847133756
2017-02-03,24.384713375796178
2017-02-04,27.970700636942674
2017-02-05,27.253503184713374
