date,trump pussy
2016-05-01,0.0
2016-05-02,0.0
2016-05-03,1.0
2016-05-04,1.0
2016-05-05,1.0
2016-05-06,1.0
2016-05-07,1.0
2016-05-08,0.0
2016-05-09,0.0
2016-05-10,1.0
2016-05-11,1.0
2016-05-12,0.0
2016-05-13,0.0
2016-05-14,0.0
2016-05-15,0.0
2016-05-16,0.0
2016-05-17,0.0
2016-05-18,1.0
2016-05-19,1.0
2016-05-20,0.0
2016-05-21,1.0
2016-05-22,1.0
2016-05-23,0.0
2016-05-24,0.0
2016-05-25,0.0
2016-05-26,1.0
2016-05-27,1.0
2016-05-28,1.0
2016-05-29,0.0
2016-05-30,0.0
2016-05-31,0.0
2016-06-01,0.0
2016-06-02,0.0
2016-06-03,0.0
2016-06-04,1.0
2016-06-05,1.0
2016-06-06,0.0
2016-06-07,1.0
2016-06-08,1.0
2016-06-09,1.0
2016-06-10,1.0
2016-06-11,1.0
2016-06-12,0.0
2016-06-13,1.0
2016-06-14,0.0
2016-06-15,1.0
2016-06-16,0.0
2016-06-17,0.0
2016-06-18,1.0
2016-06-19,0.0
2016-06-20,0.0
2016-06-21,0.0
2016-06-22,0.0
2016-06-23,1.0
2016-06-24,0.0
2016-06-25,1.0
2016-06-26,0.0
2016-06-27,0.0
2016-06-28,0.0
2016-06-29,0.0
2016-06-30,0.0
2016-07-01,1.0
2016-07-02,0.0
2016-07-03,1.0
2016-07-04,0.0
2016-07-05,0.0
2016-07-06,1.0
2016-07-07,0.0
2016-07-08,0.0
2016-07-09,0.0
2016-07-10,0.0
2016-07-11,0.0
2016-07-12,0.0
2016-07-13,1.0
2016-07-14,0.0
2016-07-15,1.0
2016-07-16,0.0
2016-07-17,1.0
2016-07-18,1.0
2016-07-19,2.0
2016-07-20,2.0
2016-07-21,2.0
2016-07-22,3.0
2016-07-23,1.0
2016-07-24,2.0
2016-07-25,2.0
2016-07-26,1.0
2016-07-27,1.0
2016-07-28,2.0
2016-07-29,2.0
2016-07-30,1.0
2016-07-31,1.0
2016-08-01,2.0
2016-08-02,2.0
2016-08-03,2.0
2016-08-04,2.0
2016-08-05,2.0
2016-08-06,2.0
2016-08-07,1.0
2016-08-08,1.0
2016-08-09,1.0
2016-08-10,1.0
2016-08-11,1.0
2016-08-12,1.0
2016-08-13,1.0
2016-08-14,1.0
2016-08-15,1.0
2016-08-16,1.0
2016-08-17,0.0
2016-08-18,0.0
2016-08-19,1.0
2016-08-20,1.0
2016-08-21,1.0
2016-08-22,1.0
2016-08-23,1.0
2016-08-24,1.0
2016-08-25,1.0
2016-08-26,1.0
2016-08-27,1.0
2016-08-28,0.0
2016-08-29,0.0
2016-08-30,0.0
2016-08-31,0.0
2016-09-01,1.0
2016-09-02,1.0
2016-09-03,0.0
2016-09-04,1.0
2016-09-05,0.0
2016-09-06,0.0
2016-09-07,0.0
2016-09-08,1.0
2016-09-09,0.0
2016-09-10,0.0
2016-09-11,1.0
2016-09-12,0.0
2016-09-13,0.0
2016-09-14,0.0
2016-09-15,0.0
2016-09-16,1.0
2016-09-17,1.0
2016-09-18,0.0
2016-09-19,0.0
2016-09-20,1.0
2016-09-21,1.0
2016-09-22,0.0
2016-09-23,1.0
2016-09-24,0.0
2016-09-25,0.0
2016-09-26,1.0
2016-09-27,2.0
2016-09-28,1.0
2016-09-29,1.0
2016-09-30,1.0
2016-10-01,0.988394584139265
2016-10-02,0.988394584139265
2016-10-03,0.988394584139265
2016-10-04,0.988394584139265
2016-10-05,0.988394584139265
2016-10-06,0.5
2016-10-07,11.860735009671181
2016-10-08,98.83945841392651
2016-10-09,89.9439071566731
2016-10-10,72.62959381044487
2016-10-11,41.000967117988395
2016-10-12,28.163442940038685
2016-10-13,22.733075435203094
2016-10-14,20.74468085106383
2016-10-15,18.2678916827853
2016-10-16,10.872340425531915
2016-10-17,7.90715667311412
2016-10-18,7.90715667311412
2016-10-19,6.430367504835591
2016-10-20,9.88394584139265
2016-10-21,7.90715667311412
2016-10-22,5.930367504835591
2016-10-23,4.941972920696325
2016-10-24,3.95357833655706
2016-10-25,3.95357833655706
2016-10-26,3.95357833655706
2016-10-27,3.95357833655706
2016-10-28,4.441972920696325
2016-10-29,3.95357833655706
2016-10-30,3.45357833655706
2016-10-31,2.9651837524177953
2016-11-01,2.9651837524177953
2016-11-02,4.88394584139265
2016-11-03,4.88394584139265
2016-11-04,4.88394584139265
2016-11-05,5.86073500967118
2016-11-06,5.86073500967118
2016-11-07,5.86073500967118
2016-11-08,8.79110251450677
2016-11-09,44.93230174081238
2016-11-10,28.32688588007737
2016-11-11,18.55899419729207
2016-11-12,15.62862669245648
2016-11-13,10.74468085106383
2016-11-14,7.81431334622824
2016-11-15,7.81431334622824
2016-11-16,4.88394584139265
2016-11-17,4.88394584139265
2016-11-18,3.90715667311412
2016-11-19,3.90715667311412
2016-11-20,3.90715667311412
2016-11-21,3.90715667311412
2016-11-22,1.95357833655706
2016-11-23,1.95357833655706
2016-11-24,2.93036750483559
2016-11-25,1.95357833655706
2016-11-26,1.95357833655706
2016-11-27,1.95357833655706
2016-11-28,1.95357833655706
2016-11-29,1.95357833655706
2016-11-30,0.97678916827853
2016-12-01,0.97678916827853
2016-12-02,1.95357833655706
2016-12-03,1.95357833655706
2016-12-04,0.97678916827853
2016-12-05,0.97678916827853
2016-12-06,1.95357833655706
2016-12-07,1.95357833655706
2016-12-08,0.97678916827853
2016-12-09,0.97678916827853
2016-12-10,1.95357833655706
2016-12-11,0.97678916827853
2016-12-12,0.97678916827853
2016-12-13,0.97678916827853
2016-12-14,1.95357833655706
2016-12-15,1.95357833655706
2016-12-16,0.97678916827853
2016-12-17,1.95357833655706
2016-12-18,1.95357833655706
2016-12-19,2.93036750483559
2016-12-20,2.93036750483559
2016-12-21,1.95357833655706
2016-12-22,0.97678916827853
2016-12-23,2.93036750483559
2016-12-24,1.95357833655706
2016-12-25,1.95357833655706
2016-12-26,0.97678916827853
2016-12-27,0.97678916827853
2016-12-28,0.97678916827853
2016-12-29,1.95357833655706
2016-12-30,0.97678916827853
2016-12-31,1.95357833655706
2017-01-01,1.95357833655706
2017-01-02,1.95357833655706
2017-01-03,1.95357833655706
2017-01-04,0.97678916827853
2017-01-05,0.97678916827853
2017-01-06,0.97678916827853
2017-01-07,0.97678916827853
2017-01-08,1.95357833655706
2017-01-09,0.97678916827853
2017-01-10,1.95357833655706
2017-01-11,2.93036750483559
2017-01-12,1.95357833655706
2017-01-13,0.97678916827853
2017-01-14,1.95357833655706
2017-01-15,3.90715667311412
2017-01-16,2.93036750483559
2017-01-17,2.93036750483559
2017-01-18,1.95357833655706
2017-01-19,3.90715667311412
2017-01-20,10.74468085106383
