date,hillary clinton mafia
2016-05-01,0.0
2016-05-02,0.0
2016-05-03,24.0
2016-05-04,24.0
2016-05-05,0.0
2016-05-06,0.0
2016-05-07,0.0
2016-05-08,0.0
2016-05-09,0.0
2016-05-10,0.0
2016-05-11,0.0
2016-05-12,0.0
2016-05-13,26.0
2016-05-14,0.0
2016-05-15,0.0
2016-05-16,0.0
2016-05-17,24.0
2016-05-18,0.0
2016-05-19,0.0
2016-05-20,26.0
2016-05-21,0.0
2016-05-22,0.0
2016-05-23,0.0
2016-05-24,24.0
2016-05-25,50.0
2016-05-26,0.0
2016-05-27,0.0
2016-05-28,0.0
2016-05-29,0.0
2016-05-30,25.0
2016-05-31,0.0
2016-06-01,0.0
2016-06-02,0.0
2016-06-03,0.0
2016-06-04,0.0
2016-06-05,0.0
2016-06-06,25.0
2016-06-07,0.0
2016-06-08,25.0
2016-06-09,0.0
2016-06-10,0.0
2016-06-11,29.0
2016-06-12,0.0
2016-06-13,0.0
2016-06-14,0.0
2016-06-15,25.0
2016-06-16,0.0
2016-06-17,0.0
2016-06-18,0.0
2016-06-19,0.0
2016-06-20,0.0
2016-06-21,25.0
2016-06-22,0.0
2016-06-23,25.0
2016-06-24,0.0
2016-06-25,0.0
2016-06-26,29.0
2016-06-27,25.0
2016-06-28,100.0
2016-06-29,0.0
2016-06-30,0.0
2016-07-01,0.0
2016-07-02,0.0
2016-07-03,0.0
2016-07-04,0.0
2016-07-05,0.0
2016-07-06,26.0
2016-07-07,0.0
2016-07-08,26.0
2016-07-09,0.0
2016-07-10,0.0
2016-07-11,0.0
2016-07-12,50.0
2016-07-13,25.0
2016-07-14,26.0
2016-07-15,0.0
2016-07-16,30.0
2016-07-17,0.0
2016-07-18,26.0
2016-07-19,0.0
2016-07-20,0.0
2016-07-21,0.0
2016-07-22,26.0
2016-07-23,0.0
2016-07-24,30.0
2016-07-25,0.0
2016-07-26,25.0
2016-07-27,51.0
2016-07-28,0.0
2016-07-29,27.0
2016-07-30,60.0
2016-07-31,30.0
2016-08-01,25.0
2016-08-02,0.0
2016-08-03,25.0
2016-08-04,26.0
2016-08-05,27.0
2016-08-06,31.0
2016-08-07,30.0
2016-08-08,0.0
2016-08-09,50.0
2016-08-10,0.0
2016-08-11,26.0
2016-08-12,26.0
2016-08-13,30.0
2016-08-14,30.0
2016-08-15,0.0
2016-08-16,51.0
2016-08-17,25.0
2016-08-18,0.0
2016-08-19,26.0
2016-08-20,29.0
2016-08-21,0.0
2016-08-22,25.0
2016-08-23,25.0
2016-08-24,25.0
2016-08-25,25.0
2016-08-26,26.0
2016-08-27,59.0
2016-08-28,0.0
2016-08-29,24.0
2016-08-30,0.0
2016-08-31,0.0
2016-09-01,0.0
2016-09-02,0.0
2016-09-03,0.0
2016-09-04,0.0
2016-09-05,0.0
2016-09-06,49.0
2016-09-07,0.0
2016-09-08,0.0
2016-09-09,25.0
2016-09-10,0.0
2016-09-11,28.0
2016-09-12,50.0
2016-09-13,49.0
2016-09-14,24.0
2016-09-15,25.0
2016-09-16,25.0
2016-09-17,28.0
2016-09-18,28.0
2016-09-19,48.0
2016-09-20,24.0
2016-09-21,0.0
2016-09-22,0.0
2016-09-23,26.0
2016-09-24,28.0
2016-09-25,70.0
2016-09-26,24.0
2016-09-27,36.0
2016-09-28,36.0
2016-09-29,24.0
2016-09-30,0.0
2016-10-01,34.79061685490878
2016-10-02,24.770199826238056
2016-10-03,43.10034752389227
2016-10-04,42.61033883579496
2016-10-05,21.800173761946134
2016-10-06,9.800173761946134
2016-10-07,52.180712423979145
2016-10-08,76.79061685490878
2016-10-09,75.80060816681147
2016-10-10,60.99044309296264
2016-10-11,51.200695047784535
2016-10-12,33.19026933101651
2016-10-13,21.800173761946134
2016-10-14,38.59035621198957
2016-10-15,25.270199826238056
2016-10-16,38.270199826238056
2016-10-17,21.300173761946134
2016-10-18,27.300173761946134
2016-10-19,26.2002606429192
2016-10-20,57.910512597741096
2016-10-21,10.29018245004344
2016-10-22,24.770199826238056
2016-10-23,30.650304083405736
2016-10-24,33.300173761946134
2016-10-25,25.710251954821892
2016-10-26,0.0
2016-10-27,31.600347523892268
2016-10-28,32.09035621198957
2016-10-29,25.270199826238056
2016-10-30,52.270199826238056
2016-10-31,39.19026933101651
2016-11-01,39.19026933101651
2016-11-02,19.600347523892268
2016-11-03,38.220677671589925
2016-11-04,30.380538662033015
2016-11-05,22.540399652476108
2016-11-06,44.1007819287576
2016-11-07,56.841007819287576
2016-11-08,18.620330147697654
2016-11-09,98.00173761946134
2016-11-10,38.220677671589925
2016-11-11,0.0
2016-11-12,33.320590790616855
2016-11-13,0.0
2016-11-14,18.620330147697654
2016-11-15,0.0
2016-11-16,0.0
2016-11-17,0.0
2016-11-18,0.0
2016-11-19,22.540399652476108
2016-11-20,0.0
2016-11-21,18.620330147697654
2016-11-22,0.0
2016-11-23,19.600347523892268
2016-11-24,19.600347523892268
2016-11-25,19.600347523892268
2016-11-26,0.0
2016-11-27,0.0
2016-11-28,0.0
2016-11-29,18.620330147697654
2016-11-30,0.0
2016-12-01,0.0
2016-12-02,0.0
2016-12-03,0.0
2016-12-04,0.0
2016-12-05,0.0
2016-12-06,0.0
2016-12-07,0.0
2016-12-08,0.0
2016-12-09,20.58036490008688
2016-12-10,0.0
2016-12-11,0.0
2016-12-12,0.0
2016-12-13,0.0
2016-12-14,0.0
2016-12-15,0.0
2016-12-16,20.58036490008688
2016-12-17,0.0
2016-12-18,0.0
2016-12-19,0.0
2016-12-20,0.0
2016-12-21,0.0
2016-12-22,20.58036490008688
2016-12-23,0.0
2016-12-24,0.0
2016-12-25,0.0
2016-12-26,0.0
2016-12-27,0.0
2016-12-28,0.0
2016-12-29,20.58036490008688
2016-12-30,0.0
2016-12-31,0.0
2017-01-01,0.0
2017-01-02,81.34144222415291
2017-01-03,18.620330147697654
2017-01-04,0.0
2017-01-05,0.0
2017-01-06,0.0
2017-01-07,0.0
2017-01-08,21.560382276281494
2017-01-09,0.0
2017-01-10,18.620330147697654
2017-01-11,0.0
2017-01-12,0.0
2017-01-13,0.0
2017-01-14,0.0
2017-01-15,21.560382276281494
2017-01-16,18.620330147697654
2017-01-17,0.0
2017-01-18,0.0
2017-01-19,0.0
2017-01-20,19.600347523892268
2017-01-21,21.560382276281494
2017-01-22,21.560382276281494
2017-01-23,18.620330147697654
2017-01-24,18.620330147697654
2017-01-25,0.0
2017-01-26,18.620330147697654
2017-01-27,0.0
2017-01-28,0.0
2017-01-29,0.0
2017-01-30,0.0
2017-01-31,0.0
2017-02-01,0.0
2017-02-02,0.0
2017-02-03,0.0
2017-02-04,0.0
2017-02-05,0.0
2017-02-06,0.0
