date,obama farewell
2016-05-01,100.0
2016-05-02,21.0
2016-05-03,47.0
2016-05-04,16.0
2016-05-05,0.0
2016-05-06,34.0
2016-05-07,13.0
2016-05-08,25.0
2016-05-09,21.0
2016-05-10,42.0
2016-05-11,11.0
2016-05-12,21.0
2016-05-13,0.0
2016-05-14,0.0
2016-05-15,12.0
2016-05-16,0.0
2016-05-17,10.0
2016-05-18,10.0
2016-05-19,0.0
2016-05-20,0.0
2016-05-21,13.0
2016-05-22,19.0
2016-05-23,0.0
2016-05-24,0.0
2016-05-25,11.0
2016-05-26,17.0
2016-05-27,0.0
2016-05-28,13.0
2016-05-29,19.0
2016-05-30,0.0
2016-05-31,11.0
2016-06-01,0.0
2016-06-02,0.0
2016-06-03,0.0
2016-06-04,0.0
2016-06-05,0.0
2016-06-06,0.0
2016-06-07,0.0
2016-06-08,0.0
2016-06-09,0.0
2016-06-10,11.0
2016-06-11,13.0
2016-06-12,0.0
2016-06-13,0.0
2016-06-14,10.0
2016-06-15,0.0
2016-06-16,0.0
2016-06-17,11.0
2016-06-18,13.0
2016-06-19,13.0
2016-06-20,0.0
2016-06-21,0.0
2016-06-22,0.0
2016-06-23,0.0
2016-06-24,0.0
2016-06-25,13.0
2016-06-26,0.0
2016-06-27,0.0
2016-06-28,0.0
2016-06-29,0.0
2016-06-30,0.0
2016-07-01,0.0
2016-07-02,0.0
2016-07-03,0.0
2016-07-04,0.0
2016-07-05,0.0
2016-07-06,0.0
2016-07-07,0.0
2016-07-08,12.0
2016-07-09,0.0
2016-07-10,0.0
2016-07-11,11.0
2016-07-12,0.0
2016-07-13,0.0
2016-07-14,11.0
2016-07-15,11.0
2016-07-16,0.0
2016-07-17,13.0
2016-07-18,0.0
2016-07-19,11.0
2016-07-20,0.0
2016-07-21,0.0
2016-07-22,0.0
2016-07-23,0.0
2016-07-24,0.0
2016-07-25,11.0
2016-07-26,11.0
2016-07-27,0.0
2016-07-28,11.0
2016-07-29,0.0
2016-07-30,13.0
2016-07-31,26.0
2016-08-01,0.0
2016-08-02,11.0
2016-08-03,11.0
2016-08-04,0.0
2016-08-05,11.0
2016-08-06,13.0
2016-08-07,13.0
2016-08-08,0.0
2016-08-09,0.0
2016-08-10,0.0
2016-08-11,0.0
2016-08-12,0.0
2016-08-13,0.0
2016-08-14,0.0
2016-08-15,0.0
2016-08-16,11.0
2016-08-17,0.0
2016-08-18,11.0
2016-08-19,0.0
2016-08-20,12.0
2016-08-21,0.0
2016-08-22,0.0
2016-08-23,0.0
2016-08-24,22.0
2016-08-25,0.0
2016-08-26,0.0
2016-08-27,0.0
2016-08-28,0.0
2016-08-29,0.0
2016-08-30,11.0
2016-08-31,0.0
2016-09-01,0.0
2016-09-02,11.0
2016-09-03,0.0
2016-09-04,12.0
2016-09-05,0.0
2016-09-06,0.0
2016-09-07,21.0
2016-09-08,0.0
2016-09-09,11.0
2016-09-10,0.0
2016-09-11,0.0
2016-09-12,0.0
2016-09-13,0.0
2016-09-14,0.0
2016-09-15,11.0
2016-09-16,0.0
2016-09-17,0.0
2016-09-18,0.0
2016-09-19,10.0
2016-09-20,20.0
2016-09-21,21.0
2016-09-22,10.0
2016-09-23,11.0
2016-09-24,12.0
2016-09-25,12.0
2016-09-26,10.0
2016-09-27,0.0
2016-09-28,10.0
2016-09-29,10.0
2016-09-30,11.0
2016-10-01,0.0
2016-10-02,0.0
2016-10-03,5.0
2016-10-04,5.0
2016-10-05,10.0
2016-10-06,0.0
2016-10-07,5.0
2016-10-08,6.0
2016-10-09,0.0
2016-10-10,10.5
2016-10-11,0.0
2016-10-12,5.0
2016-10-13,5.0
2016-10-14,0.0
2016-10-15,6.0
2016-10-16,0.0
2016-10-17,0.0
2016-10-18,0.0
2016-10-19,5.0
2016-10-20,0.0
2016-10-21,10.5
2016-10-22,6.0
2016-10-23,0.0
2016-10-24,0.0
2016-10-25,0.0
2016-10-26,5.0
2016-10-27,0.0
2016-10-28,5.5
2016-10-29,6.0
2016-10-30,6.0
2016-10-31,0.0
2016-11-01,5.0
2016-11-02,0.0
2016-11-03,0.0
2016-11-04,0.0
2016-11-05,0.0
2016-11-06,0.0
2016-11-07,0.0
2016-11-08,0.0
2016-11-09,0.0
2016-11-10,0.0
2016-11-11,0.0
2016-11-12,0.0
2016-11-13,0.0
2016-11-14,0.0
2016-11-15,0.0
2016-11-16,0.0
