date,deplorables
2016-05-01,0.0
2016-05-02,0.0
2016-05-03,0.0
2016-05-04,0.0
2016-05-05,0.0
2016-05-06,0.0
2016-05-07,0.0
2016-05-08,0.0
2016-05-09,0.0
2016-05-10,0.0
2016-05-11,0.0
2016-05-12,0.0
2016-05-13,0.0
2016-05-14,0.0
2016-05-15,0.0
2016-05-16,0.0
2016-05-17,0.0
2016-05-18,0.0
2016-05-19,0.0
2016-05-20,0.0
2016-05-21,0.0
2016-05-22,0.0
2016-05-23,0.0
2016-05-24,0.0
2016-05-25,0.0
2016-05-26,0.0
2016-05-27,0.0
2016-05-28,0.0
2016-05-29,0.0
2016-05-30,0.0
2016-05-31,0.0
2016-06-01,0.0
2016-06-02,0.0
2016-06-03,0.0
2016-06-04,0.0
2016-06-05,0.0
2016-06-06,0.0
2016-06-07,0.0
2016-06-08,0.0
2016-06-09,0.0
2016-06-10,0.0
2016-06-11,0.0
2016-06-12,0.0
2016-06-13,0.0
2016-06-14,0.0
2016-06-15,0.0
2016-06-16,0.0
2016-06-17,0.0
2016-06-18,0.0
2016-06-19,0.0
2016-06-20,0.0
2016-06-21,0.0
2016-06-22,0.0
2016-06-23,0.0
2016-06-24,0.0
2016-06-25,0.0
2016-06-26,0.0
2016-06-27,0.0
2016-06-28,0.0
2016-06-29,0.0
2016-06-30,0.0
2016-07-01,0.0
2016-07-02,0.0
2016-07-03,0.0
2016-07-04,0.0
2016-07-05,0.0
2016-07-06,0.0
2016-07-07,0.0
2016-07-08,0.0
2016-07-09,0.0
2016-07-10,0.0
2016-07-11,0.0
2016-07-12,0.0
2016-07-13,0.0
2016-07-14,0.0
2016-07-15,0.0
2016-07-16,0.0
2016-07-17,0.0
2016-07-18,0.0
2016-07-19,0.0
2016-07-20,0.0
2016-07-21,0.0
2016-07-22,0.0
2016-07-23,0.0
2016-07-24,0.0
2016-07-25,0.0
2016-07-26,0.0
2016-07-27,0.0
2016-07-28,0.0
2016-07-29,0.0
2016-07-30,0.0
2016-07-31,0.0
2016-08-01,0.0
2016-08-02,0.0
2016-08-03,0.0
2016-08-04,0.0
2016-08-05,0.0
2016-08-06,0.0
2016-08-07,0.0
2016-08-08,0.0
2016-08-09,0.0
2016-08-10,0.0
2016-08-11,0.0
2016-08-12,0.0
2016-08-13,0.0
2016-08-14,0.0
2016-08-15,0.0
2016-08-16,0.0
2016-08-17,0.0
2016-08-18,0.0
2016-08-19,0.0
2016-08-20,0.0
2016-08-21,0.0
2016-08-22,0.0
2016-08-23,0.0
2016-08-24,0.0
2016-08-25,0.0
2016-08-26,0.0
2016-08-27,0.0
2016-08-28,0.0
2016-08-29,0.0
2016-08-30,0.0
2016-08-31,0.0
2016-09-01,0.0
2016-09-02,0.0
2016-09-03,0.0
2016-09-04,0.0
2016-09-05,0.0
2016-09-06,0.0
2016-09-07,0.0
2016-09-08,0.0
2016-09-09,0.0
2016-09-10,100.0
2016-09-11,67.0
2016-09-12,71.0
2016-09-13,71.0
2016-09-14,37.0
2016-09-15,22.0
2016-09-16,21.0
2016-09-17,29.0
2016-09-18,15.0
2016-09-19,8.0
2016-09-20,8.0
2016-09-21,7.0
2016-09-22,5.0
2016-09-23,5.0
2016-09-24,4.0
2016-09-25,3.0
2016-09-26,4.0
2016-09-27,9.0
2016-09-28,6.0
2016-09-29,4.0
2016-09-30,4.0
2016-10-01,4.58356940509915
2016-10-02,3.2223796033994336
2016-10-03,3.7223796033994336
2016-10-04,3.007082152974504
2016-10-05,9.951841359773372
2016-10-06,6.08356940509915
2016-10-07,4.652974504249292
2016-10-08,5.729461756373938
2016-10-09,4.868271954674221
2016-10-10,15.035410764872521
2016-10-11,5.298866855524079
2016-10-12,5.08356940509915
2016-10-13,6.514164305949008
2016-10-14,4.652974504249292
2016-10-15,4.368271954674221
2016-10-16,4.152974504249292
2016-10-17,4.437677053824363
2016-10-18,3.2223796033994336
2016-10-19,4.152974504249292
2016-10-20,4.368271954674221
2016-10-21,4.368271954674221
2016-10-22,3.507082152974504
2016-10-23,3.007082152974504
2016-10-24,3.7223796033994336
2016-10-25,3.2223796033994336
2016-10-26,3.4376770538243626
2016-10-27,3.7223796033994336
2016-10-28,4.58356940509915
2016-10-29,5.368271954674221
2016-10-30,3.9376770538243626
2016-10-31,3.2223796033994336
2016-11-01,2.791784702549575
2016-11-02,3.444759206798867
2016-11-03,6.028328611898017
2016-11-04,3.444759206798867
2016-11-05,5.1671388101983
2016-11-06,4.305949008498583
2016-11-07,5.1671388101983
2016-11-08,10.3342776203966
2016-11-09,43.05949008498583
2016-11-10,24.543909348441925
2016-11-11,15.932011331444759
2016-11-12,11.626062322946176
2016-11-13,9.473087818696884
2016-11-14,7.320113314447592
2016-11-15,6.028328611898017
2016-11-16,4.305949008498583
2016-11-17,3.444759206798867
2016-11-18,3.0141643059490084
2016-11-19,3.444759206798867
2016-11-20,2.58356940509915
2016-11-21,2.1529745042492916
2016-11-22,2.1529745042492916
2016-11-23,1.7223796033994334
2016-11-24,1.7223796033994334
2016-11-25,1.7223796033994334
2016-11-26,1.291784702549575
2016-11-27,2.1529745042492916
2016-11-28,1.7223796033994334
2016-11-29,1.7223796033994334
2016-11-30,1.291784702549575
2016-12-01,1.291784702549575
2016-12-02,1.7223796033994334
2016-12-03,1.7223796033994334
2016-12-04,3.0141643059490084
2016-12-05,1.7223796033994334
2016-12-06,1.291784702549575
2016-12-07,1.291784702549575
2016-12-08,1.291784702549575
2016-12-09,1.7223796033994334
2016-12-10,1.7223796033994334
2016-12-11,1.291784702549575
2016-12-12,1.7223796033994334
2016-12-13,2.58356940509915
2016-12-14,3.0141643059490084
2016-12-15,2.1529745042492916
2016-12-16,2.58356940509915
2016-12-17,2.58356940509915
2016-12-18,2.58356940509915
2016-12-19,2.1529745042492916
2016-12-20,2.1529745042492916
2016-12-21,1.7223796033994334
2016-12-22,1.291784702549575
2016-12-23,1.7223796033994334
2016-12-24,2.1529745042492916
2016-12-25,2.1529745042492916
2016-12-26,1.291784702549575
2016-12-27,1.7223796033994334
2016-12-28,0.8611898016997167
2016-12-29,1.291784702549575
2016-12-30,1.7223796033994334
2016-12-31,2.1529745042492916
2017-01-01,2.1529745042492916
2017-01-02,1.291784702549575
2017-01-03,0.8611898016997167
2017-01-04,0.8611898016997167
2017-01-05,0.8611898016997167
2017-01-06,0.8611898016997167
2017-01-07,0.8611898016997167
2017-01-08,1.291784702549575
2017-01-09,1.7223796033994334
2017-01-10,1.7223796033994334
2017-01-11,1.291784702549575
2017-01-12,1.291784702549575
2017-01-13,0.8611898016997167
2017-01-14,1.291784702549575
2017-01-15,1.7223796033994334
2017-01-16,1.7223796033994334
2017-01-17,1.291784702549575
