date,hillary clinton sick
2016-05-01,0.0
2016-05-02,0.0
2016-05-03,1.0
2016-05-04,0.0
2016-05-05,1.0
2016-05-06,0.0
2016-05-07,0.0
2016-05-08,0.0
2016-05-09,0.0
2016-05-10,0.0
2016-05-11,1.0
2016-05-12,1.0
2016-05-13,0.0
2016-05-14,0.0
2016-05-15,0.0
2016-05-16,0.0
2016-05-17,1.0
2016-05-18,0.0
2016-05-19,0.0
2016-05-20,0.0
2016-05-21,0.0
2016-05-22,1.0
2016-05-23,1.0
2016-05-24,0.0
2016-05-25,1.0
2016-05-26,1.0
2016-05-27,1.0
2016-05-28,0.0
2016-05-29,0.0
2016-05-30,0.0
2016-05-31,1.0
2016-06-01,0.0
2016-06-02,0.0
2016-06-03,0.0
2016-06-04,1.0
2016-06-05,0.0
2016-06-06,0.0
2016-06-07,1.0
2016-06-08,1.0
2016-06-09,0.0
2016-06-10,1.0
2016-06-11,2.0
2016-06-12,0.0
2016-06-13,0.0
2016-06-14,0.0
2016-06-15,0.0
2016-06-16,0.0
2016-06-17,1.0
2016-06-18,0.0
2016-06-19,1.0
2016-06-20,0.0
2016-06-21,1.0
2016-06-22,0.0
2016-06-23,1.0
2016-06-24,0.0
2016-06-25,0.0
2016-06-26,0.0
2016-06-27,0.0
2016-06-28,1.0
2016-06-29,0.0
2016-06-30,0.0
2016-07-01,1.0
2016-07-02,0.0
2016-07-03,1.0
2016-07-04,0.0
2016-07-05,0.0
2016-07-06,1.0
2016-07-07,1.0
2016-07-08,1.0
2016-07-09,0.0
2016-07-10,0.0
2016-07-11,0.0
2016-07-12,0.0
2016-07-13,0.0
2016-07-14,0.0
2016-07-15,0.0
2016-07-16,0.0
2016-07-17,0.0
2016-07-18,0.0
2016-07-19,0.0
2016-07-20,1.0
2016-07-21,0.0
2016-07-22,1.0
2016-07-23,1.0
2016-07-24,1.0
2016-07-25,1.0
2016-07-26,1.0
2016-07-27,2.0
2016-07-28,2.0
2016-07-29,7.0
2016-07-30,3.0
2016-07-31,2.0
2016-08-01,0.0
2016-08-02,0.0
2016-08-03,1.0
2016-08-04,1.0
2016-08-05,1.0
2016-08-06,1.0
2016-08-07,2.0
2016-08-08,5.0
2016-08-09,7.0
2016-08-10,6.0
2016-08-11,8.0
2016-08-12,4.0
2016-08-13,5.0
2016-08-14,3.0
2016-08-15,5.0
2016-08-16,5.0
2016-08-17,7.0
2016-08-18,7.0
2016-08-19,6.0
2016-08-20,6.0
2016-08-21,6.0
2016-08-22,13.0
2016-08-23,11.0
2016-08-24,8.0
2016-08-25,4.0
2016-08-26,5.0
2016-08-27,6.0
2016-08-28,4.0
2016-08-29,5.0
2016-08-30,4.0
2016-08-31,3.0
2016-09-01,5.0
2016-09-02,4.0
2016-09-03,4.0
2016-09-04,4.0
2016-09-05,6.0
2016-09-06,13.0
2016-09-07,10.0
2016-09-08,5.0
2016-09-09,7.0
2016-09-10,4.0
2016-09-11,72.0
2016-09-12,100.0
2016-09-13,51.0
2016-09-14,40.0
2016-09-15,22.0
2016-09-16,15.0
2016-09-17,13.0
2016-09-18,9.0
2016-09-19,10.0
2016-09-20,7.0
2016-09-21,10.0
2016-09-22,9.0
2016-09-23,6.0
2016-09-24,4.0
2016-09-25,6.0
2016-09-26,8.0
2016-09-27,6.0
2016-09-28,4.0
2016-09-29,4.0
2016-09-30,2.0
2016-10-01,2.831484049930652
2016-10-02,2.3321775312066575
2016-10-03,1.8876560332871013
2016-10-04,1.5540915395284327
2016-10-05,0.9438280166435506
2016-10-06,2.9424410540915398
2016-10-07,1.8321775312066575
2016-10-08,0.9438280166435506
2016-10-09,1.943134535367545
2016-10-10,4.219140083217753
2016-10-11,2.1650485436893208
2016-10-12,2.2760055478502084
2016-10-13,2.331484049930652
2016-10-14,1.3883495145631068
2016-10-15,1.7212205270457699
2016-10-16,3.3307905686546464
2016-10-17,2.886962552011096
2016-10-18,2.2205270457697646
2016-10-19,1.7212205270457699
2016-10-20,7.106102635228849
2016-10-21,3.108876560332871
2016-10-22,2.331484049930652
2016-10-23,2.498613037447989
2016-10-24,3.164355062413315
2016-10-25,2.7760055478502084
2016-10-26,2.886962552011096
2016-10-27,1.8876560332871013
2016-10-28,1.8876560332871013
2016-10-29,2.664355062413315
2016-10-30,2.831484049930652
2016-10-31,2.498613037447989
2016-11-01,2.88626907073509
2016-11-02,3.32871012482663
2016-11-03,3.4396671289875176
2016-11-04,3.2177531206657424
2016-11-05,3.661581137309293
2016-11-06,2.7739251040221915
2016-11-07,3.883495145631068
2016-11-08,7.545076282940361
2016-11-09,11.095700416088766
2016-11-10,4.882108183079057
2016-11-11,4.5492371705963945
2016-11-12,2.219140083217753
2016-11-13,2.5520110957004163
2016-11-14,1.9972260748959778
2016-11-15,1.8862690707350902
2016-11-16,2.1081830790568654
2016-11-17,3.661581137309293
2016-11-18,1.664355062413315
2016-11-19,2.4410540915395287
2016-11-20,1.4424410540915396
2016-11-21,1.664355062413315
2016-11-22,2.4410540915395287
2016-11-23,2.1081830790568654
2016-11-24,1.7753120665742026
2016-11-25,1.4424410540915396
2016-11-26,1.4424410540915396
2016-11-27,2.7739251040221915
2016-11-28,1.331484049930652
2016-11-29,1.664355062413315
2016-11-30,0.332871012482663
2016-12-01,0.665742024965326
2016-12-02,0.665742024965326
2016-12-03,1.2205270457697643
2016-12-04,1.7753120665742026
2016-12-05,1.2205270457697643
2016-12-06,1.664355062413315
2016-12-07,0.665742024965326
2016-12-08,0.8876560332871013
2016-12-09,0.5547850208044383
2016-12-10,0.44382801664355065
2016-12-11,0.9986130374479889
2016-12-12,0.665742024965326
2016-12-13,0.332871012482663
2016-12-14,1.5533980582524274
2016-12-15,0.8876560332871013
2016-12-16,1.4424410540915396
2016-12-17,0.44382801664355065
2016-12-18,0.44382801664355065
2016-12-19,0.332871012482663
2016-12-20,1.1095700416088765
2016-12-21,0.8876560332871013
2016-12-22,0.332871012482663
2016-12-23,1.2205270457697643
2016-12-24,0.44382801664355065
2016-12-25,0.0
2016-12-26,0.7766990291262137
2016-12-27,1.1095700416088765
2016-12-28,0.5547850208044383
2016-12-29,0.7766990291262137
2016-12-30,1.1095700416088765
2016-12-31,0.8876560332871013
2017-01-01,0.44382801664355065
2017-01-02,0.332871012482663
2017-01-03,0.8876560332871013
2017-01-04,1.664355062413315
2017-01-05,0.332871012482663
2017-01-06,1.1095700416088765
2017-01-07,0.9986130374479889
2017-01-08,0.332871012482663
2017-01-09,0.665742024965326
2017-01-10,0.9986130374479889
2017-01-11,0.332871012482663
2017-01-12,0.8876560332871013
2017-01-13,0.9986130374479889
2017-01-14,0.332871012482663
2017-01-15,1.1095700416088765
2017-01-16,1.1095700416088765
