date,putin fraud
2017-02-17,0.0
2017-02-18,0.0
2017-02-19,0.0
2017-02-20,0.0
2017-02-21,0.0
2017-02-22,17.01219512195122
2017-02-23,0.0
2017-02-24,0.0
2017-02-25,0.0
2017-02-26,0.0
2017-02-27,0.0
2017-02-28,17.86280487804878
2017-03-01,0.0
2017-03-02,11.828073500329598
2017-03-03,0.0
2017-03-04,0.0
2017-03-05,0.0
2017-03-06,20.09278180619644
2017-03-07,0.0
2017-03-08,0.0
2017-03-09,0.0
2017-03-10,0.0
2017-03-11,0.0
2017-03-12,0.0
2017-03-13,0.0
2017-03-14,0.0
2017-03-15,0.0
2017-03-16,8.50609756097561
2017-03-17,0.0
2017-03-18,0.0
2017-03-19,0.0
2017-03-20,0.0
2017-03-21,0.0
2017-03-22,0.0
2017-03-23,0.0
2017-03-24,12.310852010547132
2017-03-25,0.0
2017-03-26,10.207317073170731
2017-03-27,0.0
2017-03-28,8.50609756097561
2017-03-29,0.0
2017-03-30,0.0
2017-03-31,0.0
2017-04-01,0.0
2017-04-02,0.0
2017-04-03,24.13892551087673
2017-04-04,0.0
2017-04-05,0.0
2017-04-06,24.13892551087673
2017-04-07,25.1044825313118
2017-04-08,0.0
2017-04-09,0.0
2017-04-10,0.0
2017-04-11,0.0
2017-04-12,0.0
2017-04-13,0.0
2017-04-14,0.0
2017-04-15,0.0
2017-04-16,28.966710613052076
2017-04-17,0.0
2017-04-18,23.656147000659196
2017-04-19,0.0
2017-04-20,0.0
2017-04-21,0.0
2017-04-22,0.0
2017-04-23,0.0
2017-04-24,0.0
2017-04-25,0.0
2017-04-26,0.0
2017-04-27,0.0
2017-04-28,0.0
2017-04-29,0.0
2017-04-30,0.0
2017-05-01,0.0
2017-05-02,0.0
2017-05-03,0.0
2017-05-04,23.656147000659196
2017-05-05,0.0
2017-05-06,0.0
2017-05-07,0.0
2017-05-08,0.0
2017-05-09,0.0
2017-05-10,23.656147000659196
2017-05-11,24.13892551087673
2017-05-12,24.621704021094263
2017-05-13,0.0
2017-05-14,0.0
2017-05-15,0.0
2017-05-16,0.0
2017-05-17,23.656147000659196
2017-05-18,0.0
2017-05-19,0.0
2017-05-20,0.0
2017-05-21,0.0
2017-05-22,0.0
2017-05-23,0.0
2017-05-24,0.0
2017-05-25,0.0
2017-05-26,0.0
2017-05-27,28.966710613052076
2017-05-28,0.0
2017-05-29,25.1044825313118
2017-05-30,0.0
2017-05-31,48.27785102175346
2017-06-01,0.0
2017-06-02,25.587261041529334
2017-06-03,28.48393210283454
