date,hillary strength
2016-05-01,23.97073170731707
2016-05-02,61.46341463414634
2016-05-03,39.33658536585366
2016-05-04,0.0
2016-05-05,42.40975609756097
2016-05-06,0.0
2016-05-07,0.0
2016-05-08,0.0
2016-05-09,0.0
2016-05-10,0.0
2016-05-11,0.0
2016-05-12,20.28292682926829
2016-05-13,0.0
2016-05-14,0.0
2016-05-15,0.0
2016-05-16,20.28292682926829
2016-05-17,19.66829268292683
2016-05-18,0.0
2016-05-19,30.73170731707317
2016-05-20,20.897560975609757
2016-05-21,0.0
2016-05-22,0.0
2016-05-23,20.28292682926829
2016-05-24,0.0
2016-05-25,20.28292682926829
2016-05-26,0.0
2016-05-27,0.0
2016-05-28,0.0
2016-05-29,0.0
2016-05-30,20.897560975609757
2016-05-31,0.0
2016-06-01,0.0
2016-06-02,0.0
2016-06-03,21.51219512195122
2016-06-04,24.585365853658537
2016-06-05,0.0
2016-06-06,40.56585365853658
2016-06-07,40.56585365853658
2016-06-08,41.18048780487805
2016-06-09,20.897560975609757
2016-06-10,21.51219512195122
2016-06-11,0.0
2016-06-12,0.0
2016-06-13,30.117073170731707
2016-06-14,20.28292682926829
2016-06-15,0.0
2016-06-16,0.0
2016-06-17,0.0
2016-06-18,23.97073170731707
2016-06-19,0.0
2016-06-20,20.28292682926829
2016-06-21,0.0
2016-06-22,0.0
2016-06-23,0.0
2016-06-24,0.0
2016-06-25,0.0
2016-06-26,0.0
2016-06-27,0.0
2016-06-28,0.0
2016-06-29,20.28292682926829
2016-06-30,0.0
2016-07-01,0.0
2016-07-02,24.585365853658537
2016-07-03,0.0
2016-07-04,21.51219512195122
2016-07-05,20.897560975609757
2016-07-06,0.0
2016-07-07,21.51219512195122
2016-07-08,22.12682926829268
2016-07-09,24.585365853658537
2016-07-10,0.0
2016-07-11,20.897560975609757
2016-07-12,0.0
2016-07-13,20.897560975609757
2016-07-14,41.795121951219514
2016-07-15,0.0
2016-07-16,0.0
2016-07-17,0.0
2016-07-18,0.0
2016-07-19,20.897560975609757
2016-07-20,0.0
2016-07-21,20.897560975609757
2016-07-22,21.51219512195122
2016-07-23,36.8780487804878
2016-07-24,0.0
2016-07-25,0.0
2016-07-26,20.897560975609757
2016-07-27,31.346341463414635
2016-07-28,20.897560975609757
2016-07-29,32.57560975609756
2016-07-30,49.78536585365853
2016-07-31,24.585365853658537
2016-08-01,0.0
2016-08-02,0.0
