date,putin car
2016-05-01,0.0
2016-05-02,2.0
2016-05-03,3.0
2016-05-04,2.0
2016-05-05,2.0
2016-05-06,0.0
2016-05-07,4.0
2016-05-08,2.0
2016-05-09,2.0
2016-05-10,0.0
2016-05-11,0.0
2016-05-12,2.0
2016-05-13,10.0
2016-05-14,5.0
2016-05-15,5.0
2016-05-16,2.0
2016-05-17,2.0
2016-05-18,2.0
2016-05-19,3.0
2016-05-20,3.0
2016-05-21,4.0
2016-05-22,4.0
2016-05-23,0.0
2016-05-24,2.0
2016-05-25,2.0
2016-05-26,0.0
2016-05-27,4.0
2016-05-28,2.0
2016-05-29,4.0
2016-05-30,3.0
2016-05-31,3.0
2016-06-01,3.0
2016-06-02,2.0
2016-06-03,4.0
2016-06-04,14.0
2016-06-05,6.0
2016-06-06,3.0
2016-06-07,2.0
2016-06-08,3.0
2016-06-09,3.0
2016-06-10,2.0
2016-06-11,2.0
2016-06-12,2.0
2016-06-13,2.0
2016-06-14,5.0
2016-06-15,2.0
2016-06-16,2.0
2016-06-17,2.0
2016-06-18,2.0
2016-06-19,2.0
2016-06-20,2.0
2016-06-21,0.0
2016-06-22,2.0
2016-06-23,3.0
2016-06-24,3.0
2016-06-25,2.0
2016-06-26,4.0
2016-06-27,2.0
2016-06-28,3.0
2016-06-29,0.0
2016-06-30,0.0
2016-07-01,3.0
2016-07-02,4.0
2016-07-03,0.0
2016-07-04,0.0
2016-07-05,2.0
2016-07-06,2.0
2016-07-07,2.0
2016-07-08,2.0
2016-07-09,0.0
2016-07-10,3.0
2016-07-11,3.0
2016-07-12,3.0
2016-07-13,2.0
2016-07-14,3.0
2016-07-15,2.0
2016-07-16,2.0
2016-07-17,4.0
2016-07-18,3.0
2016-07-19,0.0
2016-07-20,2.0
2016-07-21,3.0
2016-07-22,2.0
2016-07-23,4.0
2016-07-24,0.0
2016-07-25,2.0
2016-07-26,3.0
2016-07-27,2.0
2016-07-28,4.0
2016-07-29,5.0
2016-07-30,4.0
2016-07-31,5.0
2016-08-01,3.0
2016-08-02,3.0
2016-08-03,5.0
2016-08-04,7.0
2016-08-05,5.0
2016-08-06,4.0
2016-08-07,2.0
2016-08-08,2.0
2016-08-09,2.0
2016-08-10,2.0
2016-08-11,3.0
2016-08-12,3.0
2016-08-13,2.0
2016-08-14,4.0
2016-08-15,4.0
2016-08-16,3.0
2016-08-17,4.0
2016-08-18,2.0
2016-08-19,4.0
2016-08-20,3.0
2016-08-21,4.0
2016-08-22,4.0
2016-08-23,3.0
2016-08-24,2.0
2016-08-25,2.0
2016-08-26,12.0
2016-08-27,2.0
2016-08-28,6.0
2016-08-29,4.0
2016-08-30,2.0
2016-08-31,2.0
2016-09-01,2.0
2016-09-02,0.0
2016-09-03,2.0
2016-09-04,3.0
2016-09-05,4.0
2016-09-06,49.0
2016-09-07,100.0
2016-09-08,52.0
2016-09-09,39.0
2016-09-10,21.0
2016-09-11,10.0
2016-09-12,11.0
2016-09-13,6.0
2016-09-14,6.0
2016-09-15,4.0
2016-09-16,7.0
2016-09-17,7.0
2016-09-18,3.0
2016-09-19,2.0
2016-09-20,3.0
2016-09-21,2.0
2016-09-22,6.0
2016-09-23,5.0
2016-09-24,2.0
2016-09-25,3.0
2016-09-26,6.0
2016-09-27,5.0
2016-09-28,3.0
2016-09-29,5.0
2016-09-30,3.0
2016-10-01,3.0992217898832686
2016-10-02,4.099221789883268
2016-10-03,2.432879377431907
2016-10-04,5.232003891050583
2016-10-05,4.832198443579767
2016-10-06,4.365758754863814
2016-10-07,2.932392996108949
2016-10-08,4.6658560311284045
2016-10-09,5.1322957198443575
2016-10-10,4.365758754863814
2016-10-11,3.8657587548638133
2016-10-12,5.398832684824903
2016-10-13,5.332198443579767
2016-10-14,4.865272373540856
2016-10-15,6.798151750972762
2016-10-16,4.1322957198443575
2016-10-17,6.098249027237355
2016-10-18,9.03112840466926
2016-10-19,4.365758754863814
2016-10-20,4.299124513618677
2016-10-21,5.831712062256809
2016-10-22,2.5992217898832686
2016-10-23,3.132295719844358
2016-10-24,2.89931906614786
2016-10-25,1.8662451361867705
2016-10-26,4.232003891050583
2016-10-27,4.832198443579767
2016-10-28,1.9995136186770428
2016-10-29,4.698929961089494
2016-10-30,5.698443579766537
2016-10-31,1.9328793774319066
2016-11-01,1.9328793774319066
2016-11-02,1.8657587548638133
2016-11-03,3.598249027237354
2016-11-04,0.0
2016-11-05,5.197470817120623
2016-11-06,2.132295719844358
2016-11-07,1.732490272373541
2016-11-08,13.326848249027238
2016-11-09,10.1284046692607
2016-11-10,5.464007782101167
2016-11-11,6.663424124513619
2016-11-12,6.396887159533074
2016-11-13,6.2636186770428015
2016-11-14,4.531128404669261
2016-11-15,0.0
2016-11-16,3.598249027237354
2016-11-17,1.8657587548638133
2016-11-18,4.664396887159533
2016-11-19,4.131322957198443
2016-11-20,3.0651750972762644
2016-11-21,8.129377431906615
2016-11-22,7.196498054474708
2016-11-23,7.32976653696498
2016-11-24,1.8657587548638133
2016-11-25,1.8657587548638133
2016-11-26,1.9990272373540856
2016-11-27,1.9990272373540856
2016-11-28,3.464980544747082
2016-11-29,1.732490272373541
2016-11-30,3.598249027237354
2016-12-01,5.464007782101167
2016-12-02,2.7986381322957197
2016-12-03,1.9990272373540856
2016-12-04,4.131322957198443
2016-12-05,4.531128404669261
2016-12-06,1.732490272373541
2016-12-07,2.6653696498054473
2016-12-08,3.7315175097276265
2016-12-09,2.931906614785992
2016-12-10,3.598249027237354
2016-12-11,5.330739299610895
2016-12-12,1.732490272373541
2016-12-13,4.531128404669261
2016-12-14,5.464007782101167
2016-12-15,5.464007782101167
2016-12-16,5.730544747081712
2016-12-17,5.330739299610895
2016-12-18,7.32976653696498
2016-12-19,3.598249027237354
2016-12-20,5.597276264591439
2016-12-21,5.730544747081712
2016-12-22,1.9990272373540856
2016-12-23,6.130350194552529
2016-12-24,6.929961089494164
2016-12-25,4.664396887159533
2016-12-26,4.131322957198443
2016-12-27,3.864785992217899
2016-12-28,3.864785992217899
2016-12-29,4.797665369649805
2016-12-30,9.062256809338521
2016-12-31,5.597276264591439
2017-01-01,5.730544747081712
2017-01-02,5.730544747081712
2017-01-03,5.464007782101167
2017-01-04,3.598249027237354
2017-01-05,6.396887159533074
2017-01-06,4.664396887159533
2017-01-07,3.0651750972762644
2017-01-08,3.0651750972762644
2017-01-09,2.6653696498054473
2017-01-10,3.464980544747082
2017-01-11,2.6653696498054473
2017-01-12,6.130350194552529
2017-01-13,3.598249027237354
2017-01-14,3.0651750972762644
2017-01-15,1.9990272373540856
2017-01-16,3.464980544747082
2017-01-17,6.130350194552529
2017-01-18,3.464980544747082
2017-01-19,3.598249027237354
2017-01-20,8.928988326848248
2017-01-21,5.06420233463035
2017-01-22,5.997081712062257
2017-01-23,6.130350194552529
2017-01-24,4.397859922178989
2017-01-25,2.6653696498054473
2017-01-26,1.732490272373541
2017-01-27,3.598249027237354
2017-01-28,5.197470817120623
2017-01-29,5.06420233463035
2017-01-30,8.662451361867705
2017-01-31,0.0
2017-02-01,2.6653696498054473
2017-02-02,4.397859922178989
2017-02-03,8.129377431906615
2017-02-04,3.998054474708171
2017-02-05,8.795719844357977
2017-02-06,5.997081712062257
2017-02-07,3.464980544747082
2017-02-08,3.464980544747082
2017-02-09,3.464980544747082
2017-02-10,3.598249027237354
2017-02-11,3.0651750972762644
2017-02-12,0.0
2017-02-13,5.06420233463035
2017-02-14,2.6653696498054473
2017-02-15,6.130350194552529
2017-02-16,6.130350194552529
2017-02-17,2.6653696498054473
2017-02-18,3.998054474708171
2017-02-19,3.998054474708171
2017-02-20,6.130350194552529
2017-02-21,1.732490272373541
2017-02-22,3.464980544747082
2017-02-23,4.397859922178989
2017-02-24,4.531128404669261
2017-02-25,0.0
2017-02-26,1.9990272373540856
2017-02-27,1.732490272373541
2017-02-28,3.598249027237354
2017-03-01,2.977898361518256
2017-03-02,3.7928398387039777
2017-03-03,3.111839237966602
2017-03-04,2.9485819849462276
2017-03-05,3.3557165265600517
2017-03-06,4.1566722094178346
2017-03-07,2.496128090558215
2017-03-08,3.3930343912331606
2017-03-09,7.663004982586468
2017-03-10,1.3326848249027237
2017-03-11,2.4148356610270643
2017-03-12,5.778553675688197
2017-03-13,3.3777038089890725
2017-03-14,3.8081704209480653
2017-03-15,3.7928398387039777
2017-03-16,1.6965171956165803
2017-03-17,3.578278926682555
2017-03-18,2.947909590988154
2017-03-19,4.838345204113284
2017-03-20,4.259279527419931
2017-03-21,2.926594702517207
2017-03-22,2.511458672802302
2017-03-23,3.8674755680501947
2017-03-24,3.103837749865521
2017-03-25,8.579881383816213
2017-03-26,5.022917345604604
2017-03-27,5.47402645207647
2017-03-28,1.6965171956165803
2017-03-29,2.586094402148519
2017-03-30,4.408550986112365
2017-03-31,3.103837749865521
2017-04-01,2.5407750493743295
2017-04-02,4.981632356578859
2017-04-03,6.879397063846995
2017-04-04,3.4396985319234976
2017-04-05,3.3210882377192394
2017-04-06,4.388580885557566
2017-04-07,5.337463239191634
2017-04-08,2.9652573551064636
2017-04-09,6.167735298621444
2017-04-10,5.218852944987376
2017-04-11,2.609426472493688
2017-04-12,4.388580885557566
2017-04-13,7.235227946459771
2017-04-14,3.914139708740532
2017-04-15,5.218852944987376
2017-04-16,4.151360297149049
2017-04-17,5.456073533395893
2017-04-18,3.3210882377192394
2017-04-19,6.7607867696427375
2017-04-20,2.609426472493688
2017-04-21,4.507191179761825
2017-04-22,4.03275000294479
2017-04-23,0.0
2017-04-24,1.6605441188596197
2017-04-25,1.6605441188596197
2017-04-26,1.6605441188596197
2017-04-27,2.609426472493688
2017-04-28,2.609426472493688
2017-04-29,4.03275000294479
2017-04-30,0.0
2017-05-01,3.676919120332015
2017-05-02,4.2699705913533075
2017-05-03,5.100242650783118
2017-05-04,1.6605441188596197
2017-05-05,1.7791544130638781
2017-05-06,4.03275000294479
2017-05-07,2.016375001472395
2017-05-08,1.6605441188596197
2017-05-09,5.100242650783118
2017-05-10,1.6605441188596197
2017-05-11,1.6605441188596197
2017-05-12,2.609426472493688
2017-05-13,4.03275000294479
2017-05-14,2.016375001472395
2017-05-15,5.100242650783118
2017-05-16,5.100242650783118
2017-05-17,3.4396985319234976
2017-05-18,3.4396985319234976
2017-05-19,1.7791544130638781
2017-05-20,6.167735298621444
2017-05-21,2.016375001472395
2017-05-22,3.4396985319234976
2017-05-23,1.6605441188596197
2017-05-24,5.218852944987376
2017-05-25,1.7791544130638781
2017-05-26,0.0
2017-05-27,6.286345592825703
2017-05-28,4.151360297149049
2017-05-29,9.01438235952365
2017-05-30,6.049125004417186
2017-05-31,1.7791544130638781
2017-06-01,4.388580885557566
2017-06-02,9.132992653727907
2017-06-03,10.200485301566236
