date,ivanka trump
2016-05-01,1.0
2016-05-02,1.0
2016-05-03,2.0
2016-05-04,7.0
2016-05-05,4.0
2016-05-06,3.0
2016-05-07,2.0
2016-05-08,2.0
2016-05-09,2.0
2016-05-10,2.0
2016-05-11,2.0
2016-05-12,2.0
2016-05-13,2.0
2016-05-14,2.0
2016-05-15,2.0
2016-05-16,2.0
2016-05-17,2.0
2016-05-18,3.0
2016-05-19,2.0
2016-05-20,2.0
2016-05-21,1.0
2016-05-22,1.0
2016-05-23,1.0
2016-05-24,1.0
2016-05-25,1.0
2016-05-26,2.0
2016-05-27,1.0
2016-05-28,1.0
2016-05-29,1.0
2016-05-30,1.0
2016-05-31,1.0
2016-06-01,1.0
2016-06-02,1.0
2016-06-03,1.0
2016-06-04,1.0
2016-06-05,1.0
2016-06-06,2.0
2016-06-07,1.0
2016-06-08,3.0
2016-06-09,2.0
2016-06-10,2.0
2016-06-11,1.0
2016-06-12,1.0
2016-06-13,1.0
2016-06-14,1.0
2016-06-15,1.0
2016-06-16,1.0
2016-06-17,1.0
2016-06-18,1.0
2016-06-19,1.0
2016-06-20,2.0
2016-06-21,3.0
2016-06-22,2.0
2016-06-23,2.0
2016-06-24,2.0
2016-06-25,2.0
2016-06-26,2.0
2016-06-27,1.0
2016-06-28,1.0
2016-06-29,1.0
2016-06-30,1.0
2016-07-01,1.0
2016-07-02,1.0
2016-07-03,1.0
2016-07-04,2.0
2016-07-05,2.0
2016-07-06,2.0
2016-07-07,3.0
2016-07-08,2.0
2016-07-09,2.0
2016-07-10,1.0
2016-07-11,1.0
2016-07-12,1.0
2016-07-13,1.0
2016-07-14,2.0
2016-07-15,2.0
2016-07-16,3.0
2016-07-17,3.0
2016-07-18,3.0
2016-07-19,18.0
2016-07-20,22.0
2016-07-21,33.0
2016-07-22,100.0
2016-07-23,28.0
2016-07-24,13.0
2016-07-25,8.0
2016-07-26,6.0
2016-07-27,5.0
2016-07-28,6.0
2016-07-29,9.0
2016-07-30,6.0
2016-07-31,5.0
2016-08-01,6.0
2016-08-02,7.0
2016-08-03,8.0
2016-08-04,4.0
2016-08-05,5.0
2016-08-06,3.0
2016-08-07,2.0
2016-08-08,3.0
2016-08-09,3.0
2016-08-10,2.0
2016-08-11,3.0
2016-08-12,3.0
2016-08-13,3.0
2016-08-14,3.0
2016-08-15,3.0
2016-08-16,3.0
2016-08-17,3.0
2016-08-18,3.0
2016-08-19,3.0
2016-08-20,3.0
2016-08-21,2.0
2016-08-22,2.0
2016-08-23,2.0
2016-08-24,2.0
2016-08-25,2.0
2016-08-26,1.0
2016-08-27,1.0
2016-08-28,2.0
2016-08-29,1.0
2016-08-30,1.0
2016-08-31,1.0
2016-09-01,2.0
2016-09-02,2.0
2016-09-03,2.0
2016-09-04,2.0
2016-09-05,2.0
2016-09-06,2.0
2016-09-07,2.0
2016-09-08,2.0
2016-09-09,2.0
2016-09-10,2.0
2016-09-11,2.0
2016-09-12,2.0
2016-09-13,2.0
2016-09-14,6.0
2016-09-15,6.0
2016-09-16,6.0
2016-09-17,3.0
2016-09-18,2.0
2016-09-19,2.0
2016-09-20,2.0
2016-09-21,2.0
2016-09-22,2.0
2016-09-23,2.0
2016-09-24,2.0
2016-09-25,2.0
2016-09-26,2.0
2016-09-27,7.0
2016-09-28,4.0
2016-09-29,3.0
2016-09-30,3.0
2016-10-01,3.9815668202764978
2016-10-02,4.976958525345623
2016-10-03,3.9815668202764978
2016-10-04,2.986175115207373
2016-10-05,2.486175115207373
2016-10-06,2.986175115207373
2016-10-07,2.986175115207373
2016-10-08,10.94930875576037
2016-10-09,23.889400921658986
2016-10-10,23.889400921658986
2016-10-11,10.94930875576037
2016-10-12,7.9631336405529956
2016-10-13,7.9631336405529956
2016-10-14,7.9631336405529956
2016-10-15,5.972350230414746
2016-10-16,5.972350230414746
2016-10-17,4.976958525345623
2016-10-18,5.972350230414746
2016-10-19,6.967741935483871
2016-10-20,12.440092165898617
2016-10-21,6.967741935483871
2016-10-22,5.472350230414746
2016-10-23,5.972350230414746
2016-10-24,4.976958525345623
2016-10-25,3.9815668202764978
2016-10-26,4.481566820276498
2016-10-27,4.976958525345623
2016-10-28,3.9815668202764978
2016-10-29,3.486175115207373
2016-10-30,3.9815668202764978
2016-10-31,3.4815668202764978
2016-11-01,2.986175115207373
2016-11-02,2.9723502304147464
2016-11-03,4.953917050691245
2016-11-04,5.944700460829493
2016-11-05,6.935483870967742
2016-11-06,6.935483870967742
2016-11-07,6.935483870967742
2016-11-08,12.880184331797235
2016-11-09,71.33640552995392
2016-11-10,54.49308755760369
2016-11-11,38.64055299539171
2016-11-12,36.65898617511521
2016-11-13,23.77880184331797
2016-11-14,24.76958525345622
2016-11-15,20.806451612903228
2016-11-16,25.76036866359447
2016-11-17,18.82488479262673
2016-11-18,15.852534562211982
2016-11-19,15.852534562211982
2016-11-20,11.889400921658986
2016-11-21,7.926267281105991
2016-11-22,8.91705069124424
2016-11-23,7.926267281105991
2016-11-24,5.944700460829493
2016-11-25,6.935483870967742
2016-11-26,5.944700460829493
2016-11-27,5.944700460829493
2016-11-28,5.944700460829493
2016-11-29,4.953917050691245
2016-11-30,4.953917050691245
2016-12-01,3.9631336405529956
2016-12-02,3.9631336405529956
2016-12-03,3.9631336405529956
2016-12-04,3.9631336405529956
2016-12-05,4.953917050691245
2016-12-06,5.944700460829493
2016-12-07,4.953917050691245
2016-12-08,3.9631336405529956
2016-12-09,3.9631336405529956
2016-12-10,3.9631336405529956
2016-12-11,3.9631336405529956
2016-12-12,2.9723502304147464
2016-12-13,3.9631336405529956
2016-12-14,4.953917050691245
2016-12-15,6.935483870967742
2016-12-16,7.926267281105991
2016-12-17,6.935483870967742
2016-12-18,5.944700460829493
2016-12-19,3.9631336405529956
2016-12-20,3.9631336405529956
2016-12-21,3.9631336405529956
2016-12-22,10.898617511520738
2016-12-23,17.83410138248848
2016-12-24,8.91705069124424
2016-12-25,5.944700460829493
2016-12-26,4.953917050691245
2016-12-27,3.9631336405529956
2016-12-28,3.9631336405529956
2016-12-29,2.9723502304147464
2016-12-30,2.9723502304147464
2016-12-31,2.9723502304147464
2017-01-01,3.9631336405529956
2017-01-02,2.9723502304147464
2017-01-03,2.9723502304147464
2017-01-04,3.9631336405529956
2017-01-05,3.9631336405529956
2017-01-06,3.9631336405529956
2017-01-07,3.9631336405529956
2017-01-08,3.9631336405529956
2017-01-09,4.953917050691245
2017-01-10,8.91705069124424
2017-01-11,6.935483870967742
2017-01-12,7.926267281105991
2017-01-13,4.953917050691245
2017-01-14,3.9631336405529956
2017-01-15,4.953917050691245
2017-01-16,4.953917050691245
2017-01-17,8.91705069124424
2017-01-18,5.944700460829493
2017-01-19,9.90783410138249
2017-01-20,75.29953917050692
2017-01-21,99.07834101382488
2017-01-22,47.55760368663594
2017-01-23,27.741935483870968
2017-01-24,18.82488479262673
2017-01-25,14.861751152073733
2017-01-26,13.870967741935484
2017-01-27,12.880184331797235
2017-01-28,11.889400921658986
2017-01-29,12.880184331797235
2017-01-30,12.880184331797235
2017-01-31,10.898617511520738
2017-02-01,8.91705069124424
2017-02-02,10.898617511520738
2017-02-03,21.797235023041477
2017-02-04,17.83410138248848
2017-02-05,11.889400921658986
2017-02-06,8.91705069124424
2017-02-07,8.91705069124424
2017-02-08,18.82488479262673
2017-02-09,41.612903225806456
2017-02-10,30.714285714285715
2017-02-11,18.82488479262673
2017-02-12,21.797235023041477
2017-02-13,14.861751152073733
2017-02-14,18.82488479262673
2017-02-15,18.82488479262673
2017-02-16,15.852534562211982
2017-02-17,11.889400921658986
2017-02-18,12.880184331797235
2017-02-19,10.898617511520738
2017-02-20,7.926267281105991
2017-02-21,8.91705069124424
2017-02-22,7.926267281105991
2017-02-23,6.935483870967742
2017-02-24,5.944700460829493
2017-02-25,4.953917050691245
2017-02-26,5.944700460829493
2017-02-27,4.953917050691245
2017-02-28,4.953917050691245
2017-03-01,9.015125989435653
2017-03-02,6.174285817959391
2017-03-03,4.939985900379964
2017-03-04,4.939985900379964
2017-03-05,4.69368316287653
2017-03-06,4.816834531628247
2017-03-07,3.828837351552254
2017-03-08,6.792828891780233
2017-03-09,7.780826071856225
2017-03-10,4.1982914578074055
2017-03-11,5.063137269131682
2017-03-12,10.003123169511646
2017-03-13,10.003123169511646
2017-03-14,5.927983080455957
2017-03-15,4.69368316287653
2017-03-16,5.186288637883399
2017-03-17,5.063137269131682
2017-03-18,6.051134449207674
2017-03-19,5.063137269131682
2017-03-20,4.816834531628247
2017-03-21,12.843963340987907
2017-03-22,8.645671883180501
2017-03-23,5.927983080455957
2017-03-24,5.063137269131682
2017-03-25,6.051134449207674
2017-03-26,5.80483171170424
2017-03-27,6.051134449207674
2017-03-28,5.063137269131682
2017-03-29,5.80483171170424
2017-03-30,14.078263258567333
2017-03-31,6.792828891780233
2017-04-01,17.78394924136787
2017-04-02,11.576228662661407
2017-04-03,5.1723574875721186
2017-04-04,5.664962962578986
2017-04-05,10.344714975144237
2017-04-06,7.63538486260646
2017-04-07,6.896476650096158
2017-04-08,6.896476650096158
2017-04-09,5.911265700082421
2017-04-10,4.187146537558381
2017-04-11,6.650173912592724
2017-04-12,5.911265700082421
2017-04-13,3.9408438000549473
2017-04-14,4.187146537558381
2017-04-15,4.187146537558381
2017-04-16,4.67975201256525
2017-04-17,3.9408438000549473
2017-04-18,4.67975201256525
2017-04-19,4.926054750068684
2017-04-20,4.187146537558381
2017-04-21,3.448238325048079
2017-04-22,3.2019355875446447
2017-04-23,3.448238325048079
2017-04-24,4.926054750068684
2017-04-25,24.63027375034342
2017-04-26,16.50228341273009
2017-04-27,9.3595040251305
2017-04-28,6.157568437585855
2017-04-29,5.418660225075553
2017-04-30,4.67975201256525
2017-05-01,4.187146537558381
2017-05-02,5.1723574875721186
2017-05-03,5.418660225075553
2017-05-04,4.67975201256525
2017-05-05,5.418660225075553
2017-05-06,3.9408438000549473
2017-05-07,3.694541062551513
2017-05-08,4.4334492750618155
2017-05-09,3.694541062551513
2017-05-10,3.694541062551513
2017-05-11,3.448238325048079
2017-05-12,3.448238325048079
2017-05-13,3.694541062551513
2017-05-14,3.694541062551513
2017-05-15,4.187146537558381
2017-05-16,3.448238325048079
2017-05-17,4.187146537558381
2017-05-18,4.187146537558381
2017-05-19,4.67975201256525
2017-05-20,8.866898550123631
2017-05-21,12.068834137668276
2017-05-22,12.068834137668276
2017-05-23,8.866898550123631
2017-05-24,12.068834137668276
2017-05-25,9.605806762633934
2017-05-26,10.344714975144237
2017-05-27,9.113201287627065
2017-05-28,6.896476650096158
2017-05-29,6.157568437585855
2017-05-30,5.911265700082421
2017-05-31,5.1723574875721186
2017-06-01,5.1723574875721186
2017-06-02,5.911265700082421
2017-06-03,5.911265700082421
