date,donald trump pussy
2016-05-01,0.0
2016-05-02,0.0
2016-05-03,0.0
2016-05-04,0.0
2016-05-05,1.0
2016-05-06,1.0
2016-05-07,0.0
2016-05-08,1.0
2016-05-09,1.0
2016-05-10,1.0
2016-05-11,1.0
2016-05-12,1.0
2016-05-13,0.0
2016-05-14,0.0
2016-05-15,1.0
2016-05-16,0.0
2016-05-17,1.0
2016-05-18,1.0
2016-05-19,1.0
2016-05-20,0.0
2016-05-21,0.0
2016-05-22,1.0
2016-05-23,0.0
2016-05-24,0.0
2016-05-25,0.0
2016-05-26,1.0
2016-05-27,1.0
2016-05-28,1.0
2016-05-29,1.0
2016-05-30,0.0
2016-05-31,0.0
2016-06-01,0.0
2016-06-02,1.0
2016-06-03,1.0
2016-06-04,1.0
2016-06-05,1.0
2016-06-06,0.0
2016-06-07,0.0
2016-06-08,1.0
2016-06-09,0.0
2016-06-10,1.0
2016-06-11,1.0
2016-06-12,1.0
2016-06-13,0.0
2016-06-14,1.0
2016-06-15,0.0
2016-06-16,0.0
2016-06-17,0.0
2016-06-18,0.0
2016-06-19,0.0
2016-06-20,0.0
2016-06-21,0.0
2016-06-22,0.0
2016-06-23,1.0
2016-06-24,1.0
2016-06-25,2.0
2016-06-26,0.0
2016-06-27,0.0
2016-06-28,0.0
2016-06-29,0.0
2016-06-30,0.0
2016-07-01,1.0
2016-07-02,0.0
2016-07-03,0.0
2016-07-04,1.0
2016-07-05,1.0
2016-07-06,1.0
2016-07-07,1.0
2016-07-08,1.0
2016-07-09,0.0
2016-07-10,0.0
2016-07-11,0.0
2016-07-12,0.0
2016-07-13,1.0
2016-07-14,0.0
2016-07-15,2.0
2016-07-16,0.0
2016-07-17,0.0
2016-07-18,1.0
2016-07-19,0.0
2016-07-20,0.0
2016-07-21,1.0
2016-07-22,3.0
2016-07-23,2.0
2016-07-24,1.0
2016-07-25,2.0
2016-07-26,1.0
2016-07-27,1.0
2016-07-28,1.0
2016-07-29,1.0
2016-07-30,1.0
2016-07-31,1.0
2016-08-01,0.0
2016-08-02,1.0
2016-08-03,2.0
2016-08-04,1.0
2016-08-05,1.0
2016-08-06,0.0
2016-08-07,1.0
2016-08-08,0.0
2016-08-09,1.0
2016-08-10,1.0
2016-08-11,0.0
2016-08-12,1.0
2016-08-13,1.0
2016-08-14,0.0
2016-08-15,0.0
2016-08-16,0.0
2016-08-17,0.0
2016-08-18,1.0
2016-08-19,1.0
2016-08-20,1.0
2016-08-21,1.0
2016-08-22,1.0
2016-08-23,1.0
2016-08-24,1.0
2016-08-25,0.0
2016-08-26,1.0
2016-08-27,1.0
2016-08-28,0.0
2016-08-29,1.0
2016-08-30,0.0
2016-08-31,0.0
2016-09-01,0.0
2016-09-02,0.0
2016-09-03,0.0
2016-09-04,0.0
2016-09-05,0.0
2016-09-06,1.0
2016-09-07,0.0
2016-09-08,0.0
2016-09-09,0.0
2016-09-10,0.0
2016-09-11,0.0
2016-09-12,0.0
2016-09-13,1.0
2016-09-14,1.0
2016-09-15,0.0
2016-09-16,0.0
2016-09-17,1.0
2016-09-18,0.0
2016-09-19,1.0
2016-09-20,0.0
2016-09-21,1.0
2016-09-22,1.0
2016-09-23,1.0
2016-09-24,0.0
2016-09-25,0.0
2016-09-26,0.0
2016-09-27,2.0
2016-09-28,1.0
2016-09-29,1.0
2016-09-30,1.0
2016-10-01,1.0
2016-10-02,0.0
2016-10-03,1.0
2016-10-04,1.0
2016-10-05,0.5
2016-10-06,0.0
2016-10-07,10.0
2016-10-08,100.0
2016-10-09,98.0
2016-10-10,76.5
2016-10-11,37.5
2016-10-12,25.5
2016-10-13,24.0
2016-10-14,22.0
2016-10-15,18.0
2016-10-16,11.5
2016-10-17,6.5
2016-10-18,7.5
2016-10-19,5.0
2016-10-20,12.0
2016-10-21,7.0
2016-10-22,6.0
2016-10-23,6.5
2016-10-24,5.5
2016-10-25,3.5
2016-10-26,3.5
2016-10-27,3.5
2016-10-28,4.5
2016-10-29,4.0
2016-10-30,3.0
2016-10-31,1.5
2016-11-01,3.0
2016-11-02,4.0
2016-11-03,4.0
2016-11-04,4.0
2016-11-05,5.0
2016-11-06,5.0
2016-11-07,6.0
2016-11-08,9.0
2016-11-09,49.0
2016-11-10,27.0
2016-11-11,20.0
2016-11-12,11.0
2016-11-13,12.0
2016-11-14,7.0
2016-11-15,6.0
2016-11-16,5.0
2016-11-17,3.0
2016-11-18,4.0
2016-11-19,2.0
2016-11-20,2.0
2016-11-21,3.0
2016-11-22,2.0
2016-11-23,2.0
2016-11-24,1.0
2016-11-25,2.0
2016-11-26,2.0
2016-11-27,2.0
2016-11-28,2.0
2016-11-29,2.0
2016-11-30,2.0
2016-12-01,1.0
2016-12-02,1.0
2016-12-03,2.0
2016-12-04,1.0
2016-12-05,1.0
2016-12-06,2.0
2016-12-07,1.0
2016-12-08,1.0
2016-12-09,1.0
2016-12-10,2.0
2016-12-11,1.0
2016-12-12,1.0
2016-12-13,1.0
2016-12-14,1.0
2016-12-15,1.0
2016-12-16,2.0
2016-12-17,2.0
2016-12-18,1.0
2016-12-19,3.0
2016-12-20,2.0
2016-12-21,1.0
2016-12-22,1.0
2016-12-23,1.0
2016-12-24,1.0
2016-12-25,2.0
2016-12-26,1.0
2016-12-27,1.0
2016-12-28,2.0
2016-12-29,1.0
2016-12-30,0.0
2016-12-31,2.0
2017-01-01,1.0
2017-01-02,1.0
2017-01-03,1.0
2017-01-04,1.0
2017-01-05,1.0
2017-01-06,1.0
2017-01-07,1.0
2017-01-08,2.0
2017-01-09,0.0
2017-01-10,1.0
2017-01-11,1.0
2017-01-12,2.0
2017-01-13,1.0
2017-01-14,2.0
2017-01-15,3.0
2017-01-16,2.0
2017-01-17,2.0
2017-01-18,1.0
2017-01-19,3.0
2017-01-20,8.0
2017-01-21,18.0
2017-01-22,19.0
2017-01-23,7.0
2017-01-24,5.0
2017-01-25,6.0
2017-01-26,3.0
2017-01-27,4.0
2017-01-28,3.0
2017-01-29,3.0
2017-01-30,2.0
2017-01-31,2.0
2017-02-01,2.0
2017-02-02,2.0
2017-02-03,2.0
2017-02-04,3.0
2017-02-05,1.0
2017-02-06,2.0
2017-02-07,1.0
2017-02-08,2.0
2017-02-09,2.0
2017-02-10,2.0
2017-02-11,1.0
2017-02-12,2.0
2017-02-13,1.0
2017-02-14,1.0
2017-02-15,2.0
2017-02-16,2.0
2017-02-17,1.0
2017-02-18,1.0
2017-02-19,1.0
2017-02-20,1.0
2017-02-21,1.0
2017-02-22,2.0
2017-02-23,1.0
2017-02-24,1.0
2017-02-25,1.0
2017-02-26,2.0
2017-02-27,1.0
2017-02-28,1.0
2017-03-01,1.3616550852811118
