date,terrorist attack
2016-05-01,1.0
2016-05-02,1.0
2016-05-03,1.0
2016-05-04,1.0
2016-05-05,1.0
2016-05-06,1.0
2016-05-07,1.0
2016-05-08,1.0
2016-05-09,2.0
2016-05-10,3.0
2016-05-11,2.0
2016-05-12,1.0
2016-05-13,1.0
2016-05-14,1.0
2016-05-15,1.0
2016-05-16,1.0
2016-05-17,1.0
2016-05-18,1.0
2016-05-19,2.0
2016-05-20,2.0
2016-05-21,1.0
2016-05-22,1.0
2016-05-23,1.0
2016-05-24,1.0
2016-05-25,1.0
2016-05-26,2.0
2016-05-27,1.0
2016-05-28,1.0
2016-05-29,1.0
2016-05-30,1.0
2016-05-31,1.0
2016-06-01,1.0
2016-06-02,1.0
2016-06-03,1.0
2016-06-04,1.0
2016-06-05,1.0
2016-06-06,2.0
2016-06-07,2.0
2016-06-08,4.0
2016-06-09,5.0
2016-06-10,1.0
2016-06-11,1.0
2016-06-12,43.0
2016-06-13,13.0
2016-06-14,8.0
2016-06-15,5.0
2016-06-16,3.0
2016-06-17,3.0
2016-06-18,2.0
2016-06-19,2.0
2016-06-20,1.0
2016-06-21,1.0
2016-06-22,1.0
2016-06-23,2.0
2016-06-24,1.0
2016-06-25,1.0
2016-06-26,1.0
2016-06-27,1.0
2016-06-28,7.0
2016-06-29,15.0
2016-06-30,6.0
2016-07-01,10.0
2016-07-02,22.0
2016-07-03,13.0
2016-07-04,17.0
2016-07-05,8.0
2016-07-06,4.0
2016-07-07,4.0
2016-07-08,5.0
2016-07-09,2.0
2016-07-10,2.0
2016-07-11,1.0
2016-07-12,1.0
2016-07-13,1.0
2016-07-14,23.0
2016-07-15,100.0
2016-07-16,28.0
2016-07-17,8.0
2016-07-18,5.0
2016-07-19,6.0
2016-07-20,3.0
2016-07-21,3.0
2016-07-22,13.0
2016-07-23,10.0
2016-07-24,4.0
2016-07-25,7.0
2016-07-26,7.0
2016-07-27,4.0
2016-07-28,3.0
2016-07-29,2.0
2016-07-30,2.0
2016-07-31,2.0
2016-08-01,2.0
2016-08-02,1.0
2016-08-03,2.0
2016-08-04,10.0
2016-08-05,6.0
2016-08-06,3.0
2016-08-07,2.0
2016-08-08,3.0
2016-08-09,2.0
2016-08-10,2.0
2016-08-11,4.0
2016-08-12,3.0
2016-08-13,2.0
2016-08-14,3.0
2016-08-15,2.0
2016-08-16,2.0
2016-08-17,1.0
2016-08-18,1.0
2016-08-19,1.0
2016-08-20,1.0
2016-08-21,2.0
2016-08-22,2.0
2016-08-23,1.0
2016-08-24,2.0
2016-08-25,1.0
2016-08-26,1.0
2016-08-27,1.0
2016-08-28,1.0
2016-08-29,1.0
2016-08-30,1.0
2016-08-31,1.0
2016-09-01,1.0
2016-09-02,1.0
2016-09-03,1.0
2016-09-04,1.0
2016-09-05,1.0
2016-09-06,1.0
2016-09-07,1.0
2016-09-08,2.0
2016-09-09,2.0
2016-09-10,2.0
2016-09-11,5.0
2016-09-12,4.0
2016-09-13,2.0
2016-09-14,1.0
2016-09-15,1.0
2016-09-16,1.0
2016-09-17,1.0
2016-09-18,15.0
2016-09-19,29.0
2016-09-20,8.0
2016-09-21,4.0
2016-09-22,4.0
2016-09-23,3.0
2016-09-24,2.0
2016-09-25,2.0
2016-09-26,2.0
2016-09-27,2.0
2016-09-28,2.0
2016-09-29,3.0
2016-09-30,2.0
2016-10-01,0.99
2016-10-02,3.4699999999999998
2016-10-03,4.95
2016-10-04,1.98
2016-10-05,0.99
2016-10-06,1.98
2016-10-07,0.99
2016-10-08,0.99
2016-10-09,0.99
2016-10-10,1.48
2016-10-11,1.98
2016-10-12,2.9699999999999998
2016-10-13,1.98
2016-10-14,1.48
2016-10-15,0.99
2016-10-16,1.98
2016-10-17,0.99
2016-10-18,0.99
2016-10-19,0.99
2016-10-20,0.99
2016-10-21,0.99
2016-10-22,0.99
2016-10-23,0.99
2016-10-24,0.99
2016-10-25,3.96
2016-10-26,0.99
2016-10-27,0.99
2016-10-28,0.99
2016-10-29,0.99
2016-10-30,0.99
2016-10-31,0.99
2016-11-01,0.99
2016-11-02,0.98
2016-11-03,0.98
2016-11-04,2.94
2016-11-05,2.94
2016-11-06,2.94
2016-11-07,2.94
2016-11-08,0.98
2016-11-09,0.98
2016-11-10,0.98
2016-11-11,0.98
2016-11-12,0.98
2016-11-13,0.98
2016-11-14,0.98
2016-11-15,0.98
2016-11-16,0.98
2016-11-17,0.98
2016-11-18,0.98
2016-11-19,0.98
2016-11-20,0.98
2016-11-21,0.98
2016-11-22,0.98
2016-11-23,0.98
2016-11-24,0.98
2016-11-25,0.98
2016-11-26,0.98
2016-11-27,0.98
2016-11-28,1.96
2016-11-29,4.9
2016-11-30,1.96
2016-12-01,0.98
2016-12-02,0.98
2016-12-03,0.98
2016-12-04,0.98
2016-12-05,0.98
2016-12-06,0.98
2016-12-07,0.98
2016-12-08,0.98
2016-12-09,0.98
2016-12-10,0.98
2016-12-11,1.96
2016-12-12,0.98
2016-12-13,0.98
2016-12-14,0.98
2016-12-15,0.98
2016-12-16,0.98
2016-12-17,0.98
2016-12-18,0.98
2016-12-19,11.76
2016-12-20,17.64
2016-12-21,10.78
2016-12-22,5.88
2016-12-23,4.9
2016-12-24,2.94
2016-12-25,1.96
2016-12-26,0.98
2016-12-27,0.98
2016-12-28,0.98
2016-12-29,0.98
2016-12-30,0.98
2016-12-31,2.94
2017-01-01,13.719999999999999
2017-01-02,2.94
2017-01-03,1.96
2017-01-04,1.96
2017-01-05,1.96
2017-01-06,3.92
2017-01-07,1.96
2017-01-08,2.94
2017-01-09,1.96
2017-01-10,1.96
2017-01-11,0.98
2017-01-12,0.98
2017-01-13,0.98
2017-01-14,0.98
2017-01-15,0.98
2017-01-16,0.98
2017-01-17,0.98
2017-01-18,0.98
2017-01-19,0.98
2017-01-20,2.94
2017-01-21,1.96
2017-01-22,0.98
2017-01-23,0.98
2017-01-24,0.98
2017-01-25,0.98
2017-01-26,0.98
2017-01-27,1.96
2017-01-28,2.94
2017-01-29,3.92
2017-01-30,10.78
2017-01-31,5.88
2017-02-01,2.94
2017-02-02,1.96
2017-02-03,7.84
2017-02-04,3.92
2017-02-05,2.94
2017-02-06,1.96
2017-02-07,2.94
2017-02-08,2.94
2017-02-09,1.96
2017-02-10,1.96
2017-02-11,1.96
2017-02-12,1.96
2017-02-13,1.96
2017-02-14,0.98
2017-02-15,0.98
2017-02-16,0.98
2017-02-17,1.96
2017-02-18,0.98
2017-02-19,8.82
2017-02-20,5.88
2017-02-21,3.92
2017-02-22,1.96
2017-02-23,1.96
2017-02-24,0.98
2017-02-25,0.98
2017-02-26,1.96
2017-02-27,0.98
2017-02-28,0.98
2017-03-01,0.97804
2017-03-02,0.97804
2017-03-03,0.97804
2017-03-04,0.97804
2017-03-05,0.97804
2017-03-06,0.97804
2017-03-07,4.8902
2017-03-08,2.93412
2017-03-09,2.93412
2017-03-10,0.97804
2017-03-11,0.97804
2017-03-12,0.97804
2017-03-13,0.97804
2017-03-14,0.97804
2017-03-15,0.97804
2017-03-16,0.97804
2017-03-17,0.97804
2017-03-18,1.95608
2017-03-19,0.97804
2017-03-20,0.97804
2017-03-21,0.97804
2017-03-22,97.804
2017-03-23,69.92888
2017-03-24,18.092760000000002
2017-03-25,7.82432
2017-03-26,5.86824
2017-03-27,4.8902
2017-03-28,2.93412
2017-03-29,1.95608
2017-03-30,1.95608
2017-03-31,1.95608
2017-04-01,1.46804
2017-04-02,0.9760800000000002
2017-04-03,5.856480000000001
2017-04-04,4.880400000000001
2017-04-05,2.9282400000000006
2017-04-06,1.9521600000000003
2017-04-07,18.545520000000003
2017-04-08,8.784720000000002
2017-04-09,6.832560000000001
2017-04-10,5.856480000000001
2017-04-11,3.9043200000000007
2017-04-12,2.9282400000000006
2017-04-13,1.9521600000000003
2017-04-14,1.9521600000000003
2017-04-15,0.9760800000000002
2017-04-16,0.9760800000000002
2017-04-17,0.9760800000000002
2017-04-18,1.9521600000000003
2017-04-19,1.9521600000000003
2017-04-20,4.880400000000001
2017-04-21,6.832560000000001
2017-04-22,2.9282400000000006
2017-04-23,1.9521600000000003
2017-04-24,0.9760800000000002
2017-04-25,0.9760800000000002
2017-04-26,0.9760800000000002
2017-04-27,1.9521600000000003
2017-04-28,1.9521600000000003
2017-04-29,0.9760800000000002
2017-04-30,0.9760800000000002
2017-05-01,0.9760800000000002
2017-05-02,1.9521600000000003
2017-05-03,0.9760800000000002
2017-05-04,0.9760800000000002
2017-05-05,0.9760800000000002
2017-05-06,0.9760800000000002
2017-05-07,0.9760800000000002
2017-05-08,0.9760800000000002
2017-05-09,0.9760800000000002
2017-05-10,0.9760800000000002
2017-05-11,0.9760800000000002
2017-05-12,0.9760800000000002
2017-05-13,0.9760800000000002
2017-05-14,0.9760800000000002
2017-05-15,0.9760800000000002
2017-05-16,0.9760800000000002
2017-05-17,0.9760800000000002
2017-05-18,3.9043200000000007
2017-05-19,1.9521600000000003
2017-05-20,0.9760800000000002
2017-05-21,0.9760800000000002
2017-05-22,4.880400000000001
2017-05-23,69.30168000000002
2017-05-24,19.521600000000003
2017-05-25,9.760800000000001
2017-05-26,7.808640000000001
2017-05-27,5.856480000000001
2017-05-28,5.856480000000001
2017-05-29,3.9043200000000007
2017-05-30,2.9282400000000006
2017-05-31,2.9282400000000006
2017-06-01,7.808640000000001
2017-06-02,5.856480000000001
2017-06-03,22.449840000000005
