date,hillary sick
2016-05-01,1.0
2016-05-02,1.0
2016-05-03,0.0
2016-05-04,0.0
2016-05-05,1.0
2016-05-06,1.0
2016-05-07,0.0
2016-05-08,0.0
2016-05-09,0.0
2016-05-10,0.0
2016-05-11,0.0
2016-05-12,1.0
2016-05-13,0.0
2016-05-14,0.0
2016-05-15,0.0
2016-05-16,0.0
2016-05-17,0.0
2016-05-18,1.0
2016-05-19,0.0
2016-05-20,0.0
2016-05-21,1.0
2016-05-22,1.0
2016-05-23,0.0
2016-05-24,0.0
2016-05-25,0.0
2016-05-26,0.0
2016-05-27,1.0
2016-05-28,0.0
2016-05-29,1.0
2016-05-30,0.0
2016-05-31,0.0
2016-06-01,1.0
2016-06-02,0.0
2016-06-03,0.0
2016-06-04,0.0
2016-06-05,0.0
2016-06-06,0.0
2016-06-07,0.0
2016-06-08,1.0
2016-06-09,0.0
2016-06-10,0.0
2016-06-11,1.0
2016-06-12,1.0
2016-06-13,0.0
2016-06-14,0.0
2016-06-15,0.0
2016-06-16,0.0
2016-06-17,0.0
2016-06-18,0.0
2016-06-19,1.0
2016-06-20,0.0
2016-06-21,1.0
2016-06-22,0.0
2016-06-23,0.0
2016-06-24,0.0
2016-06-25,0.0
2016-06-26,0.0
2016-06-27,0.0
2016-06-28,0.0
2016-06-29,0.0
2016-06-30,0.0
2016-07-01,0.0
2016-07-02,0.0
2016-07-03,1.0
2016-07-04,0.0
2016-07-05,1.0
2016-07-06,0.0
2016-07-07,0.0
2016-07-08,0.0
2016-07-09,0.0
2016-07-10,0.0
2016-07-11,0.0
2016-07-12,0.0
2016-07-13,0.0
2016-07-14,0.0
2016-07-15,0.0
2016-07-16,1.0
2016-07-17,1.0
2016-07-18,0.0
2016-07-19,0.0
2016-07-20,0.0
2016-07-21,0.0
2016-07-22,1.0
2016-07-23,1.0
2016-07-24,1.0
2016-07-25,0.0
2016-07-26,1.0
2016-07-27,2.0
2016-07-28,2.0
2016-07-29,4.0
2016-07-30,2.0
2016-07-31,1.0
2016-08-01,1.0
2016-08-02,0.0
2016-08-03,1.0
2016-08-04,1.0
2016-08-05,1.0
2016-08-06,1.0
2016-08-07,2.0
2016-08-08,6.0
2016-08-09,6.0
2016-08-10,8.0
2016-08-11,7.0
2016-08-12,4.0
2016-08-13,4.0
2016-08-14,5.0
2016-08-15,4.0
2016-08-16,5.0
2016-08-17,7.0
2016-08-18,7.0
2016-08-19,6.0
2016-08-20,6.0
2016-08-21,9.0
2016-08-22,15.0
2016-08-23,12.0
2016-08-24,9.0
2016-08-25,6.0
2016-08-26,5.0
2016-08-27,5.0
2016-08-28,4.0
2016-08-29,5.0
2016-08-30,5.0
2016-08-31,5.0
2016-09-01,6.0
2016-09-02,5.0
2016-09-03,5.0
2016-09-04,4.0
2016-09-05,5.0
2016-09-06,14.0
2016-09-07,12.0
2016-09-08,7.0
2016-09-09,6.0
2016-09-10,7.0
2016-09-11,72.0
2016-09-12,100.0
2016-09-13,57.0
2016-09-14,39.0
2016-09-15,24.0
2016-09-16,17.0
2016-09-17,12.0
2016-09-18,9.0
2016-09-19,12.0
2016-09-20,8.0
2016-09-21,12.0
2016-09-22,8.0
2016-09-23,8.0
2016-09-24,7.0
2016-09-25,6.0
2016-09-26,9.0
2016-09-27,7.0
2016-09-28,4.0
2016-09-29,4.0
2016-09-30,2.0
2016-10-01,2.9858260019550342
2016-10-02,2.9486803519061584
2016-10-03,2.040078201368524
2016-10-04,1.8543499511241448
2016-10-05,2.002932551319648
2016-10-06,2.337243401759531
2016-10-07,1.7057673509286413
2016-10-08,1.1314760508308894
2016-10-09,2.040078201368524
2016-10-10,3.505865102639296
2016-10-11,2.0772238514173997
2016-10-12,2.262952101661779
2016-10-13,1.817204301075269
2016-10-14,1.9286412512218964
2016-10-15,2.1143695014662756
2016-10-16,2.6515151515151514
2016-10-17,2.4286412512218964
2016-10-18,1.9286412512218964
2016-10-19,2.9115347018572826
2016-10-20,5.285923753665689
2016-10-21,3.4687194525904204
2016-10-22,1.9286412512218964
2016-10-23,2.5772238514173997
2016-10-24,2.002932551319648
2016-10-25,2.9486803519061584
2016-10-26,2.6515151515151514
2016-10-27,1.8914956011730206
2016-10-28,1.9286412512218964
2016-10-29,2.762952101661779
2016-10-30,2.4858260019550342
2016-10-31,2.1515151515151514
2016-11-01,1.2429130009775171
2016-11-02,3.4173998044965788
2016-11-03,3.7888563049853374
2016-11-04,3.5659824046920825
2016-11-05,3.4916911045943304
2016-11-06,3.4173998044965788
2016-11-07,3.7888563049853374
2016-11-08,6.166177908113392
2016-11-09,7.429130009775172
2016-11-10,4.606060606060606
2016-11-11,3.9374389051808407
2016-11-12,1.857282502443793
2016-11-13,1.7829912023460412
2016-11-14,1.4115347018572826
2016-11-15,1.4858260019550342
2016-11-16,1.1143695014662758
2016-11-17,2.4516129032258065
2016-11-18,3.5659824046920825
2016-11-19,2.9716520039100685
2016-11-20,1.7829912023460412
2016-11-21,1.4115347018572826
2016-11-22,2.1544477028348
2016-11-23,2.2287390029325516
2016-11-24,1.6344086021505377
2016-11-25,1.4115347018572826
2016-11-26,1.040078201368524
2016-11-27,1.857282502443793
2016-11-28,1.337243401759531
2016-11-29,1.1886608015640274
2016-11-30,0.5943304007820137
2016-12-01,0.5943304007820137
2016-12-02,0.4457478005865103
2016-12-03,0.8172043010752689
2016-12-04,0.9657869012707723
2016-12-05,0.8172043010752689
2016-12-06,0.8172043010752689
2016-12-07,0.7429130009775171
2016-12-08,0.520039100684262
2016-12-09,0.7429130009775171
2016-12-10,0.29716520039100686
2016-12-11,0.7429130009775171
2016-12-12,0.5943304007820137
2016-12-13,0.22287390029325516
2016-12-14,0.520039100684262
2016-12-15,0.7429130009775171
2016-12-16,0.7429130009775171
2016-12-17,0.5943304007820137
2016-12-18,0.520039100684262
2016-12-19,0.4457478005865103
2016-12-20,1.040078201368524
2016-12-21,0.4457478005865103
2016-12-22,0.37145650048875856
2016-12-23,0.6686217008797655
2016-12-24,0.8172043010752689
2016-12-25,0.29716520039100686
2016-12-26,0.5943304007820137
2016-12-27,0.7429130009775171
2016-12-28,0.520039100684262
2016-12-29,0.6686217008797655
2016-12-30,0.37145650048875856
2016-12-31,0.37145650048875856
2017-01-01,0.6686217008797655
2017-01-02,0.22287390029325516
2017-01-03,0.520039100684262
2017-01-04,0.8172043010752689
2017-01-05,0.4457478005865103
2017-01-06,0.7429130009775171
2017-01-07,0.22287390029325516
2017-01-08,0.22287390029325516
2017-01-09,0.8172043010752689
2017-01-10,0.22287390029325516
2017-01-11,0.37145650048875856
2017-01-12,0.37145650048875856
2017-01-13,0.4457478005865103
2017-01-14,0.4457478005865103
2017-01-15,0.8172043010752689
2017-01-16,0.37145650048875856
2017-01-17,0.37145650048875856
2017-01-18,0.5943304007820137
2017-01-19,0.7429130009775171
2017-01-20,1.6344086021505377
2017-01-21,0.6686217008797655
2017-01-22,0.5943304007820137
2017-01-23,0.37145650048875856
2017-01-24,0.8172043010752689
2017-01-25,0.37145650048875856
2017-01-26,0.4457478005865103
2017-01-27,0.4457478005865103
2017-01-28,0.4457478005865103
2017-01-29,0.4457478005865103
2017-01-30,0.37145650048875856
2017-01-31,0.37145650048875856
2017-02-01,0.22287390029325516
2017-02-02,0.37145650048875856
2017-02-03,0.0
2017-02-04,0.22287390029325516
2017-02-05,0.37145650048875856
2017-02-06,0.8172043010752689
2017-02-07,0.37145650048875856
2017-02-08,0.29716520039100686
2017-02-09,0.6686217008797655
2017-02-10,0.29716520039100686
2017-02-11,0.4457478005865103
2017-02-12,0.4457478005865103
2017-02-13,0.0
2017-02-14,0.22287390029325516
2017-02-15,0.22287390029325516
2017-02-16,0.520039100684262
2017-02-17,0.29716520039100686
2017-02-18,0.22287390029325516
2017-02-19,0.4457478005865103
2017-02-20,0.0
2017-02-21,0.22287390029325516
2017-02-22,0.22287390029325516
2017-02-23,0.37145650048875856
2017-02-24,0.22287390029325516
2017-02-25,0.22287390029325516
2017-02-26,0.0
2017-02-27,0.0
2017-02-28,0.22287390029325516
2017-03-01,0.2042762784396791
2017-03-02,0.33014498314468166
2017-03-03,0.2094340189004042
2017-03-04,0.5529692897796606
2017-03-05,0.21974949982185438
2017-03-06,0.0
2017-03-07,0.2042762784396791
2017-03-08,0.2042762784396791
2017-03-09,0.4322583255353831
2017-03-10,0.29716520039100686
2017-03-11,0.2166250993504536
2017-03-12,0.0
2017-03-13,0.0
2017-03-14,0.2042762784396791
2017-03-15,0.18567865658610308
2017-03-16,0.2042762784396791
2017-03-17,0.11143695014662758
2017-03-18,0.11143695014662758
2017-03-19,0.0
2017-03-20,0.2785675785374308
2017-03-21,0.24142192848855498
2017-03-22,0.2042762784396791
2017-03-23,0.3022733471934558
2017-03-24,0.14858260019550343
2017-03-25,0.11143695014662758
2017-03-26,0.22490724028257947
2017-03-27,0.2042762784396791
2017-03-28,0.09283932829305154
2017-03-29,0.498267484701009
2017-03-30,0.6520078253572374
2017-03-31,0.26101142350765505
2017-04-01,0.8181465805825168
2017-04-02,0.45388116054380756
2017-04-03,0.3919882750151065
2017-04-04,0.2888334658006048
2017-04-05,0.19599413750755326
2017-04-06,0.0
2017-04-07,0.19599413750755326
2017-04-08,0.0
2017-04-09,0.0
2017-04-10,0.3919882750151065
2017-04-11,0.0
2017-04-12,0.0
2017-04-13,0.4023037559365567
2017-04-14,0.22694058027190378
2017-04-15,0.0
2017-04-16,0.0
2017-04-17,0.0
2017-04-18,0.18567865658610308
2017-04-19,0.0
2017-04-20,0.19599413750755326
2017-04-21,0.20630961842900342
2017-04-22,0.0
2017-04-23,0.0
2017-04-24,0.0
2017-04-25,0.0
2017-04-26,0.27851798487915463
2017-04-27,0.19599413750755326
2017-04-28,0.59829789344411
2017-04-29,0.22694058027190378
2017-04-30,0.46419664146525774
2017-05-01,0.20630961842900342
2017-05-02,0.38167279409365634
2017-05-03,0.47451212238670787
2017-05-04,0.38167279409365634
2017-05-05,0.0
2017-05-06,0.5673514506797595
2017-05-07,0.22694058027190378
2017-05-08,0.38167279409365634
2017-05-09,0.2888334658006048
2017-05-10,0.19599413750755326
2017-05-11,0.19599413750755326
2017-05-12,0.19599413750755326
2017-05-13,0.45388116054380756
2017-05-14,0.46419664146525774
2017-05-15,0.38167279409365634
2017-05-16,0.3919882750151065
2017-05-17,0.19599413750755326
2017-05-18,0.19599413750755326
2017-05-19,0.4023037559365567
2017-05-20,0.22694058027190378
2017-05-21,0.0
2017-05-22,0.19599413750755326
2017-05-23,0.38167279409365634
2017-05-24,0.0
2017-05-25,0.0
2017-05-26,0.20630961842900342
2017-05-27,0.23725606119335393
2017-05-28,0.0
2017-05-29,0.4023037559365567
2017-05-30,0.2888334658006048
2017-05-31,0.19599413750755326
2017-06-01,0.783976550030213
2017-06-02,1.031548092145017
