date,donald trump mob
2016-05-01,0.0
2016-05-02,21.0
2016-05-03,0.0
2016-05-04,41.0
2016-05-05,0.0
2016-05-06,22.0
2016-05-07,0.0
2016-05-08,0.0
2016-05-09,41.0
2016-05-10,20.0
2016-05-11,41.0
2016-05-12,0.0
2016-05-13,0.0
2016-05-14,0.0
2016-05-15,0.0
2016-05-16,0.0
2016-05-17,0.0
2016-05-18,21.0
2016-05-19,0.0
2016-05-20,0.0
2016-05-21,49.0
2016-05-22,24.0
2016-05-23,41.0
2016-05-24,61.0
2016-05-25,0.0
2016-05-26,0.0
2016-05-27,0.0
2016-05-28,0.0
2016-05-29,24.0
2016-05-30,0.0
2016-05-31,21.0
2016-06-01,0.0
2016-06-02,0.0
2016-06-03,0.0
2016-06-04,100.0
2016-06-05,24.0
2016-06-06,0.0
2016-06-07,0.0
2016-06-08,0.0
2016-06-09,0.0
2016-06-10,0.0
2016-06-11,24.0
2016-06-12,0.0
2016-06-13,0.0
2016-06-14,0.0
2016-06-15,0.0
2016-06-16,21.0
2016-06-17,0.0
2016-06-18,25.0
2016-06-19,0.0
2016-06-20,21.0
2016-06-21,0.0
2016-06-22,21.0
2016-06-23,0.0
2016-06-24,0.0
2016-06-25,0.0
2016-06-26,0.0
2016-06-27,0.0
2016-06-28,21.0
2016-06-29,0.0
2016-06-30,0.0
2016-07-01,0.0
2016-07-02,0.0
2016-07-03,25.0
2016-07-04,0.0
2016-07-05,22.0
2016-07-06,22.0
2016-07-07,0.0
2016-07-08,0.0
2016-07-09,25.0
2016-07-10,0.0
2016-07-11,0.0
2016-07-12,0.0
2016-07-13,0.0
2016-07-14,21.0
2016-07-15,0.0
2016-07-16,0.0
2016-07-17,25.0
2016-07-18,0.0
2016-07-19,21.0
2016-07-20,21.0
2016-07-21,43.0
2016-07-22,44.0
2016-07-23,25.0
2016-07-24,25.0
2016-07-25,21.0
2016-07-26,0.0
2016-07-27,0.0
2016-07-28,43.0
2016-07-29,22.0
2016-07-30,50.0
2016-07-31,25.0
2016-08-01,0.0
2016-08-02,21.0
2016-08-03,21.0
2016-08-04,64.0
2016-08-05,22.0
2016-08-06,0.0
2016-08-07,25.0
2016-08-08,0.0
2016-08-09,0.0
2016-08-10,0.0
2016-08-11,0.0
2016-08-12,0.0
2016-08-13,0.0
2016-08-14,50.0
2016-08-15,0.0
2016-08-16,0.0
2016-08-17,0.0
2016-08-18,0.0
2016-08-19,0.0
2016-08-20,24.0
2016-08-21,0.0
2016-08-22,21.0
2016-08-23,42.0
2016-08-24,0.0
2016-08-25,43.0
2016-08-26,22.0
2016-08-27,0.0
2016-08-28,0.0
2016-08-29,0.0
2016-08-30,20.0
2016-08-31,0.0
2016-09-01,83.0
2016-09-02,21.0
2016-09-03,0.0
2016-09-04,48.0
2016-09-05,0.0
2016-09-06,20.0
2016-09-07,0.0
2016-09-08,0.0
2016-09-09,0.0
2016-09-10,0.0
2016-09-11,0.0
2016-09-12,21.0
2016-09-13,0.0
2016-09-14,0.0
2016-09-15,0.0
2016-09-16,0.0
2016-09-17,24.0
2016-09-18,0.0
2016-09-19,0.0
2016-09-20,20.0
2016-09-21,0.0
2016-09-22,0.0
2016-09-23,0.0
2016-09-24,0.0
2016-09-25,0.0
2016-09-26,40.0
2016-09-27,40.0
2016-09-28,20.0
2016-09-29,0.0
2016-09-30,0.0
2016-10-01,6.382739212007504
2016-10-02,17.382739212007504
2016-10-03,5.470919324577861
2016-10-04,8.206378986866792
2016-10-05,0.0
2016-10-06,0.0
2016-10-07,11.397748592870544
2016-10-08,39.412757973733584
2016-10-09,9.574108818011256
2016-10-10,15.47091932457786
2016-10-11,18.206378986866792
2016-10-12,26.868667917448406
2016-10-13,15.47091932457786
2016-10-14,0.0
2016-10-15,11.5
2016-10-16,51.88273921200751
2016-10-17,16.412757973733584
2016-10-18,10.941838649155722
2016-10-19,18.206378986866792
2016-10-20,18.206378986866792
2016-10-21,5.926829268292683
2016-10-22,0.0
2016-10-23,12.765478424015008
2016-10-24,24.97091932457786
2016-10-25,41.38367729831144
2016-10-26,5.470919324577861
2016-10-27,15.47091932457786
2016-10-28,5.926829268292683
2016-10-29,17.882739212007504
2016-10-30,17.882739212007504
2016-10-31,21.397748592870542
2016-11-01,15.926829268292682
2016-11-02,50.150093808630395
2016-11-03,49.23827392120075
2016-11-04,17.324577861163228
2016-11-05,24.619136960600375
2016-11-06,24.619136960600375
2016-11-07,27.354596622889304
2016-11-08,10.941838649155722
2016-11-09,91.18198874296435
2016-11-10,49.23827392120075
2016-11-11,34.649155722326455
2016-11-12,25.530956848030016
2016-11-13,24.619136960600375
2016-11-14,32.82551594746717
2016-11-15,10.941838649155722
2016-11-16,32.82551594746717
2016-11-17,0.0
2016-11-18,28.266416510318948
2016-11-19,0.0
2016-11-20,0.0
2016-11-21,21.883677298311444
2016-11-22,10.941838649155722
2016-11-23,10.941838649155722
2016-11-24,0.0
2016-11-25,17.324577861163228
2016-11-26,12.765478424015008
2016-11-27,11.853658536585366
2016-11-28,0.0
2016-11-29,0.0
2016-11-30,0.0
2016-12-01,0.0
2016-12-02,33.73733583489681
2016-12-03,12.765478424015008
2016-12-04,12.765478424015008
2016-12-05,0.0
2016-12-06,0.0
2016-12-07,0.0
2016-12-08,0.0
2016-12-09,0.0
2016-12-10,14.589118198874296
2016-12-11,12.765478424015008
2016-12-12,0.0
2016-12-13,21.883677298311444
2016-12-14,0.0
2016-12-15,0.0
2016-12-16,11.853658536585366
2016-12-17,0.0
2016-12-18,12.765478424015008
2016-12-19,0.0
2016-12-20,0.0
2016-12-21,0.0
2016-12-22,0.0
2016-12-23,0.0
2016-12-24,0.0
2016-12-25,14.589118198874296
2016-12-26,11.853658536585366
2016-12-27,0.0
2016-12-28,17.324577861163228
2016-12-29,0.0
2016-12-30,0.0
2016-12-31,13.677298311444652
2017-01-01,0.0
2017-01-02,11.853658536585366
2017-01-03,0.0
2017-01-04,21.883677298311444
2017-01-05,10.941838649155722
2017-01-06,10.941838649155722
2017-01-07,31.00187617260788
2017-01-08,11.853658536585366
2017-01-09,20.9718574108818
2017-01-10,10.941838649155722
2017-01-11,31.913696060037523
2017-01-12,15.50093808630394
2017-01-13,21.883677298311444
2017-01-14,11.853658536585366
2017-01-15,11.853658536585366
2017-01-16,20.9718574108818
2017-01-17,26.44277673545966
2017-01-18,0.0
2017-01-19,10.941838649155722
2017-01-20,38.296435272045024
2017-01-21,31.00187617260788
2017-01-22,36.47279549718574
2017-01-23,10.941838649155722
2017-01-24,15.50093808630394
2017-01-25,10.941838649155722
2017-01-26,0.0
2017-01-27,16.412757973733584
2017-01-28,0.0
2017-01-29,0.0
2017-01-30,41.9437148217636
2017-01-31,0.0
2017-02-01,10.030018761726078
2017-02-02,10.941838649155722
2017-02-03,10.941838649155722
2017-02-04,18.23639774859287
2017-02-05,0.0
2017-02-06,10.030018761726078
2017-02-07,10.030018761726078
2017-02-08,10.030018761726078
2017-02-09,20.9718574108818
2017-02-10,10.941838649155722
2017-02-11,0.0
2017-02-12,23.70731707317073
2017-02-13,0.0
2017-02-14,0.0
2017-02-15,10.941838649155722
2017-02-16,0.0
2017-02-17,10.941838649155722
2017-02-18,0.0
2017-02-19,0.0
2017-02-20,10.941838649155722
2017-02-21,10.030018761726078
2017-02-22,0.0
2017-02-23,20.9718574108818
2017-02-24,16.412757973733584
2017-02-25,0.0
2017-02-26,11.853658536585366
2017-02-27,10.941838649155722
2017-02-28,10.941838649155722
2017-03-01,9.887480586926177
2017-03-02,9.887480586926177
2017-03-03,5.075490839649102
2017-03-04,11.509869191906695
2017-03-05,0.0
2017-03-06,9.785970770133193
2017-03-07,4.7709613892701555
2017-03-08,0.0
2017-03-09,10.44490034743398
2017-03-10,10.546410164226963
2017-03-11,5.583039923614011
2017-03-12,11.509869191906695
2017-03-13,4.872471206063137
2017-03-14,0.0
2017-03-15,9.887480586926177
2017-03-16,12.323716189957745
2017-03-17,10.546410164226963
2017-03-18,5.926829268292683
2017-03-19,5.926829268292683
2017-03-20,4.872471206063137
2017-03-21,9.887480586926177
2017-03-22,20.37340929236708
2017-03-23,10.44490034743398
2017-03-24,5.470919324577861
2017-03-25,12.16879876920748
2017-03-26,15.011073639410977
2017-03-27,9.887480586926177
2017-03-28,9.887480586926177
2017-03-29,0.0
2017-03-30,0.0
2017-03-31,10.647919981019944
2017-04-01,14.555163695696155
2017-04-02,11.572119114399952
2017-04-03,0.0
2017-04-04,0.0
2017-04-05,9.744942412126274
2017-04-06,0.0
2017-04-07,10.354001312884167
2017-04-08,0.0
2017-04-09,0.0
2017-04-10,10.150981679298203
2017-04-11,10.150981679298203
2017-04-12,10.150981679298203
2017-04-13,10.55702094647013
2017-04-14,0.0
2017-04-15,11.97815838157188
2017-04-16,0.0
2017-04-17,10.55702094647013
2017-04-18,19.48988482425255
2017-04-19,0.0
2017-04-20,9.94796204571224
2017-04-21,0.0
2017-04-22,11.572119114399952
2017-04-23,0.0
2017-04-24,9.94796204571224
2017-04-25,0.0
2017-04-26,0.0
2017-04-27,0.0
2017-04-28,0.0
2017-04-29,11.775138747985915
2017-04-30,0.0
2017-05-01,10.96306021364206
2017-05-02,0.0
2017-05-03,19.48988482425255
2017-05-04,0.0
2017-05-05,0.0
2017-05-06,0.0
2017-05-07,11.572119114399952
2017-05-08,9.94796204571224
2017-05-09,0.0
2017-05-10,0.0
2017-05-11,9.94796204571224
2017-05-12,10.354001312884167
2017-05-13,0.0
2017-05-14,0.0
2017-05-15,19.89592409142448
2017-05-16,0.0
2017-05-17,9.94796204571224
2017-05-18,0.0
2017-05-19,0.0
2017-05-20,0.0
2017-05-21,0.0
