date,putin emails
2016-05-01,0.0
2016-05-02,0.0
2016-05-03,0.0
2016-05-04,0.0
2016-05-05,0.0
2016-05-06,0.0
2016-05-07,0.0
2016-05-08,0.0
2016-05-09,0.0
2016-05-10,4.0
2016-05-11,4.0
2016-05-12,7.0
2016-05-13,4.0
2016-05-14,0.0
2016-05-15,3.0
2016-05-16,2.0
2016-05-17,6.0
2016-05-18,2.0
2016-05-19,0.0
2016-05-20,2.0
2016-05-21,0.0
2016-05-22,0.0
2016-05-23,2.0
2016-05-24,2.0
2016-05-25,4.0
2016-05-26,2.0
2016-05-27,0.0
2016-05-28,0.0
2016-05-29,0.0
2016-05-30,2.0
2016-05-31,7.0
2016-06-01,2.0
2016-06-02,2.0
2016-06-03,0.0
2016-06-04,0.0
2016-06-05,0.0
2016-06-06,2.0
2016-06-07,0.0
2016-06-08,4.0
2016-06-09,0.0
2016-06-10,9.0
2016-06-11,3.0
2016-06-12,8.0
2016-06-13,0.0
2016-06-14,9.0
2016-06-15,4.0
2016-06-16,22.0
2016-06-17,11.0
2016-06-18,18.0
2016-06-19,100.0
2016-06-20,65.0
2016-06-21,4.0
2016-06-22,2.0
2016-06-23,7.0
2016-06-24,5.0
2016-06-25,0.0
2016-06-26,5.0
2016-06-27,0.0
2016-06-28,2.0
2016-06-29,7.0
2016-06-30,0.0
2016-07-01,0.0
2016-07-02,5.0
2016-07-03,3.0
2016-07-04,0.0
2016-07-05,25.0
2016-07-06,21.0
2016-07-07,2.0
2016-07-08,0.0
2016-07-09,3.0
2016-07-10,0.0
2016-07-11,0.0
2016-07-12,0.0
2016-07-13,0.0
2016-07-14,2.0
2016-07-15,2.0
2016-07-16,3.0
2016-07-17,0.0
2016-07-18,0.0
2016-07-19,7.0
2016-07-20,0.0
2016-07-21,5.0
2016-07-22,0.0
2016-07-23,0.0
2016-07-24,8.0
2016-07-25,20.0
2016-07-26,40.0
2016-07-27,18.0
2016-07-28,29.0
2016-07-29,16.0
2016-07-30,5.0
2016-07-31,5.0
2016-08-01,7.0
2016-08-02,4.0
2016-08-03,4.0
2016-08-04,5.0
2016-08-05,2.0
2016-08-06,3.0
2016-08-07,3.0
2016-08-08,0.0
2016-08-09,0.0
2016-08-10,0.0
2016-08-11,2.0
2016-08-12,0.0
2016-08-13,0.0
2016-08-14,3.0
2016-08-15,2.0
2016-08-16,0.0
2016-08-17,0.0
2016-08-18,0.0
2016-08-19,0.0
2016-08-20,0.0
2016-08-21,0.0
2016-08-22,0.0
2016-08-23,0.0
2016-08-24,0.0
2016-08-25,0.0
2016-08-26,0.0
2016-08-27,0.0
2016-08-28,0.0
2016-08-29,0.0
2016-08-30,0.0
2016-08-31,2.0
2016-09-01,0.0
2016-09-02,2.0
2016-09-03,3.0
2016-09-04,5.0
2016-09-05,2.0
2016-09-06,2.0
2016-09-07,4.0
2016-09-08,0.0
2016-09-09,0.0
2016-09-10,0.0
2016-09-11,0.0
2016-09-12,0.0
2016-09-13,2.0
2016-09-14,2.0
2016-09-15,4.0
2016-09-16,0.0
2016-09-17,5.0
2016-09-18,0.0
2016-09-19,0.0
2016-09-20,2.0
2016-09-21,0.0
2016-09-22,0.0
2016-09-23,0.0
2016-09-24,0.0
2016-09-25,0.0
2016-09-26,0.0
2016-09-27,2.0
2016-09-28,0.0
2016-09-29,0.0
2016-09-30,0.0
2016-10-01,0.0
2016-10-02,1.234256926952141
2016-10-03,0.0
2016-10-04,0.0
2016-10-05,2.057934508816121
2016-10-06,6.8203190596137695
2016-10-07,4.762384550797648
2016-10-08,2.880772460117548
2016-10-09,2.468513853904282
2016-10-10,9.203610411418975
2016-10-11,3.057934508816121
2016-10-12,7.995801847187237
2016-10-13,9.348446683459278
2016-10-14,5.233417296389589
2016-10-15,1.0
2016-10-16,5.968513853904282
2016-10-17,4.173803526448363
2016-10-18,5.173803526448363
2016-10-19,8.702770780856422
2016-10-20,8.289672544080604
2016-10-21,7.674643157010915
2016-10-22,2.5
2016-10-23,2.234256926952141
2016-10-24,0.0
2016-10-25,2.5869017632241813
2016-10-26,1.057934508816121
2016-10-27,1.057934508816121
2016-10-28,8.966834592779177
2016-10-29,6.615029387069689
2016-10-30,5.968513853904282
2016-10-31,8.262384550797648
2016-11-01,4.703610411418976
2016-11-02,2.115869017632242
2016-11-03,6.230058774139378
2016-11-04,2.2334172963895886
2016-11-05,7.287993282955499
2016-11-06,9.521410579345087
2016-11-07,5.172124265323258
2016-11-08,3.056255247691016
2016-11-09,4.819479429051217
2016-11-10,7.4055415617128455
2016-11-11,0.0
2016-11-12,0.0
2016-11-13,0.0
2016-11-14,0.0
2016-11-15,4.231738035264484
2016-11-16,4.114189756507137
2016-11-17,0.0
2016-11-18,0.0
2016-11-19,0.0
2016-11-20,0.0
2016-11-21,2.115869017632242
2016-11-22,2.115869017632242
2016-11-23,0.0
2016-11-24,0.0
2016-11-25,2.2334172963895886
2016-11-26,2.468513853904282
2016-11-27,2.3509655751469354
2016-11-28,0.0
2016-11-29,0.0
2016-11-30,0.0
2016-12-01,0.0
2016-12-02,0.0
2016-12-03,3.6439966414777496
2016-12-04,0.0
2016-12-05,2.115869017632242
2016-12-06,0.0
2016-12-07,0.0
2016-12-08,0.0
2016-12-09,0.0
2016-12-10,2.7036104114189756
2016-12-11,2.468513853904282
2016-12-12,2.115869017632242
2016-12-13,4.114189756507137
2016-12-14,2.115869017632242
2016-12-15,11.754827875734676
2016-12-16,7.875734676742233
2016-12-17,6.230058774139378
2016-12-18,4.937027707808564
2016-12-19,2.115869017632242
2016-12-20,0.0
2016-12-21,2.2334172963895886
2016-12-22,0.0
2016-12-23,2.3509655751469354
2016-12-24,2.7036104114189756
2016-12-25,2.7036104114189756
2016-12-26,0.0
2016-12-27,0.0
2016-12-28,0.0
2016-12-29,2.2334172963895886
2016-12-30,2.3509655751469354
2016-12-31,2.586062132661629
2017-01-01,2.7036104114189756
2017-01-02,8.933669185558355
2017-01-03,0.0
2017-01-04,0.0
2017-01-05,2.115869017632242
2017-01-06,6.582703610411419
2017-01-07,2.3509655751469354
2017-01-08,2.3509655751469354
2017-01-09,4.114189756507137
2017-01-10,0.0
2017-01-11,3.056255247691016
2017-01-12,3.056255247691016
2017-01-13,0.0
2017-01-14,0.0
2017-01-15,2.3509655751469354
2017-01-16,0.0
2017-01-17,0.0
2017-01-18,0.0
2017-01-19,1.998320738874895
2017-01-20,2.115869017632242
2017-01-21,2.3509655751469354
2017-01-22,2.3509655751469354
2017-01-23,0.0
2017-01-24,0.0
2017-01-25,0.0
2017-01-26,0.0
2017-01-27,0.0
2017-01-28,2.3509655751469354
2017-01-29,0.0
2017-01-30,1.998320738874895
2017-01-31,0.0
