date,obama putin
2016-05-01,5.0
2016-05-02,5.0
2016-05-03,6.0
2016-05-04,6.0
2016-05-05,4.0
2016-05-06,4.0
2016-05-07,3.0
2016-05-08,5.0
2016-05-09,4.0
2016-05-10,5.0
2016-05-11,4.0
2016-05-12,5.0
2016-05-13,4.0
2016-05-14,6.0
2016-05-15,6.0
2016-05-16,7.0
2016-05-17,3.0
2016-05-18,6.0
2016-05-19,4.0
2016-05-20,4.0
2016-05-21,5.0
2016-05-22,6.0
2016-05-23,7.0
2016-05-24,8.0
2016-05-25,6.0
2016-05-26,6.0
2016-05-27,5.0
2016-05-28,7.0
2016-05-29,4.0
2016-05-30,4.0
2016-05-31,4.0
2016-06-01,7.0
2016-06-02,3.0
2016-06-03,2.0
2016-06-04,4.0
2016-06-05,3.0
2016-06-06,6.0
2016-06-07,3.0
2016-06-08,5.0
2016-06-09,4.0
2016-06-10,5.0
2016-06-11,4.0
2016-06-12,5.0
2016-06-13,4.0
2016-06-14,5.0
2016-06-15,5.0
2016-06-16,4.0
2016-06-17,3.0
2016-06-18,7.0
2016-06-19,6.0
2016-06-20,6.0
2016-06-21,5.0
2016-06-22,3.0
2016-06-23,5.0
2016-06-24,6.0
2016-06-25,5.0
2016-06-26,4.0
2016-06-27,3.0
2016-06-28,4.0
2016-06-29,5.0
2016-06-30,5.0
2016-07-01,4.0
2016-07-02,3.0
2016-07-03,3.0
2016-07-04,5.0
2016-07-05,6.0
2016-07-06,4.0
2016-07-07,5.0
2016-07-08,6.0
2016-07-09,4.0
2016-07-10,6.0
2016-07-11,6.0
2016-07-12,3.0
2016-07-13,5.0
2016-07-14,3.0
2016-07-15,9.0
2016-07-16,6.0
2016-07-17,6.0
2016-07-18,6.0
2016-07-19,5.0
2016-07-20,6.0
2016-07-21,8.0
2016-07-22,5.0
2016-07-23,6.0
2016-07-24,5.0
2016-07-25,6.0
2016-07-26,8.0
2016-07-27,17.0
2016-07-28,17.0
2016-07-29,9.0
2016-07-30,8.0
2016-07-31,7.0
2016-08-01,8.0
2016-08-02,6.0
2016-08-03,6.0
2016-08-04,6.0
2016-08-05,6.0
2016-08-06,8.0
2016-08-07,6.0
2016-08-08,5.0
2016-08-09,5.0
2016-08-10,5.0
2016-08-11,5.0
2016-08-12,6.0
2016-08-13,5.0
2016-08-14,5.0
2016-08-15,5.0
2016-08-16,6.0
2016-08-17,4.0
2016-08-18,7.0
2016-08-19,8.0
2016-08-20,7.0
2016-08-21,5.0
2016-08-22,5.0
2016-08-23,5.0
2016-08-24,5.0
2016-08-25,5.0
2016-08-26,5.0
2016-08-27,4.0
2016-08-28,3.0
2016-08-29,3.0
2016-08-30,4.0
2016-08-31,6.0
2016-09-01,4.0
2016-09-02,4.0
2016-09-03,6.0
2016-09-04,11.0
2016-09-05,52.0
2016-09-06,100.0
2016-09-07,68.0
2016-09-08,63.0
2016-09-09,34.0
2016-09-10,25.0
2016-09-11,21.0
2016-09-12,12.0
2016-09-13,11.0
2016-09-14,11.0
2016-09-15,9.0
2016-09-16,8.0
2016-09-17,10.0
2016-09-18,9.0
2016-09-19,10.0
2016-09-20,7.0
2016-09-21,9.0
2016-09-22,6.0
2016-09-23,6.0
2016-09-24,6.0
2016-09-25,7.0
2016-09-26,7.0
2016-09-27,7.0
2016-09-28,7.0
2016-09-29,6.0
2016-09-30,5.0
2016-10-01,4.757437070938215
2016-10-02,6.5148741418764295
2016-10-03,5.136155606407323
2016-10-04,7.5148741418764295
2016-10-05,28.998855835240274
2016-10-06,8.893592677345538
2016-10-07,11.211670480549198
2016-10-08,8.83295194508009
2016-10-09,9.711670480549198
2016-10-10,12.651029748283753
2016-10-11,10.83295194508009
