date,travel ban
2016-05-01,39.0
2016-05-02,46.0
2016-05-03,30.0
2016-05-04,42.0
2016-05-05,41.0
2016-05-06,74.0
2016-05-07,40.0
2016-05-08,33.0
2016-05-09,58.0
2016-05-10,42.0
2016-05-11,51.0
2016-05-12,28.0
2016-05-13,44.0
2016-05-14,64.0
2016-05-15,64.0
2016-05-16,48.0
2016-05-17,36.0
2016-05-18,54.0
2016-05-19,61.0
2016-05-20,29.0
2016-05-21,29.0
2016-05-22,25.0
2016-05-23,21.0
2016-05-24,27.0
2016-05-25,31.0
2016-05-26,51.0
2016-05-27,19.0
2016-05-28,25.0
2016-05-29,15.0
2016-05-30,53.0
2016-05-31,33.0
2016-06-01,40.0
2016-06-02,31.0
2016-06-03,35.0
2016-06-04,29.0
2016-06-05,18.0
2016-06-06,21.0
2016-06-07,33.0
2016-06-08,28.0
2016-06-09,22.0
2016-06-10,6.0
2016-06-11,29.0
2016-06-12,43.0
2016-06-13,51.0
2016-06-14,33.0
2016-06-15,21.0
2016-06-16,28.0
2016-06-17,41.0
2016-06-18,26.0
2016-06-19,32.0
2016-06-20,24.0
2016-06-21,24.0
2016-06-22,49.0
2016-06-23,31.0
2016-06-24,35.0
2016-06-25,22.0
2016-06-26,22.0
2016-06-27,33.0
2016-06-28,25.0
2016-06-29,43.0
2016-06-30,53.0
2016-07-01,39.0
2016-07-02,22.0
2016-07-03,30.0
2016-07-04,23.0
2016-07-05,32.0
2016-07-06,32.0
2016-07-07,29.0
2016-07-08,20.0
2016-07-09,22.0
2016-07-10,29.0
2016-07-11,22.0
2016-07-12,30.0
2016-07-13,75.0
2016-07-14,41.0
2016-07-15,38.0
2016-07-16,51.0
2016-07-17,100.0
2016-07-18,88.0
2016-07-19,32.0
2016-07-20,73.0
2016-07-21,57.0
2016-07-22,45.0
2016-07-23,33.0
2016-07-24,44.0
2016-07-25,50.0
2016-07-26,47.0
2016-07-27,41.0
2016-07-28,41.0
2016-07-29,23.0
2016-07-30,22.0
2016-07-31,48.0
2016-08-01,62.0
2016-08-02,63.0
2016-08-03,57.0
2016-08-04,47.0
2016-08-05,36.0
2016-08-06,37.0
2016-08-07,41.0
2016-08-08,56.0
2016-08-09,31.0
2016-08-10,16.0
2016-08-11,48.0
2016-08-12,26.0
2016-08-13,15.0
2016-08-14,41.0
2016-08-15,49.0
2016-08-16,37.0
2016-08-17,40.0
2016-08-18,35.0
2016-08-19,32.0
2016-08-20,50.0
2016-08-21,32.0
2016-08-22,15.0
2016-08-23,25.0
2016-08-24,22.0
2016-08-25,25.0
2016-08-26,26.0
2016-08-27,14.0
2016-08-28,36.0
2016-08-29,24.0
2016-08-30,27.0
2016-08-31,33.0
2016-09-01,55.0
2016-09-02,25.0
2016-09-03,57.0
2016-09-04,42.0
2016-09-05,31.0
2016-09-06,39.0
2016-09-07,42.0
2016-09-08,43.0
2016-09-09,43.0
2016-09-10,21.0
2016-09-11,17.0
2016-09-12,39.0
2016-09-13,24.0
2016-09-14,33.0
2016-09-15,37.0
2016-09-16,28.0
2016-09-17,28.0
2016-09-18,10.0
2016-09-19,38.0
2016-09-20,41.0
2016-09-21,30.0
2016-09-22,24.0
2016-09-23,19.0
2016-09-24,24.0
2016-09-25,31.0
2016-09-26,27.0
2016-09-27,32.0
2016-09-28,29.0
2016-09-29,47.0
2016-09-30,28.0
2016-10-01,8.5
2016-10-02,10.0
2016-10-03,11.5
2016-10-04,17.5
2016-10-05,14.5
2016-10-06,12.0
2016-10-07,24.0
2016-10-08,13.5
2016-10-09,19.0
2016-10-10,12.0
2016-10-11,16.0
2016-10-12,12.0
2016-10-13,17.5
2016-10-14,21.0
2016-10-15,20.5
2016-10-16,18.5
2016-10-17,20.0
2016-10-18,10.0
2016-10-19,14.5
2016-10-20,16.0
2016-10-21,15.0
2016-10-22,23.5
2016-10-23,13.5
2016-10-24,17.5
2016-10-25,20.0
2016-10-26,15.5
2016-10-27,17.5
2016-10-28,12.0
2016-10-29,15.5
2016-10-30,25.5
2016-10-31,12.0
2016-11-01,10.5
2016-11-02,0.0
2016-11-03,0.0
2016-11-04,0.0
2016-11-05,0.0
2016-11-06,0.0
2016-11-07,0.0
2016-11-08,0.0
2016-11-09,0.0
2016-11-10,0.0
2016-11-11,0.0
2016-11-12,0.0
2016-11-13,0.0
2016-11-14,0.0
2016-11-15,0.0
2016-11-16,0.0
2016-11-17,0.0
2016-11-18,0.0
2016-11-19,0.0
2016-11-20,0.0
2016-11-21,0.0
2016-11-22,0.0
2016-11-23,0.0
2016-11-24,0.0
2016-11-25,0.0
2016-11-26,0.0
2016-11-27,0.0
2016-11-28,0.0
2016-11-29,0.0
2016-11-30,0.0
2016-12-01,0.0
2016-12-02,0.0
2016-12-03,0.0
2016-12-04,0.0
2016-12-05,0.0
2016-12-06,0.0
2016-12-07,0.0
2016-12-08,0.0
2016-12-09,0.0
2016-12-10,0.0
2016-12-11,0.0
2016-12-12,0.0
2016-12-13,0.0
2016-12-14,0.0
2016-12-15,1.0
2016-12-16,0.0
2016-12-17,0.0
2016-12-18,0.0
2016-12-19,0.0
2016-12-20,0.0
2016-12-21,0.0
2016-12-22,0.0
2016-12-23,0.0
2016-12-24,0.0
2016-12-25,0.0
2016-12-26,0.0
2016-12-27,0.0
2016-12-28,0.0
2016-12-29,0.0
2016-12-30,0.0
2016-12-31,0.0
2017-01-01,0.0
2017-01-02,0.0
2017-01-03,0.0
2017-01-04,0.0
2017-01-05,1.0
2017-01-06,0.0
2017-01-07,1.0
2017-01-08,0.0
2017-01-09,0.0
2017-01-10,0.0
2017-01-11,0.0
2017-01-12,0.0
2017-01-13,0.0
2017-01-14,0.0
2017-01-15,0.0
2017-01-16,0.0
2017-01-17,0.0
2017-01-18,0.0
2017-01-19,0.0
2017-01-20,0.0
2017-01-21,0.0
2017-01-22,0.0
2017-01-23,0.0
2017-01-24,0.0
2017-01-25,1.0
2017-01-26,1.0
2017-01-27,1.0
2017-01-28,10.0
2017-01-29,67.0
2017-01-30,94.0
2017-01-31,85.0
2017-02-01,46.0
2017-02-02,30.0
2017-02-03,22.0
2017-02-04,100.0
2017-02-05,78.0
2017-02-06,44.0
2017-02-07,50.0
2017-02-08,70.0
2017-02-09,57.0
2017-02-10,88.0
2017-02-11,43.0
2017-02-12,15.0
2017-02-13,15.0
2017-02-14,12.0
2017-02-15,9.0
2017-02-16,10.0
2017-02-17,10.0
2017-02-18,5.0
2017-02-19,5.0
2017-02-20,8.0
2017-02-21,12.0
2017-02-22,10.0
2017-02-23,7.0
2017-02-24,6.0
2017-02-25,6.0
2017-02-26,5.0
2017-02-27,7.0
2017-02-28,5.0
2017-03-01,7.793491864831039
2017-03-02,5.7096370463078845
