date,hillary impeach
2016-05-01,0.0
2016-05-02,0.0
2016-05-03,0.0
2016-05-04,2.723132969034608
2016-05-05,3.7887067395264116
2016-05-06,2.012750455373406
2016-05-07,2.249544626593807
2016-05-08,0.0
2016-05-09,1.8943533697632058
2016-05-10,0.0
2016-05-11,1.7759562841530054
2016-05-12,0.0
2016-05-13,0.0
2016-05-14,0.0
2016-05-15,2.1311475409836067
2016-05-16,0.0
2016-05-17,1.7759562841530054
2016-05-18,1.7759562841530054
2016-05-19,1.8943533697632058
2016-05-20,1.8943533697632058
2016-05-21,0.0
2016-05-22,0.0
2016-05-23,0.0
2016-05-24,1.8943533697632058
2016-05-25,0.0
2016-05-26,1.8943533697632058
2016-05-27,2.012750455373406
2016-05-28,0.0
2016-05-29,0.0
2016-05-30,0.0
2016-05-31,1.8943533697632058
2016-06-01,0.0
2016-06-02,0.0
2016-06-03,1.8943533697632058
2016-06-04,2.249544626593807
2016-06-05,0.0
2016-06-06,0.0
2016-06-07,1.7759562841530054
2016-06-08,1.8943533697632058
2016-06-09,5.683060109289618
2016-06-10,1.8943533697632058
2016-06-11,2.1311475409836067
2016-06-12,0.0
2016-06-13,0.0
2016-06-14,1.7759562841530054
2016-06-15,1.8943533697632058
2016-06-16,1.8943533697632058
2016-06-17,0.0
2016-06-18,2.249544626593807
2016-06-19,2.1311475409836067
2016-06-20,1.7759562841530054
2016-06-21,1.8943533697632058
2016-06-22,1.7759562841530054
2016-06-23,0.0
2016-06-24,0.0
2016-06-25,0.0
2016-06-26,0.0
2016-06-27,0.0
2016-06-28,3.7887067395264116
2016-06-29,0.0
2016-06-30,1.8943533697632058
2016-07-01,0.0
2016-07-02,2.249544626593807
2016-07-03,2.249544626593807
2016-07-04,0.0
2016-07-05,2.841530054644809
2016-07-06,1.8943533697632058
2016-07-07,4.8542805100182145
2016-07-08,4.025500910746812
2016-07-09,0.0
2016-07-10,2.249544626593807
2016-07-11,1.8943533697632058
2016-07-12,1.8943533697632058
2016-07-13,1.8943533697632058
2016-07-14,1.8943533697632058
2016-07-15,0.0
2016-07-16,2.249544626593807
2016-07-17,2.249544626593807
2016-07-18,0.0
2016-07-19,0.0
2016-07-20,0.0
2016-07-21,1.8943533697632058
2016-07-22,0.0
2016-07-23,2.249544626593807
2016-07-24,0.0
2016-07-25,3.7887067395264116
2016-07-26,1.8943533697632058
2016-07-27,1.8943533697632058
2016-07-28,0.0
2016-07-29,2.959927140255009
2016-07-30,5.683060109289618
2016-07-31,0.0
2016-08-01,1.8943533697632058
2016-08-02,1.8943533697632058
2016-08-03,0.0
2016-08-04,1.8943533697632058
2016-08-05,2.012750455373406
2016-08-06,2.249544626593807
2016-08-07,0.0
2016-08-08,0.0
2016-08-09,0.0
2016-08-10,1.8943533697632058
2016-08-11,3.907103825136612
2016-08-12,0.0
2016-08-13,0.0
2016-08-14,0.0
2016-08-15,2.012750455373406
2016-08-16,0.0
2016-08-17,1.8943533697632058
2016-08-18,1.8943533697632058
2016-08-19,0.0
2016-08-20,2.1311475409836067
2016-08-21,2.1311475409836067
2016-08-22,0.0
2016-08-23,3.7887067395264116
2016-08-24,1.8943533697632058
2016-08-25,1.8943533697632058
2016-08-26,0.0
2016-08-27,4.380692167577413
2016-08-28,4.262295081967213
2016-08-29,3.670309653916211
2016-08-30,0.0
2016-08-31,0.0
2016-09-01,3.670309653916211
2016-09-02,1.8943533697632058
2016-09-03,0.0
2016-09-04,0.0
2016-09-05,0.0
2016-09-06,0.0
2016-09-07,3.670309653916211
2016-09-08,4.617486338797814
2016-09-09,1.8943533697632058
2016-09-10,2.1311475409836067
2016-09-11,0.0
2016-09-12,0.0
2016-09-13,0.0
2016-09-14,1.7759562841530054
2016-09-15,0.0
2016-09-16,1.8943533697632058
2016-09-17,0.0
2016-09-18,2.012750455373406
2016-09-19,1.7759562841530054
2016-09-20,0.0
2016-09-21,5.327868852459016
2016-09-22,1.7759562841530054
2016-09-23,0.0
2016-09-24,2.1311475409836067
2016-09-25,2.1311475409836067
2016-09-26,0.0
2016-09-27,3.551912568306011
2016-09-28,1.7759562841530054
2016-09-29,1.7759562841530054
2016-09-30,1.8943533697632058
2016-10-01,0.0
2016-10-02,2.006375227686703
2016-10-03,1.8879781420765027
2016-10-04,1.0
2016-10-05,0.0
2016-10-06,1.0
2016-10-07,3.3351548269581057
2016-10-08,3.0719489981785064
2016-10-09,4.065573770491803
2016-10-10,10.301457194899818
2016-10-11,5.163934426229508
2016-10-12,2.3615664845173043
2016-10-13,1.8879781420765027
2016-10-14,3.8351548269581057
2016-10-15,5.5783242258652095
2016-10-16,2.506375227686703
2016-10-17,4.1903460837887065
2016-10-18,3.216757741347905
2016-10-19,4.6903460837887065
2016-10-20,6.104735883424408
2016-10-21,3.749544626593807
2016-10-22,5.545537340619308
2016-10-23,2.506375227686703
2016-10-24,1.8879781420765027
2016-10-25,3.802367941712204
2016-10-26,5.131147540983607
2016-10-27,6.5783242258652095
2016-10-28,9.419854280510018
2016-10-29,5.071948998178506
2016-10-30,6.045537340619308
2016-10-31,7.472677595628415
2016-11-01,6.584699453551912
2016-11-02,8.0
2016-11-03,10.0
2016-11-04,14.0
2016-11-05,9.0
2016-11-06,8.0
2016-11-07,6.0
2016-11-08,14.0
2016-11-09,100.0
2016-11-10,30.0
2016-11-11,32.0
2016-11-12,11.0
2016-11-13,6.0
2016-11-14,8.0
2016-11-15,4.0
2016-11-16,6.0
2016-11-17,3.0
2016-11-18,3.0
2016-11-19,5.0
2016-11-20,4.0
2016-11-21,2.0
2016-11-22,4.0
2016-11-23,5.0
2016-11-24,3.0
2016-11-25,3.0
2016-11-26,2.0
2016-11-27,4.0
2016-11-28,2.0
2016-11-29,4.0
2016-11-30,2.0
2016-12-01,0.0
2016-12-02,2.0
2016-12-03,4.0
2016-12-04,2.0
2016-12-05,2.0
2016-12-06,2.0
2016-12-07,0.0
2016-12-08,0.0
2016-12-09,0.0
2016-12-10,2.0
2016-12-11,0.0
2016-12-12,2.0
2016-12-13,0.0
2016-12-14,2.0
2016-12-15,0.0
2016-12-16,0.0
2016-12-17,0.0
2016-12-18,0.0
2016-12-19,5.0
2016-12-20,2.0
2016-12-21,0.0
2016-12-22,2.0
2016-12-23,0.0
2016-12-24,0.0
2016-12-25,0.0
2016-12-26,2.0
2016-12-27,0.0
2016-12-28,2.0
2016-12-29,0.0
2016-12-30,2.0
2016-12-31,0.0
2017-01-01,2.0
2017-01-02,2.0
2017-01-03,2.0
2017-01-04,0.0
2017-01-05,2.0
2017-01-06,0.0
2017-01-07,0.0
2017-01-08,0.0
2017-01-09,2.0
2017-01-10,2.0
2017-01-11,0.0
2017-01-12,0.0
2017-01-13,2.0
