date,trump seizure
2016-05-01,0.0
2016-05-02,0.0
2016-05-03,2.0
2016-05-04,0.0
2016-05-05,2.0
2016-05-06,2.0
2016-05-07,0.0
2016-05-08,0.0
2016-05-09,4.0
2016-05-10,0.0
2016-05-11,0.0
2016-05-12,0.0
2016-05-13,0.0
2016-05-14,0.0
2016-05-15,0.0
2016-05-16,2.0
2016-05-17,2.0
2016-05-18,2.0
2016-05-19,0.0
2016-05-20,0.0
2016-05-21,0.0
2016-05-22,0.0
2016-05-23,2.0
2016-05-24,0.0
2016-05-25,0.0
2016-05-26,0.0
2016-05-27,0.0
2016-05-28,3.0
2016-05-29,0.0
2016-05-30,0.0
2016-05-31,0.0
2016-06-01,0.0
2016-06-02,0.0
2016-06-03,0.0
2016-06-04,0.0
2016-06-05,3.0
2016-06-06,0.0
2016-06-07,0.0
2016-06-08,0.0
2016-06-09,0.0
2016-06-10,2.0
2016-06-11,0.0
2016-06-12,0.0
2016-06-13,0.0
2016-06-14,2.0
2016-06-15,0.0
2016-06-16,0.0
2016-06-17,0.0
2016-06-18,0.0
2016-06-19,0.0
2016-06-20,0.0
2016-06-21,0.0
2016-06-22,2.0
2016-06-23,0.0
2016-06-24,0.0
2016-06-25,0.0
2016-06-26,0.0
2016-06-27,0.0
2016-06-28,0.0
2016-06-29,0.0
2016-06-30,0.0
2016-07-01,0.0
2016-07-02,0.0
2016-07-03,0.0
2016-07-04,0.0
2016-07-05,0.0
2016-07-06,2.0
2016-07-07,0.0
2016-07-08,0.0
2016-07-09,0.0
2016-07-10,0.0
2016-07-11,2.0
2016-07-12,2.0
2016-07-13,0.0
2016-07-14,0.0
2016-07-15,0.0
2016-07-16,0.0
2016-07-17,0.0
2016-07-18,0.0
2016-07-19,2.0
2016-07-20,0.0
2016-07-21,0.0
2016-07-22,2.0
2016-07-23,5.0
2016-07-24,11.0
2016-07-25,4.0
2016-07-26,4.0
2016-07-27,2.0
2016-07-28,2.0
2016-07-29,5.0
2016-07-30,11.0
2016-07-31,3.0
2016-08-01,0.0
2016-08-02,4.0
2016-08-03,2.0
2016-08-04,2.0
2016-08-05,12.0
2016-08-06,3.0
2016-08-07,5.0
2016-08-08,13.0
2016-08-09,2.0
2016-08-10,7.0
2016-08-11,9.0
2016-08-12,2.0
2016-08-13,0.0
2016-08-14,0.0
2016-08-15,2.0
2016-08-16,4.0
2016-08-17,9.0
2016-08-18,0.0
2016-08-19,5.0
2016-08-20,3.0
2016-08-21,8.0
2016-08-22,2.0
2016-08-23,4.0
2016-08-24,2.0
2016-08-25,9.0
2016-08-26,0.0
2016-08-27,5.0
2016-08-28,10.0
2016-08-29,0.0
2016-08-30,0.0
2016-08-31,4.0
2016-09-01,9.0
2016-09-02,5.0
2016-09-03,5.0
2016-09-04,3.0
2016-09-05,5.0
2016-09-06,0.0
2016-09-07,7.0
2016-09-08,2.0
2016-09-09,0.0
2016-09-10,3.0
2016-09-11,25.0
2016-09-12,100.0
2016-09-13,49.0
2016-09-14,30.0
2016-09-15,18.0
2016-09-16,7.0
2016-09-17,3.0
2016-09-18,12.0
2016-09-19,4.0
2016-09-20,0.0
2016-09-21,9.0
2016-09-22,2.0
2016-09-23,4.0
2016-09-24,0.0
2016-09-25,2.0
2016-09-26,4.0
2016-09-27,15.0
2016-09-28,6.0
2016-09-29,4.0
2016-09-30,2.0
2016-10-01,2.34149855907781
2016-10-02,8.34149855907781
2016-10-03,3.14985590778098
2016-10-04,2.2997118155619596
2016-10-05,5.29971181556196
2016-10-06,1.1498559077809798
2016-10-07,5.895533141210375
2016-10-08,6.278818443804035
2016-10-09,15.79106628242075
2016-10-10,10.895533141210375
2016-10-11,6.120317002881844
2016-10-12,1.8206051873198847
2016-10-13,2.14985590778098
2016-10-14,1.8206051873198847
2016-10-15,2.34149855907781
2016-10-16,5.18299711815562
2016-10-17,4.8746397694524495
2016-10-18,4.72478386167147
2016-10-19,2.14985590778098
2016-10-20,6.174351585014409
2016-10-21,6.641210374639769
2016-10-22,1.0
2016-10-23,5.024495677233429
2016-10-24,3.14985590778098
2016-10-25,4.599423631123919
2016-10-26,2.7247838616714697
2016-10-27,3.2997118155619596
2016-10-28,0.0
2016-10-29,0.0
2016-10-30,5.512247838616714
2016-10-31,2.2456772334293946
2016-11-01,0.0
2016-11-02,4.79106628242075
2016-11-03,4.599423631123919
2016-11-04,7.282420749279539
2016-11-05,5.36599423631124
2016-11-06,6.515850144092219
2016-11-07,9.198847262247838
2016-11-08,7.857348703170029
2016-11-09,19.164265129683
2016-11-10,13.989913544668589
2016-11-11,9.77377521613833
2016-11-12,0.0
2016-11-13,10.540345821325648
2016-11-14,4.599423631123919
2016-11-15,6.899135446685879
2016-11-16,2.2997118155619596
2016-11-17,2.2997118155619596
2016-11-18,0.0
2016-11-19,2.68299711815562
2016-11-20,5.174351585014409
2016-11-21,3.4495677233429394
2016-11-22,0.0
2016-11-23,2.2997118155619596
2016-11-24,2.2997118155619596
2016-11-25,0.0
2016-11-26,4.024495677233429
2016-11-27,3.8328530259365996
2016-11-28,2.2997118155619596
2016-11-29,2.2997118155619596
2016-11-30,9.198847262247838
2016-12-01,2.2997118155619596
2016-12-02,2.2997118155619596
2016-12-03,2.68299711815562
2016-12-04,0.0
2016-12-05,0.0
2016-12-06,4.599423631123919
2016-12-07,2.2997118155619596
2016-12-08,2.2997118155619596
2016-12-09,2.4913544668587897
2016-12-10,0.0
2016-12-11,2.68299711815562
2016-12-12,3.4495677233429394
2016-12-13,2.2997118155619596
2016-12-14,2.2997118155619596
2016-12-15,0.0
2016-12-16,2.4913544668587897
2016-12-17,5.36599423631124
2016-12-18,2.68299711815562
2016-12-19,4.599423631123919
2016-12-20,2.2997118155619596
2016-12-21,7.282420749279539
2016-12-22,3.6412103746397695
2016-12-23,2.4913544668587897
2016-12-24,2.8746397694524495
2016-12-25,0.0
2016-12-26,2.68299711815562
2016-12-27,2.4913544668587897
2016-12-28,0.0
2016-12-29,0.0
2016-12-30,0.0
2016-12-31,0.0
2017-01-01,0.0
2017-01-02,2.4913544668587897
2017-01-03,3.4495677233429394
2017-01-04,4.599423631123919
2017-01-05,0.0
2017-01-06,0.0
2017-01-07,5.174351585014409
2017-01-08,0.0
2017-01-09,3.2579250720461097
2017-01-10,2.2997118155619596
2017-01-11,2.2997118155619596
2017-01-12,0.0
2017-01-13,2.2997118155619596
2017-01-14,0.0
2017-01-15,2.4913544668587897
2017-01-16,4.4077809798270895
2017-01-17,0.0
2017-01-18,0.0
2017-01-19,4.4077809798270895
2017-01-20,2.2997118155619596
2017-01-21,6.515850144092219
2017-01-22,2.4913544668587897
2017-01-23,2.2997118155619596
2017-01-24,5.557636887608069
