date,sean spicer
2016-05-01,12.0
2016-05-02,0.0
2016-05-03,0.0
2016-05-04,5.0
2016-05-05,0.0
2016-05-06,16.0
2016-05-07,0.0
2016-05-08,0.0
2016-05-09,0.0
2016-05-10,0.0
2016-05-11,0.0
2016-05-12,0.0
2016-05-13,0.0
2016-05-14,0.0
2016-05-15,0.0
2016-05-16,0.0
2016-05-17,0.0
2016-05-18,0.0
2016-05-19,0.0
2016-05-20,0.0
2016-05-21,0.0
2016-05-22,0.0
2016-05-23,5.0
2016-05-24,0.0
2016-05-25,0.0
2016-05-26,0.0
2016-05-27,0.0
2016-05-28,6.0
2016-05-29,0.0
2016-05-30,0.0
2016-05-31,0.0
2016-06-01,0.0
2016-06-02,0.0
2016-06-03,0.0
2016-06-04,0.0
2016-06-05,0.0
2016-06-06,5.0
2016-06-07,5.0
2016-06-08,0.0
2016-06-09,0.0
2016-06-10,11.0
2016-06-11,0.0
2016-06-12,0.0
2016-06-13,0.0
2016-06-14,0.0
2016-06-15,0.0
2016-06-16,0.0
2016-06-17,0.0
2016-06-18,0.0
2016-06-19,12.0
2016-06-20,5.0
2016-06-21,25.0
2016-06-22,0.0
2016-06-23,10.0
2016-06-24,5.0
2016-06-25,0.0
2016-06-26,0.0
2016-06-27,0.0
2016-06-28,0.0
2016-06-29,0.0
2016-06-30,0.0
2016-07-01,0.0
2016-07-02,6.0
2016-07-03,0.0
2016-07-04,0.0
2016-07-05,21.0
2016-07-06,11.0
2016-07-07,0.0
2016-07-08,0.0
2016-07-09,0.0
2016-07-10,0.0
2016-07-11,0.0
2016-07-12,0.0
2016-07-13,0.0
2016-07-14,0.0
2016-07-15,0.0
2016-07-16,0.0
2016-07-17,31.0
2016-07-18,0.0
2016-07-19,100.0
2016-07-20,31.0
2016-07-21,26.0
2016-07-22,22.0
2016-07-23,6.0
2016-07-24,18.0
2016-07-25,5.0
2016-07-26,10.0
2016-07-27,10.0
2016-07-28,5.0
2016-07-29,22.0
2016-07-30,12.0
2016-07-31,0.0
2016-08-01,5.0
2016-08-02,5.0
2016-08-03,0.0
2016-08-04,5.0
2016-08-05,5.0
2016-08-06,0.0
2016-08-07,0.0
2016-08-08,0.0
2016-08-09,5.0
2016-08-10,0.0
2016-08-11,0.0
2016-08-12,0.0
2016-08-13,0.0
2016-08-14,12.0
2016-08-15,11.0
2016-08-16,0.0
2016-08-17,10.0
2016-08-18,21.0
2016-08-19,27.0
2016-08-20,0.0
2016-08-21,6.0
2016-08-22,20.0
2016-08-23,5.0
2016-08-24,15.0
2016-08-25,42.0
2016-08-26,59.0
2016-08-27,6.0
2016-08-28,6.0
2016-08-29,10.0
2016-08-30,0.0
2016-08-31,10.0
2016-09-01,0.0
2016-09-02,0.0
2016-09-03,0.0
2016-09-04,0.0
2016-09-05,5.0
2016-09-06,0.0
2016-09-07,5.0
2016-09-08,10.0
2016-09-09,5.0
2016-09-10,6.0
2016-09-11,0.0
2016-09-12,5.0
2016-09-13,0.0
2016-09-14,0.0
2016-09-15,10.0
2016-09-16,0.0
2016-09-17,0.0
2016-09-18,6.0
2016-09-19,0.0
2016-09-20,0.0
2016-09-21,10.0
2016-09-22,5.0
2016-09-23,0.0
2016-09-24,0.0
2016-09-25,0.0
2016-09-26,10.0
2016-09-27,10.0
2016-09-28,0.0
2016-09-29,5.0
2016-09-30,5.0
2016-10-01,3.0
2016-10-02,0.0
2016-10-03,5.0
2016-10-04,9.5
2016-10-05,5.0
2016-10-06,0.0
2016-10-07,0.0
2016-10-08,5.5
2016-10-09,14.0
2016-10-10,10.0
2016-10-11,7.5
2016-10-12,2.5
2016-10-13,5.0
2016-10-14,2.5
2016-10-15,0.0
2016-10-16,0.0
2016-10-17,0.0
2016-10-18,0.0
2016-10-19,0.0
2016-10-20,14.5
2016-10-21,5.0
2016-10-22,3.0
2016-10-23,0.0
2016-10-24,2.5
2016-10-25,9.5
2016-10-26,7.0
2016-10-27,12.0
2016-10-28,5.0
2016-10-29,5.5
2016-10-30,5.5
2016-10-31,10.0
2016-11-01,7.5
2016-11-02,0.0
2016-11-03,0.0
2016-11-04,0.0
2016-11-05,0.0
2016-11-06,0.0
2016-11-07,0.0
2016-11-08,0.0
2016-11-09,0.0
2016-11-10,0.0
2016-11-11,0.0
2016-11-12,0.0
2016-11-13,0.0
2016-11-14,0.0
2016-11-15,0.0
2016-11-16,0.0
2016-11-17,0.0
2016-11-18,0.0
2016-11-19,0.0
2016-11-20,0.0
2016-11-21,0.0
2016-11-22,0.0
2016-11-23,0.0
2016-11-24,0.0
2016-11-25,0.0
2016-11-26,0.0
2016-11-27,0.0
2016-11-28,0.0
2016-11-29,0.0
2016-11-30,0.0
2016-12-01,0.0
2016-12-02,0.0
2016-12-03,0.0
2016-12-04,0.0
2016-12-05,0.0
2016-12-06,0.0
2016-12-07,0.0
2016-12-08,0.0
2016-12-09,0.0
2016-12-10,0.0
2016-12-11,0.0
2016-12-12,0.0
2016-12-13,0.0
2016-12-14,0.0
2016-12-15,1.0
2016-12-16,1.0
2016-12-17,1.0
2016-12-18,0.0
