date,hillary crime
2016-05-01,1.0
2016-05-02,0.0
2016-05-03,1.0
2016-05-04,4.0
2016-05-05,4.0
2016-05-06,4.0
2016-05-07,4.0
2016-05-08,2.0
2016-05-09,2.0
2016-05-10,3.0
2016-05-11,3.0
2016-05-12,2.0
2016-05-13,1.0
2016-05-14,1.0
2016-05-15,2.0
2016-05-16,2.0
2016-05-17,2.0
2016-05-18,1.0
2016-05-19,1.0
2016-05-20,4.0
2016-05-21,1.0
2016-05-22,2.0
2016-05-23,1.0
2016-05-24,1.0
2016-05-25,3.0
2016-05-26,2.0
2016-05-27,1.0
2016-05-28,2.0
2016-05-29,2.0
2016-05-30,1.0
2016-05-31,2.0
2016-06-01,1.0
2016-06-02,2.0
2016-06-03,2.0
2016-06-04,2.0
2016-06-05,2.0
2016-06-06,2.0
2016-06-07,2.0
2016-06-08,3.0
2016-06-09,11.0
2016-06-10,100.0
2016-06-11,64.0
2016-06-12,17.0
2016-06-13,14.0
2016-06-14,6.0
2016-06-15,7.0
2016-06-16,6.0
2016-06-17,2.0
2016-06-18,5.0
2016-06-19,8.0
2016-06-20,9.0
2016-06-21,6.0
2016-06-22,7.0
2016-06-23,2.0
2016-06-24,2.0
2016-06-25,2.0
2016-06-26,2.0
2016-06-27,3.0
2016-06-28,3.0
2016-06-29,3.0
2016-06-30,3.0
2016-07-01,3.0
2016-07-02,2.0
2016-07-03,3.0
2016-07-04,2.0
2016-07-05,8.0
2016-07-06,9.0
2016-07-07,5.0
2016-07-08,6.0
2016-07-09,5.0
2016-07-10,2.0
2016-07-11,4.0
2016-07-12,4.0
2016-07-13,3.0
2016-07-14,3.0
2016-07-15,3.0
2016-07-16,4.0
2016-07-17,3.0
2016-07-18,2.0
2016-07-19,7.0
2016-07-20,7.0
2016-07-21,5.0
2016-07-22,6.0
2016-07-23,5.0
2016-07-24,4.0
2016-07-25,4.0
2016-07-26,5.0
2016-07-27,7.0
2016-07-28,7.0
2016-07-29,10.0
2016-07-30,3.0
2016-07-31,4.0
2016-08-01,3.0
2016-08-02,3.0
2016-08-03,3.0
2016-08-04,4.0
2016-08-05,3.0
2016-08-06,3.0
2016-08-07,3.0
2016-08-08,1.0
2016-08-09,1.0
2016-08-10,2.0
2016-08-11,2.0
2016-08-12,1.0
2016-08-13,3.0
2016-08-14,4.0
2016-08-15,5.0
2016-08-16,4.0
2016-08-17,4.0
2016-08-18,1.0
