date,trump ill
2016-05-01,4.0
2016-05-02,5.0
2016-05-03,2.0
2016-05-04,7.0
2016-05-05,6.0
2016-05-06,5.0
2016-05-07,5.0
2016-05-08,4.0
2016-05-09,4.0
2016-05-10,3.0
2016-05-11,4.0
2016-05-12,3.0
2016-05-13,2.0
2016-05-14,4.0
2016-05-15,2.0
2016-05-16,4.0
2016-05-17,4.0
2016-05-18,5.0
2016-05-19,3.0
2016-05-20,2.0
2016-05-21,2.0
2016-05-22,2.0
2016-05-23,2.0
2016-05-24,4.0
2016-05-25,3.0
2016-05-26,2.0
2016-05-27,3.0
2016-05-28,3.0
2016-05-29,4.0
2016-05-30,2.0
2016-05-31,4.0
2016-06-01,2.0
2016-06-02,4.0
2016-06-03,3.0
2016-06-04,4.0
2016-06-05,4.0
2016-06-06,4.0
2016-06-07,4.0
2016-06-08,4.0
2016-06-09,2.0
2016-06-10,3.0
2016-06-11,2.0
2016-06-12,3.0
2016-06-13,7.0
2016-06-14,3.0
2016-06-15,9.0
2016-06-16,4.0
2016-06-17,5.0
2016-06-18,4.0
2016-06-19,5.0
2016-06-20,3.0
2016-06-21,3.0
2016-06-22,2.0
2016-06-23,2.0
2016-06-24,2.0
2016-06-25,3.0
2016-06-26,4.0
2016-06-27,1.0
2016-06-28,3.0
2016-06-29,3.0
2016-06-30,3.0
2016-07-01,0.0
2016-07-02,5.0
2016-07-03,0.0
2016-07-04,2.0
2016-07-05,3.0
2016-07-06,3.0
2016-07-07,3.0
2016-07-08,2.0
2016-07-09,2.0
2016-07-10,4.0
2016-07-11,0.0
2016-07-12,2.0
2016-07-13,3.0
2016-07-14,4.0
2016-07-15,3.0
2016-07-16,6.0
2016-07-17,2.0
2016-07-18,3.0
2016-07-19,8.0
2016-07-20,8.0
2016-07-21,9.0
2016-07-22,5.0
2016-07-23,7.0
2016-07-24,11.0
2016-07-25,7.0
2016-07-26,7.0
2016-07-27,8.0
2016-07-28,5.0
2016-07-29,10.0
2016-07-30,13.0
2016-07-31,8.0
2016-08-01,15.0
2016-08-02,28.0
2016-08-03,33.0
2016-08-04,19.0
2016-08-05,25.0
2016-08-06,10.0
2016-08-07,7.0
2016-08-08,9.0
2016-08-09,5.0
2016-08-10,12.0
2016-08-11,12.0
2016-08-12,19.0
2016-08-13,8.0
2016-08-14,14.0
2016-08-15,6.0
2016-08-16,4.0
2016-08-17,5.0
2016-08-18,5.0
2016-08-19,8.0
2016-08-20,6.0
2016-08-21,7.0
2016-08-22,8.0
2016-08-23,7.0
2016-08-24,6.0
2016-08-25,3.0
2016-08-26,4.0
2016-08-27,7.0
2016-08-28,6.0
2016-08-29,6.0
2016-08-30,4.0
2016-08-31,7.0
2016-09-01,7.0
2016-09-02,9.0
2016-09-03,4.0
2016-09-04,5.0
2016-09-05,2.0
2016-09-06,4.0
2016-09-07,4.0
2016-09-08,4.0
2016-09-09,4.0
2016-09-10,2.0
2016-09-11,21.0
2016-09-12,19.0
2016-09-13,10.0
2016-09-14,10.0
