date,barack obama scandal
2016-05-01,0.0
2016-05-02,45.0
2016-05-03,0.0
2016-05-04,0.0
2016-05-05,0.0
2016-05-06,24.0
2016-05-07,27.0
2016-05-08,0.0
2016-05-09,22.0
2016-05-10,0.0
2016-05-11,22.0
2016-05-12,0.0
2016-05-13,0.0
2016-05-14,0.0
2016-05-15,26.0
2016-05-16,0.0
2016-05-17,0.0
2016-05-18,0.0
2016-05-19,0.0
2016-05-20,23.0
2016-05-21,0.0
2016-05-22,0.0
2016-05-23,0.0
2016-05-24,0.0
2016-05-25,0.0
2016-05-26,23.0
2016-05-27,0.0
2016-05-28,26.0
2016-05-29,0.0
2016-05-30,23.0
2016-05-31,22.0
2016-06-01,0.0
2016-06-02,0.0
2016-06-03,0.0
2016-06-04,0.0
2016-06-05,26.0
2016-06-06,0.0
2016-06-07,0.0
2016-06-08,0.0
2016-06-09,0.0
2016-06-10,23.0
2016-06-11,26.0
2016-06-12,0.0
2016-06-13,0.0
2016-06-14,0.0
2016-06-15,0.0
2016-06-16,0.0
2016-06-17,0.0
2016-06-18,0.0
2016-06-19,0.0
2016-06-20,22.0
2016-06-21,0.0
2016-06-22,0.0
2016-06-23,23.0
2016-06-24,70.0
2016-06-25,0.0
2016-06-26,0.0
2016-06-27,0.0
2016-06-28,22.0
2016-06-29,23.0
2016-06-30,23.0
2016-07-01,0.0
2016-07-02,27.0
2016-07-03,0.0
2016-07-04,0.0
2016-07-05,0.0
2016-07-06,23.0
2016-07-07,23.0
2016-07-08,0.0
2016-07-09,0.0
2016-07-10,0.0
2016-07-11,0.0
2016-07-12,22.0
2016-07-13,0.0
2016-07-14,0.0
2016-07-15,0.0
2016-07-16,54.0
2016-07-17,27.0
2016-07-18,0.0
2016-07-19,69.0
2016-07-20,23.0
2016-07-21,0.0
2016-07-22,0.0
2016-07-23,0.0
2016-07-24,0.0
2016-07-25,0.0
2016-07-26,0.0
2016-07-27,0.0
2016-07-28,23.0
2016-07-29,24.0
2016-07-30,0.0
2016-07-31,0.0
2016-08-01,0.0
2016-08-02,0.0
2016-08-03,0.0
2016-08-04,0.0
2016-08-05,0.0
2016-08-06,0.0
2016-08-07,0.0
2016-08-08,0.0
2016-08-09,0.0
2016-08-10,0.0
2016-08-11,0.0
2016-08-12,0.0
2016-08-13,0.0
2016-08-14,0.0
2016-08-15,0.0
2016-08-16,0.0
2016-08-17,45.0
2016-08-18,0.0
2016-08-19,0.0
2016-08-20,0.0
2016-08-21,0.0
2016-08-22,0.0
2016-08-23,0.0
2016-08-24,0.0
2016-08-25,0.0
2016-08-26,0.0
2016-08-27,0.0
2016-08-28,26.0
2016-08-29,0.0
2016-08-30,0.0
2016-08-31,0.0
2016-09-01,0.0
2016-09-02,0.0
2016-09-03,26.0
2016-09-04,0.0
2016-09-05,0.0
2016-09-06,44.0
2016-09-07,0.0
2016-09-08,0.0
2016-09-09,0.0
2016-09-10,0.0
2016-09-11,0.0
2016-09-12,22.0
2016-09-13,0.0
2016-09-14,0.0
2016-09-15,22.0
2016-09-16,0.0
2016-09-17,0.0
2016-09-18,0.0
2016-09-19,0.0
2016-09-20,0.0
2016-09-21,0.0
2016-09-22,22.0
2016-09-23,23.0
2016-09-24,0.0
2016-09-25,0.0
