date,donald trump bus
2016-05-01,0.0
2016-05-02,0.0
2016-05-03,3.0
2016-05-04,6.0
2016-05-05,3.0
2016-05-06,0.0
2016-05-07,0.0
2016-05-08,1.0
2016-05-09,1.0
2016-05-10,2.0
2016-05-11,4.0
2016-05-12,2.0
2016-05-13,1.0
2016-05-14,5.0
2016-05-15,4.0
2016-05-16,1.0
2016-05-17,3.0
2016-05-18,5.0
2016-05-19,0.0
2016-05-20,4.0
2016-05-21,0.0
2016-05-22,0.0
2016-05-23,1.0
2016-05-24,2.0
2016-05-25,2.0
2016-05-26,2.0
2016-05-27,3.0
2016-05-28,1.0
2016-05-29,1.0
2016-05-30,3.0
2016-05-31,1.0
2016-06-01,2.0
2016-06-02,1.0
2016-06-03,1.0
2016-06-04,1.0
2016-06-05,0.0
2016-06-06,2.0
2016-06-07,0.0
2016-06-08,1.0
2016-06-09,4.0
2016-06-10,2.0
2016-06-11,1.0
2016-06-12,1.0
2016-06-13,4.0
2016-06-14,3.0
2016-06-15,2.0
2016-06-16,0.0
2016-06-17,1.0
2016-06-18,1.0
2016-06-19,0.0
2016-06-20,0.0
2016-06-21,2.0
2016-06-22,0.0
2016-06-23,1.0
2016-06-24,1.0
2016-06-25,2.0
2016-06-26,1.0
2016-06-27,3.0
2016-06-28,3.0
2016-06-29,2.0
2016-06-30,0.0
2016-07-01,2.0
2016-07-02,2.0
2016-07-03,1.0
2016-07-04,1.0
2016-07-05,2.0
2016-07-06,0.0
2016-07-07,1.0
2016-07-08,3.0
2016-07-09,1.0
2016-07-10,1.0
2016-07-11,1.0
2016-07-12,0.0
2016-07-13,1.0
2016-07-14,3.0
2016-07-15,3.0
2016-07-16,4.0
2016-07-17,3.0
2016-07-18,1.0
2016-07-19,7.0
2016-07-20,5.0
2016-07-21,2.0
2016-07-22,7.0
2016-07-23,4.0
2016-07-24,4.0
2016-07-25,1.0
2016-07-26,2.0
2016-07-27,3.0
2016-07-28,5.0
2016-07-29,1.0
2016-07-30,3.0
2016-07-31,1.0
2016-08-01,3.0
2016-08-02,3.0
2016-08-03,5.0
2016-08-04,2.0
2016-08-05,0.0
2016-08-06,3.0
2016-08-07,2.0
2016-08-08,5.0
2016-08-09,0.0
2016-08-10,1.0
2016-08-11,1.0
2016-08-12,5.0
2016-08-13,1.0
2016-08-14,2.0
2016-08-15,3.0
2016-08-16,0.0
2016-08-17,4.0
2016-08-18,0.0
2016-08-19,3.0
2016-08-20,1.0
2016-08-21,2.0
2016-08-22,0.0
2016-08-23,2.0
2016-08-24,0.0
2016-08-25,1.0
2016-08-26,2.0
2016-08-27,2.0
2016-08-28,4.0
2016-08-29,1.0
2016-08-30,1.0
2016-08-31,3.0
2016-09-01,7.0
2016-09-02,1.0
2016-09-03,1.0
2016-09-04,0.0
2016-09-05,1.0
2016-09-06,1.0
2016-09-07,0.0
2016-09-08,2.0
2016-09-09,2.0
2016-09-10,0.0
2016-09-11,1.0
2016-09-12,4.0
2016-09-13,1.0
2016-09-14,4.0
2016-09-15,1.0
2016-09-16,3.0
2016-09-17,1.0
2016-09-18,0.0
2016-09-19,1.0
2016-09-20,2.0
2016-09-21,1.0
2016-09-22,2.0
2016-09-23,2.0
2016-09-24,1.0
2016-09-25,1.0
2016-09-26,1.0
2016-09-27,4.0
2016-09-28,3.0
2016-09-29,2.0
2016-09-30,4.0
2016-10-01,0.5
2016-10-02,4.355263157894737
2016-10-03,6.355263157894737
2016-10-04,2.4379699248120303
2016-10-05,5.396616541353383
2016-10-06,3.417293233082707
2016-10-07,12.293233082706767
2016-10-08,55.32142857142857
2016-10-09,56.23872180451128
2016-10-10,97.93233082706767
2016-10-11,34.69360902255639
2016-10-12,22.045112781954888
2016-10-13,21.565789473684212
2016-10-14,11.669172932330827
2016-10-15,17.127819548872182
2016-10-16,6.375939849624061
2016-10-17,11.731203007518797
2016-10-18,8.834586466165414
2016-10-19,7.355263157894737
2016-10-20,16.127819548872182
2016-10-21,9.251879699248121
2016-10-22,8.855263157894736
2016-10-23,10.231203007518797
2016-10-24,7.834586466165414
2016-10-25,8.334586466165414
2016-10-26,8.293233082706767
2016-10-27,11.293233082706767
2016-10-28,12.731203007518797
2016-10-29,13.231203007518797
2016-10-30,2.9793233082706765
2016-10-31,7.875939849624061
2016-11-01,7.31390977443609
2016-11-02,9.586466165413533
2016-11-03,5.7518796992481205
2016-11-04,14.379699248120302
2016-11-05,12.462406015037594
2016-11-06,9.586466165413533
2016-11-07,14.379699248120302
2016-11-08,20.13157894736842
2016-11-09,75.73308270676692
2016-11-10,42.18045112781955
2016-11-11,26.842105263157897
2016-11-12,17.25563909774436
2016-11-13,12.462406015037594
2016-11-14,13.421052631578949
2016-11-15,7.669172932330827
2016-11-16,3.8345864661654137
2016-11-17,6.710526315789474
2016-11-18,6.710526315789474
2016-11-19,1.9172932330827068
2016-11-20,1.9172932330827068
2016-11-21,1.9172932330827068
2016-11-22,20.13157894736842
2016-11-23,22.048872180451127
2016-11-24,5.7518796992481205
2016-11-25,4.793233082706767
2016-11-26,3.8345864661654137
2016-11-27,5.7518796992481205
2016-11-28,3.8345864661654137
2016-11-29,3.8345864661654137
2016-11-30,2.8759398496240602
2016-12-01,1.9172932330827068
2016-12-02,1.9172932330827068
2016-12-03,1.9172932330827068
2016-12-04,0.9586466165413534
2016-12-05,0.9586466165413534
2016-12-06,0.9586466165413534
2016-12-07,1.9172932330827068
2016-12-08,2.8759398496240602
2016-12-09,2.8759398496240602
2016-12-10,0.0
2016-12-11,0.9586466165413534
2016-12-12,6.710526315789474
2016-12-13,1.9172932330827068
2016-12-14,3.8345864661654137
2016-12-15,3.8345864661654137
2016-12-16,4.793233082706767
2016-12-17,1.9172932330827068
2016-12-18,3.8345864661654137
2016-12-19,1.9172932330827068
2016-12-20,4.793233082706767
2016-12-21,2.8759398496240602
2016-12-22,0.9586466165413534
2016-12-23,0.9586466165413534
2016-12-24,0.9586466165413534
2016-12-25,0.9586466165413534
2016-12-26,0.0
2016-12-27,0.9586466165413534
2016-12-28,1.9172932330827068
2016-12-29,2.8759398496240602
2016-12-30,0.9586466165413534
2016-12-31,0.0
2017-01-01,0.9586466165413534
2017-01-02,1.9172932330827068
2017-01-03,4.793233082706767
2017-01-04,3.8345864661654137
2017-01-05,2.8759398496240602
2017-01-06,2.8759398496240602
2017-01-07,5.7518796992481205
2017-01-08,2.8759398496240602
2017-01-09,5.7518796992481205
2017-01-10,6.710526315789474
2017-01-11,8.62781954887218
2017-01-12,5.7518796992481205
2017-01-13,3.8345864661654137
2017-01-14,1.9172932330827068
2017-01-15,5.7518796992481205
2017-01-16,5.7518796992481205
2017-01-17,5.7518796992481205
2017-01-18,3.8345864661654137
