date,pneumonia
2016-05-01,12.0
2016-05-02,14.0
2016-05-03,14.0
2016-05-04,15.0
2016-05-05,14.0
2016-05-06,13.0
2016-05-07,11.0
2016-05-08,12.0
2016-05-09,14.0
2016-05-10,16.0
2016-05-11,14.0
2016-05-12,12.0
2016-05-13,14.0
2016-05-14,11.0
2016-05-15,12.0
2016-05-16,15.0
2016-05-17,14.0
2016-05-18,14.0
2016-05-19,13.0
2016-05-20,12.0
2016-05-21,11.0
2016-05-22,12.0
2016-05-23,13.0
2016-05-24,14.0
2016-05-25,12.0
2016-05-26,13.0
2016-05-27,13.0
2016-05-28,11.0
2016-05-29,11.0
2016-05-30,11.0
2016-05-31,13.0
2016-06-01,13.0
2016-06-02,12.0
2016-06-03,12.0
2016-06-04,11.0
2016-06-05,11.0
2016-06-06,13.0
2016-06-07,12.0
2016-06-08,14.0
2016-06-09,12.0
2016-06-10,11.0
2016-06-11,11.0
2016-06-12,11.0
2016-06-13,12.0
2016-06-14,13.0
2016-06-15,12.0
2016-06-16,13.0
2016-06-17,12.0
2016-06-18,10.0
2016-06-19,9.0
2016-06-20,12.0
2016-06-21,12.0
2016-06-22,12.0
2016-06-23,12.0
2016-06-24,10.0
2016-06-25,10.0
2016-06-26,10.0
2016-06-27,12.0
2016-06-28,11.0
2016-06-29,12.0
2016-06-30,12.0
2016-07-01,11.0
2016-07-02,9.0
2016-07-03,10.0
2016-07-04,10.0
2016-07-05,11.0
2016-07-06,11.0
2016-07-07,12.0
2016-07-08,10.0
2016-07-09,10.0
2016-07-10,9.0
2016-07-11,11.0
2016-07-12,12.0
2016-07-13,12.0
2016-07-14,12.0
2016-07-15,11.0
2016-07-16,9.0
2016-07-17,10.0
2016-07-18,13.0
2016-07-19,11.0
2016-07-20,11.0
2016-07-21,11.0
2016-07-22,12.0
2016-07-23,10.0
2016-07-24,11.0
2016-07-25,12.0
2016-07-26,12.0
2016-07-27,11.0
2016-07-28,11.0
2016-07-29,11.0
2016-07-30,9.0
2016-07-31,10.0
2016-08-01,12.0
2016-08-02,11.0
2016-08-03,12.0
2016-08-04,12.0
2016-08-05,11.0
2016-08-06,8.0
2016-08-07,9.0
2016-08-08,11.0
2016-08-09,12.0
2016-08-10,12.0
2016-08-11,12.0
2016-08-12,10.0
2016-08-13,10.0
2016-08-14,8.0
2016-08-15,12.0
2016-08-16,12.0
2016-08-17,11.0
2016-08-18,12.0
2016-08-19,12.0
2016-08-20,10.0
2016-08-21,10.0
2016-08-22,12.0
2016-08-23,12.0
2016-08-24,12.0
2016-08-25,13.0
2016-08-26,11.0
2016-08-27,11.0
2016-08-28,11.0
2016-08-29,12.0
2016-08-30,13.0
2016-08-31,11.0
2016-09-01,13.0
2016-09-02,13.0
2016-09-03,11.0
2016-09-04,10.0
2016-09-05,12.0
2016-09-06,13.0
2016-09-07,13.0
2016-09-08,14.0
2016-09-09,13.0
2016-09-10,11.0
2016-09-11,39.0
2016-09-12,100.0
2016-09-13,45.0
2016-09-14,28.0
2016-09-15,30.0
2016-09-16,21.0
2016-09-17,17.0
2016-09-18,14.0
2016-09-19,17.0
2016-09-20,18.0
2016-09-21,17.0
2016-09-22,17.0
2016-09-23,15.0
2016-09-24,13.0
2016-09-25,13.0
2016-09-26,17.0
2016-09-27,17.0
2016-09-28,18.0
2016-09-29,16.0
2016-09-30,15.0
2016-10-01,13.39121338912134
2016-10-02,13.39121338912134
2016-10-03,15.682008368200837
2016-10-04,16.859832635983263
2016-10-05,16.359832635983263
2016-10-06,15.794979079497908
2016-10-07,13.89121338912134
2016-10-08,11.761506276150627
2016-10-09,14.00418410041841
2016-10-10,15.343096234309623
2016-10-11,15.90794979079498
2016-10-12,15.794979079497908
2016-10-13,15.746861924686193
2016-10-14,16.746861924686193
2016-10-15,13.778242677824268
2016-10-16,13.278242677824268
2016-10-17,16.859832635983263
2016-10-18,16.585774058577407
2016-10-19,17.311715481171547
2016-10-20,16.859832635983263
2016-10-21,15.294979079497908
2016-10-22,12.939330543933053
2016-10-23,13.552301255230127
