date,electoral college victory
2016-05-01,0.0
2016-05-02,0.0
2016-05-03,2.2062256809338523
2016-05-04,0.0
2016-05-05,0.0
2016-05-06,4.902723735408561
2016-05-07,0.0
2016-05-08,0.0
2016-05-09,0.0
2016-05-10,0.0
2016-05-11,0.0
2016-05-12,0.0
2016-05-13,0.0
2016-05-14,2.6474708171206225
2016-05-15,0.0
2016-05-16,0.0
2016-05-17,0.0
2016-05-18,2.2552529182879377
2016-05-19,0.0
2016-05-20,2.353307392996109
2016-05-21,0.0
2016-05-22,0.0
2016-05-23,0.0
2016-05-24,0.0
2016-05-25,2.304280155642023
2016-05-26,2.353307392996109
2016-05-27,0.0
2016-05-28,0.0
2016-05-29,0.0
2016-05-30,0.0
2016-05-31,0.0
2016-06-01,0.0
2016-06-02,0.0
2016-06-03,0.0
2016-06-04,0.0
2016-06-05,0.0
2016-06-06,0.0
2016-06-07,0.0
2016-06-08,0.0
2016-06-09,4.657587548638133
2016-06-10,0.0
2016-06-11,0.0
2016-06-12,0.0
2016-06-13,0.0
2016-06-14,0.0
2016-06-15,0.0
2016-06-16,0.0
2016-06-17,0.0
2016-06-18,0.0
2016-06-19,0.0
2016-06-20,0.0
2016-06-21,0.0
2016-06-22,0.0
2016-06-23,0.0
2016-06-24,0.0
2016-06-25,0.0
2016-06-26,0.0
2016-06-27,0.0
2016-06-28,0.0
2016-06-29,0.0
2016-06-30,0.0
2016-07-01,0.0
2016-07-02,0.0
2016-07-03,0.0
2016-07-04,0.0
2016-07-05,0.0
2016-07-06,0.0
2016-07-07,2.353307392996109
2016-07-08,0.0
2016-07-09,0.0
2016-07-10,0.0
2016-07-11,0.0
2016-07-12,0.0
2016-07-13,0.0
2016-07-14,0.0
2016-07-15,0.0
2016-07-16,0.0
2016-07-17,0.0
2016-07-18,0.0
2016-07-19,2.353307392996109
2016-07-20,2.353307392996109
2016-07-21,0.0
2016-07-22,2.4023346303501945
2016-07-23,0.0
2016-07-24,0.0
2016-07-25,0.0
2016-07-26,0.0
2016-07-27,2.304280155642023
2016-07-28,2.353307392996109
2016-07-29,0.0
2016-07-30,2.794552529182879
2016-07-31,2.745525291828794
2016-08-01,0.0
2016-08-02,2.353307392996109
2016-08-03,2.353307392996109
2016-08-04,2.353307392996109
2016-08-05,0.0
2016-08-06,0.0
2016-08-07,0.0
2016-08-08,2.304280155642023
2016-08-09,0.0
2016-08-10,0.0
2016-08-11,0.0
2016-08-12,2.4023346303501945
2016-08-13,0.0
2016-08-14,2.794552529182879
2016-08-15,2.4023346303501945
2016-08-16,0.0
2016-08-17,2.304280155642023
2016-08-18,0.0
2016-08-19,0.0
2016-08-20,0.0
2016-08-21,2.6474708171206225
2016-08-22,0.0
2016-08-23,0.0
2016-08-24,2.304280155642023
2016-08-25,0.0
2016-08-26,0.0
2016-08-27,0.0
2016-08-28,0.0
2016-08-29,0.0
2016-08-30,0.0
2016-08-31,2.2062256809338523
2016-09-01,0.0
2016-09-02,0.0
2016-09-03,0.0
2016-09-04,0.0
2016-09-05,0.0
2016-09-06,0.0
2016-09-07,0.0
2016-09-08,0.0
2016-09-09,0.0
2016-09-10,0.0
2016-09-11,0.0
2016-09-12,0.0
2016-09-13,2.2062256809338523
2016-09-14,0.0
2016-09-15,0.0
2016-09-16,0.0
2016-09-17,0.0
2016-09-18,0.0
2016-09-19,0.0
2016-09-20,2.1571984435797664
2016-09-21,2.2062256809338523
2016-09-22,0.0
2016-09-23,0.0
2016-09-24,0.0
2016-09-25,0.0
2016-09-26,2.2062256809338523
2016-09-27,0.0
2016-09-28,2.2062256809338523
2016-09-29,2.2062256809338523
2016-09-30,0.0
2016-10-01,2.2747081712062256
2016-10-02,0.0
2016-10-03,0.0
2016-10-04,1.0
2016-10-05,2.2062256809338523
2016-10-06,0.0
2016-10-07,2.127626459143969
2016-10-08,0.0
2016-10-09,2.2747081712062256
2016-10-10,3.2062256809338523
2016-10-11,1.0785992217898832
2016-10-12,2.127626459143969
2016-10-13,2.103112840466926
2016-10-14,2.2552529182879377
2016-10-15,2.2747081712062256
2016-10-16,0.0
2016-10-17,2.5933852140077818
2016-10-18,4.078599221789883
2016-10-19,2.078599221789883
2016-10-20,1.0540856031128405
2016-10-21,2.103112840466926
2016-10-22,2.250194552529183
2016-10-23,1.0
2016-10-24,4.078599221789883
2016-10-25,1.0540856031128405
2016-10-26,4.593385214007782
2016-10-27,3.078599221789883
2016-10-28,4.127626459143968
2016-10-29,1.2747081712062256
2016-10-30,1.0
2016-10-31,3.7062256809338523
2016-11-01,2.0
2016-11-02,2.0
2016-11-03,2.0
2016-11-04,2.0
2016-11-05,2.0
2016-11-06,4.0
2016-11-07,5.0
2016-11-08,12.0
2016-11-09,100.0
2016-11-10,27.0
2016-11-11,24.0
2016-11-12,11.0
2016-11-13,8.0
2016-11-14,8.0
2016-11-15,8.0
2016-11-16,2.0
2016-11-17,3.0
2016-11-18,5.0
2016-11-19,2.0
2016-11-20,2.0
2016-11-21,2.0
2016-11-22,6.0
2016-11-23,3.0
2016-11-24,2.0
2016-11-25,0.0
2016-11-26,2.0
2016-11-27,2.0
2016-11-28,6.0
2016-11-29,3.0
2016-11-30,2.0
2016-12-01,0.0
2016-12-02,0.0
2016-12-03,3.0
2016-12-04,0.0
2016-12-05,2.0
2016-12-06,3.0
2016-12-07,2.0
2016-12-08,2.0
2016-12-09,2.0
2016-12-10,18.0
2016-12-11,11.0
2016-12-12,5.0
2016-12-13,8.0
2016-12-14,4.0
2016-12-15,3.0
2016-12-16,6.0
2016-12-17,2.0
2016-12-18,7.0
2016-12-19,9.0
2016-12-20,18.0
2016-12-21,3.0
2016-12-22,2.0
2016-12-23,2.0
2016-12-24,2.0
2016-12-25,0.0
2016-12-26,0.0
2016-12-27,2.0
2016-12-28,0.0
2016-12-29,0.0
2016-12-30,0.0
2016-12-31,0.0
2017-01-01,0.0
2017-01-02,0.0
2017-01-03,2.0
2017-01-04,0.0
2017-01-05,0.0
2017-01-06,2.0
2017-01-07,5.0
2017-01-08,0.0
2017-01-09,2.0
2017-01-10,2.0
2017-01-11,2.0
2017-01-12,0.0
2017-01-13,0.0
2017-01-14,2.0
2017-01-15,2.0
2017-01-16,2.0
2017-01-17,2.0
2017-01-18,2.0
2017-01-19,0.0
2017-01-20,2.0
2017-01-21,2.0
2017-01-22,4.0
2017-01-23,5.0
2017-01-24,2.0
2017-01-25,4.0
2017-01-26,2.0
2017-01-27,2.0
2017-01-28,2.0
2017-01-29,0.0
2017-01-30,4.0
2017-01-31,0.0
2017-02-01,0.0
2017-02-02,2.0
2017-02-03,0.0
2017-02-04,0.0
2017-02-05,0.0
2017-02-06,0.0
2017-02-07,0.0
