date,hillary clinton dementia
2016-05-01,0.0
2016-05-02,0.0
2016-05-03,0.0
2016-05-04,0.0
2016-05-05,0.0
2016-05-06,0.0
2016-05-07,7.0
2016-05-08,0.0
2016-05-09,0.0
2016-05-10,0.0
2016-05-11,6.0
2016-05-12,0.0
2016-05-13,0.0
2016-05-14,0.0
2016-05-15,0.0
2016-05-16,0.0
2016-05-17,0.0
2016-05-18,0.0
2016-05-19,0.0
2016-05-20,0.0
2016-05-21,0.0
2016-05-22,0.0
2016-05-23,0.0
2016-05-24,0.0
2016-05-25,0.0
2016-05-26,0.0
2016-05-27,0.0
2016-05-28,0.0
2016-05-29,0.0
2016-05-30,0.0
2016-05-31,0.0
2016-06-01,6.0
2016-06-02,0.0
2016-06-03,0.0
2016-06-04,0.0
2016-06-05,0.0
2016-06-06,0.0
2016-06-07,0.0
2016-06-08,0.0
2016-06-09,0.0
2016-06-10,6.0
2016-06-11,0.0
2016-06-12,0.0
2016-06-13,0.0
2016-06-14,0.0
2016-06-15,0.0
2016-06-16,0.0
2016-06-17,0.0
2016-06-18,0.0
2016-06-19,0.0
2016-06-20,0.0
2016-06-21,0.0
2016-06-22,0.0
2016-06-23,0.0
2016-06-24,0.0
2016-06-25,0.0
2016-06-26,7.0
2016-06-27,0.0
2016-06-28,6.0
2016-06-29,6.0
2016-06-30,0.0
2016-07-01,0.0
2016-07-02,0.0
2016-07-03,7.0
2016-07-04,0.0
2016-07-05,0.0
2016-07-06,6.0
2016-07-07,0.0
2016-07-08,0.0
2016-07-09,0.0
2016-07-10,7.0
2016-07-11,6.0
2016-07-12,0.0
2016-07-13,0.0
2016-07-14,0.0
2016-07-15,0.0
2016-07-16,0.0
2016-07-17,0.0
2016-07-18,0.0
2016-07-19,0.0
2016-07-20,0.0
2016-07-21,0.0
2016-07-22,6.0
2016-07-23,0.0
2016-07-24,0.0
2016-07-25,0.0
2016-07-26,0.0
2016-07-27,0.0
2016-07-28,0.0
2016-07-29,19.0
2016-07-30,14.0
2016-07-31,7.0
2016-08-01,0.0
2016-08-02,6.0
2016-08-03,12.0
2016-08-04,0.0
2016-08-05,6.0
2016-08-06,7.0
2016-08-07,0.0
2016-08-08,0.0
2016-08-09,36.0
2016-08-10,24.0
2016-08-11,24.0
2016-08-12,86.0
2016-08-13,91.0
2016-08-14,71.0
2016-08-15,50.0
2016-08-16,42.0
2016-08-17,53.0
2016-08-18,6.0
2016-08-19,6.0
2016-08-20,14.0
2016-08-21,14.0
2016-08-22,18.0
2016-08-23,24.0
2016-08-24,18.0
2016-08-25,12.0
2016-08-26,0.0
2016-08-27,0.0
2016-08-28,0.0
2016-08-29,6.0
2016-08-30,0.0
2016-08-31,6.0
2016-09-01,12.0
2016-09-02,0.0
2016-09-03,0.0
2016-09-04,7.0
2016-09-05,6.0
2016-09-06,0.0
2016-09-07,6.0
2016-09-08,12.0
2016-09-09,24.0
2016-09-10,34.0
2016-09-11,100.0
2016-09-12,93.0
2016-09-13,74.0
2016-09-14,34.0
2016-09-15,12.0
2016-09-16,30.0
2016-09-17,7.0
2016-09-18,33.0
2016-09-19,28.0
2016-09-20,22.0
2016-09-21,0.0
2016-09-22,6.0
2016-09-23,6.0
2016-09-24,7.0
2016-09-25,20.0
2016-09-26,6.0
2016-09-27,17.0
2016-09-28,6.0
2016-09-29,6.0
2016-09-30,6.0
2016-10-01,9.154109589041095
2016-10-02,13.414811643835616
2016-10-03,13.255993150684931
2016-10-04,3.0
2016-10-05,4.511986301369863
2016-10-06,4.578339041095891
2016-10-07,5.3223458904109595
2016-10-08,8.874571917808218
2016-10-09,2.654109589041096
2016-10-10,3.4503424657534247
2016-10-11,2.2559931506849313
2016-10-12,5.3223458904109595
2016-10-13,0.0
2016-10-14,10.144691780821919
2016-10-15,2.654109589041096
2016-10-16,11.741866438356166
2016-10-17,12.13527397260274
2016-10-18,5.883989726027398
2016-10-19,2.2559931506849313
2016-10-20,2.2559931506849313
2016-10-21,5.3223458904109595
2016-10-22,6.5
2016-10-23,0.0
2016-10-24,0.0
2016-10-25,2.189640410958904
2016-10-26,0.0
2016-10-27,0.0
2016-10-28,7.644691780821918
2016-10-29,2.654109589041096
2016-10-30,0.0
2016-10-31,2.322345890410959
2016-11-01,5.5
2016-11-02,4.511986301369863
2016-11-03,6.635273972602739
2016-11-04,4.644691780821918
2016-11-05,5.042808219178083
2016-11-06,0.0
2016-11-07,8.758561643835616
2016-11-08,4.379280821917808
2016-11-09,6.237157534246576
2016-11-10,4.511986301369863
2016-11-11,0.0
2016-11-12,0.0
2016-11-13,0.0
2016-11-14,4.379280821917808
2016-11-15,0.0
2016-11-16,0.0
2016-11-17,4.511986301369863
2016-11-18,9.156678082191782
2016-11-19,10.351027397260275
2016-11-20,5.042808219178083
2016-11-21,0.0
2016-11-22,11.014554794520548
2016-11-23,4.511986301369863
2016-11-24,0.0
2016-11-25,0.0
2016-11-26,5.175513698630137
2016-11-27,5.042808219178083
2016-11-28,4.379280821917808
2016-11-29,0.0
2016-11-30,0.0
2016-12-01,0.0
2016-12-02,4.511986301369863
2016-12-03,0.0
2016-12-04,0.0
2016-12-05,4.379280821917808
2016-12-06,0.0
2016-12-07,0.0
2016-12-08,0.0
2016-12-09,0.0
2016-12-10,0.0
2016-12-11,0.0
2016-12-12,0.0
2016-12-13,0.0
2016-12-14,8.89126712328767
2016-12-15,0.0
2016-12-16,0.0
2016-12-17,0.0
2016-12-18,0.0
2016-12-19,0.0
2016-12-20,4.511986301369863
2016-12-21,0.0
2016-12-22,0.0
2016-12-23,0.0
2016-12-24,0.0
2016-12-25,0.0
2016-12-26,5.042808219178083
2016-12-27,0.0
2016-12-28,0.0
2016-12-29,0.0
2016-12-30,0.0
2016-12-31,0.0
2017-01-01,0.0
2017-01-02,0.0
2017-01-03,0.0
2017-01-04,0.0
2017-01-05,0.0
2017-01-06,0.0
2017-01-07,0.0
2017-01-08,0.0
2017-01-09,0.0
2017-01-10,4.379280821917808
2017-01-11,0.0
2017-01-12,0.0
2017-01-13,0.0
2017-01-14,0.0
2017-01-15,0.0
2017-01-16,0.0
2017-01-17,0.0
2017-01-18,4.379280821917808
2017-01-19,0.0
2017-01-20,4.379280821917808
2017-01-21,7.564212328767123
2017-01-22,4.910102739726027
2017-01-23,0.0
2017-01-24,0.0
2017-01-25,4.2465753424657535
2017-01-26,0.0
2017-01-27,0.0
2017-01-28,0.0
2017-01-29,0.0
2017-01-30,4.2465753424657535
2017-01-31,0.0
2017-02-01,4.2465753424657535
2017-02-02,4.2465753424657535
2017-02-03,0.0
2017-02-04,0.0
2017-02-05,0.0
2017-02-06,0.0
2017-02-07,0.0
2017-02-08,4.2465753424657535
