date,trump protests
2016-05-01,40.0
2016-05-02,29.0
2016-05-03,18.0
2016-05-04,11.0
2016-05-05,10.0
2016-05-06,10.0
2016-05-07,15.0
2016-05-08,15.0
2016-05-09,11.0
2016-05-10,3.0
2016-05-11,6.0
2016-05-12,3.0
2016-05-13,3.0
2016-05-14,4.0
2016-05-15,4.0
2016-05-16,3.0
2016-05-17,9.0
2016-05-18,6.0
2016-05-19,9.0
2016-05-20,3.0
2016-05-21,0.0
2016-05-22,0.0
2016-05-23,8.0
2016-05-24,3.0
2016-05-25,100.0
2016-05-26,53.0
2016-05-27,46.0
2016-05-28,67.0
2016-05-29,15.0
2016-05-30,11.0
2016-05-31,14.0
2016-06-01,14.0
2016-06-02,12.0
2016-06-03,50.0
2016-06-04,41.0
2016-06-05,18.0
2016-06-06,8.0
2016-06-07,9.0
2016-06-08,11.0
2016-06-09,8.0
2016-06-10,10.0
2016-06-11,11.0
2016-06-12,7.0
2016-06-13,3.0
2016-06-14,8.0
2016-06-15,8.0
2016-06-16,16.0
2016-06-17,14.0
2016-06-18,6.0
2016-06-19,5.0
2016-06-20,3.0
2016-06-21,5.0
2016-06-22,3.0
2016-06-23,6.0
2016-06-24,18.0
2016-06-25,11.0
2016-06-26,5.0
2016-06-27,6.0
2016-06-28,6.0
2016-06-29,3.0
2016-06-30,3.0
2016-07-01,3.0
2016-07-02,4.0
2016-07-03,4.0
2016-07-04,0.0
2016-07-05,3.0
2016-07-06,8.0
2016-07-07,3.0
2016-07-08,20.0
2016-07-09,15.0
2016-07-10,15.0
2016-07-11,17.0
2016-07-12,15.0
2016-07-13,9.0
2016-07-14,3.0
2016-07-15,19.0
2016-07-16,13.0
2016-07-17,19.0
2016-07-18,63.0
2016-07-19,54.0
2016-07-20,51.0
2016-07-21,27.0
2016-07-22,21.0
2016-07-23,15.0
2016-07-24,24.0
2016-07-25,28.0
2016-07-26,25.0
2016-07-27,24.0
2016-07-28,22.0
2016-07-29,10.0
2016-07-30,4.0
2016-07-31,0.0
2016-08-01,9.0
2016-08-02,6.0
2016-08-03,8.0
2016-08-04,0.0
2016-08-05,5.0
2016-08-06,11.0
2016-08-07,6.0
2016-08-08,13.0
2016-08-09,3.0
2016-08-10,3.0
2016-08-11,3.0
2016-08-12,5.0
2016-08-13,11.0
2016-08-14,7.0
2016-08-15,7.0
2016-08-16,13.0
2016-08-17,9.0
2016-08-18,0.0
2016-08-19,3.0
2016-08-20,7.0
2016-08-21,5.0
2016-08-22,0.0
2016-08-23,6.0
2016-08-24,8.0
2016-08-25,5.0
2016-08-26,3.0
2016-08-27,4.0
2016-08-28,4.0
2016-08-29,6.0
2016-08-30,5.0
2016-08-31,20.0
2016-09-01,20.0
