date,womens march
2016-05-01,37.0
2016-05-02,32.0
2016-05-03,72.0
2016-05-04,42.0
2016-05-05,22.0
2016-05-06,33.0
2016-05-07,88.0
2016-05-08,62.0
2016-05-09,21.0
2016-05-10,0.0
2016-05-11,21.0
2016-05-12,0.0
2016-05-13,33.0
2016-05-14,25.0
2016-05-15,37.0
2016-05-16,21.0
2016-05-17,52.0
2016-05-18,21.0
2016-05-19,42.0
2016-05-20,44.0
2016-05-21,0.0
2016-05-22,62.0
2016-05-23,21.0
2016-05-24,42.0
2016-05-25,21.0
2016-05-26,55.0
2016-05-27,34.0
2016-05-28,100.0
2016-05-29,75.0
2016-05-30,22.0
2016-05-31,21.0
2016-06-01,42.0
2016-06-02,43.0
2016-06-03,44.0
2016-06-04,38.0
2016-06-05,25.0
2016-06-06,0.0
2016-06-07,31.0
2016-06-08,84.0
2016-06-09,0.0
2016-06-10,44.0
2016-06-11,25.0
2016-06-12,24.0
2016-06-13,21.0
2016-06-14,21.0
2016-06-15,21.0
2016-06-16,0.0
2016-06-17,44.0
2016-06-18,25.0
2016-06-19,50.0
2016-06-20,21.0
2016-06-21,42.0
2016-06-22,21.0
2016-06-23,21.0
2016-06-24,22.0
2016-06-25,25.0
2016-06-26,25.0
2016-06-27,21.0
2016-06-28,21.0
2016-06-29,43.0
2016-06-30,21.0
2016-07-01,22.0
2016-07-02,26.0
2016-07-03,26.0
2016-07-04,0.0
2016-07-05,22.0
2016-07-06,33.0
2016-07-07,22.0
2016-07-08,23.0
2016-07-09,0.0
2016-07-10,25.0
2016-07-11,43.0
2016-07-12,0.0
2016-07-13,21.0
2016-07-14,22.0
2016-07-15,55.0
2016-07-16,51.0
2016-07-17,51.0
2016-07-18,86.0
2016-07-19,65.0
2016-07-20,22.0
2016-07-21,0.0
2016-07-22,22.0
2016-07-23,25.0
2016-07-24,0.0
2016-07-25,32.0
2016-07-26,43.0
2016-07-27,43.0
2016-07-28,22.0
2016-07-29,68.0
2016-07-30,0.0
2016-07-31,51.0
2016-08-01,32.0
2016-08-02,65.0
2016-08-03,0.0
2016-08-04,43.0
