date,christopher steele
2016-05-01,38.0
2016-05-02,33.0
2016-05-03,32.0
2016-05-04,0.0
2016-05-05,34.0
2016-05-06,35.0
2016-05-07,39.0
2016-05-08,39.0
2016-05-09,82.0
2016-05-10,0.0
2016-05-11,32.0
2016-05-12,33.0
2016-05-13,51.0
2016-05-14,76.0
2016-05-15,38.0
2016-05-16,0.0
2016-05-17,64.0
2016-05-18,65.0
2016-05-19,33.0
2016-05-20,34.0
2016-05-21,0.0
2016-05-22,0.0
2016-05-23,96.0
2016-05-24,32.0
2016-05-25,33.0
2016-05-26,34.0
2016-05-27,35.0
2016-05-28,77.0
2016-05-29,0.0
2016-05-30,0.0
2016-05-31,33.0
2016-06-01,0.0
2016-06-02,0.0
2016-06-03,0.0
2016-06-04,0.0
2016-06-05,38.0
2016-06-06,33.0
2016-06-07,0.0
2016-06-08,0.0
2016-06-09,0.0
2016-06-10,0.0
2016-06-11,0.0
2016-06-12,38.0
2016-06-13,0.0
2016-06-14,33.0
2016-06-15,33.0
2016-06-16,67.0
2016-06-17,68.0
2016-06-18,39.0
2016-06-19,78.0
2016-06-20,33.0
2016-06-21,0.0
2016-06-22,0.0
2016-06-23,33.0
2016-06-24,0.0
2016-06-25,39.0
2016-06-26,39.0
2016-06-27,33.0
2016-06-28,33.0
2016-06-29,33.0
2016-06-30,0.0
2016-07-01,0.0
2016-07-02,40.0
2016-07-03,40.0
2016-07-04,35.0
2016-07-05,0.0
2016-07-06,0.0
2016-07-07,0.0
2016-07-08,0.0
2016-07-09,40.0
2016-07-10,0.0
2016-07-11,66.0
2016-07-12,0.0
2016-07-13,0.0
2016-07-14,0.0
2016-07-15,0.0
2016-07-16,40.0
2016-07-17,0.0
2016-07-18,34.0
2016-07-19,0.0
2016-07-20,34.0
2016-07-21,69.0
2016-07-22,35.0
2016-07-23,0.0
2016-07-24,40.0
2016-07-25,34.0
2016-07-26,33.0
2016-07-27,67.0
2016-07-28,68.0
2016-07-29,0.0
2016-07-30,40.0
2016-07-31,0.0
2016-08-01,0.0
2016-08-02,33.0
2016-08-03,34.0
2016-08-04,34.0
2016-08-05,35.0
2016-08-06,0.0
2016-08-07,0.0
2016-08-08,33.0
