date,republican convention
2016-05-01,1.0
2016-05-02,1.0
2016-05-03,1.0
2016-05-04,3.0
2016-05-05,2.0
2016-05-06,1.0
2016-05-07,1.0
2016-05-08,1.0
2016-05-09,1.0
2016-05-10,1.0
2016-05-11,1.0
2016-05-12,1.0
2016-05-13,1.0
2016-05-14,1.0
2016-05-15,1.0
2016-05-16,1.0
2016-05-17,1.0
2016-05-18,1.0
2016-05-19,1.0
2016-05-20,1.0
2016-05-21,1.0
2016-05-22,1.0
2016-05-23,1.0
2016-05-24,1.0
2016-05-25,1.0
2016-05-26,1.0
2016-05-27,1.0
2016-05-28,1.0
2016-05-29,1.0
2016-05-30,1.0
2016-05-31,1.0
2016-06-01,1.0
2016-06-02,1.0
2016-06-03,1.0
2016-06-04,1.0
2016-06-05,1.0
2016-06-06,2.0
2016-06-07,2.0
2016-06-08,3.0
2016-06-09,2.0
2016-06-10,2.0
2016-06-11,2.0
2016-06-12,1.0
2016-06-13,1.0
2016-06-14,1.0
2016-06-15,2.0
2016-06-16,2.0
2016-06-17,3.0
2016-06-18,4.0
2016-06-19,4.0
2016-06-20,4.0
2016-06-21,3.0
2016-06-22,3.0
2016-06-23,2.0
2016-06-24,2.0
2016-06-25,2.0
2016-06-26,3.0
2016-06-27,4.0
2016-06-28,6.0
2016-06-29,4.0
2016-06-30,4.0
2016-07-01,4.0
2016-07-02,5.0
2016-07-03,5.0
2016-07-04,3.0
2016-07-05,6.0
2016-07-06,5.0
2016-07-07,6.0
2016-07-08,5.0
2016-07-09,6.0
2016-07-10,8.0
2016-07-11,11.0
2016-07-12,9.0
2016-07-13,10.0
2016-07-14,12.0
2016-07-15,9.0
2016-07-16,13.0
2016-07-17,31.0
2016-07-18,76.0
2016-07-19,100.0
2016-07-20,55.0
2016-07-21,59.0
2016-07-22,49.0
2016-07-23,19.0
2016-07-24,10.0
2016-07-25,6.0
2016-07-26,5.0
2016-07-27,4.0
2016-07-28,4.0
2016-07-29,5.0
2016-07-30,2.0
2016-07-31,1.0
2016-08-01,1.0
2016-08-02,1.0
2016-08-03,1.0
2016-08-04,1.0
2016-08-05,1.0
2016-08-06,1.0
2016-08-07,1.0
2016-08-08,0.0
2016-08-09,0.0
2016-08-10,0.0
2016-08-11,0.0
2016-08-12,0.0
2016-08-13,0.0
2016-08-14,0.0
2016-08-15,0.0
2016-08-16,0.0
2016-08-17,1.0
2016-08-18,0.0
2016-08-19,0.0
2016-08-20,0.0
2016-08-21,0.0
2016-08-22,0.0
2016-08-23,0.0
2016-08-24,0.0
2016-08-25,0.0
2016-08-26,0.0
2016-08-27,0.0
2016-08-28,0.0
2016-08-29,0.0
2016-08-30,0.0
2016-08-31,0.0
2016-09-01,0.0
2016-09-02,0.0
2016-09-03,0.0
2016-09-04,0.0
2016-09-05,0.0
2016-09-06,0.0
2016-09-07,0.0
2016-09-08,0.0
2016-09-09,0.0
2016-09-10,0.0
2016-09-11,0.0
2016-09-12,0.0
2016-09-13,0.0
2016-09-14,0.0
2016-09-15,0.0
2016-09-16,0.0
2016-09-17,0.0
2016-09-18,0.0
2016-09-19,0.0
2016-09-20,0.0
2016-09-21,0.0
2016-09-22,0.0
2016-09-23,0.0
2016-09-24,0.0
2016-09-25,0.0
2016-09-26,0.0
2016-09-27,1.0
2016-09-28,0.0
2016-09-29,0.0
2016-09-30,0.0
2016-10-01,0.011240632805995004
2016-10-02,0.009159034138218152
2016-10-03,0.008742714404662781
2016-10-04,0.008742714404662781
2016-10-05,0.0253955037468776
2016-10-06,0.012073272273105746
2016-10-07,0.027060782681099085
2016-10-08,0.028309741881765195
2016-10-09,0.026228143213988343
2016-10-10,0.021232306411323898
2016-10-11,0.01706910907577019
2016-10-12,0.017485428809325562
2016-10-13,0.020399666944213156
2016-10-14,0.01582014987510408
2016-10-15,0.009159034138218152
2016-10-16,0.013738551207327228
2016-10-17,0.018734388009991675
2016-10-18,0.018734388009991675
2016-10-19,0.01582014987510408
2016-10-20,0.5241465445462115
2016-10-21,0.005828476269775187
2016-10-22,0.012073272273105746
2016-10-23,0.009991673605328892
2016-10-24,0.007077435470441299
2016-10-25,0.01498751040799334
2016-10-26,0.01498751040799334
2016-10-27,0.017901748542880933
2016-10-28,0.017901748542880933
2016-10-29,0.006661115736885929
2016-10-30,0.010407993338884263
2016-10-31,0.010824313072439634
2016-11-01,0.02206494587843464
2016-11-02,0.04329725228975854
2016-11-03,0.028309741881765195
2016-11-04,0.04412989175686928
2016-11-05,0.01665278934221482
2016-11-06,0.014154870940882597
2016-11-07,0.03413821815154038
2016-11-08,0.0607826810990841
2016-11-09,0.08326394671107411
2016-11-10,0.04079933388842631
2016-11-11,0.051623646960865945
2016-11-12,0.03330557868442964
2016-11-13,0.03080766028309742
2016-11-14,0.03746877601998335
2016-11-15,0.024979184013322234
2016-11-16,0.03080766028309742
2016-11-17,0.02414654454621149
2016-11-18,0.025811823480432972
2016-11-19,0.012489592006661117
2016-11-20,0.009159034138218152
2016-11-21,0.017485428809325562
2016-11-22,0.018318068276436304
2016-11-23,0.009159034138218152
2016-11-24,0.009991673605328892
2016-11-25,0.0033305578684429643
2016-11-26,0.01665278934221482
2016-11-27,0.0033305578684429643
2016-11-28,0.009159034138218152
2016-11-29,0.01498751040799334
2016-11-30,0.004995836802664446
2016-12-01,0.010824313072439634
2016-12-02,0.00832639467110741
2016-12-03,0.004995836802664446
2016-12-04,0.010824313072439634
2016-12-05,0.014154870940882597
2016-12-06,0.005828476269775187
2016-12-07,0.009159034138218152
2016-12-08,0.013322231473771857
2016-12-09,0.013322231473771857
2016-12-10,0.005828476269775187
2016-12-11,0.0
2016-12-12,0.005828476269775187
2016-12-13,0.012489592006661117
2016-12-14,0.009159034138218152
2016-12-15,0.006661115736885929
2016-12-16,0.004995836802664446
2016-12-17,0.028309741881765195
2016-12-18,0.019983347210657785
2016-12-19,0.014154870940882597
2016-12-20,0.009991673605328892
2016-12-21,0.009991673605328892
2016-12-22,0.004995836802664446
2016-12-23,0.0016652789342214821
2016-12-24,0.005828476269775187
2016-12-25,0.005828476269775187
2016-12-26,0.01582014987510408
2016-12-27,0.00832639467110741
2016-12-28,0.006661115736885929
2016-12-29,0.0033305578684429643
2016-12-30,0.0016652789342214821
2016-12-31,0.009991673605328892
2017-01-01,0.005828476269775187
2017-01-02,0.00832639467110741
2017-01-03,0.006661115736885929
2017-01-04,0.0033305578684429643
2017-01-05,0.006661115736885929
2017-01-06,0.01498751040799334
2017-01-07,0.00749375520399667
2017-01-08,0.0033305578684429643
2017-01-09,0.009159034138218152
2017-01-10,0.013322231473771857
2017-01-11,0.009159034138218152
2017-01-12,0.009159034138218152
2017-01-13,0.012489592006661117
2017-01-14,0.006661115736885929
2017-01-15,0.004995836802664446
2017-01-16,0.005828476269775187
2017-01-17,0.012489592006661117
2017-01-18,0.01665278934221482
2017-01-19,0.01582014987510408
2017-01-20,0.017485428809325562
2017-01-21,0.02331390507910075
2017-01-22,0.017485428809325562
2017-01-23,0.013322231473771857
2017-01-24,0.018318068276436304
2017-01-25,0.011656952539550375
2017-01-26,0.01498751040799334
2017-01-27,0.01582014987510408
2017-01-28,0.012489592006661117
2017-01-29,0.004995836802664446
2017-01-30,0.012489592006661117
2017-01-31,0.009159034138218152
2017-02-01,0.012489592006661117
2017-02-02,0.018318068276436304
2017-02-03,0.009159034138218152
2017-02-04,0.006661115736885929
2017-02-05,0.01665278934221482
2017-02-06,0.0033305578684429643
2017-02-07,0.010824313072439634
2017-02-08,0.009159034138218152
2017-02-09,0.004163197335553705
2017-02-10,0.006661115736885929
2017-02-11,0.006661115736885929
2017-02-12,0.006661115736885929
2017-02-13,0.005828476269775187
2017-02-14,0.01498751040799334
2017-02-15,0.02164862614487927
2017-02-16,0.005828476269775187
2017-02-17,0.0016652789342214821
2017-02-18,0.009159034138218152
2017-02-19,0.006661115736885929
2017-02-20,0.009159034138218152
2017-02-21,0.004163197335553705
2017-02-22,0.013322231473771857
2017-02-23,0.005828476269775187
2017-02-24,0.012489592006661117
2017-02-25,0.010824313072439634
2017-02-26,0.017485428809325562
2017-02-27,0.00749375520399667
2017-02-28,0.012489592006661117
2017-03-01,0.013523406110120763
2017-03-02,0.018329803463556657
2017-03-03,0.03780797880960498
2017-03-04,0.011984420142051647
2017-03-05,0.012753913126086206
2017-03-06,0.006698556571984198
2017-03-07,0.006887996021212749
2017-03-08,0.0075311960390949395
2017-03-09,0.008426981989281865
2017-03-10,0.00528586357006745
2017-03-11,0.009835763262158494
2017-03-12,0.0060257391770839755
2017-03-13,0.008073808738802677
2017-03-14,0.004743250870359712
2017-03-15,0.01121492715801709
2017-03-16,0.009612794706871791
2017-03-17,0.029187645642054443
2017-03-18,0.04604943307869841
2017-03-19,0.011984420142051647
2017-03-20,0.013813432877523768
2017-03-21,0.008363835506205682
2017-03-22,0.013586552593196948
2017-03-23,0.009196474973316422
2017-03-24,0.00980614588514046
2017-03-25,0.0010259906453794101
2017-03-26,0.0071148763055395685
2017-03-27,0.006055356554102008
2017-03-28,0.006055356554102008
2017-03-29,0.008426981989281865
2017-03-30,0.018006247590095503
2017-03-31,0.009452972634661275
2017-04-01,0.005319392676125601
2017-04-02,0.0035909672588279352
2017-04-03,0.004616957904207346
2017-04-04,0.007694929840345576
2017-04-05,0.009746911131104397
2017-04-06,0.006155943872276461
2017-04-07,0.005129953226897051
2017-04-08,0.0071819345176558705
2017-04-09,0.007694929840345576
2017-04-10,0.012824883067242627
2017-04-11,0.004616957904207346
2017-04-12,0.009746911131104397
2017-04-13,0.008207925163035281
2017-04-14,0.018467831616829383
2017-04-15,0.025136770811795547
2017-04-16,0.0035909672588279352
2017-04-17,0.008207925163035281
2017-04-18,0.010772901776483806
2017-04-19,0.006155943872276461
2017-04-20,0.0030779719361382304
2017-04-21,0.006668939194966166
2017-04-22,0.011285897099173511
2017-04-23,0.0071819345176558705
2017-04-24,0.004616957904207346
2017-04-25,0.004616957904207346
2017-04-26,0.004616957904207346
2017-04-27,0.0030779719361382304
2017-04-28,0.013337878389932332
2017-04-29,0.0071819345176558705
2017-04-30,0.007694929840345576
2017-05-01,0.0015389859680691152
2017-05-02,0.007694929840345576
2017-05-03,0.006155943872276461
2017-05-04,0.010772901776483806
2017-05-05,0.005129953226897051
2017-05-06,0.0056429485495867555
2017-05-07,0.0020519812907588203
2017-05-08,0.0030779719361382304
2017-05-09,0.006155943872276461
2017-05-10,0.004616957904207346
2017-05-11,0.007694929840345576
2017-05-12,0.013337878389932332
2017-05-13,0.011285897099173511
2017-05-14,0.009233915808414692
2017-05-15,0.011285897099173511
2017-05-16,0.004616957904207346
2017-05-17,0.012824883067242627
2017-05-18,0.009746911131104397
2017-05-19,0.006668939194966166
2017-05-20,0.007694929840345576
2017-05-21,0.0035909672588279352
2017-05-22,0.009233915808414692
