date,wikileaks
2016-05-01,2.0
2016-05-02,2.0
2016-05-03,2.0
2016-05-04,2.0
2016-05-05,2.0
2016-05-06,2.0
2016-05-07,2.0
2016-05-08,2.0
2016-05-09,2.0
2016-05-10,2.0
2016-05-11,2.0
2016-05-12,2.0
2016-05-13,3.0
2016-05-14,3.0
2016-05-15,2.0
2016-05-16,2.0
2016-05-17,2.0
2016-05-18,1.0
2016-05-19,2.0
2016-05-20,1.0
2016-05-21,2.0
2016-05-22,2.0
2016-05-23,2.0
2016-05-24,2.0
2016-05-25,2.0
2016-05-26,2.0
2016-05-27,1.0
2016-05-28,2.0
2016-05-29,2.0
2016-05-30,1.0
2016-05-31,1.0
2016-06-01,1.0
2016-06-02,1.0
2016-06-03,1.0
2016-06-04,1.0
2016-06-05,2.0
2016-06-06,1.0
2016-06-07,1.0
2016-06-08,1.0
2016-06-09,2.0
2016-06-10,2.0
2016-06-11,1.0
2016-06-12,2.0
2016-06-13,2.0
2016-06-14,4.0
2016-06-15,3.0
2016-06-16,3.0
2016-06-17,3.0
2016-06-18,3.0
2016-06-19,4.0
2016-06-20,3.0
2016-06-21,2.0
2016-06-22,2.0
2016-06-23,2.0
2016-06-24,2.0
2016-06-25,2.0
2016-06-26,2.0
2016-06-27,2.0
2016-06-28,2.0
2016-06-29,2.0
2016-06-30,2.0
2016-07-01,2.0
2016-07-02,3.0
2016-07-03,2.0
2016-07-04,3.0
2016-07-05,12.0
2016-07-06,6.0
2016-07-07,4.0
2016-07-08,2.0
2016-07-09,2.0
2016-07-10,2.0
2016-07-11,2.0
2016-07-12,3.0
2016-07-13,2.0
2016-07-14,2.0
2016-07-15,4.0
2016-07-16,3.0
2016-07-17,2.0
2016-07-18,15.0
2016-07-19,33.0
2016-07-20,54.0
2016-07-21,12.0
2016-07-22,14.0
2016-07-23,44.0
2016-07-24,49.0
2016-07-25,56.0
2016-07-26,37.0
2016-07-27,27.0
2016-07-28,34.0
2016-07-29,18.0
2016-07-30,15.0
2016-07-31,13.0
2016-08-01,11.0
2016-08-02,13.0
2016-08-03,10.0
2016-08-04,9.0
2016-08-05,7.0
2016-08-06,9.0
2016-08-07,11.0
2016-08-08,7.0
2016-08-09,9.0
2016-08-10,13.0
2016-08-11,12.0
2016-08-12,9.0
2016-08-13,9.0
2016-08-14,7.0
2016-08-15,7.0
2016-08-16,6.0
2016-08-17,6.0
2016-08-18,5.0
2016-08-19,5.0
2016-08-20,4.0
2016-08-21,5.0
2016-08-22,5.0
2016-08-23,9.0
2016-08-24,8.0
2016-08-25,12.0
2016-08-26,12.0
2016-08-27,7.0
2016-08-28,6.0
2016-08-29,5.0
2016-08-30,5.0
2016-08-31,5.0
2016-09-01,5.0
2016-09-02,5.0
2016-09-03,4.0
2016-09-04,4.0
2016-09-05,4.0
2016-09-06,4.0
2016-09-07,7.0
2016-09-08,7.0
2016-09-09,6.0
2016-09-10,6.0
2016-09-11,5.0
2016-09-12,7.0
2016-09-13,6.0
2016-09-14,10.0
2016-09-15,8.0
2016-09-16,9.0
