date,hillary crooked
2016-05-01,6.0
2016-05-02,7.0
2016-05-03,13.0
2016-05-04,20.0
2016-05-05,17.0
2016-05-06,23.0
2016-05-07,13.0
2016-05-08,6.0
2016-05-09,6.0
2016-05-10,12.0
2016-05-11,9.0
2016-05-12,9.0
2016-05-13,6.0
2016-05-14,13.0
2016-05-15,17.0
2016-05-16,11.0
2016-05-17,40.0
2016-05-18,17.0
2016-05-19,11.0
2016-05-20,6.0
2016-05-21,17.0
2016-05-22,11.0
2016-05-23,8.0
2016-05-24,17.0
2016-05-25,12.0
2016-05-26,16.0
2016-05-27,20.0
2016-05-28,13.0
2016-05-29,13.0
2016-05-30,6.0
2016-05-31,5.0
2016-06-01,5.0
2016-06-02,41.0
2016-06-03,46.0
2016-06-04,34.0
2016-06-05,82.0
2016-06-06,100.0
2016-06-07,29.0
2016-06-08,52.0
2016-06-09,35.0
2016-06-10,65.0
2016-06-11,65.0
2016-06-12,23.0
2016-06-13,20.0
2016-06-14,14.0
2016-06-15,12.0
2016-06-16,9.0
2016-06-17,10.0
2016-06-18,12.0
2016-06-19,10.0
2016-06-20,5.0
2016-06-21,13.0
2016-06-22,58.0
2016-06-23,55.0
2016-06-24,85.0
2016-06-25,57.0
2016-06-26,19.0
2016-06-27,27.0
2016-06-28,24.0
2016-06-29,20.0
2016-06-30,11.0
2016-07-01,13.0
2016-07-02,19.0
2016-07-03,14.0
2016-07-04,17.0
2016-07-05,46.0
2016-07-06,49.0
2016-07-07,36.0
2016-07-08,18.0
2016-07-09,15.0
2016-07-10,9.0
2016-07-11,8.0
2016-07-12,9.0
2016-07-13,17.0
2016-07-14,21.0
2016-07-15,33.0
2016-07-16,18.0
2016-07-17,17.0
2016-07-18,16.0
2016-07-19,20.0
2016-07-20,11.0
2016-07-21,18.0
2016-07-22,27.0
2016-07-23,18.0
2016-07-24,96.0
2016-07-25,40.0
2016-07-26,33.0
2016-07-27,35.0
2016-07-28,43.0
2016-07-29,46.0
2016-07-30,27.0
2016-07-31,20.0
2016-08-01,12.0
2016-08-02,22.0
2016-08-03,17.0
2016-08-04,13.0
2016-08-05,7.0
2016-08-06,11.0
2016-08-07,11.0
2016-08-08,7.0
2016-08-09,12.0
2016-08-10,12.0
2016-08-11,15.0
2016-08-12,11.0
2016-08-13,9.0
2016-08-14,15.0
2016-08-15,14.0
2016-08-16,12.0
2016-08-17,12.0
2016-08-18,10.0
2016-08-19,6.0
2016-08-20,10.0
2016-08-21,8.0
2016-08-22,11.0
2016-08-23,8.0
2016-08-24,12.0
2016-08-25,12.0
2016-08-26,9.0
2016-08-27,10.0
2016-08-28,8.0
2016-08-29,11.0
2016-08-30,12.0
2016-08-31,9.0
2016-09-01,11.0
2016-09-02,7.0
2016-09-03,5.0
2016-09-04,7.0
2016-09-05,8.0
2016-09-06,6.0
2016-09-07,10.0
2016-09-08,14.0
2016-09-09,10.0
2016-09-10,4.0
2016-09-11,9.0
2016-09-12,19.0
2016-09-13,8.0
2016-09-14,7.0
2016-09-15,12.0
2016-09-16,5.0
2016-09-17,11.0
2016-09-18,9.0
2016-09-19,8.0
2016-09-20,9.0
2016-09-21,5.0
2016-09-22,6.0
2016-09-23,6.0
2016-09-24,8.0
2016-09-25,7.0
2016-09-26,26.0
2016-09-27,32.0
2016-09-28,17.0
2016-09-29,18.0
2016-09-30,15.0
2016-10-01,14.428057553956835
2016-10-02,14.428057553956835
2016-10-03,10.514388489208635
2016-10-04,13.607913669064748
2016-10-05,13.381294964028777
2016-10-06,5.780575539568345
2016-10-07,5.187050359712231
2016-10-08,9.874100719424462
2016-10-09,9.327338129496404
2016-10-10,13.881294964028777
2016-10-11,20.52158273381295
2016-10-12,19.16187050359712
2016-10-13,18.201438848920866
2016-10-14,24.12230215827338
2016-10-15,11.694244604316548
2016-10-16,12.56115107913669
2016-10-17,12.194244604316548
2016-10-18,14.287769784172664
2016-10-19,16.154676258992808
2016-10-20,24.075539568345327
2016-10-21,15.881294964028777
2016-10-22,16.10791366906475
2016-10-23,15.881294964028777
2016-10-24,21.16187050359712
2016-10-25,16.568345323741006
2016-10-26,14.428057553956835
2016-10-27,19.29496402877698
2016-10-28,20.52158273381295
2016-10-29,32.0431654676259
2016-10-30,26.12230215827338
2016-10-31,23.982014388489212
2016-11-01,26.62230215827338
2016-11-02,28.431654676258994
2016-11-03,27.884892086330936
2016-11-04,27.33812949640288
2016-11-05,25.69784172661871
2016-11-06,25.69784172661871
2016-11-07,30.618705035971225
2016-11-08,46.4748201438849
2016-11-09,54.67625899280576
2016-11-10,24.057553956834536
2016-11-11,14.215827338129497
2016-11-12,14.215827338129497
2016-11-13,14.762589928057555
2016-11-14,14.762589928057555
2016-11-15,9.29496402877698
2016-11-16,6.561151079136691
2016-11-17,6.561151079136691
2016-11-18,3.2805755395683454
2016-11-19,0.0
2016-11-20,3.827338129496403
2016-11-21,5.467625899280576
2016-11-22,5.467625899280576
2016-11-23,3.2805755395683454
2016-11-24,4.9208633093525185
2016-11-25,2.733812949640288
2016-11-26,1.6402877697841727
2016-11-27,3.827338129496403
2016-11-28,3.2805755395683454
2016-11-29,1.6402877697841727
2016-11-30,0.5467625899280576
2016-12-01,0.0
2016-12-02,5.467625899280576
2016-12-03,4.374100719424461
2016-12-04,2.733812949640288
2016-12-05,3.2805755395683454
2016-12-06,3.2805755395683454
2016-12-07,0.5467625899280576
2016-12-08,1.6402877697841727
2016-12-09,1.6402877697841727
2016-12-10,1.0935251798561152
2016-12-11,1.0935251798561152
2016-12-12,1.6402877697841727
