date,trump muslim ban
2016-05-01,7.0
2016-05-02,11.0
2016-05-03,6.0
2016-05-04,14.0
2016-05-05,32.0
2016-05-06,21.0
2016-05-07,13.0
2016-05-08,10.0
2016-05-09,8.0
2016-05-10,44.0
2016-05-11,33.0
2016-05-12,85.0
2016-05-13,43.0
2016-05-14,16.0
2016-05-15,10.0
2016-05-16,33.0
2016-05-17,11.0
2016-05-18,6.0
2016-05-19,11.0
2016-05-20,6.0
2016-05-21,20.0
2016-05-22,10.0
2016-05-23,14.0
2016-05-24,6.0
2016-05-25,6.0
2016-05-26,12.0
2016-05-27,6.0
2016-05-28,7.0
2016-05-29,7.0
2016-05-30,0.0
2016-05-31,6.0
2016-06-01,22.0
2016-06-02,11.0
2016-06-03,9.0
2016-06-04,10.0
2016-06-05,33.0
2016-06-06,17.0
2016-06-07,6.0
2016-06-08,6.0
2016-06-09,11.0
2016-06-10,6.0
2016-06-11,7.0
2016-06-12,20.0
2016-06-13,77.0
2016-06-14,100.0
2016-06-15,33.0
2016-06-16,37.0
2016-06-17,26.0
2016-06-18,17.0
2016-06-19,17.0
2016-06-20,25.0
2016-06-21,8.0
2016-06-22,17.0
2016-06-23,0.0
2016-06-24,35.0
2016-06-25,13.0
2016-06-26,23.0
2016-06-27,22.0
2016-06-28,79.0
2016-06-29,8.0
2016-06-30,14.0
2016-07-01,12.0
2016-07-02,14.0
2016-07-03,7.0
2016-07-04,12.0
2016-07-05,6.0
2016-07-06,9.0
2016-07-07,0.0
2016-07-08,9.0
2016-07-09,0.0
2016-07-10,0.0
2016-07-11,11.0
2016-07-12,6.0
2016-07-13,6.0
2016-07-14,14.0
2016-07-15,18.0
2016-07-16,17.0
2016-07-17,14.0
2016-07-18,29.0
2016-07-19,12.0
2016-07-20,35.0
2016-07-21,20.0
2016-07-22,21.0
2016-07-23,20.0
2016-07-24,27.0
2016-07-25,48.0
2016-07-26,11.0
2016-07-27,14.0
2016-07-28,6.0
2016-07-29,48.0
2016-07-30,31.0
2016-07-31,24.0
2016-08-01,49.0
2016-08-02,14.0
2016-08-03,43.0
2016-08-04,12.0
2016-08-05,12.0
2016-08-06,7.0
2016-08-07,10.0
2016-08-08,9.0
2016-08-09,11.0
2016-08-10,9.0
2016-08-11,20.0
2016-08-12,9.0
