date,book
2016-05-01,97.0
2016-05-02,92.0
2016-05-03,86.0
2016-05-04,85.0
2016-05-05,86.0
2016-05-06,87.0
2016-05-07,88.0
2016-05-08,83.0
2016-05-09,85.0
2016-05-10,84.0
2016-05-11,83.0
2016-05-12,82.0
2016-05-13,88.0
2016-05-14,86.0
2016-05-15,85.0
2016-05-16,88.0
2016-05-17,87.0
2016-05-18,83.0
2016-05-19,83.0
2016-05-20,81.0
2016-05-21,79.0
2016-05-22,81.0
2016-05-23,80.0
2016-05-24,82.0
2016-05-25,80.0
2016-05-26,79.0
2016-05-27,77.0
2016-05-28,74.0
2016-05-29,74.0
2016-05-30,73.0
2016-05-31,79.0
2016-06-01,78.0
2016-06-02,76.0
2016-06-03,75.0
2016-06-04,77.0
2016-06-05,78.0
2016-06-06,77.0
2016-06-07,76.0
2016-06-08,76.0
2016-06-09,75.0
2016-06-10,72.0
2016-06-11,72.0
2016-06-12,75.0
2016-06-13,72.0
2016-06-14,72.0
2016-06-15,72.0
2016-06-16,71.0
2016-06-17,71.0
2016-06-18,74.0
2016-06-19,72.0
2016-06-20,71.0
2016-06-21,72.0
2016-06-22,71.0
2016-06-23,70.0
2016-06-24,67.0
2016-06-25,71.0
2016-06-26,72.0
2016-06-27,70.0
2016-06-28,74.0
2016-06-29,72.0
2016-06-30,71.0
2016-07-01,68.0
2016-07-02,70.0
2016-07-03,73.0
2016-07-04,67.0
2016-07-05,70.0
2016-07-06,73.0
2016-07-07,73.0
2016-07-08,69.0
2016-07-09,73.0
2016-07-10,72.0
2016-07-11,70.0
2016-07-12,70.0
2016-07-13,71.0
2016-07-14,69.0
2016-07-15,67.0
2016-07-16,72.0
2016-07-17,73.0
2016-07-18,72.0
2016-07-19,72.0
2016-07-20,72.0
2016-07-21,73.0
2016-07-22,71.0
2016-07-23,73.0
2016-07-24,75.0
2016-07-25,73.0
2016-07-26,74.0
2016-07-27,73.0
2016-07-28,72.0
2016-07-29,73.0
2016-07-30,78.0
2016-07-31,100.0
2016-08-01,85.0
2016-08-02,79.0
2016-08-03,77.0
2016-08-04,74.0
2016-08-05,71.0
2016-08-06,74.0
2016-08-07,75.0
2016-08-08,73.0
2016-08-09,76.0
2016-08-10,75.0
2016-08-11,76.0
2016-08-12,72.0
2016-08-13,74.0
2016-08-14,77.0
2016-08-15,77.0
2016-08-16,76.0
2016-08-17,75.0
2016-08-18,75.0
2016-08-19,74.0
2016-08-20,75.0
2016-08-21,77.0
2016-08-22,79.0
2016-08-23,80.0
2016-08-24,80.0
2016-08-25,81.0
2016-08-26,77.0
2016-08-27,77.0
2016-08-28,79.0
2016-08-29,78.0
2016-08-30,83.0
2016-08-31,82.0
2016-09-01,83.0
2016-09-02,79.0
2016-09-03,78.0
2016-09-04,80.0
2016-09-05,77.0
2016-09-06,83.0
2016-09-07,83.0
