date,immigration ban
2016-05-01,36.0
2016-05-02,21.0
2016-05-03,10.0
2016-05-04,20.0
2016-05-05,10.0
2016-05-06,11.0
2016-05-07,36.0
2016-05-08,0.0
2016-05-09,10.0
2016-05-10,50.0
2016-05-11,20.0
2016-05-12,10.0
2016-05-13,0.0
2016-05-14,12.0
2016-05-15,24.0
2016-05-16,30.0
2016-05-17,20.0
2016-05-18,10.0
2016-05-19,0.0
2016-05-20,10.0
2016-05-21,24.0
2016-05-22,0.0
2016-05-23,10.0
2016-05-24,20.0
2016-05-25,30.0
2016-05-26,0.0
2016-05-27,0.0
2016-05-28,0.0
2016-05-29,0.0
2016-05-30,21.0
2016-05-31,20.0
2016-06-01,0.0
2016-06-02,10.0
2016-06-03,32.0
2016-06-04,49.0
2016-06-05,48.0
2016-06-06,10.0
2016-06-07,30.0
2016-06-08,41.0
2016-06-09,0.0
2016-06-10,11.0
2016-06-11,12.0
2016-06-12,23.0
2016-06-13,40.0
2016-06-14,71.0
2016-06-15,100.0
2016-06-16,21.0
2016-06-17,42.0
2016-06-18,85.0
2016-06-19,0.0
2016-06-20,30.0
2016-06-21,40.0
2016-06-22,10.0
2016-06-23,10.0
2016-06-24,0.0
2016-06-25,36.0
2016-06-26,24.0
2016-06-27,20.0
2016-06-28,41.0
2016-06-29,20.0
2016-06-30,21.0
2016-07-01,11.0
2016-07-02,12.0
2016-07-03,12.0
2016-07-04,11.0
2016-07-05,32.0
2016-07-06,11.0
2016-07-07,64.0
2016-07-08,33.0
2016-07-09,12.0
2016-07-10,0.0
2016-07-11,10.0
2016-07-12,10.0
2016-07-13,21.0
2016-07-14,31.0
2016-07-15,32.0
2016-07-16,24.0
2016-07-17,49.0
2016-07-18,52.0
2016-07-19,0.0
2016-07-20,21.0
2016-07-21,10.0
2016-07-22,32.0
2016-07-23,0.0
2016-07-24,36.0
2016-07-25,31.0
2016-07-26,31.0
2016-07-27,10.0
2016-07-28,10.0
2016-07-29,0.0
2016-07-30,0.0
2016-07-31,61.0
2016-08-01,51.0
2016-08-02,83.0
2016-08-03,42.0
2016-08-04,42.0
2016-08-05,22.0
2016-08-06,25.0
2016-08-07,25.0
2016-08-08,31.0
2016-08-09,21.0
2016-08-10,10.0
2016-08-11,11.0
2016-08-12,11.0
2016-08-13,24.0
2016-08-14,12.0
2016-08-15,22.0
2016-08-16,31.0
2016-08-17,41.0
2016-08-18,31.0
2016-08-19,22.0
2016-08-20,0.0
2016-08-21,24.0
2016-08-22,20.0
2016-08-23,0.0
2016-08-24,10.0
2016-08-25,31.0
2016-08-26,21.0
2016-08-27,0.0
2016-08-28,0.0
2016-08-29,30.0
2016-08-30,0.0
2016-08-31,30.0
2016-09-01,30.0
2016-09-02,21.0
2016-09-03,12.0
2016-09-04,12.0
2016-09-05,21.0
2016-09-06,49.0
2016-09-07,20.0
2016-09-08,10.0
2016-09-09,10.0
2016-09-10,0.0
2016-09-11,23.0
2016-09-12,0.0
2016-09-13,20.0
2016-09-14,10.0
2016-09-15,0.0
2016-09-16,10.0
2016-09-17,0.0
2016-09-18,0.0
2016-09-19,29.0
2016-09-20,58.0
2016-09-21,30.0
2016-09-22,20.0
2016-09-23,10.0
2016-09-24,34.0
2016-09-25,11.0
2016-09-26,29.0
2016-09-27,19.0
2016-09-28,19.0
2016-09-29,10.0
2016-09-30,20.0
2016-10-01,5.5
2016-10-02,0.0
2016-10-03,0.0
2016-10-04,19.0
2016-10-05,14.5
2016-10-06,9.5
2016-10-07,10.0
2016-10-08,0.0
2016-10-09,5.5
2016-10-10,5.0
2016-10-11,19.5
2016-10-12,15.0
2016-10-13,10.0
2016-10-14,5.0
2016-10-15,0.0
2016-10-16,5.5
2016-10-17,9.5
2016-10-18,19.0
2016-10-19,9.5
2016-10-20,5.0
2016-10-21,5.0
2016-10-22,5.5
2016-10-23,11.0
2016-10-24,5.0
2016-10-25,9.5
2016-10-26,28.5
2016-10-27,14.5
2016-10-28,10.0
2016-10-29,5.5
2016-10-30,11.0
2016-10-31,15.0
2016-11-01,15.0
2016-11-02,0.0
2016-11-03,0.0
2016-11-04,0.0
2016-11-05,0.0
2016-11-06,0.0
2016-11-07,0.0
2016-11-08,0.0
2016-11-09,1.0
2016-11-10,0.0
2016-11-11,0.0
2016-11-12,0.0
2016-11-13,0.0
2016-11-14,0.0
2016-11-15,0.0
2016-11-16,0.0
2016-11-17,0.0
2016-11-18,0.0
2016-11-19,0.0
2016-11-20,0.0
2016-11-21,0.0
2016-11-22,0.0
2016-11-23,0.0
2016-11-24,0.0
2016-11-25,0.0
2016-11-26,0.0
2016-11-27,0.0
2016-11-28,0.0
2016-11-29,0.0
2016-11-30,0.0
