date,hillary clinton golf
2016-05-01,0.0
2016-05-02,0.0
2016-05-03,0.0
2016-05-04,7.0
2016-05-05,21.0
2016-05-06,21.0
2016-05-07,16.0
2016-05-08,0.0
2016-05-09,13.0
2016-05-10,13.0
2016-05-11,13.0
2016-05-12,0.0
2016-05-13,0.0
2016-05-14,0.0
2016-05-15,16.0
2016-05-16,0.0
2016-05-17,6.0
2016-05-18,13.0
2016-05-19,0.0
2016-05-20,0.0
2016-05-21,8.0
2016-05-22,8.0
2016-05-23,20.0
2016-05-24,0.0
2016-05-25,13.0
2016-05-26,21.0
2016-05-27,0.0
2016-05-28,0.0
2016-05-29,8.0
2016-05-30,7.0
2016-05-31,7.0
2016-06-01,0.0
2016-06-02,20.0
2016-06-03,21.0
2016-06-04,16.0
2016-06-05,0.0
2016-06-06,7.0
2016-06-07,13.0
2016-06-08,20.0
2016-06-09,20.0
2016-06-10,42.0
2016-06-11,8.0
2016-06-12,23.0
2016-06-13,13.0
2016-06-14,13.0
2016-06-15,0.0
2016-06-16,41.0
2016-06-17,21.0
2016-06-18,24.0
2016-06-19,16.0
2016-06-20,0.0
2016-06-21,0.0
2016-06-22,14.0
2016-06-23,20.0
2016-06-24,14.0
2016-06-25,32.0
2016-06-26,8.0
2016-06-27,13.0
2016-06-28,7.0
2016-06-29,7.0
2016-06-30,7.0
2016-07-01,7.0
2016-07-02,16.0
2016-07-03,32.0
2016-07-04,14.0
2016-07-05,21.0
2016-07-06,21.0
2016-07-07,7.0
2016-07-08,7.0
2016-07-09,16.0
2016-07-10,8.0
2016-07-11,14.0
2016-07-12,7.0
2016-07-13,0.0
2016-07-14,7.0
2016-07-15,7.0
2016-07-16,16.0
2016-07-17,24.0
2016-07-18,14.0
2016-07-19,7.0
2016-07-20,14.0
2016-07-21,7.0
2016-07-22,7.0
2016-07-23,24.0
2016-07-24,24.0
2016-07-25,13.0
2016-07-26,14.0
2016-07-27,27.0
2016-07-28,48.0
2016-07-29,100.0
2016-07-30,16.0
2016-07-31,32.0
2016-08-01,34.0
2016-08-02,0.0
2016-08-03,14.0
2016-08-04,14.0
2016-08-05,14.0
2016-08-06,16.0
2016-08-07,8.0
2016-08-08,7.0
2016-08-09,7.0
2016-08-10,0.0
2016-08-11,56.0
2016-08-12,21.0
2016-08-13,8.0
2016-08-14,24.0
2016-08-15,0.0
2016-08-16,14.0
2016-08-17,7.0
2016-08-18,7.0
2016-08-19,28.0
2016-08-20,16.0
2016-08-21,16.0
2016-08-22,20.0
2016-08-23,0.0
2016-08-24,0.0
2016-08-25,7.0
2016-08-26,14.0
2016-08-27,8.0
2016-08-28,0.0
2016-08-29,0.0
2016-08-30,0.0
2016-08-31,0.0
2016-09-01,7.0
2016-09-02,14.0
2016-09-03,0.0
2016-09-04,8.0
2016-09-05,20.0
2016-09-06,13.0
2016-09-07,0.0
2016-09-08,7.0
2016-09-09,0.0
2016-09-10,0.0
2016-09-11,53.0
2016-09-12,60.0
2016-09-13,20.0
2016-09-14,13.0
2016-09-15,20.0
2016-09-16,14.0
2016-09-17,15.0
2016-09-18,0.0
2016-09-19,19.0
2016-09-20,13.0
2016-09-21,0.0
2016-09-22,13.0
2016-09-23,20.0
2016-09-24,8.0
2016-09-25,23.0
2016-09-26,13.0
2016-09-27,45.0
2016-09-28,13.0
2016-09-29,13.0
2016-09-30,27.0
2016-10-01,13.315178571428572
2016-10-02,7.604464285714286
2016-10-03,9.63125
2016-10-04,18.7625
2016-10-05,13.209821428571429
2016-10-06,6.13125
2016-10-07,10.07857142857143
2016-10-08,24.84107142857143
2016-10-09,16.89375
2016-10-10,17.920535714285712
2016-10-11,14.551785714285714
2016-10-12,24.630357142857143
2016-10-13,21.051785714285714
2016-10-14,16.919642857142858
2016-10-15,0.0
2016-10-16,11.104464285714286
2016-10-17,20.683035714285715
2016-10-18,8.051785714285714
2016-10-19,9.709821428571429
2016-10-20,38.550892857142856
2016-10-21,7.920535714285714
2016-10-22,18.604464285714286
2016-10-23,11.104464285714286
2016-10-24,11.420535714285714
2016-10-25,3.13125
2016-10-26,16.34107142857143
2016-10-27,9.709821428571429
2016-10-28,23.28839285714286
2016-10-29,28.34107142857143
2016-10-30,20.919642857142858
2016-10-31,29.998214285714287
2016-11-01,16.57857142857143
2016-11-02,23.260714285714286
2016-11-03,16.103571428571428
2016-11-04,23.260714285714286
2016-11-05,15.208928571428572
2016-11-06,14.314285714285715
2016-11-07,25.05
2016-11-08,50.99464285714286
2016-11-09,89.46428571428572
2016-11-10,38.46964285714286
2016-11-11,26.839285714285715
2016-11-12,25.94464285714286
2016-11-13,22.36607142857143
2016-11-14,6.2625
2016-11-15,12.525
2016-11-16,6.2625
2016-11-17,13.419642857142858
2016-11-18,6.2625
2016-11-19,7.1571428571428575
2016-11-20,10.735714285714286
2016-11-21,6.2625
2016-11-22,9.841071428571428
2016-11-23,9.841071428571428
2016-11-24,13.419642857142858
2016-11-25,9.841071428571428
2016-11-26,0.0
2016-11-27,7.1571428571428575
2016-11-28,6.2625
2016-11-29,8.946428571428571
2016-11-30,6.2625
2016-12-01,0.0
2016-12-02,6.2625
2016-12-03,7.1571428571428575
2016-12-04,7.1571428571428575
2016-12-05,0.0
2016-12-06,6.2625
2016-12-07,0.0
2016-12-08,13.419642857142858
2016-12-09,0.0
2016-12-10,8.051785714285714
2016-12-11,7.1571428571428575
2016-12-12,0.0
2016-12-13,6.2625
2016-12-14,12.525
2016-12-15,13.419642857142858
2016-12-16,7.1571428571428575
2016-12-17,8.051785714285714
2016-12-18,0.0
2016-12-19,12.525
2016-12-20,6.2625
2016-12-21,0.0
2016-12-22,7.1571428571428575
2016-12-23,14.314285714285715
2016-12-24,8.051785714285714
2016-12-25,0.0
2016-12-26,7.1571428571428575
2016-12-27,0.0
2016-12-28,0.0
2016-12-29,0.0
2016-12-30,14.314285714285715
2016-12-31,8.051785714285714
2017-01-01,0.0
2017-01-02,7.1571428571428575
2017-01-03,6.2625
2017-01-04,0.0
2017-01-05,0.0
2017-01-06,0.0
2017-01-07,0.0
2017-01-08,7.1571428571428575
2017-01-09,6.2625
2017-01-10,0.0
2017-01-11,0.0
2017-01-12,0.0
2017-01-13,6.2625
2017-01-14,0.0
2017-01-15,0.0
2017-01-16,6.2625
2017-01-17,8.946428571428571
2017-01-18,0.0
2017-01-19,12.525
2017-01-20,16.103571428571428
2017-01-21,14.314285714285715
2017-01-22,7.1571428571428575
2017-01-23,0.0
2017-01-24,6.2625
2017-01-25,12.525
2017-01-26,6.2625
2017-01-27,6.2625
2017-01-28,14.314285714285715
2017-01-29,0.0
2017-01-30,6.2625
2017-01-31,6.2625
2017-02-01,0.0
2017-02-02,6.2625
