date,julian assange
2016-05-01,1.0
2016-05-02,1.0
2016-05-03,1.0
2016-05-04,1.0
2016-05-05,1.0
2016-05-06,2.0
2016-05-07,1.0
2016-05-08,1.0
2016-05-09,2.0
2016-05-10,2.0
2016-05-11,2.0
2016-05-12,1.0
2016-05-13,1.0
2016-05-14,1.0
2016-05-15,2.0
2016-05-16,1.0
2016-05-17,4.0
2016-05-18,1.0
2016-05-19,1.0
2016-05-20,1.0
2016-05-21,1.0
2016-05-22,1.0
2016-05-23,1.0
2016-05-24,1.0
2016-05-25,1.0
2016-05-26,1.0
2016-05-27,1.0
2016-05-28,1.0
2016-05-29,1.0
2016-05-30,1.0
2016-05-31,1.0
2016-06-01,1.0
2016-06-02,1.0
2016-06-03,1.0
2016-06-04,1.0
2016-06-05,1.0
2016-06-06,0.0
2016-06-07,7.0
2016-06-08,5.0
2016-06-09,2.0
2016-06-10,2.0
2016-06-11,2.0
2016-06-12,2.0
2016-06-13,2.0
2016-06-14,3.0
2016-06-15,2.0
2016-06-16,2.0
2016-06-17,2.0
2016-06-18,2.0
2016-06-19,4.0
2016-06-20,3.0
2016-06-21,2.0
2016-06-22,2.0
2016-06-23,2.0
2016-06-24,2.0
2016-06-25,2.0
2016-06-26,2.0
2016-06-27,1.0
2016-06-28,1.0
2016-06-29,1.0
2016-06-30,1.0
2016-07-01,1.0
2016-07-02,2.0
2016-07-03,1.0
2016-07-04,1.0
2016-07-05,3.0
2016-07-06,2.0
2016-07-07,2.0
2016-07-08,1.0
2016-07-09,1.0
2016-07-10,1.0
2016-07-11,1.0
2016-07-12,1.0
2016-07-13,1.0
2016-07-14,1.0
2016-07-15,1.0
2016-07-16,1.0
2016-07-17,1.0
2016-07-18,1.0
2016-07-19,1.0
2016-07-20,2.0
2016-07-21,1.0
2016-07-22,2.0
2016-07-23,3.0
2016-07-24,8.0
2016-07-25,19.0
2016-07-26,15.0
2016-07-27,17.0
2016-07-28,12.0
2016-07-29,7.0
2016-07-30,14.0
2016-07-31,12.0
2016-08-01,10.0
2016-08-02,8.0
2016-08-03,6.0
2016-08-04,6.0
2016-08-05,5.0
2016-08-06,14.0
2016-08-07,11.0
2016-08-08,7.0
2016-08-09,6.0
2016-08-10,12.0
2016-08-11,12.0
2016-08-12,8.0
2016-08-13,6.0
2016-08-14,6.0
2016-08-15,5.0
2016-08-16,4.0
2016-08-17,5.0
2016-08-18,2.0
2016-08-19,3.0
2016-08-20,5.0
2016-08-21,4.0
2016-08-22,6.0
2016-08-23,6.0
2016-08-24,6.0
2016-08-25,15.0
2016-08-26,15.0
2016-08-27,6.0
2016-08-28,6.0
2016-08-29,3.0
2016-08-30,3.0
2016-08-31,4.0
2016-09-01,3.0
2016-09-02,4.0
2016-09-03,3.0
2016-09-04,4.0
2016-09-05,3.0
2016-09-06,3.0
2016-09-07,11.0
2016-09-08,8.0
2016-09-09,6.0
2016-09-10,5.0
2016-09-11,3.0
2016-09-12,3.0
2016-09-13,3.0
2016-09-14,5.0
2016-09-15,4.0
2016-09-16,9.0
2016-09-17,4.0
2016-09-18,3.0
2016-09-19,3.0
2016-09-20,3.0
2016-09-21,4.0
2016-09-22,2.0
2016-09-23,3.0
2016-09-24,3.0
2016-09-25,4.0
2016-09-26,4.0
2016-09-27,4.0
2016-09-28,3.0
2016-09-29,4.0
2016-09-30,3.0
2016-10-01,3.996879875195008
2016-10-02,12.490639625585024
2016-10-03,34.972698907956314
2016-10-04,79.93759750390015
2016-10-05,21.982839313572544
2016-10-06,10.491419656786272
2016-10-07,7.493759750390016
2016-10-08,10.491419656786272
2016-10-09,6.994539781591264
2016-10-10,6.495319812792512
2016-10-11,7.493759750390016
2016-10-12,7.494539781591264
2016-10-13,6.495319812792512
2016-10-14,5.495319812792512
2016-10-15,5.995319812792512
2016-10-16,8.493759750390016
2016-10-17,99.9219968798752
2016-10-18,59.95319812792512
2016-10-19,47.962558502340094
2016-10-20,24.4804992199688
2016-10-21,20.984399375975038
2016-10-22,21.482839313572544
2016-10-23,15.48829953198128
2016-10-24,16.986739469578783
2016-10-25,14.987519500780031
2016-10-26,11.490639625585024
2016-10-27,11.990639625585024
2016-10-28,14.489079563182528
2016-10-29,14.489079563182528
2016-10-30,9.992199687987519
2016-10-31,9.492199687987519
2016-11-01,8.992979719188767
2016-11-02,9.98439937597504
2016-11-03,7.9875195007800315
2016-11-04,11.981279251170047
2016-11-05,17.97191887675507
2016-11-06,15.975039001560063
2016-11-07,13.978159126365055
2016-11-08,11.981279251170047
2016-11-09,16.973478939157566
2016-11-10,10.982839313572544
2016-11-11,7.9875195007800315
2016-11-12,6.9890795631825275
2016-11-13,4.99219968798752
2016-11-14,11.981279251170047
2016-11-15,9.98439937597504
2016-11-16,8.985959438377535
2016-11-17,6.9890795631825275
2016-11-18,6.9890795631825275
2016-11-19,6.9890795631825275
2016-11-20,8.985959438377535
2016-11-21,7.9875195007800315
2016-11-22,7.9875195007800315
2016-11-23,7.9875195007800315
2016-11-24,6.9890795631825275
2016-11-25,7.9875195007800315
2016-11-26,10.982839313572544
2016-11-27,13.978159126365055
2016-11-28,7.9875195007800315
2016-11-29,10.982839313572544
2016-11-30,11.981279251170047
2016-12-01,9.98439937597504
2016-12-02,6.9890795631825275
2016-12-03,5.990639625585024
2016-12-04,6.9890795631825275
2016-12-05,6.9890795631825275
2016-12-06,6.9890795631825275
2016-12-07,6.9890795631825275
2016-12-08,5.990639625585024
2016-12-09,4.99219968798752
2016-12-10,6.9890795631825275
2016-12-11,6.9890795631825275
2016-12-12,5.990639625585024
2016-12-13,5.990639625585024
2016-12-14,3.9937597503900157
2016-12-15,4.99219968798752
2016-12-16,8.985959438377535
2016-12-17,4.99219968798752
2016-12-18,3.9937597503900157
2016-12-19,3.9937597503900157
2016-12-20,2.995319812792512
2016-12-21,2.995319812792512
2016-12-22,2.995319812792512
2016-12-23,2.995319812792512
2016-12-24,1.9968798751950079
2016-12-25,2.995319812792512
2016-12-26,2.995319812792512
2016-12-27,1.9968798751950079
2016-12-28,2.995319812792512
2016-12-29,2.995319812792512
2016-12-30,3.9937597503900157
2016-12-31,2.995319812792512
2017-01-01,3.9937597503900157
2017-01-02,2.995319812792512
2017-01-03,9.98439937597504
2017-01-04,38.939157566302654
2017-01-05,28.954758190327613
2017-01-06,14.97659906396256
2017-01-07,9.98439937597504
2017-01-08,6.9890795631825275
2017-01-09,8.985959438377535
2017-01-10,9.98439937597504
2017-01-11,6.9890795631825275
2017-01-12,3.9937597503900157
2017-01-13,4.99219968798752
2017-01-14,3.9937597503900157
2017-01-15,4.99219968798752
2017-01-16,2.995319812792512
2017-01-17,8.985959438377535
2017-01-18,19.96879875195008
2017-01-19,8.985959438377535
2017-01-20,4.99219968798752
2017-01-21,2.995319812792512
2017-01-22,2.995319812792512
2017-01-23,2.995319812792512
2017-01-24,3.9937597503900157
2017-01-25,2.995319812792512
2017-01-26,2.995319812792512
2017-01-27,1.9968798751950079
2017-01-28,2.995319812792512
2017-01-29,3.9937597503900157
2017-01-30,1.9968798751950079
2017-01-31,1.9968798751950079
2017-02-01,1.9968798751950079
2017-02-02,1.9968798751950079
2017-02-03,1.9968798751950079
2017-02-04,1.9968798751950079
2017-02-05,1.9968798751950079
2017-02-06,2.995319812792512
2017-02-07,2.995319812792512
2017-02-08,2.995319812792512
2017-02-09,1.9968798751950079
2017-02-10,1.9968798751950079
2017-02-11,2.995319812792512
2017-02-12,1.9968798751950079
2017-02-13,1.9968798751950079
2017-02-14,2.995319812792512
2017-02-15,3.9937597503900157
2017-02-16,2.995319812792512
2017-02-17,2.995319812792512
2017-02-18,2.995319812792512
2017-02-19,2.995319812792512
2017-02-20,1.9968798751950079
2017-02-21,1.9968798751950079
2017-02-22,1.9968798751950079
2017-02-23,4.99219968798752
2017-02-24,5.990639625585024
2017-02-25,3.9937597503900157
2017-02-26,1.9968798751950079
2017-02-27,1.9968798751950079
2017-02-28,0.9984399375975039
2017-03-01,0.8912249107413961
2017-03-02,1.2832298526840402
2017-03-03,1.7824498214827922
2017-03-04,1.2832298526840402
2017-03-05,1.7824498214827922
2017-03-06,1.7824498214827922
2017-03-07,5.739354406391021
2017-03-08,7.022584259075062
2017-03-09,12.761938665466083
2017-03-10,11.371493785925935
2017-03-11,7.913809169816457
2017-03-12,6.131359348333666
2017-03-13,3.9569045849082287
2017-03-14,3.9569045849082287
2017-03-15,3.065679674166833
2017-03-16,1.7824498214827922
2017-03-17,1.7824498214827922
2017-03-18,1.7824498214827922
2017-03-19,2.1744547634254365
2017-03-20,1.7824498214827922
2017-03-21,5.240134437592269
2017-03-22,3.5648996429655844
2017-03-23,2.1744547634254365
2017-03-24,1.7824498214827922
2017-03-25,1.7824498214827922
2017-03-26,1.7824498214827922
2017-03-27,1.2832298526840402
2017-03-28,1.2832298526840402
2017-03-29,1.2832298526840402
2017-03-30,1.2832298526840402
2017-03-31,10.088263933241894
2017-04-01,5.240134437592269
2017-04-02,4.70405930331173
2017-04-03,5.488069187197018
2017-04-04,3.1360395355411534
2017-04-05,2.352029651655865
2017-04-06,3.1360395355411534
2017-04-07,3.1360395355411534
2017-04-08,1.5680197677705767
2017-04-09,1.5680197677705767
2017-04-10,1.5680197677705767
2017-04-11,1.5680197677705767
2017-04-12,1.5680197677705767
2017-04-13,2.352029651655865
2017-04-14,3.1360395355411534
2017-04-15,2.352029651655865
2017-04-16,2.352029651655865
2017-04-17,1.5680197677705767
2017-04-18,1.5680197677705767
2017-04-19,1.5680197677705767
2017-04-20,6.272079071082307
2017-04-21,18.81623721324692
2017-04-22,4.70405930331173
2017-04-23,3.9200494194264417
2017-04-24,3.1360395355411534
2017-04-25,3.1360395355411534
2017-04-26,2.352029651655865
2017-04-27,2.352029651655865
2017-04-28,2.352029651655865
2017-04-29,2.352029651655865
2017-04-30,2.352029651655865
2017-05-01,2.352029651655865
2017-05-02,1.5680197677705767
2017-05-03,1.5680197677705767
2017-05-04,1.5680197677705767
2017-05-05,1.5680197677705767
2017-05-06,3.1360395355411534
2017-05-07,2.352029651655865
2017-05-08,2.352029651655865
2017-05-09,3.1360395355411534
2017-05-10,2.352029651655865
2017-05-11,2.352029651655865
2017-05-12,1.5680197677705767
2017-05-13,2.352029651655865
2017-05-14,2.352029651655865
2017-05-15,1.5680197677705767
2017-05-16,2.352029651655865
2017-05-17,3.1360395355411534
2017-05-18,2.352029651655865
2017-05-19,78.40098838852883
2017-05-20,29.00836570375567
2017-05-21,8.624108722738171
2017-05-22,5.488069187197018
2017-05-23,3.9200494194264417
2017-05-24,2.352029651655865
2017-05-25,2.352029651655865
2017-05-26,2.352029651655865
2017-05-27,2.352029651655865
2017-05-28,2.352029651655865
2017-05-29,2.352029651655865
2017-05-30,2.352029651655865
2017-05-31,1.5680197677705767
2017-06-01,2.352029651655865
