date,endorse trump
2016-05-01,2.0
2016-05-02,3.0
2016-05-03,5.0
2016-05-04,10.0
2016-05-05,13.0
2016-05-06,10.0
2016-05-07,9.0
2016-05-08,3.0
2016-05-09,5.0
2016-05-10,4.0
2016-05-11,5.0
2016-05-12,5.0
2016-05-13,3.0
2016-05-14,4.0
2016-05-15,2.0
2016-05-16,3.0
2016-05-17,1.0
2016-05-18,3.0
2016-05-19,3.0
2016-05-20,4.0
2016-05-21,2.0
2016-05-22,1.0
2016-05-23,1.0
2016-05-24,2.0
2016-05-25,4.0
2016-05-26,4.0
2016-05-27,3.0
2016-05-28,3.0
2016-05-29,3.0
2016-05-30,4.0
2016-05-31,2.0
2016-06-01,5.0
2016-06-02,8.0
2016-06-03,8.0
2016-06-04,5.0
2016-06-05,4.0
2016-06-06,4.0
2016-06-07,5.0
2016-06-08,8.0
2016-06-09,6.0
2016-06-10,7.0
2016-06-11,7.0
2016-06-12,4.0
2016-06-13,8.0
2016-06-14,3.0
2016-06-15,3.0
2016-06-16,4.0
2016-06-17,4.0
2016-06-18,4.0
2016-06-19,4.0
2016-06-20,2.0
2016-06-21,3.0
2016-06-22,4.0
2016-06-23,3.0
2016-06-24,2.0
2016-06-25,2.0
2016-06-26,3.0
2016-06-27,3.0
2016-06-28,2.0
2016-06-29,2.0
2016-06-30,2.0
2016-07-01,2.0
2016-07-02,1.0
2016-07-03,3.0
2016-07-04,2.0
2016-07-05,1.0
2016-07-06,2.0
2016-07-07,3.0
2016-07-08,4.0
2016-07-09,2.0
2016-07-10,4.0
2016-07-11,1.0
2016-07-12,6.0
2016-07-13,5.0
2016-07-14,5.0
2016-07-15,2.0
2016-07-16,6.0
2016-07-17,7.0
2016-07-18,8.0
2016-07-19,10.0
2016-07-20,14.0
2016-07-21,100.0
2016-07-22,28.0
2016-07-23,13.0
2016-07-24,12.0
2016-07-25,8.0
2016-07-26,9.0
2016-07-27,11.0
2016-07-28,15.0
2016-07-29,14.0
2016-07-30,9.0
2016-07-31,16.0
2016-08-01,10.0
2016-08-02,15.0
2016-08-03,19.0
2016-08-04,11.0
2016-08-05,19.0
2016-08-06,28.0
2016-08-07,14.0
2016-08-08,9.0
2016-08-09,9.0
2016-08-10,9.0
2016-08-11,6.0
2016-08-12,2.0
2016-08-13,4.0
2016-08-14,3.0
2016-08-15,2.0
2016-08-16,4.0
2016-08-17,4.0
2016-08-18,2.0
2016-08-19,2.0
2016-08-20,3.0
2016-08-21,4.0
2016-08-22,2.0
2016-08-23,1.0
2016-08-24,3.0
2016-08-25,7.0
2016-08-26,5.0
2016-08-27,5.0
2016-08-28,7.0
2016-08-29,3.0
2016-08-30,3.0
2016-08-31,3.0
2016-09-01,5.0
2016-09-02,1.0
2016-09-03,2.0
2016-09-04,4.0
2016-09-05,2.0
2016-09-06,8.0
2016-09-07,11.0
2016-09-08,5.0
2016-09-09,4.0
2016-09-10,3.0
2016-09-11,3.0
2016-09-12,3.0
2016-09-13,4.0
2016-09-14,3.0
2016-09-15,5.0
2016-09-16,6.0
2016-09-17,4.0
2016-09-18,5.0
2016-09-19,6.0
2016-09-20,4.0
2016-09-21,7.0
2016-09-22,5.0
2016-09-23,27.0
2016-09-24,32.0
2016-09-25,11.0
2016-09-26,13.0
2016-09-27,53.0
2016-09-28,17.0
2016-09-29,13.0
2016-09-30,15.0
2016-10-01,7.407253886010363
2016-10-02,8.259067357512954
2016-10-03,8.620207253886012
2016-10-04,6.194300518134715
2016-10-05,10.53678756476684
2016-10-06,9.972020725388601
2016-10-07,6.055440414507772
2016-10-08,17.444041450777203
2016-10-09,15.379274611398964
2016-10-10,36.52694300518135
2016-10-11,14.314507772020725
2016-10-12,19.444041450777203
2016-10-13,28.3419689119171
2016-10-14,19.934715025906733
2016-10-15,13.88860103626943
2016-10-16,12.314507772020725
2016-10-17,11.03678756476684
2016-10-18,9.610880829015544
2016-10-19,14.740414507772021
2016-10-20,30.119689119170985
2016-10-21,8.472020725388601
2016-10-22,8.046113989637306
2016-10-23,12.110880829015544
2016-10-24,9.972020725388601
2016-10-25,9.897927461139897
2016-10-26,11.88860103626943
2016-10-27,13.027461139896374
2016-10-28,9.323834196891191
2016-10-29,3.6295336787564767
2016-10-30,6.620207253886011
2016-10-31,5.694300518134715
2016-11-01,12.175647668393783
2016-11-02,21.295336787564768
2016-11-03,14.480829015544042
2016-11-04,12.77720207253886
2016-11-05,13.203108808290155
2016-11-06,15.758549222797928
2016-11-07,14.054922279792747
2016-11-08,29.813471502590673
2016-11-09,42.590673575129536
2016-11-10,20.443523316062176
2016-11-11,15.332642487046632
2016-11-12,14.054922279792747
2016-11-13,9.369948186528497
2016-11-14,7.240414507772021
2016-11-15,7.666321243523316
2016-11-16,5.110880829015544
2016-11-17,5.53678756476684
2016-11-18,5.53678756476684
2016-11-19,2.555440414507772
2016-11-20,3.833160621761658
2016-11-21,1.7036269430051814
2016-11-22,4.259067357512953
2016-11-23,3.833160621761658
2016-11-24,3.4072538860103627
2016-11-25,1.7036269430051814
2016-11-26,2.1295336787564767
2016-11-27,2.555440414507772
2016-11-28,0.8518134715025907
2016-11-29,2.555440414507772
2016-11-30,2.555440414507772
2016-12-01,1.7036269430051814
2016-12-02,0.8518134715025907
2016-12-03,1.7036269430051814
2016-12-04,1.7036269430051814
2016-12-05,2.1295336787564767
2016-12-06,2.555440414507772
2016-12-07,1.277720207253886
2016-12-08,2.1295336787564767
2016-12-09,1.7036269430051814
2016-12-10,0.8518134715025907
2016-12-11,1.7036269430051814
2016-12-12,1.7036269430051814
2016-12-13,1.7036269430051814
2016-12-14,1.277720207253886
2016-12-15,0.8518134715025907
2016-12-16,1.277720207253886
2016-12-17,1.277720207253886
2016-12-18,1.277720207253886
2016-12-19,0.42590673575129534
2016-12-20,0.8518134715025907
2016-12-21,1.7036269430051814
2016-12-22,0.8518134715025907
2016-12-23,1.277720207253886
2016-12-24,0.8518134715025907
2016-12-25,0.42590673575129534
2016-12-26,0.8518134715025907
2016-12-27,1.7036269430051814
2016-12-28,0.42590673575129534
2016-12-29,2.1295336787564767
2016-12-30,1.277720207253886
2016-12-31,1.277720207253886
2017-01-01,0.8518134715025907
2017-01-02,0.42590673575129534
2017-01-03,1.277720207253886
2017-01-04,1.7036269430051814
2017-01-05,0.42590673575129534
2017-01-06,0.8518134715025907
2017-01-07,1.277720207253886
2017-01-08,0.8518134715025907
2017-01-09,0.8518134715025907
2017-01-10,2.555440414507772
2017-01-11,2.1295336787564767
2017-01-12,1.277720207253886
2017-01-13,1.277720207253886
2017-01-14,1.277720207253886
2017-01-15,1.7036269430051814
2017-01-16,2.1295336787564767
2017-01-17,1.277720207253886
2017-01-18,1.7036269430051814
2017-01-19,1.277720207253886
2017-01-20,5.110880829015544
2017-01-21,2.555440414507772
2017-01-22,4.684974093264248
2017-01-23,2.1295336787564767
2017-01-24,1.277720207253886
2017-01-25,1.277720207253886
2017-01-26,0.8518134715025907
2017-01-27,2.1295336787564767
2017-01-28,2.555440414507772
2017-01-29,2.555440414507772
2017-01-30,1.7036269430051814
2017-01-31,2.1295336787564767
2017-02-01,1.7036269430051814
2017-02-02,2.1295336787564767
2017-02-03,0.8518134715025907
2017-02-04,1.7036269430051814
2017-02-05,1.277720207253886
2017-02-06,2.9813471502590674
2017-02-07,2.1295336787564767
2017-02-08,1.7036269430051814
2017-02-09,1.7036269430051814
2017-02-10,2.1295336787564767
2017-02-11,2.555440414507772
2017-02-12,1.277720207253886
2017-02-13,0.8518134715025907
2017-02-14,1.277720207253886
2017-02-15,0.42590673575129534
2017-02-16,0.8518134715025907
2017-02-17,0.8518134715025907
2017-02-18,1.7036269430051814
2017-02-19,1.7036269430051814
2017-02-20,1.277720207253886
2017-02-21,0.42590673575129534
2017-02-22,0.8518134715025907
2017-02-23,0.42590673575129534
2017-02-24,0.8518134715025907
2017-02-25,0.42590673575129534
2017-02-26,0.8518134715025907
2017-02-27,0.42590673575129534
2017-02-28,0.8518134715025907
2017-03-01,1.142667407077656
2017-03-02,0.6505546198433205
2017-03-03,0.7277007026255524
2017-03-04,0.42590673575129534
2017-03-05,0.21295336787564767
2017-03-06,0.49965763640619193
2017-03-07,0.3563055021409198
2017-03-08,0.21295336787564767
2017-03-09,0.21295336787564767
2017-03-10,0.21295336787564767
2017-03-11,0.21295336787564767
2017-03-12,0.16598668178084142
2017-03-13,0.8559631385471117
2017-03-14,0.49965763640619193
2017-03-15,0.643009770671464
2017-03-16,0.49965763640619193
2017-03-17,0.6656443181870333
2017-03-18,0.7109134132181719
2017-03-19,0.9163219319219631
2017-03-20,0.49965763640619193
2017-03-21,0.3563055021409198
2017-03-22,1.142667407077656
2017-03-23,0.6505546198433205
2017-03-24,0.5222921839217611
2017-03-25,0.7654249484848346
2017-03-26,0.21295336787564767
2017-03-27,0.3563055021409198
2017-03-28,0.9993152728123839
2017-03-29,0.3638503513127762
2017-03-30,0.3638503513127762
2017-03-31,0.21295336787564767
2017-04-01,0.7654249484848346
2017-04-02,0.33197336356168283
2017-04-03,0.28670426853054426
2017-04-04,0.5884982354048014
2017-04-05,0.28670426853054426
2017-04-06,0.0
2017-04-07,0.0
2017-04-08,0.0
2017-04-09,0.0
2017-04-10,0.0
2017-04-11,0.0
2017-04-12,0.0
2017-04-13,1.237355264184454
2017-04-14,0.0
2017-04-15,0.36215276024910853
2017-04-16,0.34706306190539565
2017-04-17,0.0
2017-04-18,0.28670426853054426
2017-04-19,0.28670426853054426
2017-04-20,0.0
2017-04-21,0.3017939668742571
2017-04-22,0.6941261238107913
2017-04-23,0.0
2017-04-24,0.3017939668742571
2017-04-25,0.0
2017-04-26,0.28670426853054426
2017-04-27,0.8752025039353456
2017-04-28,0.6035879337485142
2017-04-29,0.0
2017-04-30,1.4033419459652956
2017-05-01,0.6488570287796528
2017-05-02,0.28670426853054426
2017-05-03,0.28670426853054426
2017-05-04,0.28670426853054426
2017-05-05,0.9053819006227714
2017-05-06,0.34706306190539565
2017-05-07,0.6790364254670785
