date,secretary clinton emails
2016-05-01,0.0
2016-05-02,0.0
2016-05-03,0.0
2016-05-04,0.0
2016-05-05,22.0
2016-05-06,0.0
2016-05-07,0.0
2016-05-08,0.0
2016-05-09,0.0
2016-05-10,0.0
2016-05-11,0.0
2016-05-12,0.0
2016-05-13,0.0
2016-05-14,0.0
2016-05-15,24.0
2016-05-16,0.0
2016-05-17,0.0
2016-05-18,0.0
2016-05-19,0.0
2016-05-20,0.0
2016-05-21,0.0
2016-05-22,0.0
2016-05-23,0.0
2016-05-24,0.0
2016-05-25,0.0
2016-05-26,0.0
2016-05-27,22.0
2016-05-28,0.0
2016-05-29,25.0
2016-05-30,0.0
2016-05-31,21.0
2016-06-01,0.0
2016-06-02,0.0
2016-06-03,0.0
2016-06-04,0.0
2016-06-05,0.0
2016-06-06,0.0
2016-06-07,21.0
2016-06-08,0.0
2016-06-09,0.0
2016-06-10,22.0
2016-06-11,0.0
2016-06-12,0.0
2016-06-13,41.0
2016-06-14,0.0
2016-06-15,21.0
2016-06-16,0.0
2016-06-17,0.0
2016-06-18,0.0
2016-06-19,25.0
2016-06-20,0.0
2016-06-21,0.0
2016-06-22,0.0
2016-06-23,0.0
2016-06-24,0.0
2016-06-25,0.0
2016-06-26,0.0
2016-06-27,0.0
2016-06-28,0.0
2016-06-29,21.0
2016-06-30,0.0
2016-07-01,0.0
2016-07-02,25.0
2016-07-03,0.0
2016-07-04,0.0
2016-07-05,66.0
2016-07-06,22.0
2016-07-07,66.0
2016-07-08,23.0
2016-07-09,0.0
2016-07-10,0.0
2016-07-11,0.0
2016-07-12,0.0
2016-07-13,0.0
2016-07-14,0.0
2016-07-15,0.0
2016-07-16,0.0
2016-07-17,26.0
2016-07-18,0.0
2016-07-19,22.0
2016-07-20,22.0
2016-07-21,0.0
2016-07-22,22.0
2016-07-23,25.0
2016-07-24,0.0
2016-07-25,0.0
2016-07-26,0.0
2016-07-27,21.0
2016-07-28,43.0
2016-07-29,23.0
2016-07-30,26.0
2016-07-31,0.0
2016-08-01,21.0
2016-08-02,21.0
2016-08-03,0.0
2016-08-04,22.0
2016-08-05,0.0
2016-08-06,0.0
2016-08-07,0.0
2016-08-08,0.0
2016-08-09,0.0
2016-08-10,22.0
2016-08-11,22.0
2016-08-12,22.0
2016-08-13,0.0
2016-08-14,0.0
2016-08-15,0.0
2016-08-16,21.0
2016-08-17,0.0
2016-08-18,0.0
2016-08-19,0.0
2016-08-20,0.0
2016-08-21,0.0
2016-08-22,0.0
2016-08-23,21.0
2016-08-24,21.0
2016-08-25,0.0
2016-08-26,0.0
2016-08-27,50.0
2016-08-28,24.0
2016-08-29,0.0
2016-08-30,21.0
2016-08-31,0.0
2016-09-01,0.0
2016-09-02,0.0
2016-09-03,25.0
2016-09-04,0.0
2016-09-05,0.0
2016-09-06,0.0
2016-09-07,0.0
2016-09-08,0.0
2016-09-09,0.0
2016-09-10,0.0
2016-09-11,0.0
2016-09-12,0.0
2016-09-13,20.0
2016-09-14,0.0
2016-09-15,0.0
2016-09-16,0.0
2016-09-17,24.0
2016-09-18,0.0
2016-09-19,0.0
2016-09-20,0.0
2016-09-21,0.0
2016-09-22,0.0
2016-09-23,21.0
2016-09-24,0.0
2016-09-25,0.0
2016-09-26,0.0
2016-09-27,100.0
2016-09-28,0.0
2016-09-29,0.0
2016-09-30,21.0
2016-10-01,7.86511075949367
2016-10-02,0.0
2016-10-03,3.332674050632911
2016-10-04,0.0
2016-10-05,3.332674050632911
2016-10-06,0.0
2016-10-07,0.0
2016-10-08,11.99762658227848
2016-10-09,31.231803797468352
2016-10-10,16.79865506329114
2016-10-11,6.798655063291139
2016-10-12,0.0
2016-10-13,6.665348101265822
2016-10-14,3.4659810126582276
2016-10-15,15.365901898734176
2016-10-16,19.231803797468352
2016-10-17,13.33267405063291
2016-10-18,16.532041139240505
2016-10-19,33.33069620253164
2016-10-20,13.33267405063291
2016-10-21,30.764636075949365
2016-10-22,0.0
2016-10-23,15.365901898734176
2016-10-24,13.33267405063291
2016-10-25,13.199367088607595
2016-10-26,9.864715189873417
2016-10-27,3.332674050632911
2016-10-28,7.065268987341772
2016-10-29,7.86511075949367
2016-10-30,11.597705696202532
2016-10-31,8.531645569620252
2016-11-01,13.465981012658228
2016-11-02,20.2626582278481
2016-11-03,16.53006329113924
2016-11-04,6.931962025316455
2016-11-05,11.464398734177214
2016-11-06,7.465189873417721
2016-11-07,13.064082278481012
2016-11-08,19.4628164556962
2016-11-09,18.129746835443036
2016-11-10,0.0
2016-11-11,6.931962025316455
2016-11-12,0.0
2016-11-13,14.930379746835442
2016-11-14,0.0
2016-11-15,0.0
2016-11-16,0.0
2016-11-17,0.0
2016-11-18,0.0
2016-11-19,0.0
2016-11-20,7.465189873417721
2016-11-21,6.665348101265822
2016-11-22,0.0
2016-11-23,0.0
2016-11-24,0.0
2016-11-25,0.0
2016-11-26,0.0
2016-11-27,0.0
2016-11-28,0.0
2016-11-29,0.0
2016-11-30,0.0
2016-12-01,0.0
2016-12-02,0.0
2016-12-03,0.0
2016-12-04,0.0
2016-12-05,0.0
2016-12-06,6.398734177215189
2016-12-07,0.0
2016-12-08,6.665348101265822
2016-12-09,0.0
2016-12-10,8.531645569620252
2016-12-11,0.0
2016-12-12,0.0
2016-12-13,0.0
2016-12-14,0.0
2016-12-15,0.0
2016-12-16,0.0
2016-12-17,0.0
2016-12-18,0.0
2016-12-19,0.0
2016-12-20,0.0
2016-12-21,6.931962025316455
2016-12-22,0.0
2016-12-23,0.0
2016-12-24,0.0
2016-12-25,0.0
2016-12-26,0.0
2016-12-27,0.0
2016-12-28,0.0
2016-12-29,0.0
2016-12-30,0.0
2016-12-31,0.0
2017-01-01,8.26503164556962
2017-01-02,0.0
2017-01-03,6.665348101265822
2017-01-04,0.0
2017-01-05,0.0
2017-01-06,6.931962025316455
2017-01-07,0.0
2017-01-08,7.198575949367088
2017-01-09,0.0
2017-01-10,0.0
2017-01-11,0.0
2017-01-12,0.0
2017-01-13,0.0
2017-01-14,0.0
2017-01-15,0.0
2017-01-16,0.0
2017-01-17,0.0
2017-01-18,0.0
2017-01-19,0.0
2017-01-20,0.0
2017-01-21,0.0
2017-01-22,0.0
2017-01-23,0.0
2017-01-24,0.0
2017-01-25,0.0
2017-01-26,0.0
2017-01-27,6.665348101265822
2017-01-28,0.0
2017-01-29,0.0
2017-01-30,6.398734177215189
2017-01-31,0.0
2017-02-01,0.0
2017-02-02,0.0
2017-02-03,0.0
2017-02-04,0.0
2017-02-05,0.0
2017-02-06,0.0
2017-02-07,6.1321202531645564
2017-02-08,0.0
2017-02-09,0.0
2017-02-10,6.398734177215189
2017-02-11,0.0
