date,hillary weak
2016-05-01,0.0
2016-05-02,0.0
2016-05-03,0.0
2016-05-04,0.0
2016-05-05,63.0
2016-05-06,0.0
2016-05-07,24.0
2016-05-08,0.0
2016-05-09,0.0
2016-05-10,20.0
2016-05-11,20.0
2016-05-12,0.0
2016-05-13,0.0
2016-05-14,0.0
2016-05-15,0.0
2016-05-16,0.0
2016-05-17,20.0
2016-05-18,20.0
2016-05-19,20.0
2016-05-20,21.0
2016-05-21,0.0
2016-05-22,0.0
2016-05-23,0.0
2016-05-24,0.0
2016-05-25,0.0
2016-05-26,0.0
2016-05-27,22.0
2016-05-28,0.0
2016-05-29,24.0
2016-05-30,0.0
2016-05-31,0.0
2016-06-01,0.0
2016-06-02,21.0
2016-06-03,0.0
2016-06-04,24.0
2016-06-05,0.0
2016-06-06,0.0
2016-06-07,0.0
2016-06-08,0.0
2016-06-09,0.0
2016-06-10,21.0
2016-06-11,24.0
2016-06-12,23.0
2016-06-13,0.0
2016-06-14,0.0
2016-06-15,0.0
2016-06-16,0.0
2016-06-17,0.0
2016-06-18,49.0
2016-06-19,0.0
2016-06-20,20.0
2016-06-21,0.0
2016-06-22,0.0
2016-06-23,0.0
2016-06-24,0.0
2016-06-25,24.0
2016-06-26,0.0
2016-06-27,0.0
2016-06-28,0.0
2016-06-29,0.0
2016-06-30,0.0
2016-07-01,0.0
2016-07-02,49.0
2016-07-03,25.0
2016-07-04,0.0
2016-07-05,21.0
2016-07-06,0.0
2016-07-07,0.0
2016-07-08,0.0
2016-07-09,0.0
2016-07-10,0.0
2016-07-11,21.0
2016-07-12,40.0
2016-07-13,0.0
2016-07-14,21.0
2016-07-15,21.0
2016-07-16,0.0
2016-07-17,0.0
2016-07-18,21.0
2016-07-19,0.0
2016-07-20,0.0
2016-07-21,0.0
2016-07-22,21.0
2016-07-23,0.0
2016-07-24,0.0
2016-07-25,20.0
2016-07-26,0.0
2016-07-27,62.0
2016-07-28,0.0
2016-07-29,22.0
2016-07-30,25.0
2016-07-31,49.0
2016-08-01,0.0
2016-08-02,21.0
2016-08-03,0.0
2016-08-04,42.0
2016-08-05,22.0
2016-08-06,0.0
2016-08-07,0.0
2016-08-08,21.0
2016-08-09,0.0
2016-08-10,21.0
2016-08-11,21.0
2016-08-12,0.0
2016-08-13,0.0
2016-08-14,0.0
2016-08-15,0.0
2016-08-16,21.0
2016-08-17,0.0
2016-08-18,0.0
2016-08-19,0.0
2016-08-20,24.0
2016-08-21,47.0
2016-08-22,0.0
2016-08-23,0.0
2016-08-24,21.0
2016-08-25,0.0
2016-08-26,0.0
2016-08-27,0.0
2016-08-28,24.0
2016-08-29,0.0
2016-08-30,0.0
2016-08-31,0.0
2016-09-01,0.0
2016-09-02,0.0
2016-09-03,24.0
2016-09-04,0.0
2016-09-05,0.0
2016-09-06,20.0
2016-09-07,20.0
2016-09-08,20.0
2016-09-09,21.0
2016-09-10,23.0
2016-09-11,23.0
2016-09-12,100.0
2016-09-13,20.0
2016-09-14,20.0
2016-09-15,41.0
2016-09-16,0.0
2016-09-17,23.0
2016-09-18,23.0
2016-09-19,39.0
2016-09-20,39.0
2016-09-21,20.0
2016-09-22,40.0
2016-09-23,21.0
2016-09-24,23.0
2016-09-25,0.0
2016-09-26,0.0
2016-09-27,58.0
2016-09-28,39.0
2016-09-29,78.0
2016-09-30,41.0
2016-10-01,8.746969696969698
2016-10-02,17.113636363636363
2016-10-03,24.331818181818182
2016-10-04,16.725757575757576
2016-10-05,7.225757575757576
2016-10-06,17.106060606060606
2016-10-07,15.592424242424242
2016-10-08,48.74090909090909
2016-10-09,44.17727272727272
2016-10-10,67.53030303030303
2016-10-11,34.33181818181818
2016-10-12,17.606060606060606
2016-10-13,30.52878787878788
2016-10-14,17.606060606060606
2016-10-15,31.2469696969697
2016-10-16,8.366666666666667
2016-10-17,26.225757575757576
2016-10-18,33.45151515151515
2016-10-19,28.134848484848487
2016-10-20,47.25454545454545
2016-10-21,17.606060606060606
2016-10-22,23.93030303030303
2016-10-23,50.61363636363636
2016-10-24,20.52878787878788
2016-10-25,26.225757575757576
2016-10-26,7.225757575757576
2016-10-27,7.225757575757576
2016-10-28,17.606060606060606
2016-10-29,20.2469696969697
2016-10-30,19.7469696969697
2016-10-31,0.0
2016-11-01,0.0
2016-11-02,29.663636363636364
2016-11-03,28.903030303030302
2016-11-04,15.212121212121213
2016-11-05,0.0
2016-11-06,16.733333333333334
2016-11-07,14.451515151515151
2016-11-08,28.142424242424244
2016-11-09,54.00303030303031
2016-11-10,22.05757575757576
2016-11-11,45.63636363636364
2016-11-12,16.733333333333334
2016-11-13,50.2
2016-11-14,14.451515151515151
2016-11-15,0.0
2016-11-16,0.0
2016-11-17,29.663636363636364
2016-11-18,30.424242424242426
2016-11-19,16.733333333333334
2016-11-20,0.0
2016-11-21,0.0
2016-11-22,0.0
2016-11-23,14.451515151515151
2016-11-24,0.0
2016-11-25,0.0
2016-11-26,0.0
2016-11-27,16.733333333333334
2016-11-28,0.0
2016-11-29,0.0
2016-11-30,14.451515151515151
2016-12-01,0.0
2016-12-02,0.0
2016-12-03,0.0
2016-12-04,0.0
2016-12-05,14.451515151515151
2016-12-06,14.451515151515151
2016-12-07,0.0
2016-12-08,15.212121212121213
2016-12-09,15.972727272727273
2016-12-10,0.0
2016-12-11,0.0
2016-12-12,14.451515151515151
2016-12-13,0.0
2016-12-14,0.0
2016-12-15,14.451515151515151
2016-12-16,15.972727272727273
2016-12-17,17.493939393939396
2016-12-18,0.0
2016-12-19,0.0
2016-12-20,0.0
2016-12-21,0.0
2016-12-22,0.0
2016-12-23,0.0
2016-12-24,0.0
2016-12-25,0.0
2016-12-26,16.733333333333334
2016-12-27,0.0
2016-12-28,0.0
2016-12-29,0.0
2016-12-30,15.972727272727273
2016-12-31,0.0
2017-01-01,18.254545454545454
2017-01-02,0.0
2017-01-03,14.451515151515151
2017-01-04,0.0
2017-01-05,0.0
2017-01-06,15.212121212121213
2017-01-07,0.0
2017-01-08,15.972727272727273
2017-01-09,14.451515151515151
2017-01-10,0.0
2017-01-11,14.451515151515151
2017-01-12,0.0
2017-01-13,0.0
2017-01-14,0.0
2017-01-15,0.0
2017-01-16,0.0
2017-01-17,0.0
2017-01-18,0.0
2017-01-19,0.0
2017-01-20,28.903030303030302
2017-01-21,0.0
2017-01-22,15.972727272727273
2017-01-23,0.0
2017-01-24,0.0
2017-01-25,0.0
2017-01-26,0.0
2017-01-27,0.0
2017-01-28,16.733333333333334
2017-01-29,15.972727272727273
2017-01-30,0.0
2017-01-31,0.0
2017-02-01,0.0
2017-02-02,14.451515151515151
2017-02-03,14.451515151515151
2017-02-04,0.0
2017-02-05,0.0
