date,hillary event
2016-05-01,4.0
2016-05-02,7.0
2016-05-03,2.0
2016-05-04,2.0
2016-05-05,7.0
2016-05-06,5.0
2016-05-07,4.0
2016-05-08,4.0
2016-05-09,0.0
2016-05-10,0.0
2016-05-11,3.0
2016-05-12,0.0
2016-05-13,0.0
2016-05-14,0.0
2016-05-15,2.0
2016-05-16,0.0
2016-05-17,3.0
2016-05-18,3.0
2016-05-19,2.0
2016-05-20,2.0
2016-05-21,2.0
2016-05-22,2.0
2016-05-23,2.0
2016-05-24,3.0
2016-05-25,8.0
2016-05-26,5.0
2016-05-27,4.0
2016-05-28,2.0
2016-05-29,0.0
2016-05-30,2.0
2016-05-31,3.0
2016-06-01,7.0
2016-06-02,12.0
2016-06-03,11.0
2016-06-04,8.0
2016-06-05,4.0
2016-06-06,8.0
2016-06-07,2.0
2016-06-08,10.0
2016-06-09,3.0
2016-06-10,12.0
2016-06-11,6.0
2016-06-12,4.0
2016-06-13,2.0
2016-06-14,5.0
2016-06-15,2.0
2016-06-16,2.0
2016-06-17,2.0
2016-06-18,0.0
2016-06-19,0.0
2016-06-20,2.0
2016-06-21,3.0
2016-06-22,2.0
2016-06-23,0.0
2016-06-24,2.0
2016-06-25,0.0
2016-06-26,4.0
2016-06-27,2.0
2016-06-28,9.0
2016-06-29,10.0
2016-06-30,3.0
2016-07-01,5.0
2016-07-02,2.0
2016-07-03,0.0
2016-07-04,0.0
2016-07-05,2.0
2016-07-06,4.0
2016-07-07,2.0
2016-07-08,6.0
2016-07-09,2.0
2016-07-10,2.0
2016-07-11,3.0
2016-07-12,8.0
2016-07-13,3.0
2016-07-14,7.0
2016-07-15,4.0
2016-07-16,4.0
2016-07-17,0.0
2016-07-18,7.0
2016-07-19,2.0
2016-07-20,5.0
2016-07-21,2.0
2016-07-22,9.0
2016-07-23,16.0
2016-07-24,2.0
2016-07-25,3.0
2016-07-26,7.0
2016-07-27,9.0
2016-07-28,10.0
2016-07-29,13.0
2016-07-30,12.0
2016-07-31,12.0
2016-08-01,7.0
2016-08-02,7.0
2016-08-03,7.0
2016-08-04,7.0
2016-08-05,4.0
2016-08-06,0.0
2016-08-07,4.0
2016-08-08,7.0
2016-08-09,10.0
2016-08-10,3.0
2016-08-11,4.0
2016-08-12,4.0
2016-08-13,2.0
2016-08-14,4.0
2016-08-15,4.0
2016-08-16,16.0
2016-08-17,5.0
2016-08-18,7.0
2016-08-19,4.0
2016-08-20,6.0
2016-08-21,2.0
2016-08-22,5.0
2016-08-23,7.0
2016-08-24,2.0
2016-08-25,2.0
2016-08-26,11.0
2016-08-27,2.0
2016-08-28,4.0
2016-08-29,3.0
2016-08-30,5.0
2016-08-31,8.0
2016-09-01,0.0
2016-09-02,2.0
2016-09-03,2.0
2016-09-04,2.0
2016-09-05,3.0
2016-09-06,10.0
2016-09-07,12.0
2016-09-08,10.0
2016-09-09,14.0
2016-09-10,4.0
2016-09-11,100.0
2016-09-12,47.0
2016-09-13,22.0
2016-09-14,18.0
2016-09-15,17.0
2016-09-16,14.0
2016-09-17,8.0
2016-09-18,13.0
2016-09-19,18.0
2016-09-20,31.0
2016-09-21,60.0
2016-09-22,15.0
2016-09-23,12.0
2016-09-24,4.0
2016-09-25,6.0
2016-09-26,8.0
2016-09-27,23.0
2016-09-28,13.0
2016-09-29,7.0
2016-09-30,19.0
2016-10-01,7.393462469733656
2016-10-02,6.393462469733656
2016-10-03,11.576271186440678
2016-10-04,18.8910411622276
2016-10-05,6.472154963680388
2016-10-06,5.972154963680388
2016-10-07,1.0
2016-10-08,5.893462469733656
2016-10-09,8.05084745762712
2016-10-10,15.944309927360775
2016-10-11,12.708232445520581
2016-10-12,14.969733656174334
2016-10-13,9.840193704600484
2016-10-14,18.337772397094433
