date,trump russian collusion
2017-03-03,0.0
2017-03-04,16.18863261943987
2017-03-05,6.449752883031302
2017-03-06,27.466227347611202
2017-03-07,8.360790774299835
2017-03-08,22.2331136738056
2017-03-09,13.733113673805601
2017-03-10,0.0
2017-03-11,0.0
2017-03-12,6.688632619439868
2017-03-13,11.466227347611202
2017-03-14,5.733113673805601
2017-03-15,11.466227347611202
2017-03-16,5.733113673805601
2017-03-17,5.971993410214168
2017-03-18,41.638385502471166
2017-03-19,29.32701812191104
2017-03-20,30.932454695222404
2017-03-21,25.199341021416803
2017-03-22,32.5996705107084
2017-03-23,72.9324546952224
2017-03-24,12.182866556836903
2017-03-25,72.38797364085667
2017-03-26,36.460461285008236
2017-03-27,5.733113673805601
2017-03-28,5.733113673805601
2017-03-29,28.70510708401977
2017-03-30,14.471993410214168
2017-03-31,14.471993410214168
2017-04-01,10.0
2017-04-02,0.0
2017-04-03,29.14332784184514
2017-04-04,23.410214168039538
2017-04-05,0.0
2017-04-06,23.88797364085667
2017-04-07,12.42174629324547
2017-04-08,20.54365733113674
2017-04-09,13.855024711696869
2017-04-10,23.88797364085667
2017-04-11,17.677100494233937
2017-04-12,24.365733113673805
2017-04-13,12.42174629324547
2017-04-14,27.232289950576607
2017-04-15,14.332784184514002
2017-04-16,27.710049423393738
2017-04-17,24.84349258649094
2017-04-18,0.0
2017-04-19,0.0
2017-04-20,0.0
2017-04-21,12.42174629324547
2017-04-22,13.855024711696869
2017-04-23,13.377265238879737
2017-04-24,0.0
2017-04-25,0.0
2017-04-26,0.0
2017-04-27,11.943986820428336
2017-04-28,0.0
2017-04-29,0.0
2017-04-30,0.0
2017-05-01,19.110378912685338
2017-05-02,0.0
2017-05-03,11.466227347611202
2017-05-04,11.466227347611202
2017-05-05,12.42174629324547
2017-05-06,13.855024711696869
2017-05-07,13.855024711696869
2017-05-08,11.466227347611202
2017-05-09,23.410214168039538
2017-05-10,46.34266886326194
2017-05-11,46.820428336079075
2017-05-12,24.365733113673805
2017-05-13,13.855024711696869
2017-05-14,13.855024711696869
2017-05-15,23.410214168039538
2017-05-16,11.943986820428336
2017-05-17,17.677100494233937
2017-05-18,41.56507413509061
2017-05-19,36.30971993410214
2017-05-20,21.021416803953873
2017-05-21,27.710049423393738
2017-05-22,22.932454695222404
2017-05-23,46.34266886326194
2017-05-24,35.35420098846787
2017-05-25,18.15485996705107
2017-05-26,25.321252059308073
2017-05-27,21.499176276771003
2017-05-28,0.0
2017-05-29,18.632619439868204
2017-05-30,29.621087314662272
2017-05-31,23.88797364085667
2017-06-01,11.943986820428336
2017-06-02,12.42174629324547
2017-06-03,13.855024711696869
